Importance,total_gain,total_cover,gain,cover,Feature,sequence_ids,param_id,group,Feature_group
45.0,13122824.0,1257.1424560546875,291618.3125,27.936498641967773,Gender,513,513,all,Clinical
107.0,187757792.0,28168.51171875,1754745.75,263.2571105957031,FirstVisitAge,513,513,all,Clinical
31.0,55326876.0,144593.046875,1784737.875,4664.2919921875,CIndU,513,513,all,Clinical
54.0,30330748.0,11352.6337890625,561680.5,210.2339630126953,Hematocrit_Avg,513,513,all,CommonBloodTest
19.0,98336792.0,21274.056640625,5175620.5,1119.6871337890625,Hematocrit_Max,513,513,all,CommonBloodTest
19.0,31308294.0,20816.328125,1647805.0,1095.59619140625,Hematocrit_Min,513,513,all,CommonBloodTest
44.0,28285380.0,6702.5888671875,642849.5625,152.33155822753906,LymphocytesPercentage_Avg,513,513,all,CommonBloodTest
36.0,144509488.0,14255.3916015625,4014152.5,395.9830932617188,LymphocytesPercentage_Max,513,513,all,CommonBloodTest
16.0,31612414.0,10802.3701171875,1975775.875,675.1481323242188,LymphocytesPercentage_Min,513,513,all,CommonBloodTest
20.0,89485000.0,16698.91015625,4474250.0,834.9454956054688,NeutrophilsPercentage_Avg,513,513,all,CommonBloodTest
11.0,40173728.0,11707.9375,3652157.0,1064.35791015625,NeutrophilsPercentage_Max,513,513,all,CommonBloodTest
17.0,39438364.0,34995.14453125,2319903.75,2058.537841796875,NeutrophilsPercentage_Min,513,513,all,CommonBloodTest
31.0,64398592.0,13953.6162109375,2077373.875,450.11663818359375,MonocytesPercentage_Avg,513,513,all,CommonBloodTest
14.0,35638988.0,29812.390625,2545642.0,2129.45654296875,MonocytesPercentage_Max,513,513,all,CommonBloodTest
16.0,43981528.0,22658.21484375,2748845.5,1416.138427734375,MonocytesPercentage_Min,513,513,all,CommonBloodTest
30.0,84545128.0,13847.3818359375,2818171.0,461.5794067382813,MeanCorpuscularHemoglobinConcentration_Avg,513,513,all,CommonBloodTest
14.0,23099754.0,1960.0277099609373,1649982.375,140.00198364257812,MeanCorpuscularHemoglobinConcentration_Max,513,513,all,CommonBloodTest
24.0,65058700.0,26333.759765625,2710779.25,1097.239990234375,MeanCorpuscularHemoglobinConcentration_Min,513,513,all,CommonBloodTest
24.0,17396802.0,5587.90966796875,724866.75,232.8295745849609,PlateletCount_Avg,513,513,all,CommonBloodTest
18.0,38858576.0,32896.6015625,2158809.75,1827.5889892578125,PlateletCount_Max,513,513,all,CommonBloodTest
12.0,19323598.0,7035.5546875,1610299.875,586.2962036132812,PlateletCount_Min,513,513,all,CommonBloodTest
11.0,16822646.0,5131.82275390625,1529331.5,466.5293273925781,WhiteBloodCellCount_Avg,513,513,all,CommonBloodTest
6.0,42542852.0,29700.779296875,7090475.5,4950.1298828125,WhiteBloodCellCount_Max,513,513,all,CommonBloodTest
4.0,4593330.0,816.7907104492188,1148332.5,204.1976776123047,WhiteBloodCellCount_Min,513,513,all,CommonBloodTest
27.0,112154048.0,29637.330078125,4153853.75,1097.6788330078125,MeanCorpuscularHemoglobin_Avg,513,513,all,CommonBloodTest
24.0,154901696.0,30067.525390625,6454237.5,1252.8135986328125,MeanCorpuscularHemoglobin_Max,513,513,all,CommonBloodTest
16.0,106552904.0,10805.8193359375,6659556.5,675.3637084960938,MeanCorpuscularHemoglobin_Min,513,513,all,CommonBloodTest
25.0,35352576.0,34063.96875,1414103.0,1362.5587158203125,MeanCorpuscularVolume_Avg,513,513,all,CommonBloodTest
30.0,89558720.0,11990.9755859375,2985290.75,399.6991882324219,MeanCorpuscularVolume_Max,513,513,all,CommonBloodTest
8.0,39527248.0,11667.9091796875,4940906.0,1458.4886474609375,MeanCorpuscularVolume_Min,513,513,all,CommonBloodTest
17.0,48220216.0,32078.458984375,2836483.25,1886.9681396484373,RedBloodCellCount_Avg,513,513,all,CommonBloodTest
9.0,13774986.0,15703.095703125,1530554.0,1744.7884521484375,RedBloodCellCount_Max,513,513,all,CommonBloodTest
10.0,15810066.0,14525.33203125,1581006.625,1452.533203125,RedBloodCellCount_Min,513,513,all,CommonBloodTest
14.0,29355580.0,2870.837646484375,2096827.125,205.0598297119141,Hemoglobin_Avg,513,513,all,CommonBloodTest
7.0,50021672.0,1183.9560546875,7145953.0,169.13658142089844,Hemoglobin_Max,513,513,all,CommonBloodTest
11.0,56102400.0,22911.69140625,5100218.0,2082.881103515625,Hemoglobin_Min,513,513,all,CommonBloodTest
3.0,10720900.0,5040.75048828125,3573633.25,1680.2501220703125,EosinophilsPercentage_Avg,513,513,all,CommonBloodTest
2.0,7377324.5,4625.73779296875,3688662.25,2312.868896484375,EosinophilsPercentage_Max,513,513,all,CommonBloodTest
16.0,89888840.0,10604.3916015625,5618052.5,662.7744750976562,EosinophilsPercentage_Min,513,513,all,CommonBloodTest
3.0,5968294.5,3201.99560546875,1989431.5,1067.3319091796875,BasophilsPercentage_Avg,513,513,all,CommonBloodTest
4.0,4498707.0,4734.64892578125,1124676.75,1183.6622314453125,BasophilsPercentage_Max,513,513,all,CommonBloodTest
3.0,3055654.25,356.0762023925781,1018551.4375,118.69207000732422,BasophilsPercentage_Min,513,513,all,CommonBloodTest
3.0,14347093.0,5712.62744140625,4782364.5,1904.2091064453125,AbsoluteNeutrophilCount_Avg,513,513,all,CommonBloodTest
3.0,27798106.0,2615.74267578125,9266035.0,871.9142456054688,AbsoluteNeutrophilCount_Max,513,513,all,CommonBloodTest
3.0,13308128.0,3892.596435546875,4436042.5,1297.5321044921875,AbsoluteNeutrophilCount_Min,513,513,all,CommonBloodTest
9.0,36901420.0,6186.28759765625,4100157.75,687.3652954101562,AbsoluteMonocyteCount_Avg,513,513,all,CommonBloodTest
10.0,19123388.0,27586.55078125,1912338.75,2758.655029296875,AbsoluteMonocyteCount_Min,513,513,all,CommonBloodTest
8.0,23188322.0,16872.189453125,2898540.25,2109.023681640625,AbsoluteEosinophilCount_Avg,513,513,all,CommonBloodTest
4.0,16753133.0,5401.162109375,4188283.25,1350.29052734375,AbsoluteEosinophilCount_Max,513,513,all,CommonBloodTest
5.0,6883278.5,6004.37744140625,1376655.75,1200.87548828125,AbsoluteEosinophilCount_Min,513,513,all,CommonBloodTest
6.0,25187016.0,11176.8134765625,4197836.0,1862.80224609375,AbsoluteBasophilCount_Avg,513,513,all,CommonBloodTest
1.0,743126.6875,5023.390625,743126.6875,5023.390625,AbsoluteBasophilCount_Max,513,513,all,CommonBloodTest
3.0,51669336.0,5274.6728515625,17223112.0,1758.2242431640625,AbsoluteBasophilCount_Min,513,513,all,CommonBloodTest
10.0,19249636.0,5631.17919921875,1924963.625,563.117919921875,AbsoluteLymphocyteCount_Avg,513,513,all,CommonBloodTest
15.0,53583148.0,35026.60546875,3572209.75,2335.10693359375,AbsoluteLymphocyteCount_Max,513,513,all,CommonBloodTest
37.0,144657696.0,133317.609375,3909667.5,3603.1787109375,AbsoluteLymphocyteCount_Min,513,513,all,CommonBloodTest
34.0,109183120.0,18623.544921875,3211268.25,547.7513427734375,MeanPlateletVolume_Avg,513,513,all,CommonBloodTest
25.0,133424488.0,16156.7333984375,5336979.5,646.2693481445312,MeanPlateletVolume_Max,513,513,all,CommonBloodTest
23.0,124966240.0,18667.77734375,5433315.0,811.6425170898438,MeanPlateletVolume_Min,513,513,all,CommonBloodTest
29.0,41404616.0,54902.73046875,1427745.375,1893.1976318359373,PlateletDistributionWidth_Avg,513,513,all,CommonBloodTest
13.0,51351992.0,13511.966796875,3950153.25,1039.382080078125,PlateletDistributionWidth_Max,513,513,all,CommonBloodTest
9.0,40922488.0,5210.53564453125,4546943.0,578.9484252929688,PlateletDistributionWidth_Min,513,513,all,CommonBloodTest
