Importance,total_gain,total_cover,gain,cover,Feature,group,param_id,Feature_group
1.0,0.3583488464355469,135.98216247558594,0.3583488464355469,135.98216247558594,Gender,0-2,ZpoUyrIC_1419_1,Clinical
7.0,5.584090232849121,9075.6416015625,0.7977271676063538,1296.520263671875,FirstVisitAge,0-2,ZpoUyrIC_1419_1,Clinical
2.0,1.3379440307617188,1044.841064453125,0.6689720153808594,522.4205322265625,Hematocrit_Avg,0-2,ZpoUyrIC_1419_1,CommonBloodTest
3.0,3.702899932861328,13864.4326171875,1.2343000173568726,4621.4775390625,Hematocrit_Max,0-2,ZpoUyrIC_1419_1,CommonBloodTest
4.0,10.578739166259766,30992.890625,2.6446847915649414,7748.22265625,Hematocrit_Min,0-2,ZpoUyrIC_1419_1,CommonBloodTest
29.0,40.15042495727539,18051.837890625,1.3844974040985107,622.4771728515625,LymphocytesPercentage_Avg,0-2,ZpoUyrIC_1419_1,CommonBloodTest
11.0,19.65510368347168,40034.49609375,1.786827564239502,3639.499755859375,LymphocytesPercentage_Max,0-2,ZpoUyrIC_1419_1,CommonBloodTest
8.0,16.869022369384766,11053.9267578125,2.108627796173096,1381.7408447265625,LymphocytesPercentage_Min,0-2,ZpoUyrIC_1419_1,CommonBloodTest
7.0,14.742265701293944,23575.7109375,2.1060378551483154,3367.958740234375,NeutrophilsPercentage_Avg,0-2,ZpoUyrIC_1419_1,CommonBloodTest
6.0,10.76462459564209,10068.2744140625,1.7941040992736816,1678.0457763671875,NeutrophilsPercentage_Max,0-2,ZpoUyrIC_1419_1,CommonBloodTest
3.0,8.046436309814453,22402.6171875,2.682145357131958,7467.5390625,NeutrophilsPercentage_Min,0-2,ZpoUyrIC_1419_1,CommonBloodTest
1.0,2.4231109619140625,4181.7744140625,2.4231109619140625,4181.7744140625,MonocytesPercentage_Avg,0-2,ZpoUyrIC_1419_1,CommonBloodTest
1.0,1.066166877746582,460.7274475097656,1.066166877746582,460.7274475097656,MonocytesPercentage_Max,0-2,ZpoUyrIC_1419_1,CommonBloodTest
2.0,4.419670104980469,3160.80078125,2.2098350524902344,1580.400390625,MonocytesPercentage_Min,0-2,ZpoUyrIC_1419_1,CommonBloodTest
14.0,24.64816665649414,38900.7890625,1.7605832815170288,2778.627685546875,MeanCorpuscularHemoglobinConcentration_Avg,0-2,ZpoUyrIC_1419_1,CommonBloodTest
