Importance,total_gain,total_cover,gain,cover,Feature,sequence_ids,param_id,group,Feature_group
4.0,155.47769165039062,312173.28125,38.869422912597656,78043.3203125,LymphocytesPercentage_Max,2169,1739,all,CommonBloodTest
3.0,120.46282958984376,237101.421875,40.15427780151367,79033.8046875,NeutrophilsPercentage_Avg,2169,1739,all,CommonBloodTest
1.0,55.8074951171875,86606.2734375,55.8074951171875,86606.2734375,NeutrophilsPercentage_Max,2169,1739,all,CommonBloodTest
2.0,24.10992431640625,110035.6328125,12.054962158203123,55017.81640625,PlateletCount_Avg,2169,1739,all,CommonBloodTest
5.0,147.33236694335938,427352.40625,29.466472625732425,85470.484375,WhiteBloodCellCount_Avg,2169,1739,all,CommonBloodTest
14.0,429.1257019042969,1081449.25,30.651836395263672,77246.375,WhiteBloodCellCount_Max,2169,1739,all,CommonBloodTest
1.0,19.299240112304688,5399.42431640625,19.299240112304688,5399.42431640625,WhiteBloodCellCount_Min,2169,1739,all,CommonBloodTest
1.0,17.27019500732422,51737.26171875,17.27019500732422,51737.26171875,MeanCorpuscularHemoglobin_Avg,2169,1739,all,CommonBloodTest
5.0,125.76246643066406,308352.0,25.15249252319336,61670.3984375,Hemoglobin_Avg,2169,1739,all,CommonBloodTest
21.0,2223.518310546875,2575244.25,105.88182067871094,122630.6796875,EosinophilsPercentage_Avg,2169,1739,all,CommonBloodTest
10.0,597.3143920898438,744770.375,59.73143768310547,74477.0390625,EosinophilsPercentage_Max,2169,1739,all,CommonBloodTest
1.0,34.58880615234375,81912.1796875,34.58880615234375,81912.1796875,EosinophilsPercentage_Min,2169,1739,all,CommonBloodTest
9.0,214.13336181640625,786767.125,23.79259490966797,87418.5703125,BasophilsPercentage_Avg,2169,1739,all,CommonBloodTest
2.0,45.311279296875,190696.03125,22.6556396484375,95348.015625,BasophilsPercentage_Min,2169,1739,all,CommonBloodTest
6.0,336.1479187011719,169155.140625,56.02465438842773,28192.5234375,AbsoluteNeutrophilCount_Avg,2169,1739,all,CommonBloodTest
15.0,748.7440185546875,623748.4375,49.91626739501953,41583.23046875,AbsoluteNeutrophilCount_Max,2169,1739,all,CommonBloodTest
2.0,84.23388671875,48483.9453125,42.116943359375,24241.97265625,AbsoluteNeutrophilCount_Min,2169,1739,all,CommonBloodTest
1.0,25.66465759277344,71849.0078125,25.66465759277344,71849.0078125,AbsoluteMonocyteCount_Avg,2169,1739,all,CommonBloodTest
1.0,7.286140441894531,2384.625,7.286140441894531,2384.625,AbsoluteEosinophilCount_Min,2169,1739,all,CommonBloodTest
3.0,24.90074157714844,7246.564453125,8.300247192382812,2415.521484375,MeanPlateletVolume_Avg,2169,1739,all,CommonBloodTest
1.0,8.11349868774414,2179.775634765625,8.11349868774414,2179.775634765625,MeanPlateletVolume_Min,2169,1739,all,CommonBloodTest
1.0,33.306304931640625,14367.072265625,33.306304931640625,14367.072265625,PlateletDistributionWidth_Min,2169,1739,all,CommonBloodTest
6.0,189.27749633789065,375038.875,31.54624938964844,62506.48046875,CReactiveProtein_Avg,2169,1739,all,Immunity
1.0,13.700439453125,66800.125,13.700439453125,66800.125,CReactiveProtein_Max,2169,1739,all,Immunity
18.0,934.131103515625,1411653.75,51.89617156982422,78425.2109375,CReactiveProtein_Min,2169,1739,all,Immunity
1.0,28.35102844238281,73752.5078125,28.35102844238281,73752.5078125,ThyroidStimulatingHormone_Avg,2169,1739,all,ThyroidFunction
1.0,26.1737060546875,68105.9140625,26.1737060546875,68105.9140625,ThyroidStimulatingHormone_Max,2169,1739,all,ThyroidFunction
4.0,117.70005798339844,230603.25,29.42501449584961,57650.8125,TotalThyroxine_Avg,2169,1739,all,ThyroidFunction
1.0,35.67919921875,45558.9140625,35.67919921875,45558.9140625,SMRNP_Avg,2169,1739,all,Autoantibody
5.0,196.8594970703125,196694.3125,39.37189865112305,39338.86328125,SMRNP_Max,2169,1739,all,Autoantibody
3.0,95.95367431640624,174695.875,31.98455810546875,58231.95703125,AntiSSA_Avg,2169,1739,all,Autoantibody
1.0,16.224090576171875,4582.701171875,16.224090576171875,4582.701171875,Histone_Avg,2169,1739,all,Autoantibody
1.0,47.2938232421875,31316.068359375,47.2938232421875,31316.068359375,Ro52_Avg,2169,1739,all,Autoantibody
4.0,152.39874267578125,17684.650390625,38.09968566894531,4421.16259765625,EggWhite_Avg,2169,1739,all,SpecificIgE
1.0,32.300506591796875,3938.096923828125,32.300506591796875,3938.096923828125,EggWhite_Max,2169,1739,all,SpecificIgE
311.0,1073.114990234375,12118330.0,3.450530529022217,38965.69140625,Gender,490,60,all,Clinical
777.0,6271.46923828125,4210799872.0,8.071389198303223,5419305.0,FirstVisitAge,490,60,all,Clinical
48.0,1082.184326171875,36068668.0,22.545507431030277,751430.5625,CIndU,490,60,all,Clinical
700.0,5433.6552734375,4348790784.0,7.762364864349365,6212558.5,Hematocrit_Avg,490,60,all,CommonBloodTest
518.0,4585.5615234375,3453365504.0,8.852435111999512,6666729.0,Hematocrit_Max,490,60,all,CommonBloodTest
409.0,4598.60107421875,2415935488.0,11.243523597717283,5906932.5,Hematocrit_Min,490,60,all,CommonBloodTest
604.0,6732.0263671875,3662374912.0,11.14573860168457,6063534.5,LymphocytesPercentage_Avg,490,60,all,CommonBloodTest
615.0,9656.861328125,2916094464.0,15.702213287353516,4741617.0,LymphocytesPercentage_Max,490,60,all,CommonBloodTest
397.0,4543.3935546875,2756002304.0,11.444315910339355,6942071.5,LymphocytesPercentage_Min,490,60,all,CommonBloodTest
435.0,7515.78857421875,4123829504.0,17.27767562866211,9480068.0,NeutrophilsPercentage_Avg,490,60,all,CommonBloodTest
386.0,7117.15087890625,4151773952.0,18.438215255737305,10755891.0,NeutrophilsPercentage_Max,490,60,all,CommonBloodTest
277.0,5919.37158203125,1197009024.0,21.369571685791016,4321332.0,NeutrophilsPercentage_Min,490,60,all,CommonBloodTest
263.0,2623.34228515625,2588271616.0,9.974685668945312,9841337.0,MonocytesPercentage_Avg,490,60,all,CommonBloodTest
283.0,3274.581787109375,1390012672.0,11.57096004486084,4911705.5,MonocytesPercentage_Max,490,60,all,CommonBloodTest
174.0,2246.724609375,1402398464.0,12.91221046447754,8059761.5,MonocytesPercentage_Min,490,60,all,CommonBloodTest
295.0,5582.68017578125,996998144.0,18.924339294433597,3379654.75,MeanCorpuscularHemoglobinConcentration_Avg,490,60,all,CommonBloodTest
179.0,3219.730224609375,391287008.0,17.987319946289062,2185961.0,MeanCorpuscularHemoglobinConcentration_Max,490,60,all,CommonBloodTest
205.0,3851.104248046875,396146048.0,18.78587532043457,1932419.75,MeanCorpuscularHemoglobinConcentration_Min,490,60,all,CommonBloodTest
273.0,5115.5595703125,1035667520.0,18.73831367492676,3793654.0,PlateletCount_Avg,490,60,all,CommonBloodTest
280.0,5863.21826171875,896292096.0,20.940065383911133,3201043.25,PlateletCount_Max,490,60,all,CommonBloodTest
289.0,6420.01416015625,679323648.0,22.214582443237305,2350600.75,PlateletCount_Min,490,60,all,CommonBloodTest
311.0,8318.01171875,1098148480.0,26.746017456054688,3531024.0,WhiteBloodCellCount_Avg,490,60,all,CommonBloodTest
225.0,10978.8515625,639508608.0,48.79489517211914,2842260.5,WhiteBloodCellCount_Max,490,60,all,CommonBloodTest
175.0,3760.28125,676414784.0,21.48732185363769,3865227.25,WhiteBloodCellCount_Min,490,60,all,CommonBloodTest
271.0,6845.96923828125,984791168.0,25.26187896728516,3633915.75,MeanCorpuscularHemoglobin_Avg,490,60,all,CommonBloodTest
253.0,7859.26123046875,553744064.0,31.06427383422852,2188711.75,MeanCorpuscularHemoglobin_Max,490,60,all,CommonBloodTest
202.0,6030.4892578125,526298592.0,29.853906631469727,2605438.5,MeanCorpuscularHemoglobin_Min,490,60,all,CommonBloodTest
216.0,5477.87841796875,354751488.0,25.36054801940918,1642368.0,MeanCorpuscularVolume_Avg,490,60,all,CommonBloodTest
169.0,4535.01416015625,603099072.0,26.83440399169922,3568633.5,MeanCorpuscularVolume_Max,490,60,all,CommonBloodTest
173.0,4645.6044921875,398969216.0,26.85320472717285,2306180.5,MeanCorpuscularVolume_Min,490,60,all,CommonBloodTest
146.0,2855.029541015625,1244387840.0,19.55499649047852,8523204.0,RedBloodCellCount_Avg,490,60,all,CommonBloodTest
98.0,2072.9208984375,389068832.0,21.152254104614254,3970090.0,RedBloodCellCount_Max,490,60,all,CommonBloodTest
57.0,1333.94482421875,212024976.0,23.40254020690918,3719736.5,RedBloodCellCount_Min,490,60,all,CommonBloodTest
176.0,4539.55029296875,499551200.0,25.79290008544922,2838359.0,Hemoglobin_Avg,490,60,all,CommonBloodTest
162.0,4578.49951171875,261021776.0,28.26234245300293,1611245.5,Hemoglobin_Max,490,60,all,CommonBloodTest
121.0,2954.81396484375,437159424.0,24.41995048522949,3612887.75,Hemoglobin_Min,490,60,all,CommonBloodTest
292.0,11905.59765625,1647763072.0,40.7725944519043,5643024.0,EosinophilsPercentage_Avg,490,60,all,CommonBloodTest
159.0,7067.12841796875,538977856.0,44.44734954833984,3389797.75,EosinophilsPercentage_Max,490,60,all,CommonBloodTest
179.0,7629.10546875,963962176.0,42.62070083618164,5385263.5,EosinophilsPercentage_Min,490,60,all,CommonBloodTest
180.0,5608.85107421875,167438736.0,31.1602840423584,930215.1875,BasophilsPercentage_Avg,490,60,all,CommonBloodTest
