Importance,total_gain,total_cover,gain,cover,Feature,sequence_ids,param_id,group,Feature_group
917.0,1227285504.0,177405.125,1338370.25,193.46250915527344,FirstVisitAge,1121,1121,all,Clinical
164.0,100656424.0,8309.078125,613758.6875,50.66511154174805,Gender,1121,1121,all,Clinical
702.0,839941184.0,63077.74609375,1196497.375,89.85433959960938,Hematocrit_Avg,1121,1121,all,CommonBloodTest
680.0,1067192192.0,72078.625,1569400.25,105.99797821044922,LymphocytesPercentage_Avg,1121,1121,all,CommonBloodTest
462.0,713679552.0,63773.14453125,1544760.875,138.037109375,MeanCorpuscularHemoglobinConcentration_Avg,1121,1121,all,CommonBloodTest
424.0,651863168.0,52475.80859375,1537413.125,123.76370239257812,MonocytesPercentage_Avg,1121,1121,all,CommonBloodTest
604.0,1015384320.0,98286.0078125,1681099.875,162.7251739501953,MeanPlateletVolume_Avg,1121,1121,all,CommonBloodTest
349.0,1441798144.0,271195.03125,4131226.75,777.0631103515625,TotalThyroxine_Avg,1121,1121,all,ThyroidFunction
450.0,817223488.0,106231.2421875,1816052.25,236.0694274902344,MeanCorpuscularHemoglobin_Avg,1121,1121,all,CommonBloodTest
254.0,677057984.0,93597.1171875,2665582.5,368.4925842285156,ThyroidStimulatingHormone_Avg,1121,1121,all,ThyroidFunction
336.0,610644544.0,44652.734375,1817394.5,132.89505004882812,ImmunoglobulinE_Avg,1121,1121,all,Immunity
395.0,870923456.0,71149.1484375,2204869.5,180.12442016601562,RedCellDistributionWidthCV_Avg,1121,1121,all,CommonBloodTest
79.0,414146816.0,75066.765625,5242365.0,950.2122192382812,EggWhite_Avg,1121,1121,all,SpecificIgE
66.0,402152800.0,69464.515625,6093224.0,1052.49267578125,DogDander_Avg,1121,1121,all,SpecificIgE
207.0,455149344.0,41118.4453125,2198789.0,198.63983154296875,Hematocrit_Max,1121,1121,all,CommonBloodTest
420.0,1138138112.0,167027.015625,2709852.75,397.6833801269531,LymphocytesPercentage_Max,1121,1121,all,CommonBloodTest
180.0,471271424.0,63913.53515625,2618174.5,355.0751953125,Hematocrit_Min,1121,1121,all,CommonBloodTest
378.0,913576768.0,119828.1328125,2416869.75,317.0056457519531,MeanCorpuscularVolume_Max,1121,1121,all,CommonBloodTest
237.0,359349216.0,53556.765625,1516241.375,225.97792053222656,MonocytesPercentage_Max,1121,1121,all,CommonBloodTest
309.0,1013152960.0,83878.1796875,3278812.25,271.4504089355469,MeanPlateletVolume_Min,1121,1121,all,CommonBloodTest
245.0,740568000.0,78693.9609375,3022726.5,321.1998291015625,MeanCorpuscularHemoglobinConcentration_Min,1121,1121,all,CommonBloodTest
203.0,599439232.0,67584.5,2952902.5,332.9285583496094,MeanCorpuscularVolume_Avg,1121,1121,all,CommonBloodTest
193.0,430095040.0,58541.01171875,2228471.75,303.3212890625,LymphocytesPercentage_Min,1121,1121,all,CommonBloodTest
401.0,915537408.0,75032.515625,2283135.75,187.11351013183597,PlateletCount_Avg,1121,1121,all,CommonBloodTest
229.0,745226368.0,80573.46875,3254263.5,351.8492126464844,MeanPlateletVolume_Max,1121,1121,all,CommonBloodTest
161.0,497638880.0,84691.5859375,3090924.75,526.03466796875,RyeGrass_Avg,1121,1121,all,SpecificIgE
75.0,256030432.0,52582.53125,3413739.0,701.1004028320312,ProthrombinTime_Avg,1121,1121,all,BloodCoagulation
142.0,547324544.0,76530.125,3854398.25,538.9445190429688,Total25HydroxyVitaminD_Avg,1121,1121,all,Immunity
141.0,310145728.0,28235.41796875,2199615.0,200.25119018554688,RedBloodCellCount_Avg,1121,1121,all,CommonBloodTest
193.0,471462016.0,56605.32421875,2442808.25,293.2918395996094,PlateletDistributionWidth_Avg,1121,1121,all,CommonBloodTest
254.0,957105408.0,144358.8125,3768131.5,568.341796875,Hemoglobin_Avg,1121,1121,all,CommonBloodTest
159.0,479366048.0,49633.35546875,3014880.75,312.1594543457031,AbsoluteLymphocyteCount_Avg,1121,1121,all,CommonBloodTest
229.0,627985536.0,54440.25,2742295.0,237.7303466796875,EosinophilCountAbsolute_Avg,1121,1121,all,CommonBloodTest
109.0,354046112.0,48530.77734375,3248129.5,445.2364807128906,PartialThromboplastinTime_Avg,1121,1121,all,BloodCoagulation
117.0,437244512.0,36633.8828125,3737132.5,313.110107421875,TotalTriiodothyronine_Avg,1121,1121,all,ThyroidFunction
133.0,561004672.0,73062.4296875,4218080.0,549.341552734375,AbsoluteLymphocyteCount_Min,1121,1121,all,CommonBloodTest
76.0,309121600.0,58940.3828125,4067389.5,775.5313720703125,TotalTriiodothyronine_Min,1121,1121,all,ThyroidFunction
208.0,652522368.0,77462.296875,3137126.75,372.4148864746094,NeutrophilsPercentage_Avg,1121,1121,all,CommonBloodTest
80.0,235581376.0,84446.0625,2944767.25,1055.5758056640625,CIndU,1121,1121,all,Clinical
53.0,339611040.0,30203.79296875,6407755.5,569.8828735351562,Cockroach_Avg,1121,1121,all,SpecificIgE
145.0,514066112.0,106775.0234375,3545283.5,736.3794555664062,RedCellDistributionWidth_Avg,1121,1121,all,CommonBloodTest
271.0,710322560.0,72077.96875,2621116.5,265.9703674316406,PlateletCount_Max,1121,1121,all,CommonBloodTest
189.0,764266432.0,164571.265625,4043737.75,870.7474365234375,MeanCorpuscularHemoglobin_Min,1121,1121,all,CommonBloodTest
344.0,1836485504.0,417284.625,5338620.5,1213.0367431640625,EosinophilsPercentage_Min,1121,1121,all,CommonBloodTest
191.0,494177088.0,80384.6953125,2587314.5,420.8622741699219,RedCellDistributionWidthCV_Max,1121,1121,all,CommonBloodTest
197.0,714078144.0,73897.0546875,3624762.25,375.1119384765625,NeutrophilsPercentage_Min,1121,1121,all,CommonBloodTest
75.0,241905280.0,41175.88671875,3225403.75,549.0118408203125,AntiScl70_Avg,1121,1121,all,Autoantibody
113.0,260104032.0,20942.744140625,2301805.5,185.33401489257807,MonocytesPercentage_Min,1121,1121,all,CommonBloodTest
147.0,754182272.0,84067.9453125,5130491.5,571.8908081054688,MeanCorpuscularHemoglobin_Max,1121,1121,all,CommonBloodTest
161.0,378115392.0,49240.31640625,2348542.75,305.8404846191406,MeanCorpuscularHemoglobinConcentration_Max,1121,1121,all,CommonBloodTest
146.0,524678016.0,31458.212890625,3593685.0,215.4672088623047,FreeThyroxine_Avg,1121,1121,all,ThyroidFunction
155.0,671000128.0,85708.6640625,4329033.0,552.9591064453125,EosinophilCountAbsolute_Max,1121,1121,all,CommonBloodTest
28.0,77813840.0,11609.9521484375,2779065.75,414.6411437988281,Milk_Avg,1121,1121,all,SpecificIgE
96.0,253451888.0,26980.248046875,2640123.75,281.04425048828125,RedCellDistributionWidthCV_Min,1121,1121,all,CommonBloodTest
65.0,112166912.0,28018.53125,1725644.75,431.0543212890625,AntiSM_Avg,1121,1121,all,Autoantibody
79.0,242229552.0,41536.58203125,3066196.75,525.779541015625,CentromereProteinB_Avg,1121,1121,all,Autoantibody
75.0,395873152.0,71527.234375,5278308.5,953.6964721679688,FreeTriiodothyronine_Avg,1121,1121,all,ThyroidFunction
172.0,514086400.0,88429.421875,2988874.5,514.1245727539062,NeutrophilsPercentage_Max,1121,1121,all,CommonBloodTest
78.0,259890464.0,27359.04296875,3331929.0,350.7569580078125,Histone_Avg,1121,1121,all,Autoantibody
73.0,178051184.0,16786.2890625,2439057.25,229.94915771484372,AntiDoubleStrandedDNA_Avg,1121,1121,all,Autoantibody
156.0,457406624.0,68928.3984375,2932093.75,441.84869384765625,MeanCorpuscularVolume_Min,1121,1121,all,CommonBloodTest
101.0,350628864.0,43333.1015625,3471573.0,429.0406188964844,Hemoglobin_Min,1121,1121,all,CommonBloodTest
12.0,21327876.0,1028.92822265625,1777323.0,85.7440185546875,UrineSpecificGravity_Avg,1121,1121,all,UrineTest
132.0,356340000.0,36796.13671875,2699545.5,278.75860595703125,AbsoluteEosinophilCount_Min,1121,1121,all,CommonBloodTest
60.0,180909744.0,7713.30810546875,3015162.5,128.5551300048828,ReverseTriiodothyronine_Avg,1121,1121,all,ThyroidFunction
122.0,367603200.0,29681.9375,3013141.0,243.2945709228516,AbsoluteMonocyteCount_Min,1121,1121,all,CommonBloodTest
76.0,150190544.0,18224.3203125,1976191.375,239.79368591308597,Nucleosome_Avg,1121,1121,all,Autoantibody
62.0,125945624.0,14214.322265625,2031381.0,229.2632598876953,AntiSSA_Avg,1121,1121,all,Autoantibody
219.0,645677248.0,73776.3984375,2948298.0,336.8785400390625,PlateletCount_Min,1121,1121,all,CommonBloodTest
132.0,564067712.0,77331.1484375,4273240.0,585.842041015625,AbsoluteLymphocyteCount_Max,1121,1121,all,CommonBloodTest
195.0,543617728.0,156004.875,2787783.25,800.0250244140625,BasophilsPercentage_Min,1121,1121,all,CommonBloodTest
133.0,366230752.0,42467.21875,2753614.75,319.3023986816406,Plateletcrit_Min,1121,1121,all,CommonBloodTest
41.0,94257752.0,16295.4169921875,2298969.5,397.4491882324219,CatDander_Avg,1121,1121,all,SpecificIgE
168.0,457036768.0,49298.64453125,2720457.0,293.4443054199219,PlateletDistributionWidth_Max,1121,1121,all,CommonBloodTest
213.0,505195136.0,71417.15625,2371808.25,335.29180908203125,CReactiveProtein_Max,1121,1121,all,Immunity
122.0,691910912.0,157428.53125,5671401.0,1290.3978271484375,TotalThyroxine_Min,1121,1121,all,ThyroidFunction
63.0,344372576.0,49372.61328125,5466231.5,783.6922607421875,Ragweed_Avg,1121,1121,all,SpecificIgE
31.0,66623136.0,8464.068359375,2149133.5,273.0344543457031,RibosomalPProtein_Avg,1121,1121,all,Autoantibody
48.0,127451200.0,15159.267578125,2655233.25,315.8180847167969,ProliferatingCellNuclearAntigen_Avg,1121,1121,all,Autoantibody
222.0,825615104.0,105712.8828125,3718987.0,476.1841430664063,EosinophilsPercentage_Max,1121,1121,all,CommonBloodTest
251.0,2369427456.0,408971.09375,9439950.0,1629.366943359375,EosinophilsPercentage_Avg,1121,1121,all,CommonBloodTest
190.0,441604608.0,61488.23046875,2324234.75,323.62225341796875,WhiteBloodCellCount_Min,1121,1121,all,CommonBloodTest
