Importance,total_gain,total_cover,gain,cover,Feature,group,param_id,sequence_ids,Feature_group
5.0,1.2823119163513184,1184.911865234375,0.2564623951911926,236.9823760986328,Hematocrit_Avg,0-2,0T2GXABC_1063_1,0,CommonBloodTest
13.0,22.300556182861328,8974.1298828125,1.7154273986816406,690.3176879882812,LymphocytesPercentage_Avg,0-2,0T2GXABC_1063_1,0,CommonBloodTest
64.0,174.4922332763672,53900.0,2.7264411449432373,842.1875,FirstVisitAge_div_NeutrophilsPercentage_Max,0-2,0T2GXABC_1063_1,0,DerivativeVariables
57.0,98.67700958251952,47605.6640625,1.731175661087036,835.1870727539062,EosinophilsPercentage_Avg_div_WhiteBloodCellCount_Max,0-2,0T2GXABC_1063_1,0,DerivativeVariables
23.0,120.7957992553711,19500.79296875,5.251991271972656,847.8605346679688,EosinophilsPercentage_Avg_div_CReactiveProtein_Min,0-2,0T2GXABC_1063_1,0,DerivativeVariables
15.0,5.582345962524414,2869.598388671875,0.372156411409378,191.3065643310547,MeanCorpuscularHemoglobinConcentration_Avg,0-2,0T2GXABC_1063_1,0,CommonBloodTest
1.0,0.3847866058349609,183.83151245117188,0.3847866058349609,183.83151245117188,MeanCorpuscularHemoglobin_Avg,0-2,0T2GXABC_1063_1,0,CommonBloodTest
53.0,86.37128448486328,15474.869140625,1.629646897315979,291.9786682128906,EosinophilsPercentage_Avg_div_LymphocytesPercentage_Max,0-2,0T2GXABC_1063_1,0,DerivativeVariables
78.0,459.3577880859375,49153.3125,5.88920259475708,630.170654296875,BasophilsPercentage_Avg_div_LymphocytesPercentage_Max,0-2,0T2GXABC_1063_1,0,DerivativeVariables
2.0,6.831263542175293,3905.36279296875,3.4156317710876465,1952.681396484375,WhiteBloodCellCount_Max_div_EosinophilsPercentage_Max,0-2,0T2GXABC_1063_1,0,DerivativeVariables
1.0,1.3922080993652344,268.6991271972656,1.3922080993652344,268.6991271972656,EosinophilsPercentage_Avg_div_FirstVisitAge,0-2,0T2GXABC_1063_1,0,DerivativeVariables
59.0,927.6930541992188,371085.34375,15.723610877990724,6289.58203125,AbsoluteNeutrophilCount_Max_div_MeanCorpuscularHemoglobin_Max,0-2,0T2GXABC_1063_1,0,DerivativeVariables
32.0,22.99544906616211,5967.38623046875,0.7186077833175659,186.48081970214844,FirstVisitAge_div_BasophilsPercentage_Avg,0-2,0T2GXABC_1063_1,0,DerivativeVariables
3.0,4.096606254577637,767.397705078125,1.3655353784561155,255.7992401123047,LymphocytesPercentage_Max,0-2,0T2GXABC_1063_1,0,CommonBloodTest
83.0,347.1369934082031,55752.59375,4.182373523712158,671.718017578125,AbsoluteNeutrophilCount_Max_div_NeutrophilsPercentage_Max,0-2,0T2GXABC_1063_1,0,DerivativeVariables
32.0,97.00904846191406,15859.1650390625,3.0315327644348145,495.5989074707031,WhiteBloodCellCount_Max_div_BasophilsPercentage_Avg,0-2,0T2GXABC_1063_1,0,DerivativeVariables
54.0,961.1763916015624,362444.375,17.799562454223633,6711.93310546875,MeanCorpuscularVolume_Max,0-2,0T2GXABC_1063_1,0,CommonBloodTest
