Importance,total_gain,total_cover,gain,cover,Feature,group,param_id,sequence_ids,Feature_group
148.0,10259630.0,1907.0126953125,69321.828125,12.885220527648926,Gender,0-2,3eQbjfcG_1782_1,0,Clinical
20.0,348114.65625,326.080810546875,17405.732421875,16.304040908813477,FirstVisitAge,0-2,3eQbjfcG_1782_1,0,Clinical
2.0,76345.890625,102.01764678955078,38172.9453125,51.00882339477539,CIndU,0-2,3eQbjfcG_1782_1,0,Clinical
29.0,1754367.875,977.9995727539062,60495.4453125,33.724124908447266,Hematocrit_Avg,0-2,3eQbjfcG_1782_1,0,CommonBloodTest
15.0,3146523.25,370.418212890625,209768.21875,24.69454765319824,Hematocrit_Max,0-2,3eQbjfcG_1782_1,0,CommonBloodTest
8.0,2252226.0,784.994140625,281528.25,98.124267578125,Hematocrit_Min,0-2,3eQbjfcG_1782_1,0,CommonBloodTest
6.0,175125.53125,140.39109802246094,29187.587890625,23.398515701293945,LymphocytesPercentage_Avg,0-2,3eQbjfcG_1782_1,0,CommonBloodTest
1.0,246.0556640625,18.29027557373047,246.0556640625,18.29027557373047,LymphocytesPercentage_Max,0-2,3eQbjfcG_1782_1,0,CommonBloodTest
13.0,6584226.0,563.5037841796875,506478.9375,43.34644317626953,LymphocytesPercentage_Min,0-2,3eQbjfcG_1782_1,0,CommonBloodTest
10.0,530526.9375,500.4689331054688,53052.6953125,50.04689407348633,NeutrophilsPercentage_Avg,0-2,3eQbjfcG_1782_1,0,CommonBloodTest
5.0,210398.40625,368.519775390625,42079.6796875,73.7039566040039,NeutrophilsPercentage_Max,0-2,3eQbjfcG_1782_1,0,CommonBloodTest
10.0,2891828.5,1286.9556884765625,289182.84375,128.69557189941406,NeutrophilsPercentage_Min,0-2,3eQbjfcG_1782_1,0,CommonBloodTest
9.0,1798574.0,1059.828857421875,199841.5625,117.75875854492188,MonocytesPercentage_Avg,0-2,3eQbjfcG_1782_1,0,CommonBloodTest
1.0,222278.40625,205.8321533203125,222278.40625,205.8321533203125,MonocytesPercentage_Max,0-2,3eQbjfcG_1782_1,0,CommonBloodTest
14.0,16897490.0,2807.218017578125,1206963.625,200.5155792236328,MeanCorpuscularHemoglobinConcentration_Avg,0-2,3eQbjfcG_1782_1,0,CommonBloodTest
10.0,6461348.0,1214.47119140625,646134.8125,121.4471206665039,MeanCorpuscularHemoglobinConcentration_Max,0-2,3eQbjfcG_1782_1,0,CommonBloodTest
11.0,10227357.0,2802.083740234375,929759.75,254.73487854003903,MeanCorpuscularHemoglobinConcentration_Min,0-2,3eQbjfcG_1782_1,0,CommonBloodTest
4.0,269819.53125,190.42364501953125,67454.8828125,47.60591125488281,PlateletCount_Avg,0-2,3eQbjfcG_1782_1,0,CommonBloodTest
2.0,135615.921875,65.44935607910156,67807.9609375,32.72467803955078,PlateletCount_Max,0-2,3eQbjfcG_1782_1,0,CommonBloodTest
6.0,1637726.5,669.141357421875,272954.40625,111.5235595703125,PlateletCount_Min,0-2,3eQbjfcG_1782_1,0,CommonBloodTest
5.0,441904.4375,370.47998046875,88380.890625,74.09599304199219,WhiteBloodCellCount_Avg,0-2,3eQbjfcG_1782_1,0,CommonBloodTest
2.0,491708.5,129.57154846191406,245854.25,64.78577423095703,WhiteBloodCellCount_Max,0-2,3eQbjfcG_1782_1,0,CommonBloodTest
3.0,203891.203125,958.5590209960938,67963.734375,319.5196838378906,WhiteBloodCellCount_Min,0-2,3eQbjfcG_1782_1,0,CommonBloodTest
26.0,63989060.0,3545.261474609375,2461117.75,136.35621643066406,MeanCorpuscularHemoglobin_Avg,0-2,3eQbjfcG_1782_1,0,CommonBloodTest
12.0,10641170.0,1658.2625732421875,886764.1875,138.1885528564453,MeanCorpuscularHemoglobin_Max,0-2,3eQbjfcG_1782_1,0,CommonBloodTest
4.0,691112.3125,474.4526977539063,172778.078125,118.61317443847656,MeanCorpuscularHemoglobin_Min,0-2,3eQbjfcG_1782_1,0,CommonBloodTest
15.0,2364364.5,981.1299438476562,157624.296875,65.40866088867188,MeanCorpuscularVolume_Avg,0-2,3eQbjfcG_1782_1,0,CommonBloodTest
23.0,60082356.0,10181.265625,2612276.25,442.6637268066406,MeanCorpuscularVolume_Max,0-2,3eQbjfcG_1782_1,0,CommonBloodTest
5.0,260239.34375,800.6596069335938,52047.8671875,160.13192749023438,MeanCorpuscularVolume_Min,0-2,3eQbjfcG_1782_1,0,CommonBloodTest
45.0,67468528.0,16689.51953125,1499300.625,370.8782043457031,RedBloodCellCount_Avg,0-2,3eQbjfcG_1782_1,0,CommonBloodTest
4.0,10185863.0,1799.851806640625,2546465.75,449.96295166015625,RedBloodCellCount_Max,0-2,3eQbjfcG_1782_1,0,CommonBloodTest
16.0,44338412.0,3538.7978515625,2771150.75,221.17486572265625,Hemoglobin_Avg,0-2,3eQbjfcG_1782_1,0,CommonBloodTest
14.0,23716154.0,3873.66845703125,1694011.0,276.69061279296875,Hemoglobin_Min,0-2,3eQbjfcG_1782_1,0,CommonBloodTest
3.0,134455.96875,122.7106475830078,44818.65625,40.90354919433594,EosinophilsPercentage_Avg,0-2,3eQbjfcG_1782_1,0,CommonBloodTest
6.0,8858214.0,658.218994140625,1476369.0,109.70316314697266,EosinophilsPercentage_Min,0-2,3eQbjfcG_1782_1,0,CommonBloodTest
2.0,92380.6640625,156.06556701660156,46190.33203125,78.03278350830078,BasophilsPercentage_Avg,0-2,3eQbjfcG_1782_1,0,CommonBloodTest
1.0,55603.7890625,49.83631896972656,55603.7890625,49.83631896972656,BasophilsPercentage_Max,0-2,3eQbjfcG_1782_1,0,CommonBloodTest
22.0,25746532.0,2658.765625,1170296.875,120.8529815673828,BasophilsPercentage_Min,0-2,3eQbjfcG_1782_1,0,CommonBloodTest
1.0,9473.3369140625,399.5115356445313,9473.3369140625,399.5115356445313,AbsoluteNeutrophilCount_Min,0-2,3eQbjfcG_1782_1,0,CommonBloodTest
1.0,95106.8046875,120.52682495117188,95106.8046875,120.52682495117188,AbsoluteMonocyteCount_Avg,0-2,3eQbjfcG_1782_1,0,CommonBloodTest
1.0,55784.734375,120.52682495117188,55784.734375,120.52682495117188,AbsoluteMonocyteCount_Max,0-2,3eQbjfcG_1782_1,0,CommonBloodTest
9.0,279029.125,3657.895263671875,31003.236328125,406.4328002929688,AbsoluteMonocyteCount_Min,0-2,3eQbjfcG_1782_1,0,CommonBloodTest
7.0,502648.6875,1258.342529296875,71806.953125,179.76321411132812,AbsoluteEosinophilCount_Avg,0-2,3eQbjfcG_1782_1,0,CommonBloodTest
1.0,26207.890625,60.802616119384766,26207.890625,60.802616119384766,AbsoluteEosinophilCount_Max,0-2,3eQbjfcG_1782_1,0,CommonBloodTest
9.0,52023728.0,1644.72705078125,5780414.0,182.74745178222656,AbsoluteEosinophilCount_Min,0-2,3eQbjfcG_1782_1,0,CommonBloodTest
1.0,25877.625,171.31900024414062,25877.625,171.31900024414062,AbsoluteBasophilCount_Avg,0-2,3eQbjfcG_1782_1,0,CommonBloodTest
2.0,1696.5,77.0484619140625,848.25,38.52423095703125,AbsoluteBasophilCount_Min,0-2,3eQbjfcG_1782_1,0,CommonBloodTest
21.0,8635368.0,1710.8438720703125,411208.0,81.46875762939453,AbsoluteLymphocyteCount_Avg,0-2,3eQbjfcG_1782_1,0,CommonBloodTest
6.0,1023708.375,716.8516235351562,170618.0625,119.47527313232422,AbsoluteLymphocyteCount_Max,0-2,3eQbjfcG_1782_1,0,CommonBloodTest
3.0,325218.6875,344.08648681640625,108406.2265625,114.69549560546876,AbsoluteLymphocyteCount_Min,0-2,3eQbjfcG_1782_1,0,CommonBloodTest
25.0,8863873.0,6797.29638671875,354554.90625,271.891845703125,MeanPlateletVolume_Avg,0-2,3eQbjfcG_1782_1,0,CommonBloodTest
10.0,2459239.5,2418.133056640625,245923.953125,241.8133087158203,MeanPlateletVolume_Max,0-2,3eQbjfcG_1782_1,0,CommonBloodTest
3.0,353134.25,780.7607421875,117711.4140625,260.2535705566406,MeanPlateletVolume_Min,0-2,3eQbjfcG_1782_1,0,CommonBloodTest
10.0,1392255.625,2654.176513671875,139225.5625,265.41766357421875,PlateletDistributionWidth_Avg,0-2,3eQbjfcG_1782_1,0,CommonBloodTest
7.0,416907.09375,1772.0008544921875,59558.15625,253.1429748535156,PlateletDistributionWidth_Max,0-2,3eQbjfcG_1782_1,0,CommonBloodTest
8.0,357042.65625,1178.578857421875,44630.33203125,147.32235717773438,PlateletDistributionWidth_Min,0-2,3eQbjfcG_1782_1,0,CommonBloodTest
1.0,2396.1513671875,22.090137481689453,2396.1513671875,22.090137481689453,Plateletcrit_Avg,0-2,3eQbjfcG_1782_1,0,CommonBloodTest
1.0,74266.9375,99.76013946533205,74266.9375,99.76013946533205,Plateletcrit_Max,0-2,3eQbjfcG_1782_1,0,CommonBloodTest
3.0,1282373.0,186.01397705078125,427457.65625,62.00465774536133,Plateletcrit_Min,0-2,3eQbjfcG_1782_1,0,CommonBloodTest
8.0,4196034.5,1196.0885009765625,524504.3125,149.5110626220703,RedCellDistributionWidth_Avg,0-2,3eQbjfcG_1782_1,0,CommonBloodTest
6.0,372584.1875,2350.1962890625,62097.36328125,391.6993713378906,RedCellDistributionWidth_Max,0-2,3eQbjfcG_1782_1,0,CommonBloodTest
3.0,3005572.25,489.4071044921875,1001857.4375,163.1356964111328,RedCellDistributionWidth_Min,0-2,3eQbjfcG_1782_1,0,CommonBloodTest
13.0,3157309.5,1946.334716796875,242869.96875,149.71804809570312,RedCellDistributionWidthCV_Avg,0-2,3eQbjfcG_1782_1,0,CommonBloodTest
5.0,87058.90625,2374.84619140625,17411.78125,474.96923828125,RedCellDistributionWidthCV_Max,0-2,3eQbjfcG_1782_1,0,CommonBloodTest
13.0,2119717.75,2083.876220703125,163055.21875,160.2981719970703,RedCellDistributionWidthCV_Min,0-2,3eQbjfcG_1782_1,0,CommonBloodTest
14.0,11143239.0,1683.8070068359375,795945.625,120.2719268798828,EosinophilCountAbsolute_Avg,0-2,3eQbjfcG_1782_1,0,CommonBloodTest
11.0,1410567.875,3373.995361328125,128233.4453125,306.7268371582031,EosinophilCountAbsolute_Min,0-2,3eQbjfcG_1782_1,0,CommonBloodTest
4.0,1066581.25,257.9281616210937,266645.3125,64.48204040527344,CReactiveProtein_Max,0-2,3eQbjfcG_1782_1,0,Immunity
25.0,3328806.5,4341.255859375,133152.265625,173.65023803710938,ImmunoglobulinE_Avg,0-2,3eQbjfcG_1782_1,0,Immunity
1.0,146601.578125,106.82495880126952,146601.578125,106.82495880126952,ImmunoglobulinE_Min,0-2,3eQbjfcG_1782_1,0,Immunity
24.0,6634932.5,7274.01611328125,276455.53125,303.0840148925781,Total25HydroxyVitaminD_Avg,0-2,3eQbjfcG_1782_1,0,Immunity
4.0,1886047.25,1307.186279296875,471511.8125,326.79656982421875,Total25HydroxyVitaminD_Max,0-2,3eQbjfcG_1782_1,0,Immunity
25.0,4251527.0,10622.2197265625,170061.078125,424.8887939453125,TotalTriiodothyronine_Avg,0-2,3eQbjfcG_1782_1,0,ThyroidFunction
2.0,2548023.5,322.1919250488281,1274011.75,161.09596252441406,TotalTriiodothyronine_Max,0-2,3eQbjfcG_1782_1,0,ThyroidFunction
7.0,8591710.0,1431.2210693359375,1227387.125,204.4601593017578,TotalThyroxine_Avg,0-2,3eQbjfcG_1782_1,0,ThyroidFunction
9.0,243187.53125,4198.0908203125,27020.8359375,466.45452880859375,FreeTriiodothyronine_Avg,0-2,3eQbjfcG_1782_1,0,ThyroidFunction
1.0,9149.4609375,483.50970458984375,9149.4609375,483.50970458984375,FreeTriiodothyronine_Max,0-2,3eQbjfcG_1782_1,0,ThyroidFunction
1.0,6990.8291015625,479.1393432617188,6990.8291015625,479.1393432617188,FreeThyroxine_Avg,0-2,3eQbjfcG_1782_1,0,ThyroidFunction
1.0,17534.5859375,57.99856185913086,17534.5859375,57.99856185913086,ReverseTriiodothyronine_Avg,0-2,3eQbjfcG_1782_1,0,ThyroidFunction
1.0,110747.375,35.90656661987305,110747.375,35.90656661987305,SMRNP_Avg,0-2,3eQbjfcG_1782_1,0,Autoantibody
1.0,4535.7138671875,52.18133163452149,4535.7138671875,52.18133163452149,SMRNP_Max,0-2,3eQbjfcG_1782_1,0,Autoantibody
3.0,145988.390625,1267.9171142578125,48662.796875,422.6390380859375,AntiSSA_Avg,0-2,3eQbjfcG_1782_1,0,Autoantibody
1.0,47602.40625,105.6667251586914,47602.40625,105.6667251586914,ProliferatingCellNuclearAntigen_Avg,0-2,3eQbjfcG_1782_1,0,Autoantibody
8.0,130737.59375,3913.455322265625,16342.19921875,489.1819152832031,Milk_Avg,0-2,3eQbjfcG_1782_1,0,SpecificIgE
1.0,20251.044921875,494.9074401855469,20251.044921875,494.9074401855469,Milk_Max,0-2,3eQbjfcG_1782_1,0,SpecificIgE
4.0,12055020.0,619.5562744140625,3013755.0,154.88906860351562,Cockroach_Avg,0-2,3eQbjfcG_1782_1,0,SpecificIgE
22.0,6223104.0,8540.5693359375,282868.375,388.2077026367188,EggWhite_Avg,0-2,3eQbjfcG_1782_1,0,SpecificIgE
2.0,546481.875,756.7054443359375,273240.9375,378.3527221679688,EggWhite_Max,0-2,3eQbjfcG_1782_1,0,SpecificIgE
1.0,387425.5,261.7980041503906,387425.5,261.7980041503906,EggWhite_Min,0-2,3eQbjfcG_1782_1,0,SpecificIgE
1.0,28654.751953125,185.4950408935547,28654.751953125,185.4950408935547,CatDander_Avg,0-2,3eQbjfcG_1782_1,0,SpecificIgE
39.0,129248432.0,10926.2392578125,3314062.25,280.15997314453125,DogDander_Avg,0-2,3eQbjfcG_1782_1,0,SpecificIgE
6.0,18812386.0,1349.3258056640625,3135397.75,224.88763427734372,DogDander_Max,0-2,3eQbjfcG_1782_1,0,SpecificIgE
2.0,1484935.625,388.6383056640625,742467.8125,194.31915283203125,DogDander_Min,0-2,3eQbjfcG_1782_1,0,SpecificIgE
1.0,15806.14453125,103.5956039428711,15806.14453125,103.5956039428711,EosinophilsPercentage_Avg_div_FirstVisitAge,0-2,3eQbjfcG_1782_1,0,DerivativeVariables
3.0,376570.6875,713.8624267578125,125523.5625,237.9541473388672,EosinophilsPercentage_Avg_div_CReactiveProtein_Min,0-2,3eQbjfcG_1782_1,0,DerivativeVariables
6.0,4936063.5,621.7722778320312,822677.25,103.62871551513672,EosinophilsPercentage_Avg_div_AbsoluteNeutrophilCount_Max,0-2,3eQbjfcG_1782_1,0,DerivativeVariables
4.0,3333696.5,999.49560546875,833424.125,249.8739013671875,EosinophilsPercentage_Avg_div_CReactiveProtein_Avg,0-2,3eQbjfcG_1782_1,0,DerivativeVariables
1.0,15490.7578125,49.84244918823242,15490.7578125,49.84244918823242,EosinophilsPercentage_Avg_div_WhiteBloodCellCount_Avg,0-2,3eQbjfcG_1782_1,0,DerivativeVariables
2.0,62363.171875,212.89572143554688,31181.5859375,106.44786071777344,EosinophilsPercentage_Avg_div_EosinophilsPercentage_Max,0-2,3eQbjfcG_1782_1,0,DerivativeVariables
2.0,574056.3125,441.6824340820313,287028.15625,220.8412170410156,EosinophilsPercentage_Avg_div_PlateletCount_Max,0-2,3eQbjfcG_1782_1,0,DerivativeVariables
4.0,87339.2734375,1305.330078125,21834.818359375,326.33251953125,EosinophilsPercentage_Avg_div_BasophilsPercentage_Avg,0-2,3eQbjfcG_1782_1,0,DerivativeVariables
4.0,2575508.5,574.0684814453125,643877.125,143.51712036132812,EosinophilsPercentage_Avg_div_NeutrophilsPercentage_Max,0-2,3eQbjfcG_1782_1,0,DerivativeVariables
2.0,141947.359375,545.3630981445312,70973.6796875,272.6815490722656,EosinophilsPercentage_Avg_div_LymphocytesPercentage_Max,0-2,3eQbjfcG_1782_1,0,DerivativeVariables
14.0,36597432.0,3208.495361328125,2614102.25,229.17823791503903,WhiteBloodCellCount_Max_div_FirstVisitAge,0-2,3eQbjfcG_1782_1,0,DerivativeVariables
7.0,1032900.3125,589.8587036132812,147557.1875,84.2655258178711,WhiteBloodCellCount_Max_div_CReactiveProtein_Min,0-2,3eQbjfcG_1782_1,0,DerivativeVariables
6.0,371258.28125,126.97567749023438,61876.37890625,21.162612915039062,WhiteBloodCellCount_Max_div_AbsoluteNeutrophilCount_Max,0-2,3eQbjfcG_1782_1,0,DerivativeVariables
26.0,1987647.125,520.7366943359375,76447.96875,20.02833366394043,WhiteBloodCellCount_Max_div_CReactiveProtein_Avg,0-2,3eQbjfcG_1782_1,0,DerivativeVariables
12.0,221866.390625,261.9684143066406,18488.865234375,21.83070182800293,WhiteBloodCellCount_Max_div_WhiteBloodCellCount_Avg,0-2,3eQbjfcG_1782_1,0,DerivativeVariables
36.0,5971080.0,932.55078125,165863.328125,25.90418815612793,WhiteBloodCellCount_Max_div_PlateletCount_Avg,0-2,3eQbjfcG_1782_1,0,DerivativeVariables
33.0,8235234.0,1642.5499267578125,249552.546875,49.77423858642578,WhiteBloodCellCount_Max_div_MeanCorpuscularHemoglobin_Max,0-2,3eQbjfcG_1782_1,0,DerivativeVariables
