Importance,total_gain,total_cover,gain,cover,Feature,group,param_id,sequence_ids,Feature_group
24.0,35.2816162109375,7092.458984375,1.4700673818588257,295.5191345214844,BasophilsPercentage_Max_acute,0-2,4jmrxVsX_140_1,0,CommonBloodTest
5.0,4.90228271484375,1329.017822265625,0.980456531047821,265.8035583496094,BasophilsPercentage_Min_acute,0-2,4jmrxVsX_140_1,0,CommonBloodTest
14.0,22.53564453125,3720.727783203125,1.6096888780593872,265.7662658691406,BasophilsPercentage_Avg_acute,0-2,4jmrxVsX_140_1,0,CommonBloodTest
46.0,176.3970947265625,1599.1505126953125,3.83471941947937,34.76414108276367,AbsoluteMonocyteCount_Min_acute,0-2,4jmrxVsX_140_1,0,CommonBloodTest
5.0,4.41461181640625,2143.474365234375,0.882922351360321,428.6948852539063,MeanPlateletVolume_Max_acute,0-2,4jmrxVsX_140_1,0,CommonBloodTest
2.0,1.21783447265625,577.6708984375,0.608917236328125,288.83544921875,PlateletDistributionWidth_Max_acute,0-2,4jmrxVsX_140_1,0,CommonBloodTest
2.0,1.3448486328125,545.80322265625,0.67242431640625,272.901611328125,PlateletDistributionWidth_Min_acute,0-2,4jmrxVsX_140_1,0,CommonBloodTest
41.0,316.6947631835937,9362.2587890625,7.724262714385986,228.3477783203125,RedCellDistributionWidthCV_Max_acute,0-2,4jmrxVsX_140_1,0,CommonBloodTest
27.0,195.50555419921875,6376.0029296875,7.240946292877197,236.14825439453125,RedCellDistributionWidthCV_Min_acute,0-2,4jmrxVsX_140_1,0,CommonBloodTest
18.0,129.10845947265625,4403.3232421875,7.17269229888916,244.6290740966797,RedCellDistributionWidthCV_Avg_acute,0-2,4jmrxVsX_140_1,0,CommonBloodTest
5.0,36.74920654296875,776.276123046875,7.349841117858887,155.25521850585938,CReactiveProtein_Max_acute,0-2,4jmrxVsX_140_1,0,Immunity
26.0,229.68212890625,3332.795166015625,8.833928108215332,128.18443298339844,CReactiveProtein_Min_acute,0-2,4jmrxVsX_140_1,0,Immunity
4.0,41.0074462890625,307.9745788574219,10.251861572265623,76.99364471435547,CReactiveProtein_Avg_acute,0-2,4jmrxVsX_140_1,0,Immunity
