Importance,total_gain,total_cover,gain,cover,Feature,group,param_id,sequence_ids,Feature_group
27.0,52.5806884765625,7387.1689453125,1.94743287563324,273.5988464355469,BasophilsPercentage_Avg_acute,0-2,4jmrxVsX_140_1,0,CommonBloodTest
26.0,229.1348876953125,3977.00830078125,8.812880516052246,152.96185302734375,CReactiveProtein_Max_acute,0-2,4jmrxVsX_140_1,0,Immunity
9.0,10.7703857421875,2904.09228515625,1.1967095136642456,322.6769104003906,BasophilsPercentage_Max_acute,0-2,4jmrxVsX_140_1,0,CommonBloodTest
38.0,185.24234008789065,2697.400390625,4.87479829788208,70.98422241210938,AbsoluteMonocyteCount_Min_acute,0-2,4jmrxVsX_140_1,0,CommonBloodTest
2.0,1.8131103515625,625.9991455078125,0.90655517578125,312.99957275390625,BasophilsPercentage_Min_acute,0-2,4jmrxVsX_140_1,0,CommonBloodTest
1.0,1.89300537109375,385.4884643554688,1.89300537109375,385.4884643554688,MeanPlateletVolume_Max_acute,0-2,4jmrxVsX_140_1,0,CommonBloodTest
3.0,7.7159423828125,1170.235595703125,2.5719807147979736,390.0785217285156,MeanCorpuscularHemoglobinConcentration_Min_acute,0-2,4jmrxVsX_140_1,0,CommonBloodTest
56.0,567.5211181640625,9427.626953125,10.134305953979492,168.35047912597656,CReactiveProtein_Min_acute,0-2,4jmrxVsX_140_1,0,Immunity
43.0,392.6015625,8203.119140625,9.130269050598145,190.7702178955078,CReactiveProtein_Avg_acute,0-2,4jmrxVsX_140_1,0,Immunity
1.0,2.460052490234375,58.865718841552734,2.460052490234375,58.865718841552734,LymphocytesPercentage_Min_acute,12-25,4jmrxVsX_140_1,0,CommonBloodTest
33.0,59.744537353515625,921.2813720703124,1.8104405403137207,27.91761779785156,MeanPlateletVolume_Min_acute,12-25,4jmrxVsX_140_1,0,CommonBloodTest
6.0,18.573394775390625,1093.014404296875,3.095565795898437,182.1690673828125,CReactiveProtein_Max_acute,12-25,4jmrxVsX_140_1,0,Immunity
36.0,91.35420989990234,1510.001708984375,2.5376169681549072,41.94449234008789,MeanPlateletVolume_Avg_acute,12-25,4jmrxVsX_140_1,0,CommonBloodTest
48.0,206.4488220214844,4697.951171875,4.301017284393311,97.87398529052734,MeanCorpuscularVolume_Min_acute,12-25,4jmrxVsX_140_1,0,CommonBloodTest
1.0,2.385650634765625,33.26216506958008,2.385650634765625,33.26216506958008,EosinophilsPercentage_Avg_acute,12-25,4jmrxVsX_140_1,0,CommonBloodTest
12.0,15.379608154296877,1417.639892578125,1.281633973121643,118.13665771484376,LymphocytesPercentage_Max_acute,12-25,4jmrxVsX_140_1,0,CommonBloodTest
7.0,7.78753662109375,922.2293090820312,1.1125051975250244,131.74703979492188,LymphocytesPercentage_Avg_acute,12-25,4jmrxVsX_140_1,0,CommonBloodTest
29.0,72.20452880859375,2901.6953125,2.489811420440674,100.05845642089844,NeutrophilsPercentage_Max_acute,12-25,4jmrxVsX_140_1,0,CommonBloodTest
5.0,4.322395324707031,151.42166137695312,0.8644790649414062,30.284332275390625,MonocytesPercentage_Avg_acute,12-25,4jmrxVsX_140_1,0,CommonBloodTest
1.0,1.1370849609375,98.05314636230467,1.1370849609375,98.05314636230467,NeutrophilsPercentage_Avg_acute,12-25,4jmrxVsX_140_1,0,CommonBloodTest
19.0,80.20092010498047,610.1918334960938,4.2211012840271,32.115360260009766,MeanPlateletVolume_Max_acute,12-25,4jmrxVsX_140_1,0,CommonBloodTest
2.0,6.216302871704102,42.68498229980469,3.108151435852051,21.342491149902344,CReactiveProtein_Min_acute,12-25,4jmrxVsX_140_1,0,Immunity
67.0,577.6729736328125,5949.06787109375,8.621984481811523,88.79206085205078,MeanCorpuscularVolume_Max_acute,12-25,4jmrxVsX_140_1,0,CommonBloodTest
11.0,11.888580322265623,1542.7613525390625,1.080780029296875,140.25103759765625,NeutrophilsPercentage_Min_acute,12-25,4jmrxVsX_140_1,0,CommonBloodTest
42.0,365.6209106445313,2749.9677734375,8.705259323120117,65.47542572021484,MeanCorpuscularVolume_Avg_acute,12-25,4jmrxVsX_140_1,0,CommonBloodTest
1.0,0.9160842895507812,44.05413055419922,0.9160842895507812,44.05413055419922,Nucleosome_Max_acute,12-25,4jmrxVsX_140_1,0,Autoantibody
3.0,4.165531158447266,112.20667266845705,1.3885103464126587,37.402225494384766,MonocytesPercentage_Min_acute,12-25,4jmrxVsX_140_1,0,CommonBloodTest
2.0,3.9423904418945312,257.508056640625,1.9711952209472656,128.7540283203125,CReactiveProtein_Avg_acute,12-25,4jmrxVsX_140_1,0,Immunity
52.0,343.0131530761719,6878.341796875,6.596406936645508,132.2758026123047,EosinophilsPercentage_Min_acute,12-25,4jmrxVsX_140_1,0,CommonBloodTest
2.0,1.1417694091796875,50.75371551513672,0.5708847045898438,25.37685775756836,LymphocytesPercentage_Min_acute,2-6,4jmrxVsX_140_1,0,CommonBloodTest
3.0,1.6304092407226562,269.0180969238281,0.5434697270393372,89.67269897460938,MeanPlateletVolume_Min_acute,2-6,4jmrxVsX_140_1,0,CommonBloodTest
1.0,0.5396728515625,283.36236572265625,0.5396728515625,283.36236572265625,AbsoluteNeutrophilCount_Max_acute,2-6,4jmrxVsX_140_1,0,CommonBloodTest
4.0,12.647308349609377,714.5845947265625,3.161827087402344,178.64614868164062,BasophilsPercentage_Avg_acute,2-6,4jmrxVsX_140_1,0,CommonBloodTest
19.0,117.67593383789062,2770.2607421875,6.193470001220703,145.80319213867188,Plateletcrit_Min_acute,2-6,4jmrxVsX_140_1,0,CommonBloodTest
5.0,5.045196533203125,865.8848266601562,1.009039282798767,173.17697143554688,CReactiveProtein_Max_acute,2-6,4jmrxVsX_140_1,0,Immunity
22.0,31.463722229003903,753.2981567382812,1.4301692247390747,34.24082565307617,MeanPlateletVolume_Avg_acute,2-6,4jmrxVsX_140_1,0,CommonBloodTest
21.0,208.80242919921875,2782.236572265625,9.942973136901855,132.48745727539062,EosinophilsPercentage_Max_acute,2-6,4jmrxVsX_140_1,0,CommonBloodTest
6.0,4.90887451171875,666.7012939453125,0.818145751953125,111.11688232421876,MeanCorpuscularVolume_Min_acute,2-6,4jmrxVsX_140_1,0,CommonBloodTest
12.0,145.99612426757812,1522.34375,12.166343688964844,126.86197662353516,EosinophilsPercentage_Avg_acute,2-6,4jmrxVsX_140_1,0,CommonBloodTest
1.0,1.008867263793945,17.810836791992188,1.008867263793945,17.810836791992188,LymphocytesPercentage_Max_acute,2-6,4jmrxVsX_140_1,0,CommonBloodTest
