Importance,total_gain,total_cover,gain,cover,Feature,group,param_id,sequence_ids,Feature_group
6.0,3.732166290283203,902.7013549804688,0.6220276951789856,150.45022583007812,Gender,0-2,6crk9lDL_605_1,0,Clinical
101.0,76.7015380859375,26440.7578125,0.759421169757843,261.7896728515625,Hematocrit_Avg,0-2,6crk9lDL_605_1,0,CommonBloodTest
58.0,57.273468017578125,19069.115234375,0.9874736070632936,328.7778625488281,LymphocytesPercentage_Avg,0-2,6crk9lDL_605_1,0,CommonBloodTest
95.0,177.9969482421875,47161.94921875,1.873652100563049,496.4415588378906,FirstVisitAge_div_NeutrophilsPercentage_Max,0-2,6crk9lDL_605_1,0,DerivativeVariables
89.0,53.76779174804688,27340.029296875,0.6041324734687805,307.1913452148437,EosinophilsPercentage_Avg_div_WhiteBloodCellCount_Max,0-2,6crk9lDL_605_1,0,DerivativeVariables
91.0,455.6218872070313,49685.03125,5.006834030151367,545.9893798828125,EosinophilsPercentage_Avg_div_CReactiveProtein_Min,0-2,6crk9lDL_605_1,0,DerivativeVariables
18.0,13.46660614013672,8220.123046875,0.748144805431366,456.6734924316406,MeanCorpuscularHemoglobinConcentration_Avg,0-2,6crk9lDL_605_1,0,CommonBloodTest
1.0,0.8619766235351562,315.4757385253906,0.8619766235351562,315.4757385253906,MeanPlateletVolume_Avg,0-2,6crk9lDL_605_1,0,CommonBloodTest
5.0,3.098644733428955,1519.202392578125,0.6197289228439331,303.8404846191406,FirstVisitAge_div_MeanCorpuscularHemoglobin_Max,0-2,6crk9lDL_605_1,0,DerivativeVariables
21.0,71.23138427734375,43002.37109375,3.391970634460449,2047.73193359375,MeanCorpuscularHemoglobin_Avg,0-2,6crk9lDL_605_1,0,CommonBloodTest
35.0,60.99679565429688,9985.6982421875,1.7427655458450315,285.3056640625,EosinophilsPercentage_Avg_div_LymphocytesPercentage_Max,0-2,6crk9lDL_605_1,0,DerivativeVariables
77.0,637.7467041015625,52612.76171875,8.282424926757812,683.2825927734375,BasophilsPercentage_Avg_div_LymphocytesPercentage_Max,0-2,6crk9lDL_605_1,0,DerivativeVariables
3.0,2.3014140129089355,1109.949462890625,0.7671380043029785,369.983154296875,WhiteBloodCellCount_Max_div_EosinophilsPercentage_Max,0-2,6crk9lDL_605_1,0,DerivativeVariables
1.0,1.376728057861328,286.4058532714844,1.376728057861328,286.4058532714844,EosinophilsPercentage_Avg_div_FirstVisitAge,0-2,6crk9lDL_605_1,0,DerivativeVariables
118.0,1387.3321533203125,527074.5625,11.757052421569824,4466.7333984375,AbsoluteNeutrophilCount_Max_div_MeanCorpuscularHemoglobin_Max,0-2,6crk9lDL_605_1,0,DerivativeVariables
35.0,148.303955078125,71429.3359375,4.237256050109863,2040.838134765625,DogDander_Avg,0-2,6crk9lDL_605_1,0,SpecificIgE
3.0,1.2923452854156494,660.5074462890625,0.430781751871109,220.1691436767578,Hematocrit_Max,0-2,6crk9lDL_605_1,0,CommonBloodTest
20.0,13.318098068237305,3614.73486328125,0.6659048795700073,180.7367401123047,FirstVisitAge_div_BasophilsPercentage_Avg,0-2,6crk9lDL_605_1,0,DerivativeVariables
7.0,8.84464168548584,1762.7275390625,1.2635202407836914,251.81822204589844,LymphocytesPercentage_Max,0-2,6crk9lDL_605_1,0,CommonBloodTest
98.0,510.2454223632813,83218.1875,5.206585884094238,849.1651611328125,AbsoluteNeutrophilCount_Max_div_NeutrophilsPercentage_Max,0-2,6crk9lDL_605_1,0,DerivativeVariables
16.0,45.05561065673828,7785.47802734375,2.8159756660461426,486.5923767089844,WhiteBloodCellCount_Max_div_BasophilsPercentage_Avg,0-2,6crk9lDL_605_1,0,DerivativeVariables
33.0,472.3419799804688,196593.5,14.313393592834473,5957.37890625,MeanCorpuscularVolume_Max,0-2,6crk9lDL_605_1,0,CommonBloodTest
15.0,51.68696594238281,37859.71875,3.445797681808472,2523.981201171875,WhiteBloodCellCount_Max_div_FirstVisitAge,0-2,6crk9lDL_605_1,0,DerivativeVariables
5.0,32.45549774169922,2449.866943359375,6.4910993576049805,489.973388671875,WhiteBloodCellCount_Max_div_CReactiveProtein_Min,0-2,6crk9lDL_605_1,0,DerivativeVariables
1.0,0.8577003479003906,317.9157409667969,0.8577003479003906,317.9157409667969,MeanPlateletVolume_Min,0-2,6crk9lDL_605_1,0,CommonBloodTest
1.0,0.2945404052734375,251.66650390625,0.2945404052734375,251.66650390625,FirstVisitAge_div_PlateletCount_Max,0-2,6crk9lDL_605_1,0,DerivativeVariables
1.0,3.5808911323547363,3414.673583984375,3.5808911323547363,3414.673583984375,MeanCorpuscularVolume_Avg,0-2,6crk9lDL_605_1,0,CommonBloodTest
3.0,12.032400131225586,2737.269775390625,4.010799884796143,912.4232788085938,PlateletCount_Avg_div_NeutrophilsPercentage_Max,0-2,6crk9lDL_605_1,0,DerivativeVariables
1.0,1.2551116943359375,366.5263671875,1.2551116943359375,366.5263671875,FirstVisitAge_div_EosinophilsPercentage_Max,0-2,6crk9lDL_605_1,0,DerivativeVariables
8.0,23.431678771972656,25352.796875,2.928959846496582,3169.099609375,FirstVisitAge_div_AbsoluteNeutrophilCount_Max,0-2,6crk9lDL_605_1,0,DerivativeVariables
33.0,119.532470703125,25166.392578125,3.6221961975097656,762.6179809570312,WhiteBloodCellCount_Max_div_PlateletCount_Avg,0-2,6crk9lDL_605_1,0,DerivativeVariables
11.0,4.076910018920898,2888.330810546875,0.3706281781196594,262.5755310058594,CReactiveProtein_Min_div_AbsoluteNeutrophilCount_Max,0-2,6crk9lDL_605_1,0,DerivativeVariables
16.0,69.88311767578125,50521.97265625,4.367694854736328,3157.623291015625,MeanPlateletVolume_Max,0-2,6crk9lDL_605_1,0,CommonBloodTest
1.0,1.1188297271728516,315.0064697265625,1.1188297271728516,315.0064697265625,WhiteBloodCellCount_Max_div_MeanCorpuscularHemoglobin_Max,0-2,6crk9lDL_605_1,0,DerivativeVariables
1.0,7.150354385375977,4140.30908203125,7.150354385375977,4140.30908203125,AbsoluteNeutrophilCount_Max_div_PlateletCount_Max,0-2,6crk9lDL_605_1,0,DerivativeVariables
1.0,1.1924715042114258,234.58908081054688,1.1924715042114258,234.58908081054688,EosinophilsPercentage_Max_div_LymphocytesPercentage_Max,0-2,6crk9lDL_605_1,0,DerivativeVariables
25.0,141.8297119140625,104386.71875,5.67318868637085,4175.46875,Total25HydroxyVitaminD_Avg,0-2,6crk9lDL_605_1,0,Immunity
26.0,353.3280029296875,149056.0,13.58953857421875,5732.9228515625,RedBloodCellCount_Avg,0-2,6crk9lDL_605_1,0,CommonBloodTest
67.0,1278.4908447265625,388621.65625,19.08195304870605,5800.3232421875,Hemoglobin_Avg,0-2,6crk9lDL_605_1,0,CommonBloodTest
23.0,180.78846740722656,123615.6328125,7.860368251800537,5374.5927734375,MeanCorpuscularHemoglobin_Max_div_LymphocytesPercentage_Max,0-2,6crk9lDL_605_1,0,DerivativeVariables
1.0,0.5943479537963867,336.6711120605469,0.5943479537963867,336.6711120605469,EosinophilCountAbsolute_Avg,0-2,6crk9lDL_605_1,0,CommonBloodTest
2.0,13.788290023803713,8236.3818359375,6.894145011901856,4118.19091796875,AbsoluteNeutrophilCount_Max_div_PlateletCount_Avg,0-2,6crk9lDL_605_1,0,DerivativeVariables
9.0,52.82630157470703,13408.2294921875,5.869588851928711,1489.80322265625,PlateletCount_Avg_div_LymphocytesPercentage_Max,0-2,6crk9lDL_605_1,0,DerivativeVariables
1.0,1.2722578048706057,250.2069396972656,1.2722578048706057,250.2069396972656,WhiteBloodCellCount_Max_div_AbsoluteNeutrophilCount_Max,0-2,6crk9lDL_605_1,0,DerivativeVariables
43.0,241.64524841308597,116878.6796875,5.619657039642334,2718.10888671875,PlateletCount_Avg_div_BasophilsPercentage_Avg,0-2,6crk9lDL_605_1,0,DerivativeVariables
64.0,64.2750473022461,19262.380859375,1.0042976140975952,300.9747009277344,WhiteBloodCellCount_Avg_div_MeanCorpuscularHemoglobin_Max,0-2,6crk9lDL_605_1,0,DerivativeVariables
