Importance,total_gain,total_cover,gain,cover,Feature,group,param_id,sequence_ids,Feature_group
8.0,1552020.875,239.5374755859375,194002.609375,29.942184448242188,Gender,0-2,8Y9XvkQq_1878_1,0,Clinical
21.0,23994022.0,2068.750732421875,1142572.5,98.5119400024414,FirstVisitAge,0-2,8Y9XvkQq_1878_1,0,Clinical
2.0,2766107.0,258.67315673828125,1383053.5,129.33657836914062,Hematocrit_Avg_acute,0-2,8Y9XvkQq_1878_1,0,CommonBloodTest
1.0,365210.625,91.2931671142578,365210.625,91.2931671142578,Hematocrit_Avg_chronic,0-2,8Y9XvkQq_1878_1,0,CommonBloodTest
5.0,463215.1875,146.39195251464844,92643.0390625,29.27839088439941,Hematocrit_Max_chronic,0-2,8Y9XvkQq_1878_1,0,CommonBloodTest
2.0,171337.375,124.67823791503906,85668.6875,62.33911895751953,LymphocytesPercentage_Avg_acute,0-2,8Y9XvkQq_1878_1,0,CommonBloodTest
2.0,493403.15625,114.03450012207033,246701.578125,57.01725006103516,LymphocytesPercentage_Max_acute,0-2,8Y9XvkQq_1878_1,0,CommonBloodTest
23.0,10567093.0,3807.844970703125,459438.8125,165.5584716796875,LymphocytesPercentage_Avg_chronic,0-2,8Y9XvkQq_1878_1,0,CommonBloodTest
22.0,6742029.0,1835.1632080078125,306455.875,83.41651153564453,LymphocytesPercentage_Max_chronic,0-2,8Y9XvkQq_1878_1,0,CommonBloodTest
8.0,8634607.0,687.1287231445312,1079325.875,85.8910903930664,LymphocytesPercentage_Min_chronic,0-2,8Y9XvkQq_1878_1,0,CommonBloodTest
7.0,4956542.0,1929.0357666015625,708077.4375,275.5765380859375,NeutrophilsPercentage_Avg_acute,0-2,8Y9XvkQq_1878_1,0,CommonBloodTest
3.0,126272.1875,128.77642822265625,42090.73046875,42.92547607421875,NeutrophilsPercentage_Max_acute,0-2,8Y9XvkQq_1878_1,0,CommonBloodTest
4.0,1048264.875,176.1087646484375,262066.21875,44.027191162109375,NeutrophilsPercentage_Min_acute,0-2,8Y9XvkQq_1878_1,0,CommonBloodTest
1.0,550123.125,363.1061096191406,550123.125,363.1061096191406,NeutrophilsPercentage_Avg_chronic,0-2,8Y9XvkQq_1878_1,0,CommonBloodTest
20.0,27254326.0,6051.1650390625,1362716.25,302.5582580566406,NeutrophilsPercentage_Max_chronic,0-2,8Y9XvkQq_1878_1,0,CommonBloodTest
4.0,1965726.0,1153.5400390625,491431.5,288.385009765625,NeutrophilsPercentage_Min_chronic,0-2,8Y9XvkQq_1878_1,0,CommonBloodTest
3.0,510450.46875,151.61575317382812,170150.15625,50.5385856628418,MonocytesPercentage_Avg_chronic,0-2,8Y9XvkQq_1878_1,0,CommonBloodTest
2.0,894179.5625,90.23567199707033,447089.78125,45.11783599853516,MonocytesPercentage_Max_chronic,0-2,8Y9XvkQq_1878_1,0,CommonBloodTest
6.0,1772434.5,950.6098022460938,295405.75,158.43496704101562,MonocytesPercentage_Min_chronic,0-2,8Y9XvkQq_1878_1,0,CommonBloodTest
2.0,84003.03125,47.20024108886719,42001.515625,23.600120544433597,MeanCorpuscularHemoglobinConcentration_Avg_acute,0-2,8Y9XvkQq_1878_1,0,CommonBloodTest
3.0,105262.875,70.80036163330078,35087.625,23.600120544433597,MeanCorpuscularHemoglobinConcentration_Max_acute,0-2,8Y9XvkQq_1878_1,0,CommonBloodTest
2.0,86459.265625,47.20024108886719,43229.6328125,23.600120544433597,MeanCorpuscularHemoglobinConcentration_Min_acute,0-2,8Y9XvkQq_1878_1,0,CommonBloodTest
7.0,5652186.5,743.843017578125,807455.1875,106.26329040527344,MeanCorpuscularHemoglobinConcentration_Avg_chronic,0-2,8Y9XvkQq_1878_1,0,CommonBloodTest
6.0,2566090.5,409.4303894042969,427681.75,68.23839569091797,MeanCorpuscularHemoglobinConcentration_Max_chronic,0-2,8Y9XvkQq_1878_1,0,CommonBloodTest
2.0,752553.5,39.002540588378906,376276.75,19.501270294189453,MeanCorpuscularHemoglobinConcentration_Min_chronic,0-2,8Y9XvkQq_1878_1,0,CommonBloodTest
19.0,31562566.0,5535.0537109375,1661187.625,291.318603515625,PlateletCount_Avg_acute,0-2,8Y9XvkQq_1878_1,0,CommonBloodTest
4.0,2899413.25,420.4039611816406,724853.3125,105.10099029541016,PlateletCount_Max_acute,0-2,8Y9XvkQq_1878_1,0,CommonBloodTest
7.0,10967500.0,2866.353759765625,1566785.75,409.4790954589844,PlateletCount_Min_acute,0-2,8Y9XvkQq_1878_1,0,CommonBloodTest
5.0,8904781.0,777.7920532226562,1780956.25,155.55841064453125,PlateletCount_Avg_chronic,0-2,8Y9XvkQq_1878_1,0,CommonBloodTest
16.0,42976208.0,1588.2591552734375,2686013.0,99.26619720458984,PlateletCount_Max_chronic,0-2,8Y9XvkQq_1878_1,0,CommonBloodTest
5.0,15743922.0,780.3529052734375,3148784.5,156.07058715820312,PlateletCount_Min_chronic,0-2,8Y9XvkQq_1878_1,0,CommonBloodTest
2.0,8712563.0,627.3322143554688,4356281.5,313.6661071777344,WhiteBloodCellCount_Avg_acute,0-2,8Y9XvkQq_1878_1,0,CommonBloodTest
5.0,14956874.0,1170.36328125,2991374.75,234.0726623535156,WhiteBloodCellCount_Max_acute,0-2,8Y9XvkQq_1878_1,0,CommonBloodTest
1.0,4430321.5,301.4444580078125,4430321.5,301.4444580078125,WhiteBloodCellCount_Min_acute,0-2,8Y9XvkQq_1878_1,0,CommonBloodTest
5.0,4462108.5,171.01754760742188,892421.6875,34.20351028442383,WhiteBloodCellCount_Avg_chronic,0-2,8Y9XvkQq_1878_1,0,CommonBloodTest
1.0,494327.625,77.21243286132812,494327.625,77.21243286132812,WhiteBloodCellCount_Max_chronic,0-2,8Y9XvkQq_1878_1,0,CommonBloodTest
25.0,19170180.0,2095.531005859375,766807.1875,83.82124328613281,MeanCorpuscularHemoglobin_Avg_acute,0-2,8Y9XvkQq_1878_1,0,CommonBloodTest
10.0,8828573.0,836.8928833007812,882857.3125,83.68928527832031,MeanCorpuscularHemoglobin_Max_acute,0-2,8Y9XvkQq_1878_1,0,CommonBloodTest
6.0,1260756.5,293.2335205078125,210126.078125,48.87225341796875,MeanCorpuscularHemoglobin_Min_acute,0-2,8Y9XvkQq_1878_1,0,CommonBloodTest
