Importance,total_gain,total_cover,gain,cover,Feature,group,param_id,sequence_ids,Feature_group
7.0,4428515.5,1491.8072509765625,632645.0625,213.1153259277344,MeanPlateletVolume_Min_acute,0-2,8Y9XvkQq_1878_1,0,CommonBloodTest
7.0,945550.9375,483.9825439453125,135078.703125,69.14036560058594,Hematocrit_Max_chronic,0-2,8Y9XvkQq_1878_1,0,CommonBloodTest
3.0,392966.9375,417.3130493164063,130988.9765625,139.10435485839844,MeanCorpuscularHemoglobinConcentration_Max_acute,0-2,8Y9XvkQq_1878_1,0,CommonBloodTest
8.0,8076966.0,856.012451171875,1009620.75,107.00155639648438,AbsoluteEosinophilCount_Max_acute,0-2,8Y9XvkQq_1878_1,0,CommonBloodTest
10.0,27980642.0,2083.7890625,2798064.25,208.37890625,ImmunoglobulinE_Min_chronic,0-2,8Y9XvkQq_1878_1,0,Immunity
1.0,1262900.0,70.1061782836914,1262900.0,70.1061782836914,CReactiveProtein_Avg_chronic,0-2,8Y9XvkQq_1878_1,0,Immunity
16.0,14428674.0,2418.801513671875,901792.125,151.1750946044922,ImmunoglobulinE_Max_chronic,0-2,8Y9XvkQq_1878_1,0,Immunity
14.0,9640917.0,1164.4971923828125,688636.9375,83.1783676147461,MeanCorpuscularVolume_Max_chronic,0-2,8Y9XvkQq_1878_1,0,CommonBloodTest
11.0,14067297.0,1002.967041015625,1278845.125,91.17882537841795,PlateletCount_Min_chronic,0-2,8Y9XvkQq_1878_1,0,CommonBloodTest
5.0,1636178.5,356.464111328125,327235.6875,71.2928237915039,EosinophilsPercentage_Max_acute,0-2,8Y9XvkQq_1878_1,0,CommonBloodTest
2.0,742579.6875,54.2402458190918,371289.84375,27.1201229095459,TotalThyroxine_Min_chronic,0-2,8Y9XvkQq_1878_1,0,ThyroidFunction
26.0,128509152.0,8318.98046875,4942659.5,319.9607849121094,AbsoluteEosinophilCount_Avg_chronic,0-2,8Y9XvkQq_1878_1,0,CommonBloodTest
1.0,48056.0,67.213623046875,48056.0,67.213623046875,EosinophilCountAbsolute_Avg_acute,0-2,8Y9XvkQq_1878_1,0,CommonBloodTest
31.0,88645392.0,6411.54345703125,2859528.75,206.8239898681641,MeanPlateletVolume_Max_chronic,0-2,8Y9XvkQq_1878_1,0,CommonBloodTest
2.0,77576.125,118.7769012451172,38788.0625,59.388450622558594,BasophilsPercentage_Avg_acute,0-2,8Y9XvkQq_1878_1,0,CommonBloodTest
13.0,24535752.0,4166.79931640625,1887365.5,320.52301025390625,PlateletCount_Min_acute,0-2,8Y9XvkQq_1878_1,0,CommonBloodTest
17.0,70509888.0,4024.68505859375,4147640.5,236.7461853027344,Ragweed_Avg_chronic,0-2,8Y9XvkQq_1878_1,0,SpecificIgE
6.0,21141700.0,425.3948364257813,3523616.75,70.89913940429688,MeanCorpuscularHemoglobinConcentration_Max_chronic,0-2,8Y9XvkQq_1878_1,0,CommonBloodTest
3.0,1366238.75,185.82598876953125,455412.90625,61.94199752807617,AbsoluteNeutrophilCount_Min_chronic,0-2,8Y9XvkQq_1878_1,0,CommonBloodTest
7.0,2616027.25,711.4381103515625,373718.1875,101.63401794433594,AbsoluteEosinophilCount_Avg_acute,0-2,8Y9XvkQq_1878_1,0,CommonBloodTest
1.0,2146560.0,49.877201080322266,2146560.0,49.877201080322266,AntiScl70_Avg_chronic,0-2,8Y9XvkQq_1878_1,0,Autoantibody
22.0,17954908.0,2625.279296875,816132.1875,119.33087921142578,MeanCorpuscularVolume_Min_chronic,0-2,8Y9XvkQq_1878_1,0,CommonBloodTest
17.0,14191338.0,4113.5224609375,834784.5625,241.97190856933597,AbsoluteNeutrophilCount_Avg_acute,0-2,8Y9XvkQq_1878_1,0,CommonBloodTest
3.0,413767.375,132.08090209960938,137922.453125,44.0269660949707,MonocytesPercentage_Max_chronic,0-2,8Y9XvkQq_1878_1,0,CommonBloodTest
