Importance,total_gain,total_cover,gain,cover,Feature,group,param_id,sequence_ids,Feature_group
11.0,3843.208984375,437.0792541503906,349.38262939453125,39.73447799682617,UrineSpecificGravity_Min,0-2,AhUO5lFk_353_1,0,UrineTest
78.0,6763.16064453125,2324.087646484375,86.70719146728516,29.795995712280277,Hemoglobin_Avg,0-2,AhUO5lFk_353_1,0,CommonBloodTest
83.0,41469.28125,2615.171142578125,499.6298828125,31.50808525085449,RedCellDistributionWidth_Max,0-2,AhUO5lFk_353_1,0,CommonBloodTest
42.0,5181.44677734375,1729.592529296875,123.36778259277344,41.1807746887207,AbsoluteLymphocyteCount_Max,0-2,AhUO5lFk_353_1,0,CommonBloodTest
64.0,8900.3212890625,2455.98095703125,139.06752014160156,38.37470245361328,Gender,0-2,AhUO5lFk_353_1,0,Clinical
152.0,38285.6875,5984.2822265625,251.8795166015625,39.37027740478516,MeanCorpuscularHemoglobinConcentration_Max,0-2,AhUO5lFk_353_1,0,CommonBloodTest
61.0,29973.349609375,3319.267578125,491.3663940429688,54.41422271728516,EosinophilsPercentage_Max,0-2,AhUO5lFk_353_1,0,CommonBloodTest
59.0,3940.6728515625,3747.449462890625,66.79106903076172,63.51609420776367,PlateletDistributionWidth_Min,0-2,AhUO5lFk_353_1,0,CommonBloodTest
95.0,11852.0107421875,3399.206298828125,124.7580108642578,35.78112030029297,NeutrophilsPercentage_Min,0-2,AhUO5lFk_353_1,0,CommonBloodTest
74.0,8710.9951171875,4990.0888671875,117.71614837646484,67.43363189697266,Plateletcrit_Avg,0-2,AhUO5lFk_353_1,0,CommonBloodTest
92.0,57523.265625,4298.91650390625,625.2528686523438,46.727352142333984,MeanCorpuscularVolume_Min,0-2,AhUO5lFk_353_1,0,CommonBloodTest
34.0,5493.7880859375,3165.359375,161.58200073242188,93.09880828857422,Hematocrit_Avg,0-2,AhUO5lFk_353_1,0,CommonBloodTest
126.0,26249.552734375,5103.4970703125,208.3297882080078,40.503944396972656,RedCellDistributionWidthCV_Max,0-2,AhUO5lFk_353_1,0,CommonBloodTest
124.0,33797.5,7588.8447265625,272.5604858398437,61.20035934448242,MeanPlateletVolume_Max,0-2,AhUO5lFk_353_1,0,CommonBloodTest
18.0,18022.1640625,1467.74365234375,1001.2313232421876,81.54131317138672,WhiteBloodCellCount_Min,0-2,AhUO5lFk_353_1,0,CommonBloodTest
15.0,1875.798583984375,572.7939453125,125.05323791503906,38.18626403808594,MonocytesPercentage_Max,0-2,AhUO5lFk_353_1,0,CommonBloodTest
23.0,2221.421142578125,1808.9835205078125,96.58352661132812,78.65145874023438,AbsoluteLymphocyteCount_Avg,0-2,AhUO5lFk_353_1,0,CommonBloodTest
18.0,798.6326293945312,693.7842407226562,44.36848068237305,38.5435676574707,MonocytesPercentage_Avg,0-2,AhUO5lFk_353_1,0,CommonBloodTest
29.0,18771.931640625,4370.24462890625,647.3079833984375,150.69808959960938,AbsoluteNeutrophilCount_Avg,0-2,AhUO5lFk_353_1,0,CommonBloodTest
10.0,237.9332427978516,558.6992797851562,23.793323516845703,55.86992645263672,AbsoluteBasophilCount_Min,0-2,AhUO5lFk_353_1,0,CommonBloodTest
52.0,24116.111328125,2884.320556640625,463.7713623046875,55.46770477294922,MeanCorpuscularHemoglobin_Avg,0-2,AhUO5lFk_353_1,0,CommonBloodTest
32.0,2474.157470703125,6764.7822265625,77.31742095947266,211.39944458007807,FirstVisitAge,0-2,AhUO5lFk_353_1,0,Clinical
54.0,13923.6162109375,4322.23486328125,257.8447570800781,80.04138946533203,AbsoluteEosinophilCount_Min,0-2,AhUO5lFk_353_1,0,CommonBloodTest
14.0,315.53192138671875,892.7173461914062,22.537994384765625,63.76552581787109,Hemoglobin_Max,0-2,AhUO5lFk_353_1,0,CommonBloodTest
32.0,16592.521484375,2095.0595703125,518.5162963867188,65.47061157226562,CReactiveProtein_Max,0-2,AhUO5lFk_353_1,0,Immunity
1.0,58.98875427246094,458.4974670410156,58.98875427246094,458.4974670410156,DustMites_Max,0-2,AhUO5lFk_353_1,0,SpecificIgE
10.0,1215.3592529296875,1208.83740234375,121.53592681884766,120.8837432861328,AbsoluteMonocyteCount_Max,0-2,AhUO5lFk_353_1,0,CommonBloodTest
34.0,30762.173828125,3449.111083984375,904.7698364257812,101.44444274902344,NeutrophilsPercentage_Max,0-2,AhUO5lFk_353_1,0,CommonBloodTest
32.0,1304.0614013671875,1491.939208984375,40.75191879272461,46.62310028076172,PlateletCount_Min,0-2,AhUO5lFk_353_1,0,CommonBloodTest
6.0,339.37335205078125,435.08001708984375,56.56222534179688,72.51333618164062,AbsoluteBasophilCount_Avg,0-2,AhUO5lFk_353_1,0,CommonBloodTest
26.0,1012.2448120117188,1915.928955078125,38.93249130249024,73.6895751953125,MeanCorpuscularHemoglobin_Min,0-2,AhUO5lFk_353_1,0,CommonBloodTest
11.0,3526.428466796875,542.5687255859375,320.5844116210937,49.32442855834961,MonocytesPercentage_Min,0-2,AhUO5lFk_353_1,0,CommonBloodTest
52.0,4616.9365234375,4170.5283203125,88.78723907470703,80.20246887207031,PlateletDistributionWidth_Avg,0-2,AhUO5lFk_353_1,0,CommonBloodTest
11.0,562.1428833007812,1104.3912353515625,51.10389709472656,100.39920043945312,MeanCorpuscularHemoglobinConcentration_Min,0-2,AhUO5lFk_353_1,0,CommonBloodTest
24.0,815.89013671875,1929.184326171875,33.99542236328125,80.38268280029297,Plateletcrit_Min,0-2,AhUO5lFk_353_1,0,CommonBloodTest
22.0,1837.8271484375,922.8116455078124,83.53759765625,41.94598388671875,WhiteBloodCellCount_Max,0-2,AhUO5lFk_353_1,0,CommonBloodTest
133.0,79688.78125,35299.58203125,599.1637573242188,265.410400390625,EosinophilCountAbsolute_Min,0-2,AhUO5lFk_353_1,0,CommonBloodTest
19.0,2043.172607421875,1096.525634765625,107.535400390625,57.711875915527344,CReactiveProtein_Min,0-2,AhUO5lFk_353_1,0,Immunity
70.0,104473.828125,13672.4404296875,1492.4832763671875,195.3205718994141,AbsoluteEosinophilCount_Avg,0-2,AhUO5lFk_353_1,0,CommonBloodTest
57.0,35255.625,7973.61181640625,618.5197143554688,139.88792419433594,EosinophilCountAbsolute_Max,0-2,AhUO5lFk_353_1,0,CommonBloodTest
64.0,4862.39794921875,5266.9375,75.97496795654297,82.2958984375,RedCellDistributionWidthCV_Min,0-2,AhUO5lFk_353_1,0,CommonBloodTest
28.0,10895.107421875,1881.787841796875,389.1109924316406,67.20671081542969,MeanCorpuscularHemoglobin_Max,0-2,AhUO5lFk_353_1,0,CommonBloodTest
2.0,4172.1923828125,393.0018310546875,2086.09619140625,196.50091552734372,DustMites_Avg,0-2,AhUO5lFk_353_1,0,SpecificIgE
2.0,2543.906982421875,215.9032287597656,1271.9534912109375,107.9516143798828,AbsoluteLymphocyteCount_Min,0-2,AhUO5lFk_353_1,0,CommonBloodTest
8.0,1981.8101806640625,319.55877685546875,247.7262725830078,39.9448471069336,RedBloodCellCount_Avg,0-2,AhUO5lFk_353_1,0,CommonBloodTest
18.0,1037.4769287109375,2016.378662109375,57.63760757446289,112.02103424072266,CReactiveProtein_Avg,0-2,AhUO5lFk_353_1,0,Immunity
42.0,20203.63671875,7403.0908203125,481.0389709472656,176.26406860351562,AbsoluteEosinophilCount_Max,0-2,AhUO5lFk_353_1,0,CommonBloodTest
7.0,9318.5224609375,1563.00390625,1331.217529296875,223.2862701416016,RedCellDistributionWidth_Avg,0-2,AhUO5lFk_353_1,0,CommonBloodTest
11.0,3977.966796875,803.1914672851562,361.6333312988281,73.01740264892578,MeanCorpuscularHemoglobinConcentration_Avg,0-2,AhUO5lFk_353_1,0,CommonBloodTest
90.0,14584.5107421875,8497.427734375,162.0501251220703,94.41586303710938,MeanPlateletVolume_Min,0-2,AhUO5lFk_353_1,0,CommonBloodTest
8.0,1282.37890625,894.963623046875,160.29736328125,111.87045288085938,AbsoluteMonocyteCount_Min,0-2,AhUO5lFk_353_1,0,CommonBloodTest
7.0,3910.28369140625,812.85888671875,558.6119384765625,116.12269592285156,Hemoglobin_Min,0-2,AhUO5lFk_353_1,0,CommonBloodTest
51.0,16495.478515625,4363.77685546875,323.4407653808594,85.56425476074219,MeanPlateletVolume_Avg,0-2,AhUO5lFk_353_1,0,CommonBloodTest
21.0,1686.1942138671875,1564.6051025390625,80.29496002197266,74.5050048828125,LymphocytesPercentage_Max,0-2,AhUO5lFk_353_1,0,CommonBloodTest
29.0,23202.560546875,4190.30126953125,800.0883178710938,144.49314880371094,EosinophilsPercentage_Avg,0-2,AhUO5lFk_353_1,0,CommonBloodTest
7.0,957.4801635742188,1659.948486328125,136.7828826904297,237.135498046875,AbsoluteMonocyteCount_Avg,0-2,AhUO5lFk_353_1,0,CommonBloodTest
24.0,8334.1474609375,2813.08837890625,347.2561340332031,117.2120132446289,EosinophilsPercentage_Min,0-2,AhUO5lFk_353_1,0,CommonBloodTest
3.0,4277.5029296875,289.7269592285156,1425.8343505859375,96.57565307617188,RedBloodCellCount_Min,0-2,AhUO5lFk_353_1,0,CommonBloodTest
21.0,11806.6513671875,2159.4296875,562.2214965820312,102.82998657226562,MeanCorpuscularVolume_Avg,0-2,AhUO5lFk_353_1,0,CommonBloodTest
9.0,1416.51806640625,656.7339477539062,157.39089965820312,72.9704360961914,Hematocrit_Min,0-2,AhUO5lFk_353_1,0,CommonBloodTest
65.0,10422.1494140625,5307.8701171875,160.34075927734375,81.65953826904297,BasophilsPercentage_Avg,0-2,AhUO5lFk_353_1,0,CommonBloodTest
2.0,1433.7001953125,884.80078125,716.85009765625,442.400390625,DustMites_Min,0-2,AhUO5lFk_353_1,0,SpecificIgE
32.0,31952.162109375,3453.938720703125,998.5050659179688,107.93558502197266,PlateletDistributionWidth_Max,0-2,AhUO5lFk_353_1,0,CommonBloodTest
10.0,208.35919189453125,988.22705078125,20.835918426513672,98.8227081298828,RedBloodCellCount_Max,0-2,AhUO5lFk_353_1,0,CommonBloodTest
19.0,4197.0595703125,1680.701171875,220.8978729248047,88.45795440673828,PlateletCount_Avg,0-2,AhUO5lFk_353_1,0,CommonBloodTest
30.0,38359.56640625,3361.822265625,1278.6522216796875,112.0607452392578,Plateletcrit_Max,0-2,AhUO5lFk_353_1,0,CommonBloodTest
9.0,1385.559326171875,844.8895874023438,153.95103454589844,93.87661743164062,WhiteBloodCellCount_Avg,0-2,AhUO5lFk_353_1,0,CommonBloodTest
55.0,4995.59912109375,3848.01171875,90.8290786743164,69.96385192871094,RedCellDistributionWidthCV_Avg,0-2,AhUO5lFk_353_1,0,CommonBloodTest
