Importance,total_gain,total_cover,gain,cover,Feature,group,param_id,sequence_ids,Feature_group
68.0,7549725.5,4998.2939453125,111025.375,73.50432586669922,MeanCorpuscularVolume_Avg_chronic,0-2,BD3oGFia_1027_1,0,CommonBloodTest
3.0,14487.5234375,171.61297607421875,4829.17431640625,57.20432662963867,ImmunoglobulinE_Avg_acute,0-2,BD3oGFia_1027_1,0,Immunity
37.0,2647228.5,1893.97265625,71546.71875,51.18844985961914,RedCellDistributionWidth_Avg_acute,0-2,BD3oGFia_1027_1,0,CommonBloodTest
82.0,2136581.0,1843.0003662109373,26055.865234375,22.47561454772949,LymphocytesPercentage_Max,0-2,BD3oGFia_1027_1,0,CommonBloodTest
40.0,8934247.0,1997.5400390625,223356.171875,49.9384994506836,EosinophilsPercentage_Avg_chronic,0-2,BD3oGFia_1027_1,0,CommonBloodTest
27.0,1715876.125,2420.50244140625,63550.96875,89.64823913574219,AbsoluteMonocyteCount_Min,0-2,BD3oGFia_1027_1,0,CommonBloodTest
9.0,133443.46875,128.62567138671875,14827.0517578125,14.291741371154783,ProliferatingCellNuclearAntigen_Avg_chronic,0-2,BD3oGFia_1027_1,0,Autoantibody
9.0,306065.03125,272.3925476074219,34007.2265625,30.265838623046875,Histone_Avg,0-2,BD3oGFia_1027_1,0,Autoantibody
25.0,8594097.0,2780.8125,343763.875,111.23249816894533,Ragweed_Avg_chronic,0-2,BD3oGFia_1027_1,0,SpecificIgE
15.0,3702946.5,492.5745239257813,246863.09375,32.83830261230469,AntiM2_Avg,0-2,BD3oGFia_1027_1,0,Autoantibody
23.0,1845239.125,753.018798828125,80227.7890625,32.73994827270508,BasophilsPercentage_Min,0-2,BD3oGFia_1027_1,0,CommonBloodTest
35.0,5861012.5,3279.32275390625,167457.5,93.69493865966795,MeanPlateletVolume_Avg_chronic,0-2,BD3oGFia_1027_1,0,CommonBloodTest
13.0,5665608.5,3551.531982421875,435816.03125,273.1947631835937,EggWhite_Max,0-2,BD3oGFia_1027_1,0,SpecificIgE
1.0,87648.1328125,22.70734024047852,87648.1328125,22.70734024047852,TotalThyroxine_Avg_chronic,0-2,BD3oGFia_1027_1,0,ThyroidFunction
1.0,138137.53125,22.70734024047852,138137.53125,22.70734024047852,ProliferatingCellNuclearAntigen_Min,0-2,BD3oGFia_1027_1,0,Autoantibody
47.0,7085240.5,3683.218017578125,150749.796875,78.36634063720703,MeanPlateletVolume_Avg,0-2,BD3oGFia_1027_1,0,CommonBloodTest
21.0,589410.4375,843.1243896484375,28067.1640625,40.14878082275391,MeanCorpuscularHemoglobin_Avg,0-2,BD3oGFia_1027_1,0,CommonBloodTest
19.0,1198574.375,1689.4664306640625,63082.86328125,88.9192886352539,LymphocytesPercentage_Avg,0-2,BD3oGFia_1027_1,0,CommonBloodTest
5.0,807416.5,165.94509887695312,161483.296875,33.18901824951172,AbsoluteLymphocyteCount_Avg_acute,0-2,BD3oGFia_1027_1,0,CommonBloodTest
8.0,561195.5625,657.6082763671875,70149.4453125,82.20103454589844,AntiM2_Max,0-2,BD3oGFia_1027_1,0,Autoantibody
16.0,1753059.375,2385.764404296875,109566.2109375,149.1102752685547,AbsoluteMonocyteCount_Avg,0-2,BD3oGFia_1027_1,0,CommonBloodTest
18.0,1650993.375,512.1443481445312,91721.8515625,28.45246315002441,Plateletcrit_Avg,0-2,BD3oGFia_1027_1,0,CommonBloodTest
12.0,677587.1875,1256.88134765625,56465.59765625,104.7401123046875,MeanPlateletVolume_Max,0-2,BD3oGFia_1027_1,0,CommonBloodTest
3.0,137960.109375,813.009521484375,45986.703125,271.003173828125,SMRNP_Min,0-2,BD3oGFia_1027_1,0,Autoantibody
6.0,117426.8671875,186.84996032714844,19571.14453125,31.141660690307617,MeanCorpuscularHemoglobin_Max,0-2,BD3oGFia_1027_1,0,CommonBloodTest
6.0,488326.5,300.7854919433594,81387.75,50.13091659545898,AbsoluteMonocyteCount_Avg_chronic,0-2,BD3oGFia_1027_1,0,CommonBloodTest
17.0,518812.65625,1008.490478515625,30518.390625,59.32296752929688,AbsoluteEosinophilCount_Avg_acute,0-2,BD3oGFia_1027_1,0,CommonBloodTest
6.0,338894.9375,274.7221374511719,56482.48828125,45.78702163696289,WhiteBloodCellCount_Avg_chronic,0-2,BD3oGFia_1027_1,0,CommonBloodTest
23.0,4126158.5,1536.545166015625,179398.203125,66.80631256103516,BasophilsPercentage_Avg,0-2,BD3oGFia_1027_1,0,CommonBloodTest
4.0,83576.546875,159.1352996826172,20894.13671875,39.7838249206543,PlateletCount_Avg,0-2,BD3oGFia_1027_1,0,CommonBloodTest
6.0,75619.921875,804.6143188476562,12603.3203125,134.10238647460938,MeanCorpuscularHemoglobinConcentration_Avg_acute,0-2,BD3oGFia_1027_1,0,CommonBloodTest
7.0,1060253.375,253.4685516357422,151464.765625,36.20979309082031,RedCellDistributionWidthCV_Max,0-2,BD3oGFia_1027_1,0,CommonBloodTest
7.0,4210933.5,1459.215087890625,601561.9375,208.4593048095703,WhiteBloodCellCount_Max,0-2,BD3oGFia_1027_1,0,CommonBloodTest
3.0,158049.84375,117.10847473144533,52683.28125,39.03615951538086,BasophilsPercentage_Avg_acute,0-2,BD3oGFia_1027_1,0,CommonBloodTest
3.0,231143.234375,122.24847412109376,77047.7421875,40.74949264526367,MonocytesPercentage_Avg_acute,0-2,BD3oGFia_1027_1,0,CommonBloodTest
9.0,278680.28125,3540.0966796875,30964.4765625,393.3440856933594,AbsoluteLymphocyteCount_Avg_chronic,0-2,BD3oGFia_1027_1,0,CommonBloodTest
12.0,12679280.0,3821.1640625,1056606.625,318.4303283691406,Plateletcrit_Avg_chronic,0-2,BD3oGFia_1027_1,0,CommonBloodTest
1.0,20502.33203125,386.68988037109375,20502.33203125,386.68988037109375,Ro52_Min,0-2,BD3oGFia_1027_1,0,Autoantibody
3.0,530594.0625,217.2928009033203,176864.6875,72.4309310913086,AntiScl70_Avg,0-2,BD3oGFia_1027_1,0,Autoantibody
4.0,367858.90625,151.83009338378906,91964.7265625,37.95752334594727,BasophilsPercentage_Max,0-2,BD3oGFia_1027_1,0,CommonBloodTest
14.0,4342372.0,3364.978759765625,310169.4375,240.35562133789065,RedCellDistributionWidth_Min,0-2,BD3oGFia_1027_1,0,CommonBloodTest
19.0,1303575.125,3619.1630859375,68609.21875,190.48226928710935,ImmunoglobulinE_Avg,0-2,BD3oGFia_1027_1,0,Immunity
3.0,275453.0625,760.1075439453125,91817.6875,253.3691864013672,DogDander_Min,0-2,BD3oGFia_1027_1,0,SpecificIgE
11.0,574056.0625,1490.7479248046875,52186.9140625,135.5225372314453,NeutrophilsPercentage_Max,0-2,BD3oGFia_1027_1,0,CommonBloodTest
18.0,2271314.75,2402.66845703125,126184.15625,133.48158264160156,EosinophilCountAbsolute_Avg_chronic,0-2,BD3oGFia_1027_1,0,CommonBloodTest
12.0,846962.25,2451.75439453125,70580.1875,204.3128662109375,MeanPlateletVolume_Min,0-2,BD3oGFia_1027_1,0,CommonBloodTest
9.0,754564.125,2074.6328125,83840.4609375,230.51475524902344,NeutrophilsPercentage_Avg_chronic,0-2,BD3oGFia_1027_1,0,CommonBloodTest
4.0,627593.3125,901.12890625,156898.328125,225.2822265625,MeanCorpuscularHemoglobin_Avg_chronic,0-2,BD3oGFia_1027_1,0,CommonBloodTest
1.0,19056.95703125,46.6711311340332,19056.95703125,46.6711311340332,EosinophilCountAbsolute_Avg_acute,0-2,BD3oGFia_1027_1,0,CommonBloodTest
1.0,7966.578125,18.21220016479492,7966.578125,18.21220016479492,AbsoluteBasophilCount_Avg,0-2,BD3oGFia_1027_1,0,CommonBloodTest
4.0,3154398.5,805.86865234375,788599.625,201.4671630859375,WhiteBloodCellCount_Avg,0-2,BD3oGFia_1027_1,0,CommonBloodTest
19.0,20940534.0,7694.685546875,1102133.375,404.98345947265625,AbsoluteEosinophilCount_Avg_chronic,0-2,BD3oGFia_1027_1,0,CommonBloodTest
13.0,549226.1875,4906.2685546875,42248.16796875,377.4052734375,Hemoglobin_Avg_acute,0-2,BD3oGFia_1027_1,0,CommonBloodTest
5.0,1648743.75,890.8486938476562,329748.75,178.16973876953125,RedCellDistributionWidth_Max,0-2,BD3oGFia_1027_1,0,CommonBloodTest
11.0,1449737.0,4039.145751953125,131794.265625,367.195068359375,PlateletCount_Avg_acute,0-2,BD3oGFia_1027_1,0,CommonBloodTest
11.0,793972.5625,1022.5017700195312,72179.3203125,92.95470428466795,CReactiveProtein_Avg,0-2,BD3oGFia_1027_1,0,Immunity
1.0,30356.7734375,386.0450134277344,30356.7734375,386.0450134277344,SMRNP_Avg,0-2,BD3oGFia_1027_1,0,Autoantibody
10.0,4021460.0,3573.7236328125,402146.0,357.37237548828125,AbsoluteLymphocyteCount_Max,0-2,BD3oGFia_1027_1,0,CommonBloodTest
9.0,283566.65625,3635.635986328125,31507.40625,403.9595642089844,EggWhite_Min,0-2,BD3oGFia_1027_1,0,SpecificIgE
11.0,406829.25,1131.3133544921875,36984.4765625,102.84667205810548,ImmunoglobulinE_Max,0-2,BD3oGFia_1027_1,0,Immunity
8.0,524139.5,1107.64599609375,65517.4375,138.45574951171875,MeanCorpuscularVolume_Max,0-2,BD3oGFia_1027_1,0,CommonBloodTest
1.0,4724.25,57.97607803344727,4724.25,57.97607803344727,AntiJo1_Avg,0-2,BD3oGFia_1027_1,0,Autoantibody
3.0,115197.890625,767.72607421875,38399.296875,255.90869140625,AntiScl70_Avg_chronic,0-2,BD3oGFia_1027_1,0,Autoantibody
1.0,148093.25,206.3499298095703,148093.25,206.3499298095703,RedCellDistributionWidth_Avg,0-2,BD3oGFia_1027_1,0,CommonBloodTest
13.0,1945873.625,1745.7247314453125,149682.59375,134.28651428222656,AbsoluteNeutrophilCount_Avg_acute,0-2,BD3oGFia_1027_1,0,CommonBloodTest
13.0,2018566.625,1242.8316650390625,155274.359375,95.60243225097656,AbsoluteEosinophilCount_Min,0-2,BD3oGFia_1027_1,0,CommonBloodTest
5.0,864787.125,202.5162811279297,172957.421875,40.50325775146485,PlateletCount_Min,0-2,BD3oGFia_1027_1,0,CommonBloodTest
11.0,316750.3125,5043.47265625,28795.482421875,458.4975280761719,Cockroach_Avg_acute,0-2,BD3oGFia_1027_1,0,SpecificIgE
11.0,1397948.25,1067.7496337890625,127086.203125,97.06814575195312,MeanCorpuscularHemoglobinConcentration_Max,0-2,BD3oGFia_1027_1,0,CommonBloodTest
10.0,4216683.5,2927.9462890625,421668.34375,292.79461669921875,AbsoluteLymphocyteCount_Min,0-2,BD3oGFia_1027_1,0,CommonBloodTest
16.0,19857502.0,3930.966796875,1241093.875,245.6854248046875,PlateletDistributionWidth_Avg_chronic,0-2,BD3oGFia_1027_1,0,CommonBloodTest
10.0,798279.6875,3600.21826171875,79827.96875,360.0218200683594,RedCellDistributionWidthCV_Min,0-2,BD3oGFia_1027_1,0,CommonBloodTest
2.0,2285467.5,236.77606201171875,1142733.75,118.38803100585938,Ragweed_Min,0-2,BD3oGFia_1027_1,0,SpecificIgE
9.0,2397075.25,1148.43359375,266341.6875,127.60372924804688,EosinophilsPercentage_Max,0-2,BD3oGFia_1027_1,0,CommonBloodTest
1.0,59342.0625,101.01085662841795,59342.0625,101.01085662841795,MeanCorpuscularHemoglobinConcentration_Avg_chronic,0-2,BD3oGFia_1027_1,0,CommonBloodTest
1.0,16569.5,74.4692153930664,16569.5,74.4692153930664,Hemoglobin_Max,0-2,BD3oGFia_1027_1,0,CommonBloodTest
5.0,125554.9140625,564.8153076171875,25110.982421875,112.96305847167967,LymphocytesPercentage_Avg_acute,0-2,BD3oGFia_1027_1,0,CommonBloodTest
5.0,626931.6875,332.4998779296875,125386.3359375,66.4999771118164,EosinophilsPercentage_Avg,0-2,BD3oGFia_1027_1,0,CommonBloodTest
1.0,35834.3203125,141.58364868164062,35834.3203125,141.58364868164062,Hemoglobin_Avg,0-2,BD3oGFia_1027_1,0,CommonBloodTest
4.0,187139.171875,864.407470703125,46784.79296875,216.10186767578125,ImmunoglobulinE_Min,0-2,BD3oGFia_1027_1,0,Immunity
22.0,9635127.0,7050.955078125,437960.3125,320.4979553222656,AbsoluteNeutrophilCount_Max,0-2,BD3oGFia_1027_1,0,CommonBloodTest
5.0,774161.5,374.4118041992188,154832.296875,74.88236236572266,EosinophilsPercentage_Min,0-2,BD3oGFia_1027_1,0,CommonBloodTest
3.0,454109.0625,343.1752319335937,151369.6875,114.3917465209961,AbsoluteNeutrophilCount_Min,0-2,BD3oGFia_1027_1,0,CommonBloodTest
6.0,2087001.75,668.5501708984375,347833.625,111.4250259399414,MeanCorpuscularHemoglobinConcentration_Min,0-2,BD3oGFia_1027_1,0,CommonBloodTest
4.0,1984818.75,456.1655883789063,496204.6875,114.04139709472656,BasophilsPercentage_Avg_chronic,0-2,BD3oGFia_1027_1,0,CommonBloodTest
31.0,6073564.0,7223.04248046875,195921.421875,233.0013732910156,EosinophilCountAbsolute_Min,0-2,BD3oGFia_1027_1,0,CommonBloodTest
4.0,1202246.375,493.88128662109375,300561.59375,123.47032165527344,NeutrophilsPercentage_Min,0-2,BD3oGFia_1027_1,0,CommonBloodTest
9.0,899718.25,2229.7353515625,99968.6953125,247.7483673095703,RedCellDistributionWidthCV_Avg,0-2,BD3oGFia_1027_1,0,CommonBloodTest
1.0,58245.76171875,57.09957504272461,58245.76171875,57.09957504272461,MeanCorpuscularHemoglobinConcentration_Avg,0-2,BD3oGFia_1027_1,0,CommonBloodTest
6.0,213766.375,972.67333984375,35627.73046875,162.1122283935547,AbsoluteMonocyteCount_Max,0-2,BD3oGFia_1027_1,0,CommonBloodTest
5.0,166367.90625,262.2795104980469,33273.58203125,52.455902099609375,MeanCorpuscularHemoglobin_Min,0-2,BD3oGFia_1027_1,0,CommonBloodTest
8.0,724556.0,1948.73291015625,90569.5,243.59161376953125,NeutrophilsPercentage_Avg,0-2,BD3oGFia_1027_1,0,CommonBloodTest
1.0,100535.9375,355.3708801269531,100535.9375,355.3708801269531,LymphocytesPercentage_Min,0-2,BD3oGFia_1027_1,0,CommonBloodTest
23.0,6161149.0,2111.54345703125,267876.03125,91.80623626708984,PlateletCount_Max,0-2,BD3oGFia_1027_1,0,CommonBloodTest
11.0,2329947.0,926.2537231445312,211813.359375,84.20488739013672,PlateletDistributionWidth_Avg_acute,0-2,BD3oGFia_1027_1,0,CommonBloodTest
3.0,22674.6875,38.472843170166016,7558.22900390625,12.824280738830566,AntiDoubleStrandedDNA_Avg,0-2,BD3oGFia_1027_1,0,Autoantibody
1.0,9209.25,76.70038604736328,9209.25,76.70038604736328,Histone_Min,0-2,BD3oGFia_1027_1,0,Autoantibody
7.0,644591.4375,945.8153076171876,92084.4921875,135.11647033691406,EosinophilCountAbsolute_Max,0-2,BD3oGFia_1027_1,0,CommonBloodTest
5.0,703396.125,691.7044677734375,140679.21875,138.3408966064453,AbsoluteEosinophilCount_Max,0-2,BD3oGFia_1027_1,0,CommonBloodTest
4.0,68800.59375,488.7249755859375,17200.1484375,122.18124389648438,EosinophilCountAbsolute_Avg,0-2,BD3oGFia_1027_1,0,CommonBloodTest
7.0,3026524.0,621.863037109375,432360.5625,88.83757781982422,PlateletDistributionWidth_Max,0-2,BD3oGFia_1027_1,0,CommonBloodTest
3.0,97984.7890625,1061.6522216796875,32661.595703125,353.8840637207031,EggWhite_Avg,0-2,BD3oGFia_1027_1,0,SpecificIgE
8.0,854309.125,2297.328125,106788.640625,287.166015625,AntiDoubleStrandedDNA_Avg_chronic,0-2,BD3oGFia_1027_1,0,Autoantibody
2.0,62087.54296875,538.38720703125,31043.771484375,269.193603515625,AbsoluteMonocyteCount_Avg_acute,0-2,BD3oGFia_1027_1,0,CommonBloodTest
2.0,5419377.5,601.5842895507812,2709688.75,300.7921447753906,AbsoluteNeutrophilCount_Avg,0-2,BD3oGFia_1027_1,0,CommonBloodTest
17.0,10752094.0,5039.7802734375,632476.125,296.4576721191406,EggWhite_Avg_chronic,0-2,BD3oGFia_1027_1,0,SpecificIgE
