Importance,total_gain,total_cover,gain,cover,Feature,group,param_id,sequence_ids,Feature_group
30.0,5328499.5,3997.886962890625,177616.65625,133.2628936767578,AbsoluteNeutrophilCount_Min_acute,0-2,BD3oGFia_1027_1,0,CommonBloodTest
16.0,1286092.875,551.166259765625,80380.8046875,34.44789123535156,EosinophilCountAbsolute_Max_acute,0-2,BD3oGFia_1027_1,0,CommonBloodTest
28.0,1322850.0,586.6278686523438,47244.64453125,20.95099449157715,TotalThyroxine_Min_chronic,0-2,BD3oGFia_1027_1,0,ThyroidFunction
88.0,7875831.5,4611.6337890625,89498.0859375,52.404930114746094,MeanPlateletVolume_Max_chronic,0-2,BD3oGFia_1027_1,0,CommonBloodTest
43.0,683845.5625,2689.70263671875,15903.384765625,62.55122375488281,MonocytesPercentage_Min_chronic,0-2,BD3oGFia_1027_1,0,CommonBloodTest
36.0,11634599.0,5136.5341796875,323183.3125,142.68150329589844,CReactiveProtein_Max_acute,0-2,BD3oGFia_1027_1,0,Immunity
72.0,3300304.75,2768.416748046875,45837.56640625,38.450233459472656,AbsoluteEosinophilCount_Min_chronic,0-2,BD3oGFia_1027_1,0,CommonBloodTest
40.0,7972588.5,10569.3720703125,199314.71875,264.2343139648437,ImmunoglobulinE_Max_chronic,0-2,BD3oGFia_1027_1,0,Immunity
12.0,273762.40625,283.0875244140625,22813.533203125,23.59062767028809,EosinophilCountAbsolute_Min_acute,0-2,BD3oGFia_1027_1,0,CommonBloodTest
7.0,2421541.0,711.0562744140625,345934.4375,101.5794677734375,RedBloodCellCount_Avg_acute,0-2,BD3oGFia_1027_1,0,CommonBloodTest
3.0,892424.3125,587.4857788085938,297474.78125,195.8285980224609,Hematocrit_Max_acute,0-2,BD3oGFia_1027_1,0,CommonBloodTest
57.0,4093950.5,2184.026611328125,71823.6953125,38.31625747680664,MeanCorpuscularHemoglobin_Min_chronic,0-2,BD3oGFia_1027_1,0,CommonBloodTest
37.0,3914583.25,3241.079833984375,105799.546875,87.59675598144531,PlateletCount_Avg_chronic,0-2,BD3oGFia_1027_1,0,CommonBloodTest
2.0,452497.6875,684.0015869140625,226248.84375,342.00079345703125,Hematocrit_Avg_acute,0-2,BD3oGFia_1027_1,0,CommonBloodTest
9.0,276545.53125,1977.587158203125,30727.28125,219.73190307617188,MeanCorpuscularHemoglobinConcentration_Min_acute,0-2,BD3oGFia_1027_1,0,CommonBloodTest
13.0,867872.4375,1402.1175537109375,66759.421875,107.85519409179688,AntiScl70_Max_chronic,0-2,BD3oGFia_1027_1,0,Autoantibody
29.0,3958996.5,4306.1201171875,136517.125,148.48690795898438,MeanCorpuscularHemoglobin_Max_acute,0-2,BD3oGFia_1027_1,0,CommonBloodTest
