Importance,total_gain,total_cover,gain,cover,Feature,group,param_id,sequence_ids,Feature_group
58.0,1520419.125,737.351806640625,26214.123046875,12.71296215057373,Gender,0-2,BD3oGFia_1168_1,0,Clinical
64.0,8104855.0,3633.404296875,126638.359375,56.77194213867188,FirstVisitAge,0-2,BD3oGFia_1168_1,0,Clinical
4.0,16914.06640625,92.91299438476562,4228.5166015625,23.228248596191406,CIndU,0-2,BD3oGFia_1168_1,0,Clinical
51.0,1149401.75,1314.8934326171875,22537.2890625,25.782224655151367,Hematocrit_Avg,0-2,BD3oGFia_1168_1,0,CommonBloodTest
29.0,209540.21875,506.7580871582031,7225.52490234375,17.474416732788086,Hematocrit_Max,0-2,BD3oGFia_1168_1,0,CommonBloodTest
15.0,137121.28125,376.5758056640625,9141.4189453125,25.105052947998047,Hematocrit_Min,0-2,BD3oGFia_1168_1,0,CommonBloodTest
9.0,86682.3984375,461.8376159667969,9631.3779296875,51.31529235839844,Hematocrit_Avg_acute,0-2,BD3oGFia_1168_1,0,CommonBloodTest
7.0,9318.091796875,105.05948638916016,1331.156005859375,15.008498191833496,Hematocrit_Avg_chronic,0-2,BD3oGFia_1168_1,0,CommonBloodTest
60.0,2178879.75,2747.1669921875,36314.6640625,45.78611755371094,LymphocytesPercentage_Avg,0-2,BD3oGFia_1168_1,0,CommonBloodTest
62.0,2566518.5,2507.099853515625,41395.4609375,40.43709564208984,LymphocytesPercentage_Max,0-2,BD3oGFia_1168_1,0,CommonBloodTest
24.0,919184.125,496.2108459472656,38299.33984375,20.675451278686523,LymphocytesPercentage_Min,0-2,BD3oGFia_1168_1,0,CommonBloodTest
7.0,1829150.625,1166.6279296875,261307.234375,166.6611328125,LymphocytesPercentage_Avg_acute,0-2,BD3oGFia_1168_1,0,CommonBloodTest
6.0,106578.9140625,550.1038208007812,17763.15234375,91.68396759033205,LymphocytesPercentage_Avg_chronic,0-2,BD3oGFia_1168_1,0,CommonBloodTest
20.0,1796757.625,2910.9619140625,89837.8828125,145.548095703125,NeutrophilsPercentage_Avg,0-2,BD3oGFia_1168_1,0,CommonBloodTest
14.0,458230.8125,595.7324829101562,32730.771484375,42.55231857299805,NeutrophilsPercentage_Max,0-2,BD3oGFia_1168_1,0,CommonBloodTest
8.0,743863.3125,781.212158203125,92982.9140625,97.65151977539062,NeutrophilsPercentage_Min,0-2,BD3oGFia_1168_1,0,CommonBloodTest
11.0,879943.9375,1547.6968994140625,79994.90625,140.69972229003906,NeutrophilsPercentage_Avg_acute,0-2,BD3oGFia_1168_1,0,CommonBloodTest
6.0,89973.828125,1173.140869140625,14995.6376953125,195.5234832763672,NeutrophilsPercentage_Avg_chronic,0-2,BD3oGFia_1168_1,0,CommonBloodTest
26.0,1280690.625,2628.508544921875,49257.33203125,101.0964813232422,MonocytesPercentage_Avg,0-2,BD3oGFia_1168_1,0,CommonBloodTest
24.0,1383363.75,967.9313354492188,57640.15625,40.33047103881836,MonocytesPercentage_Max,0-2,BD3oGFia_1168_1,0,CommonBloodTest
4.0,53053.66015625,204.51744079589844,13263.4150390625,51.12936019897461,MonocytesPercentage_Min,0-2,BD3oGFia_1168_1,0,CommonBloodTest
2.0,27162.435546875,513.9774780273438,13581.2177734375,256.9887390136719,MonocytesPercentage_Avg_chronic,0-2,BD3oGFia_1168_1,0,CommonBloodTest
26.0,3167948.25,1871.2939453125,121844.1640625,71.97284698486328,MeanCorpuscularHemoglobinConcentration_Avg,0-2,BD3oGFia_1168_1,0,CommonBloodTest
9.0,393048.5625,958.2459716796876,43672.0625,106.47177124023438,MeanCorpuscularHemoglobinConcentration_Max,0-2,BD3oGFia_1168_1,0,CommonBloodTest
12.0,313175.90625,443.44427490234375,26097.9921875,36.95368957519531,MeanCorpuscularHemoglobinConcentration_Min,0-2,BD3oGFia_1168_1,0,CommonBloodTest
3.0,76430.46875,121.0582275390625,25476.822265625,40.35274124145508,MeanCorpuscularHemoglobinConcentration_Avg_acute,0-2,BD3oGFia_1168_1,0,CommonBloodTest
13.0,1919849.75,938.69873046875,147680.75,72.20759582519531,MeanCorpuscularHemoglobinConcentration_Avg_chronic,0-2,BD3oGFia_1168_1,0,CommonBloodTest
17.0,297639.46875,907.0100708007812,17508.203125,53.35353469848633,PlateletCount_Avg,0-2,BD3oGFia_1168_1,0,CommonBloodTest
24.0,2584713.25,1700.774658203125,107696.3828125,70.86560821533203,PlateletCount_Max,0-2,BD3oGFia_1168_1,0,CommonBloodTest
13.0,2170336.25,1117.67919921875,166948.9375,85.97532653808594,PlateletCount_Min,0-2,BD3oGFia_1168_1,0,CommonBloodTest
9.0,978488.875,3391.7509765625,108720.984375,376.8612060546875,PlateletCount_Avg_acute,0-2,BD3oGFia_1168_1,0,CommonBloodTest
13.0,712115.1875,3569.179931640625,54778.08984375,274.55230712890625,PlateletCount_Avg_chronic,0-2,BD3oGFia_1168_1,0,CommonBloodTest
19.0,3761600.25,2188.56689453125,197978.953125,115.18772888183594,WhiteBloodCellCount_Avg,0-2,BD3oGFia_1168_1,0,CommonBloodTest
9.0,1982064.25,1356.4022216796875,220229.359375,150.71136474609375,WhiteBloodCellCount_Max,0-2,BD3oGFia_1168_1,0,CommonBloodTest
5.0,2179645.75,649.8258056640625,435929.15625,129.9651641845703,WhiteBloodCellCount_Min,0-2,BD3oGFia_1168_1,0,CommonBloodTest
8.0,273639.59375,2784.051513671875,34204.94921875,348.0064392089844,WhiteBloodCellCount_Avg_acute,0-2,BD3oGFia_1168_1,0,CommonBloodTest
2.0,712039.375,136.17910766601562,356019.6875,68.08955383300781,WhiteBloodCellCount_Avg_chronic,0-2,BD3oGFia_1168_1,0,CommonBloodTest
11.0,301063.625,356.0533752441406,27369.419921875,32.36848831176758,MeanCorpuscularHemoglobin_Avg,0-2,BD3oGFia_1168_1,0,CommonBloodTest
6.0,157253.078125,293.5638427734375,26208.845703125,48.92730712890625,MeanCorpuscularHemoglobin_Max,0-2,BD3oGFia_1168_1,0,CommonBloodTest
5.0,849595.8125,315.7919311523437,169919.15625,63.15838623046875,MeanCorpuscularHemoglobin_Min,0-2,BD3oGFia_1168_1,0,CommonBloodTest
9.0,3043809.75,2746.305419921875,338201.09375,305.1450500488281,MeanCorpuscularHemoglobin_Avg_acute,0-2,BD3oGFia_1168_1,0,CommonBloodTest
