Importance,total_gain,total_cover,gain,cover,Feature,group,param_id,sequence_ids,Feature_group
43.0,555471.5625,1750.2657470703125,12917.943359375,40.70385360717773,Gender,0-2,Itr01zQY_1007_1,0,Clinical
92.0,4049857.75,14376.3515625,44020.19140625,156.2646942138672,FirstVisitAge,0-2,Itr01zQY_1007_1,0,Clinical
9.0,84607.765625,312.02197265625,9400.86328125,34.66910934448242,CIndU,0-2,Itr01zQY_1007_1,0,Clinical
90.0,2918393.75,9212.4072265625,32426.59765625,102.36007690429688,Hematocrit_Avg,0-2,Itr01zQY_1007_1,0,CommonBloodTest
47.0,773040.6875,3427.909423828125,16447.673828125,72.93424224853516,Hematocrit_Max,0-2,Itr01zQY_1007_1,0,CommonBloodTest
32.0,423439.15625,2372.474853515625,13232.4736328125,74.13983917236328,Hematocrit_Min,0-2,Itr01zQY_1007_1,0,CommonBloodTest
157.0,4846866.5,10400.98046875,30871.76171875,66.24828338623047,LymphocytesPercentage_Avg,0-2,Itr01zQY_1007_1,0,CommonBloodTest
109.0,2215550.75,5926.6337890625,20326.154296875,54.37278747558594,LymphocytesPercentage_Max,0-2,Itr01zQY_1007_1,0,CommonBloodTest
77.0,1118869.875,4907.33837890625,14530.77734375,63.731666564941406,LymphocytesPercentage_Min,0-2,Itr01zQY_1007_1,0,CommonBloodTest
118.0,3546426.0,13528.46875,30054.45703125,114.64804077148438,NeutrophilsPercentage_Avg,0-2,Itr01zQY_1007_1,0,CommonBloodTest
93.0,3205280.75,8790.517578125,34465.3828125,94.52169799804688,NeutrophilsPercentage_Max,0-2,Itr01zQY_1007_1,0,CommonBloodTest
130.0,3137685.5,11839.6513671875,24136.04296875,91.0742416381836,NeutrophilsPercentage_Min,0-2,Itr01zQY_1007_1,0,CommonBloodTest
39.0,728692.6875,2041.0028076171875,18684.427734375,52.333404541015625,MonocytesPercentage_Avg,0-2,Itr01zQY_1007_1,0,CommonBloodTest
44.0,431523.65625,2036.51123046875,9807.35546875,46.28434753417969,MonocytesPercentage_Max,0-2,Itr01zQY_1007_1,0,CommonBloodTest
33.0,422726.78125,1481.70947265625,12809.90234375,44.90028762817383,MonocytesPercentage_Min,0-2,Itr01zQY_1007_1,0,CommonBloodTest
83.0,2353504.5,5193.43359375,28355.4765625,62.57148742675781,MeanCorpuscularHemoglobinConcentration_Avg,0-2,Itr01zQY_1007_1,0,CommonBloodTest
