Importance,total_gain,total_cover,gain,cover,Feature,group,param_id,sequence_ids,Feature_group
82.0,1325921.125,4783.77392578125,16169.76953125,58.33870697021485,Hemoglobin_Max,0-2,Itr01zQY_1007_1,0,CommonBloodTest
89.0,1543484.25,3742.45458984375,17342.51953125,42.050052642822266,BasophilsPercentage_Max,0-2,Itr01zQY_1007_1,0,CommonBloodTest
33.0,1419564.75,4468.087890625,43017.11328125,135.3966064453125,ImmunoglobulinE_Avg,0-2,Itr01zQY_1007_1,0,Immunity
1.0,6506.982421875,140.52615356445312,6506.982421875,140.52615356445312,SMRNP_Min,0-2,Itr01zQY_1007_1,0,Autoantibody
199.0,5060656.0,15673.9619140625,25430.431640625,78.76362609863281,MeanCorpuscularVolume_Avg,0-2,Itr01zQY_1007_1,0,CommonBloodTest
82.0,2429339.5,8066.20703125,29626.091796875,98.36837768554688,AbsoluteMonocyteCount_Avg,0-2,Itr01zQY_1007_1,0,CommonBloodTest
16.0,106321.171875,1349.62255859375,6645.0732421875,84.35140991210938,TotalThyroxine_Avg,0-2,Itr01zQY_1007_1,0,ThyroidFunction
86.0,4190198.25,11460.3349609375,48723.234375,133.25970458984375,EosinophilCountAbsolute_Avg,0-2,Itr01zQY_1007_1,0,CommonBloodTest
40.0,898801.625,1669.6494140625,22470.041015625,41.7412338256836,RedBloodCellCount_Min,0-2,Itr01zQY_1007_1,0,CommonBloodTest
60.0,1707705.375,4077.239990234375,28461.755859375,67.9540023803711,RedBloodCellCount_Max,0-2,Itr01zQY_1007_1,0,CommonBloodTest
8.0,347102.1875,1286.790771484375,43387.7734375,160.84884643554688,ReverseTriiodothyronine_Min,0-2,Itr01zQY_1007_1,0,ThyroidFunction
45.0,890362.6875,2855.107177734375,19785.837890625,63.44682693481445,AbsoluteMonocyteCount_Min,0-2,Itr01zQY_1007_1,0,CommonBloodTest
2.0,45330.5,311.2943115234375,22665.25,155.64715576171875,CIndU,0-2,Itr01zQY_1007_1,0,Clinical
72.0,3000019.5,8253.2646484375,41666.9375,114.62867736816406,AbsoluteNeutrophilCount_Min,0-2,Itr01zQY_1007_1,0,CommonBloodTest
67.0,6345552.0,11697.72265625,94709.734375,174.59288024902344,RedCellDistributionWidth_Avg,0-2,Itr01zQY_1007_1,0,CommonBloodTest
42.0,1363478.625,5070.14013671875,32463.77734375,120.71762084960938,AbsoluteLymphocyteCount_Max,0-2,Itr01zQY_1007_1,0,CommonBloodTest
58.0,2204783.25,6568.3740234375,38013.50390625,113.2478256225586,AbsoluteLymphocyteCount_Min,0-2,Itr01zQY_1007_1,0,CommonBloodTest
153.0,4396943.5,18279.771484375,28738.193359375,119.4756317138672,RedCellDistributionWidthCV_Avg,0-2,Itr01zQY_1007_1,0,CommonBloodTest
136.0,3800456.5,18045.3671875,27944.533203125,132.6865234375,EosinophilsPercentage_Max,0-2,Itr01zQY_1007_1,0,CommonBloodTest
53.0,1675204.375,3953.685302734375,31607.62890625,74.59783935546875,MeanCorpuscularHemoglobinConcentration_Max,0-2,Itr01zQY_1007_1,0,CommonBloodTest
99.0,12799045.0,28217.9375,129283.28125,285.0296630859375,EosinophilCountAbsolute_Min,0-2,Itr01zQY_1007_1,0,CommonBloodTest
51.0,5181587.5,11262.013671875,101599.7578125,220.82379150390625,RedCellDistributionWidth_Min,0-2,Itr01zQY_1007_1,0,CommonBloodTest
104.0,5570621.5,16499.140625,53563.66796875,158.6455841064453,AbsoluteEosinophilCount_Max,0-2,Itr01zQY_1007_1,0,CommonBloodTest
125.0,9453752.0,16914.603515625,75630.015625,135.31683349609375,EosinophilsPercentage_Avg,0-2,Itr01zQY_1007_1,0,CommonBloodTest
2.0,45805.71875,212.67921447753903,22902.859375,106.33960723876952,CentromereProteinB_Min,0-2,Itr01zQY_1007_1,0,Autoantibody
29.0,1104929.5,4024.56640625,38101.015625,138.7781524658203,AbsoluteLymphocyteCount_Avg,0-2,Itr01zQY_1007_1,0,CommonBloodTest
128.0,3932344.0,13269.2421875,30721.4375,103.66595458984376,MeanCorpuscularVolume_Max,0-2,Itr01zQY_1007_1,0,CommonBloodTest
16.0,567008.3125,4261.76904296875,35438.01953125,266.3605651855469,DogDander_Max,0-2,Itr01zQY_1007_1,0,SpecificIgE
4.0,21691.54296875,286.4041748046875,5422.8857421875,71.60104370117188,TotalThyroxine_Max,0-2,Itr01zQY_1007_1,0,ThyroidFunction
103.0,3232790.25,8351.2900390625,31386.3125,81.08048248291016,MeanCorpuscularVolume_Min,0-2,Itr01zQY_1007_1,0,CommonBloodTest
21.0,1067562.375,4378.22412109375,50836.3046875,208.4868621826172,RedCellDistributionWidth_Max,0-2,Itr01zQY_1007_1,0,CommonBloodTest
93.0,3535141.25,7600.44287109375,38012.2734375,81.72518920898438,CReactiveProtein_Avg,0-2,Itr01zQY_1007_1,0,Immunity
32.0,2602006.5,4610.14990234375,81312.703125,144.0671844482422,Ragweed_Max,0-2,Itr01zQY_1007_1,0,SpecificIgE
