Importance,total_gain,total_cover,gain,cover,Feature,group,param_id,sequence_ids,Feature_group
96.0,6624911.5,9666.46875,69009.4921875,100.6923828125,FirstVisitAge,0-2,KgZO7P3z_168_1,0,Clinical
76.0,6254007.0,2648.424560546875,82289.5625,34.84769058227539,Gender,0-2,KgZO7P3z_168_1,0,Clinical
78.0,3527307.25,2470.55126953125,45221.88671875,31.673734664916992,Hematocrit_Avg,0-2,KgZO7P3z_168_1,0,CommonBloodTest
208.0,40707420.0,12449.4111328125,195708.75,59.85293960571289,LymphocytesPercentage_Avg,0-2,KgZO7P3z_168_1,0,CommonBloodTest
183.0,72162496.0,27411.037109375,394330.59375,149.78709411621094,MeanCorpuscularHemoglobinConcentration_Avg,0-2,KgZO7P3z_168_1,0,CommonBloodTest
95.0,9004766.0,7568.0400390625,94787.0078125,79.66358184814453,MonocytesPercentage_Avg,0-2,KgZO7P3z_168_1,0,CommonBloodTest
222.0,22780942.0,16905.193359375,102616.859375,76.14952087402344,MeanPlateletVolume_Avg,0-2,KgZO7P3z_168_1,0,CommonBloodTest
48.0,10244474.0,7663.8505859375,213426.546875,159.66355895996094,TotalThyroxine_Avg,0-2,KgZO7P3z_168_1,0,ThyroidFunction
171.0,55686380.0,23419.06640625,325651.34375,136.95359802246094,MeanCorpuscularHemoglobin_Avg,0-2,KgZO7P3z_168_1,0,CommonBloodTest
26.0,4594379.5,2836.741455078125,176706.90625,109.10543823242188,ImmunoglobulinE_Avg,0-2,KgZO7P3z_168_1,0,Immunity
92.0,16897196.0,5663.2568359375,183665.171875,61.5571403503418,RedCellDistributionWidthCV_Avg,0-2,KgZO7P3z_168_1,0,CommonBloodTest
46.0,20772996.0,8289.3037109375,451586.875,180.20225524902344,EggWhite_Avg,0-2,KgZO7P3z_168_1,0,SpecificIgE
103.0,103045488.0,24261.23828125,1000441.625,235.54600524902344,DogDander_Avg,0-2,KgZO7P3z_168_1,0,SpecificIgE
117.0,44961984.0,19940.7421875,384290.46875,170.43370056152344,Hematocrit_Max,0-2,KgZO7P3z_168_1,0,CommonBloodTest
131.0,15233899.0,9386.6142578125,116289.3046875,71.6535415649414,LymphocytesPercentage_Max,0-2,KgZO7P3z_168_1,0,CommonBloodTest
13.0,1265490.5,654.5657958984375,97345.421875,50.35121536254883,Hematocrit_Min,0-2,KgZO7P3z_168_1,0,CommonBloodTest
222.0,139713568.0,58947.4609375,629340.375,265.52911376953125,MeanCorpuscularVolume_Max,0-2,KgZO7P3z_168_1,0,CommonBloodTest
49.0,10128146.0,6323.83984375,206696.859375,129.05795288085938,MonocytesPercentage_Max,0-2,KgZO7P3z_168_1,0,CommonBloodTest
88.0,16927380.0,7987.8740234375,192356.59375,90.77129364013672,MeanPlateletVolume_Min,0-2,KgZO7P3z_168_1,0,CommonBloodTest
82.0,20469156.0,10173.0078125,249623.859375,124.06107330322266,MeanCorpuscularHemoglobinConcentration_Min,0-2,KgZO7P3z_168_1,0,CommonBloodTest
108.0,21890066.0,8006.998046875,202685.796875,74.13887023925781,MeanCorpuscularVolume_Avg,0-2,KgZO7P3z_168_1,0,CommonBloodTest
85.0,17282042.0,5260.6220703125,203318.140625,61.8896713256836,LymphocytesPercentage_Min,0-2,KgZO7P3z_168_1,0,CommonBloodTest
131.0,16412619.0,7775.447265625,125287.1640625,59.35456085205078,PlateletCount_Avg,0-2,KgZO7P3z_168_1,0,CommonBloodTest
104.0,20307154.0,7136.9951171875,195261.09375,68.62495422363281,MeanPlateletVolume_Max,0-2,KgZO7P3z_168_1,0,CommonBloodTest
11.0,3720488.75,467.60986328125,338226.25,42.509986877441406,RyeGrass_Avg,0-2,KgZO7P3z_168_1,0,SpecificIgE
21.0,2175674.25,3408.177001953125,103603.5390625,162.2941436767578,Total25HydroxyVitaminD_Avg,0-2,KgZO7P3z_168_1,0,Immunity
67.0,18768088.0,16685.880859375,280120.71875,249.04299926757807,RedBloodCellCount_Avg,0-2,KgZO7P3z_168_1,0,CommonBloodTest
67.0,13754834.0,4000.04931640625,205296.03125,59.70222854614258,PlateletDistributionWidth_Avg,0-2,KgZO7P3z_168_1,0,CommonBloodTest
53.0,19475768.0,16539.064453125,367467.3125,312.0578308105469,Hemoglobin_Avg,0-2,KgZO7P3z_168_1,0,CommonBloodTest
60.0,3389773.75,4447.578125,56496.23046875,74.12630462646484,AbsoluteLymphocyteCount_Avg,0-2,KgZO7P3z_168_1,0,CommonBloodTest
78.0,15704735.0,5540.57666015625,201342.75,71.03303527832031,EosinophilCountAbsolute_Avg,0-2,KgZO7P3z_168_1,0,CommonBloodTest
31.0,5836136.0,4278.15234375,188262.453125,138.00491333007812,TotalTriiodothyronine_Avg,0-2,KgZO7P3z_168_1,0,ThyroidFunction
