Importance,total_gain,total_cover,gain,cover,Feature,group,param_id,sequence_ids,Feature_group
5.0,2.1512184143066406,41843.94140625,0.4302436709403991,8368.7880859375,FirstVisitAge,0-2,KgZO7P3z_110_1,0,Clinical
9.0,10.06304931640625,61061.4296875,1.1181166172027588,6784.603515625,Hematocrit_Avg,0-2,KgZO7P3z_110_1,0,CommonBloodTest
33.0,22.68157958984375,71151.828125,0.6873205900192261,2156.115966796875,LymphocytesPercentage_Avg,0-2,KgZO7P3z_110_1,0,CommonBloodTest
22.0,18.08726501464844,235595.6875,0.8221483826637268,10708.89453125,MeanCorpuscularHemoglobinConcentration_Avg,0-2,KgZO7P3z_110_1,0,CommonBloodTest
5.0,2.88482666015625,13974.5576171875,0.57696533203125,2794.91162109375,MonocytesPercentage_Avg,0-2,KgZO7P3z_110_1,0,CommonBloodTest
34.0,27.37981414794922,224335.09375,0.8052886724472046,6598.0908203125,MeanPlateletVolume_Avg,0-2,KgZO7P3z_110_1,0,CommonBloodTest
2.0,0.675018310546875,8691.98046875,0.3375091552734375,4345.990234375,TotalThyroxine_Avg,0-2,KgZO7P3z_110_1,0,ThyroidFunction
57.0,88.77462768554688,783351.5,1.5574495792388916,13743.0087890625,MeanCorpuscularHemoglobin_Avg,0-2,KgZO7P3z_110_1,0,CommonBloodTest
8.0,3.49237060546875,60380.859375,0.4365463256835937,7547.607421875,ImmunoglobulinE_Avg,0-2,KgZO7P3z_110_1,0,Immunity
15.0,10.227890014648438,40874.80859375,0.6818593144416809,2724.9873046875,RedCellDistributionWidthCV_Avg,0-2,KgZO7P3z_110_1,0,CommonBloodTest
6.0,5.11773681640625,38173.15234375,0.8529561161994934,6362.19189453125,EggWhite_Avg,0-2,KgZO7P3z_110_1,0,SpecificIgE
23.0,23.713134765625,228933.53125,1.031005859375,9953.6318359375,DogDander_Avg,0-2,KgZO7P3z_110_1,0,SpecificIgE
7.0,6.142364501953125,112484.28125,0.8774806261062622,16069.1826171875,Hematocrit_Max,0-2,KgZO7P3z_110_1,0,CommonBloodTest
20.0,20.50889587402344,222524.6875,1.025444746017456,11126.234375,LymphocytesPercentage_Max,0-2,KgZO7P3z_110_1,0,CommonBloodTest
5.0,13.309783935546877,68070.7265625,2.661956787109375,13614.1455078125,Hematocrit_Min,0-2,KgZO7P3z_110_1,0,CommonBloodTest
53.0,207.41748046875,1418766.125,3.9135372638702393,26769.171875,MeanCorpuscularVolume_Max,0-2,KgZO7P3z_110_1,0,CommonBloodTest
2.0,0.71038818359375,10918.8515625,0.355194091796875,5459.42578125,MonocytesPercentage_Max,0-2,KgZO7P3z_110_1,0,CommonBloodTest
21.0,18.11865997314453,196512.5,0.8627933263778687,9357.73828125,MeanPlateletVolume_Min,0-2,KgZO7P3z_110_1,0,CommonBloodTest
21.0,16.98309326171875,247332.5,0.808718740940094,11777.73828125,MeanCorpuscularHemoglobinConcentration_Min,0-2,KgZO7P3z_110_1,0,CommonBloodTest
25.0,68.58540344238281,481236.5625,2.7434160709381104,19249.462890625,MeanCorpuscularVolume_Avg,0-2,KgZO7P3z_110_1,0,CommonBloodTest
21.0,20.016921997070312,60150.703125,0.9531867504119872,2864.319091796875,LymphocytesPercentage_Min,0-2,KgZO7P3z_110_1,0,CommonBloodTest
22.0,17.894500732421875,193808.046875,0.8133863806724548,8809.45703125,PlateletCount_Avg,0-2,KgZO7P3z_110_1,0,CommonBloodTest
13.0,10.142494201660156,155878.828125,0.7801918387413025,11990.6787109375,MeanPlateletVolume_Max,0-2,KgZO7P3z_110_1,0,CommonBloodTest
19.0,20.365234375,346368.34375,1.0718544721603394,18229.912109375,Total25HydroxyVitaminD_Avg,0-2,KgZO7P3z_110_1,0,Immunity
