Importance,total_gain,total_cover,gain,cover,Feature,group,param_id,sequence_ids,Feature_group
2.0,2.9277145862579346,53.43655776977539,1.4638572931289673,26.71827888488769,FirstVisitAge,0-2,ZpoUyrIC_147_1,0,Clinical
2.0,6.902752876281738,140.62081909179688,3.451376438140869,70.31040954589844,Hematocrit_Avg,0-2,ZpoUyrIC_147_1,0,CommonBloodTest
2.0,5.271595001220703,284.5336303710937,2.635797500610352,142.26681518554688,Hematocrit_Min,0-2,ZpoUyrIC_147_1,0,CommonBloodTest
5.0,15.13962745666504,174.7649688720703,3.027925491333008,34.95299530029297,LymphocytesPercentage_Avg,0-2,ZpoUyrIC_147_1,0,CommonBloodTest
3.0,5.657557010650635,111.3470687866211,1.885852336883545,37.11568832397461,LymphocytesPercentage_Max,0-2,ZpoUyrIC_147_1,0,CommonBloodTest
1.0,6.36814022064209,35.96982192993164,6.36814022064209,35.96982192993164,LymphocytesPercentage_Min,0-2,ZpoUyrIC_147_1,0,CommonBloodTest
5.0,14.337093353271484,200.60964965820312,2.8674187660217285,40.12192916870117,NeutrophilsPercentage_Min,0-2,ZpoUyrIC_147_1,0,CommonBloodTest
1.0,2.452455997467041,23.58978271484375,2.452455997467041,23.58978271484375,MonocytesPercentage_Avg,0-2,ZpoUyrIC_147_1,0,CommonBloodTest
1.0,3.811356544494629,45.66781234741211,3.811356544494629,45.66781234741211,MonocytesPercentage_Min,0-2,ZpoUyrIC_147_1,0,CommonBloodTest
1.0,1.1612544059753418,25.174972534179688,1.1612544059753418,25.174972534179688,MeanCorpuscularHemoglobinConcentration_Avg,0-2,ZpoUyrIC_147_1,0,CommonBloodTest
5.0,8.514567375183105,151.3027801513672,1.702913522720337,30.260555267333984,PlateletCount_Avg,0-2,ZpoUyrIC_147_1,0,CommonBloodTest
2.0,3.5726475715637207,54.39955139160156,1.7863237857818604,27.19977569580078,PlateletCount_Min,0-2,ZpoUyrIC_147_1,0,CommonBloodTest
7.0,22.031797409057617,484.42523193359375,3.147399663925171,69.20360565185547,WhiteBloodCellCount_Avg,0-2,ZpoUyrIC_147_1,0,CommonBloodTest
