Importance,total_gain,total_cover,gain,cover,Feature,group,param_id,sequence_ids,Feature_group
40.0,47.047950744628906,71185352.0,1.1761987209320068,1779633.75,FirstVisitAge,0-2,lcMYyo0V_300_1,0,Clinical
48.0,75.90862274169922,574448.5625,1.5814296007156372,11967.6787109375,Gender,0-2,lcMYyo0V_300_1,0,Clinical
87.0,296.5780334472656,335488544.0,3.408942937850952,3856190.25,Hematocrit_Avg,0-2,lcMYyo0V_300_1,0,CommonBloodTest
141.0,532.5057373046875,835130944.0,3.7766363620758057,5922914.5,LymphocytesPercentage_Avg,0-2,lcMYyo0V_300_1,0,CommonBloodTest
65.0,565.37744140625,455712064.0,8.698114395141602,7010955.0,MeanCorpuscularHemoglobinConcentration_Avg,0-2,lcMYyo0V_300_1,0,CommonBloodTest
60.0,306.91680908203125,414766784.0,5.115280151367188,6912779.5,MonocytesPercentage_Avg,0-2,lcMYyo0V_300_1,0,CommonBloodTest
105.0,694.6755981445312,551061056.0,6.615958213806152,5248200.5,MeanPlateletVolume_Avg,0-2,lcMYyo0V_300_1,0,CommonBloodTest
32.0,225.77389526367188,7329788.5,7.055434226989746,229055.890625,TotalThyroxine_Avg,0-2,lcMYyo0V_300_1,0,ThyroidFunction
94.0,716.8443603515625,204318784.0,7.626003742218018,2173604.0,MeanCorpuscularHemoglobin_Avg,0-2,lcMYyo0V_300_1,0,CommonBloodTest
20.0,144.51011657714844,1627673.5,7.225505828857422,81383.671875,ImmunoglobulinE_Avg,0-2,lcMYyo0V_300_1,0,Immunity
34.0,94.26197814941406,189889408.0,2.772411108016968,5584982.5,RedCellDistributionWidthCV_Avg,0-2,lcMYyo0V_300_1,0,CommonBloodTest
11.0,95.19950103759766,5471588.0,8.654500007629395,497417.09375,EggWhite_Avg,0-2,lcMYyo0V_300_1,0,SpecificIgE
45.0,961.9723510742188,42171112.0,21.37716293334961,937135.8125,DogDander_Avg,0-2,lcMYyo0V_300_1,0,SpecificIgE
32.0,93.0356903076172,386131040.0,2.907365322113037,12066595.0,Hematocrit_Max,0-2,lcMYyo0V_300_1,0,CommonBloodTest
33.0,206.3177490234375,535750528.0,6.2520527839660645,16234864.0,LymphocytesPercentage_Max,0-2,lcMYyo0V_300_1,0,CommonBloodTest
14.0,40.1350212097168,1807504.625,2.8667871952056885,129107.4765625,Hematocrit_Min,0-2,lcMYyo0V_300_1,0,CommonBloodTest
70.0,1679.125244140625,439337376.0,23.98750305175781,6276248.0,MeanCorpuscularVolume_Max,0-2,lcMYyo0V_300_1,0,CommonBloodTest
20.0,158.66876220703125,14181172.0,7.933438301086426,709058.625,MonocytesPercentage_Max,0-2,lcMYyo0V_300_1,0,CommonBloodTest
42.0,270.7911376953125,391216480.0,6.447408199310303,9314678.0,MeanPlateletVolume_Min,0-2,lcMYyo0V_300_1,0,CommonBloodTest
24.0,356.27801513671875,14341934.0,14.84491729736328,597580.5625,MeanCorpuscularHemoglobinConcentration_Min,0-2,lcMYyo0V_300_1,0,CommonBloodTest
33.0,241.1910095214844,234672256.0,7.308818340301514,7111280.5,MeanCorpuscularVolume_Avg,0-2,lcMYyo0V_300_1,0,CommonBloodTest
19.0,75.20101928710938,210165104.0,3.957948446273804,11061321.0,LymphocytesPercentage_Min,0-2,lcMYyo0V_300_1,0,CommonBloodTest
26.0,79.367431640625,214875520.0,3.052593469619751,8264443.0,PlateletCount_Avg,0-2,lcMYyo0V_300_1,0,CommonBloodTest
28.0,130.7974853515625,139860416.0,4.6713385581970215,4995015.0,MeanPlateletVolume_Max,0-2,lcMYyo0V_300_1,0,CommonBloodTest
1.0,1.3303565979003906,682.7185668945312,1.3303565979003906,682.7185668945312,RyeGrass_Avg,0-2,lcMYyo0V_300_1,0,SpecificIgE
15.0,556.1550903320312,614825.875,37.07700729370117,40988.390625,Total25HydroxyVitaminD_Avg,0-2,lcMYyo0V_300_1,0,Immunity
25.0,826.99072265625,41005832.0,33.079627990722656,1640233.25,RedBloodCellCount_Avg,0-2,lcMYyo0V_300_1,0,CommonBloodTest
21.0,83.54131317138672,205958512.0,3.978157758712769,9807548.0,PlateletDistributionWidth_Avg,0-2,lcMYyo0V_300_1,0,CommonBloodTest
21.0,293.2413635253906,15612349.0,13.963874816894531,743445.1875,Hemoglobin_Avg,0-2,lcMYyo0V_300_1,0,CommonBloodTest
17.0,87.48877716064453,56558968.0,5.146398544311523,3326998.0,AbsoluteLymphocyteCount_Avg,0-2,lcMYyo0V_300_1,0,CommonBloodTest
30.0,107.83523559570312,75860592.0,3.594507932662964,2528686.5,EosinophilCountAbsolute_Avg,0-2,lcMYyo0V_300_1,0,CommonBloodTest
8.0,38.9455451965332,1687669.125,4.86819314956665,210958.640625,TotalTriiodothyronine_Avg,0-2,lcMYyo0V_300_1,0,ThyroidFunction
15.0,131.7506103515625,2459854.5,8.783373832702637,163990.296875,AbsoluteLymphocyteCount_Min,0-2,lcMYyo0V_300_1,0,CommonBloodTest
3.0,15.8671875,616185.5625,5.2890625,205395.1875,TotalTriiodothyronine_Min,0-2,lcMYyo0V_300_1,0,ThyroidFunction
31.0,200.781494140625,275730720.0,6.476822376251221,8894539.0,NeutrophilsPercentage_Avg,0-2,lcMYyo0V_300_1,0,CommonBloodTest
24.0,227.237060546875,46380172.0,9.46821117401123,1932507.125,RedCellDistributionWidth_Avg,0-2,lcMYyo0V_300_1,0,CommonBloodTest
18.0,90.02285766601562,92980144.0,5.001269817352295,5165563.5,PlateletCount_Max,0-2,lcMYyo0V_300_1,0,CommonBloodTest
37.0,1022.4666748046876,60371560.0,27.63423538208008,1631663.75,MeanCorpuscularHemoglobin_Min,0-2,lcMYyo0V_300_1,0,CommonBloodTest
28.0,226.02915954589844,63460332.0,8.072469711303711,2266440.5,EosinophilsPercentage_Min,0-2,lcMYyo0V_300_1,0,CommonBloodTest
6.0,43.07151794433594,319130.0625,7.178586483001709,53188.34375,RedCellDistributionWidthCV_Max,0-2,lcMYyo0V_300_1,0,CommonBloodTest
26.0,441.5192565917969,157882976.0,16.981510162353516,6072422.0,NeutrophilsPercentage_Min,0-2,lcMYyo0V_300_1,0,CommonBloodTest
3.0,24.489959716796875,344931.9375,8.16331958770752,114977.3125,MonocytesPercentage_Min,0-2,lcMYyo0V_300_1,0,CommonBloodTest
32.0,988.2409057617188,148823072.0,30.88252830505371,4650721.0,MeanCorpuscularHemoglobin_Max,0-2,lcMYyo0V_300_1,0,CommonBloodTest
17.0,448.5754089355469,2082968.25,26.38678932189941,122527.546875,MeanCorpuscularHemoglobinConcentration_Max,0-2,lcMYyo0V_300_1,0,CommonBloodTest
6.0,33.18798828125,647962.25,5.531331539154053,107993.7109375,EosinophilCountAbsolute_Max,0-2,lcMYyo0V_300_1,0,CommonBloodTest
6.0,13.4903564453125,3391296.5,2.2483928203582764,565216.0625,RedCellDistributionWidthCV_Min,0-2,lcMYyo0V_300_1,0,CommonBloodTest
3.0,10.19732666015625,18161622.0,3.39910888671875,6053874.0,AntiSM_Avg,0-2,lcMYyo0V_300_1,0,Autoantibody
1.0,1.4466400146484375,1495.5076904296875,1.4466400146484375,1495.5076904296875,CentromereProteinB_Avg,0-2,lcMYyo0V_300_1,0,Autoantibody
