Importance,total_gain,total_cover,gain,cover,Feature,group,param_id,sequence_ids,Feature_group
2.0,2.780576229095459,15.131025314331056,1.3902881145477295,7.565512657165527,MeanPlateletVolume_Avg,0-2,lcMYyo0V_175_1,0,CommonBloodTest
15.0,223.6188201904297,1988.606689453125,14.90792179107666,132.5737762451172,MeanCorpuscularVolume_Max,0-2,lcMYyo0V_175_1,0,CommonBloodTest
6.0,99.86688995361328,231.8325653076172,16.644481658935547,38.63875961303711,MeanCorpuscularVolume_Avg,0-2,lcMYyo0V_175_1,0,CommonBloodTest
2.0,3.318880081176758,25.328876495361328,1.659440040588379,12.664438247680664,PlateletCount_Avg,0-2,lcMYyo0V_175_1,0,CommonBloodTest
6.0,67.9742431640625,869.5344848632812,11.32904052734375,144.9224090576172,RedBloodCellCount_Avg,0-2,lcMYyo0V_175_1,0,CommonBloodTest
4.0,62.77308654785156,134.38905334472656,15.69327163696289,33.59726333618164,Hemoglobin_Avg,0-2,lcMYyo0V_175_1,0,CommonBloodTest
1.0,0.6580321788787842,7.060368537902832,0.6580321788787842,7.060368537902832,EosinophilCountAbsolute_Max,0-2,lcMYyo0V_175_1,0,CommonBloodTest
2.0,31.51146697998047,23.25421524047852,15.755733489990234,11.627107620239258,MeanCorpuscularVolume_Min,0-2,lcMYyo0V_175_1,0,CommonBloodTest
1.0,9.341567993164062,22.91002082824707,9.341567993164062,22.91002082824707,Hemoglobin_Min,0-2,lcMYyo0V_175_1,0,CommonBloodTest
7.0,27.584630966186523,101.24424743652344,3.940661668777466,14.46346378326416,PlateletCount_Min,0-2,lcMYyo0V_175_1,0,CommonBloodTest
4.0,12.00456428527832,155.85720825195312,3.00114107131958,38.96430206298828,Plateletcrit_Min,0-2,lcMYyo0V_175_1,0,CommonBloodTest
1.0,3.31964111328125,188.09718322753903,3.31964111328125,188.09718322753903,AbsoluteMonocyteCount_Avg,0-2,lcMYyo0V_175_1,0,CommonBloodTest
2.0,8.1964111328125,823.9756469726562,4.09820556640625,411.9878234863281,RedBloodCellCount_Max,0-2,lcMYyo0V_175_1,0,CommonBloodTest
4.0,20.2415771484375,598.8380126953125,5.060394287109375,149.70950317382812,AbsoluteNeutrophilCount_Max,0-2,lcMYyo0V_175_1,0,CommonBloodTest
2.0,4.50408935546875,812.13330078125,2.252044677734375,406.066650390625,AbsoluteNeutrophilCount_Avg,0-2,lcMYyo0V_175_1,0,CommonBloodTest
1.0,0.7039909362792969,8.275861740112305,0.7039909362792969,8.275861740112305,CReactiveProtein_Min,0-2,lcMYyo0V_175_1,0,Immunity
26.0,108.55648040771484,855.6019287109375,4.175249099731445,32.90776824951172,FirstVisitAge,12-25,lcMYyo0V_175_1,0,Clinical
