Importance,total_gain,total_cover,gain,cover,Feature,group,param_id,sequence_ids,Feature_group
50.0,902700.5625,907.0531005859376,18054.01171875,18.141061782836918,FirstVisitAge,0-2,n60M47dW_110_1,0,Clinical
45.0,502311.40625,842.8260498046875,11162.4755859375,18.729467391967773,Gender,0-2,n60M47dW_110_1,0,Clinical
37.0,719496.875,832.6468505859375,19445.861328125,22.503969192504883,Hematocrit_Avg,0-2,n60M47dW_110_1,0,CommonBloodTest
174.0,5873891.0,6695.7353515625,33757.99609375,38.481239318847656,LymphocytesPercentage_Avg,0-2,n60M47dW_110_1,0,CommonBloodTest
70.0,7412619.5,7256.95751953125,105894.5625,103.67082214355467,MeanCorpuscularHemoglobinConcentration_Avg,0-2,n60M47dW_110_1,0,CommonBloodTest
24.0,622890.375,797.88330078125,25953.765625,33.24513626098633,MonocytesPercentage_Avg,0-2,n60M47dW_110_1,0,CommonBloodTest
116.0,3893250.5,4703.3125,33562.50390625,40.54579925537109,MeanPlateletVolume_Avg,0-2,n60M47dW_110_1,0,CommonBloodTest
14.0,1109639.75,1572.5985107421875,79259.984375,112.3284683227539,TotalThyroxine_Avg,0-2,n60M47dW_110_1,0,ThyroidFunction
47.0,3314967.0,4217.46875,70531.2109375,89.7333755493164,MeanCorpuscularHemoglobin_Avg,0-2,n60M47dW_110_1,0,CommonBloodTest
2.0,92160.4296875,51.11827087402344,46080.21484375,25.55913543701172,ThyroidStimulatingHormone_Avg,0-2,n60M47dW_110_1,0,ThyroidFunction
33.0,1035379.5,1774.8641357421875,31375.13671875,53.78376007080078,ImmunoglobulinE_Avg,0-2,n60M47dW_110_1,0,Immunity
54.0,2607617.5,2632.715576171875,48289.21484375,48.75399398803711,RedCellDistributionWidthCV_Avg,0-2,n60M47dW_110_1,0,CommonBloodTest
9.0,970456.5,1069.2701416015625,107828.5,118.80779266357422,EggWhite_Avg,0-2,n60M47dW_110_1,0,SpecificIgE
18.0,6968794.0,5507.9111328125,387155.21875,305.9950561523437,DogDander_Avg,0-2,n60M47dW_110_1,0,SpecificIgE
63.0,6621713.5,7454.6826171875,105106.5625,118.32829284667967,Hematocrit_Max,0-2,n60M47dW_110_1,0,CommonBloodTest
58.0,2171935.75,2503.100341796875,37447.16796875,43.15690231323242,LymphocytesPercentage_Max,0-2,n60M47dW_110_1,0,CommonBloodTest
28.0,576204.875,1110.77197265625,20578.74609375,39.67042922973633,Hematocrit_Min,0-2,n60M47dW_110_1,0,CommonBloodTest
61.0,9093886.0,9366.4033203125,149080.09375,153.54759216308594,MeanCorpuscularVolume_Max,0-2,n60M47dW_110_1,0,CommonBloodTest
24.0,1528344.625,1528.8082275390625,63681.02734375,63.70034408569336,MonocytesPercentage_Max,0-2,n60M47dW_110_1,0,CommonBloodTest
42.0,2706761.5,2947.524169921875,64446.703125,70.17914581298828,MeanPlateletVolume_Min,0-2,n60M47dW_110_1,0,CommonBloodTest
9.0,867922.9375,647.0305786132812,96435.8828125,71.89228820800781,MeanCorpuscularHemoglobinConcentration_Min,0-2,n60M47dW_110_1,0,CommonBloodTest
12.0,1556572.75,1666.63037109375,129714.3984375,138.8858642578125,MeanCorpuscularVolume_Avg,0-2,n60M47dW_110_1,0,CommonBloodTest
25.0,2364685.75,2183.08154296875,94587.4296875,87.3232650756836,LymphocytesPercentage_Min,0-2,n60M47dW_110_1,0,CommonBloodTest
31.0,2651569.0,1565.732666015625,85534.484375,50.50750350952149,PlateletCount_Avg,0-2,n60M47dW_110_1,0,CommonBloodTest
35.0,1861676.375,1627.197265625,53190.75390625,46.49135208129883,MeanPlateletVolume_Max,0-2,n60M47dW_110_1,0,CommonBloodTest
3.0,81820.8671875,182.48556518554688,27273.623046875,60.828521728515625,RyeGrass_Avg,0-2,n60M47dW_110_1,0,SpecificIgE
1.0,40828.58203125,18.29027557373047,40828.58203125,18.29027557373047,ProthrombinTime_Avg,0-2,n60M47dW_110_1,0,BloodCoagulation
12.0,1249268.5,1842.9267578125,104105.7109375,153.5772247314453,Total25HydroxyVitaminD_Avg,0-2,n60M47dW_110_1,0,Immunity
20.0,2423091.0,3232.068115234375,121154.546875,161.60340881347656,RedBloodCellCount_Avg,0-2,n60M47dW_110_1,0,CommonBloodTest
20.0,1935570.0,1447.9473876953125,96778.5,72.39736938476562,PlateletDistributionWidth_Avg,0-2,n60M47dW_110_1,0,CommonBloodTest
12.0,1502776.875,2035.560791015625,125231.40625,169.63006591796875,Hemoglobin_Avg,0-2,n60M47dW_110_1,0,CommonBloodTest
11.0,307241.75,812.16064453125,27931.068359375,73.8327865600586,AbsoluteLymphocyteCount_Avg,0-2,n60M47dW_110_1,0,CommonBloodTest
12.0,632322.5625,579.5712890625,52693.546875,48.297607421875,EosinophilCountAbsolute_Avg,0-2,n60M47dW_110_1,0,CommonBloodTest
6.0,304024.15625,1091.5491943359375,50670.69140625,181.92486572265625,TotalTriiodothyronine_Avg,0-2,n60M47dW_110_1,0,ThyroidFunction
13.0,737091.0,725.2990112304688,56699.30859375,55.79223251342773,AbsoluteLymphocyteCount_Min,0-2,n60M47dW_110_1,0,CommonBloodTest
6.0,146801.875,475.7860107421875,24466.978515625,79.29766845703125,TotalTriiodothyronine_Min,0-2,n60M47dW_110_1,0,ThyroidFunction
