Importance,total_gain,total_cover,gain,cover,Feature,group,param_id,sequence_ids,Feature_group
7.0,15.768964767456056,1763.0321044921875,2.252709150314331,251.8617248535156,FirstVisitAge,0-2,n60M47dW_11_1,0,Clinical
4.0,4.994470596313477,105.20823669433594,1.2486176490783691,26.302059173583984,Hematocrit_Avg,0-2,n60M47dW_11_1,0,CommonBloodTest
28.0,39.26027297973633,2017.241943359375,1.40215265750885,72.04435729980469,LymphocytesPercentage_Avg,0-2,n60M47dW_11_1,0,CommonBloodTest
11.0,21.31148147583008,1668.9405517578125,1.937407374382019,151.72186279296875,MeanCorpuscularHemoglobinConcentration_Avg,0-2,n60M47dW_11_1,0,CommonBloodTest
11.0,8.640867233276367,3540.115234375,0.7855333685874939,321.8286437988281,MonocytesPercentage_Avg,0-2,n60M47dW_11_1,0,CommonBloodTest
12.0,13.483847618103027,2397.455078125,1.123654007911682,199.7879180908203,MeanPlateletVolume_Avg,0-2,n60M47dW_11_1,0,CommonBloodTest
5.0,7.801358222961426,1116.43994140625,1.5602716207504272,223.2879943847656,TotalThyroxine_Avg,0-2,n60M47dW_11_1,0,ThyroidFunction
20.0,17.413747787475586,2956.4775390625,0.8706873655319214,147.82388305664062,MeanCorpuscularHemoglobin_Avg,0-2,n60M47dW_11_1,0,CommonBloodTest
2.0,0.8845846652984619,492.6941528320313,0.4422923326492309,246.3470764160156,ImmunoglobulinE_Avg,0-2,n60M47dW_11_1,0,Immunity
6.0,3.357489585876465,697.951171875,0.5595815777778625,116.3251953125,RedCellDistributionWidthCV_Avg,0-2,n60M47dW_11_1,0,CommonBloodTest
3.0,2.0094289779663086,1192.3544921875,0.6698096394538879,397.4515075683594,EggWhite_Avg,0-2,n60M47dW_11_1,0,SpecificIgE
16.0,48.08069610595703,4665.46142578125,3.0050435066223145,291.5913391113281,DogDander_Avg,0-2,n60M47dW_11_1,0,SpecificIgE
8.0,17.03438949584961,1539.695068359375,2.129298686981201,192.46188354492188,Hematocrit_Max,0-2,n60M47dW_11_1,0,CommonBloodTest
6.0,10.502949714660645,1173.3165283203125,1.7504916191101074,195.55274963378903,LymphocytesPercentage_Max,0-2,n60M47dW_11_1,0,CommonBloodTest
1.0,1.4037256240844729,26.303590774536133,1.4037256240844729,26.303590774536133,Hematocrit_Min,0-2,n60M47dW_11_1,0,CommonBloodTest
43.0,172.1707763671875,12745.3955078125,4.003971576690674,296.404541015625,MeanCorpuscularVolume_Max,0-2,n60M47dW_11_1,0,CommonBloodTest
1.0,4.136351108551025,324.04931640625,4.136351108551025,324.04931640625,MonocytesPercentage_Max,0-2,n60M47dW_11_1,0,CommonBloodTest
6.0,12.610506057739258,936.0350952148438,2.1017510890960693,156.00584411621094,MeanPlateletVolume_Min,0-2,n60M47dW_11_1,0,CommonBloodTest
10.0,14.5833740234375,1042.5794677734375,1.458337426185608,104.25794982910156,MeanCorpuscularHemoglobinConcentration_Min,0-2,n60M47dW_11_1,0,CommonBloodTest
11.0,39.08637237548828,1961.770263671875,3.553306579589844,178.34275817871094,MeanCorpuscularVolume_Avg,0-2,n60M47dW_11_1,0,CommonBloodTest
3.0,6.202304840087891,419.016845703125,2.0674350261688232,139.6722869873047,LymphocytesPercentage_Min,0-2,n60M47dW_11_1,0,CommonBloodTest
17.0,32.75714492797852,1289.514404296875,1.926890850067139,75.85379028320312,PlateletCount_Avg,0-2,n60M47dW_11_1,0,CommonBloodTest
9.0,15.797836303710938,1769.149658203125,1.755315184593201,196.5721893310547,MeanPlateletVolume_Max,0-2,n60M47dW_11_1,0,CommonBloodTest
