Importance,total_gain,total_cover,gain,cover,Feature,group,param_id,sequence_ids,Feature_group
5.0,3.450972080230713,1281.605224609375,0.6901944279670715,256.321044921875,Gender,0-2,ZpoUyrIC_1419_1,0,Clinical
12.0,25.9862003326416,57950.1796875,2.1655166149139404,4829.181640625,FirstVisitAge,0-2,ZpoUyrIC_1419_1,0,Clinical
7.0,6.548980236053467,3337.314208984375,0.935568630695343,476.7591857910156,Hematocrit_Avg,0-2,ZpoUyrIC_1419_1,0,CommonBloodTest
6.0,9.03169059753418,4138.83447265625,1.5052818059921265,689.8057250976562,Hematocrit_Max,0-2,ZpoUyrIC_1419_1,0,CommonBloodTest
4.0,5.28872013092041,1760.785400390625,1.3221800327301023,440.19635009765625,Hematocrit_Min,0-2,ZpoUyrIC_1419_1,0,CommonBloodTest
18.0,16.393409729003906,20270.708984375,0.9107449650764464,1126.1505126953125,LymphocytesPercentage_Avg,0-2,ZpoUyrIC_1419_1,0,CommonBloodTest
8.0,10.29224681854248,16514.294921875,1.28653085231781,2064.286865234375,LymphocytesPercentage_Max,0-2,ZpoUyrIC_1419_1,0,CommonBloodTest
5.0,9.957788467407228,6850.12158203125,1.9915577173233032,1370.0242919921875,LymphocytesPercentage_Min,0-2,ZpoUyrIC_1419_1,0,CommonBloodTest
32.0,64.84822845458984,191790.328125,2.0265071392059326,5993.44775390625,NeutrophilsPercentage_Avg,0-2,ZpoUyrIC_1419_1,0,CommonBloodTest
12.0,29.421222686767575,49609.55078125,2.451768636703491,4134.12939453125,NeutrophilsPercentage_Max,0-2,ZpoUyrIC_1419_1,0,CommonBloodTest
10.0,17.237791061401367,28473.962890625,1.7237790822982788,2847.396240234375,NeutrophilsPercentage_Min,0-2,ZpoUyrIC_1419_1,0,CommonBloodTest
12.0,7.90464448928833,6445.9892578125,0.6587203741073608,537.165771484375,MonocytesPercentage_Avg,0-2,ZpoUyrIC_1419_1,0,CommonBloodTest
6.0,4.748149394989014,2527.595703125,0.791358232498169,421.2659606933594,MonocytesPercentage_Max,0-2,ZpoUyrIC_1419_1,0,CommonBloodTest
1.0,0.4759101867675781,366.9624938964844,0.4759101867675781,366.9624938964844,MonocytesPercentage_Min,0-2,ZpoUyrIC_1419_1,0,CommonBloodTest
17.0,29.06045150756836,88339.7265625,1.7094383239746094,5196.45458984375,MeanCorpuscularHemoglobinConcentration_Avg,0-2,ZpoUyrIC_1419_1,0,CommonBloodTest
5.0,7.089490413665772,22589.78125,1.4178980588912964,4517.9560546875,MeanCorpuscularHemoglobinConcentration_Max,0-2,ZpoUyrIC_1419_1,0,CommonBloodTest
4.0,7.732719421386719,20735.830078125,1.93317985534668,5183.95751953125,MeanCorpuscularHemoglobinConcentration_Min,0-2,ZpoUyrIC_1419_1,0,CommonBloodTest
6.0,8.045228004455566,15092.2333984375,1.3408713340759275,2515.372314453125,PlateletCount_Avg,0-2,ZpoUyrIC_1419_1,0,CommonBloodTest
10.0,13.893768310546877,42182.625,1.389376878738403,4218.2626953125,PlateletCount_Max,0-2,ZpoUyrIC_1419_1,0,CommonBloodTest
4.0,6.461383819580078,19366.34375,1.6153459548950195,4841.5859375,PlateletCount_Min,0-2,ZpoUyrIC_1419_1,0,CommonBloodTest
2.0,2.43837833404541,2241.659423828125,1.219189167022705,1120.8297119140625,WhiteBloodCellCount_Avg,0-2,ZpoUyrIC_1419_1,0,CommonBloodTest
1.0,0.53558349609375,709.6514892578125,0.53558349609375,709.6514892578125,WhiteBloodCellCount_Max,0-2,ZpoUyrIC_1419_1,0,CommonBloodTest
1.0,1.262520670890808,2114.548095703125,1.262520670890808,2114.548095703125,WhiteBloodCellCount_Min,0-2,ZpoUyrIC_1419_1,0,CommonBloodTest
8.0,16.856155395507812,16417.525390625,2.107019424438477,2052.190673828125,MeanCorpuscularHemoglobin_Avg,0-2,ZpoUyrIC_1419_1,0,CommonBloodTest
2.0,2.9856491088867188,2777.02001953125,1.4928245544433594,1388.510009765625,MeanCorpuscularHemoglobin_Max,0-2,ZpoUyrIC_1419_1,0,CommonBloodTest
4.0,7.398550987243652,2412.142578125,1.849637746810913,603.03564453125,MeanCorpuscularHemoglobin_Min,0-2,ZpoUyrIC_1419_1,0,CommonBloodTest
15.0,38.72162628173828,31708.669921875,2.581441640853882,2113.911376953125,MeanCorpuscularVolume_Avg,0-2,ZpoUyrIC_1419_1,0,CommonBloodTest
11.0,33.543941497802734,36881.32421875,3.04944920539856,3352.84765625,MeanCorpuscularVolume_Max,0-2,ZpoUyrIC_1419_1,0,CommonBloodTest
14.0,26.391403198242188,40176.84765625,1.885100245475769,2869.77490234375,MeanCorpuscularVolume_Min,0-2,ZpoUyrIC_1419_1,0,CommonBloodTest
7.0,12.123547554016112,12609.5654296875,1.7319353818893433,1801.366455078125,RedBloodCellCount_Avg,0-2,ZpoUyrIC_1419_1,0,CommonBloodTest
6.0,13.609968185424805,32162.095703125,2.2683279514312744,5360.34912109375,RedBloodCellCount_Max,0-2,ZpoUyrIC_1419_1,0,CommonBloodTest
1.0,2.0833864212036133,3138.284423828125,2.0833864212036133,3138.284423828125,RedBloodCellCount_Min,0-2,ZpoUyrIC_1419_1,0,CommonBloodTest
1.0,0.7951202392578125,412.8191833496094,0.7951202392578125,412.8191833496094,Hemoglobin_Max,0-2,ZpoUyrIC_1419_1,0,CommonBloodTest
1.0,0.4514484405517578,404.0806884765625,0.4514484405517578,404.0806884765625,Hemoglobin_Min,0-2,ZpoUyrIC_1419_1,0,CommonBloodTest
13.0,31.50333976745605,81045.234375,2.4233338832855225,6234.2490234375,EosinophilsPercentage_Avg,0-2,ZpoUyrIC_1419_1,0,CommonBloodTest
26.0,151.91592407226562,304280.71875,5.842920303344727,11703.1044921875,EosinophilsPercentage_Max,0-2,ZpoUyrIC_1419_1,0,CommonBloodTest
5.0,20.35223960876465,44019.5625,4.07044792175293,8803.912109375,EosinophilsPercentage_Min,0-2,ZpoUyrIC_1419_1,0,CommonBloodTest
4.0,5.995373725891113,4988.3017578125,1.4988434314727783,1247.075439453125,BasophilsPercentage_Avg,0-2,ZpoUyrIC_1419_1,0,CommonBloodTest
1.0,3.249130249023437,1826.176513671875,3.249130249023437,1826.176513671875,BasophilsPercentage_Min,0-2,ZpoUyrIC_1419_1,0,CommonBloodTest
8.0,17.637224197387695,52329.6015625,2.204653024673462,6541.2001953125,AbsoluteNeutrophilCount_Max,0-2,ZpoUyrIC_1419_1,0,CommonBloodTest
7.0,11.626771926879885,15981.44140625,1.660967469215393,2283.06298828125,AbsoluteMonocyteCount_Avg,0-2,ZpoUyrIC_1419_1,0,CommonBloodTest
