Importance,total_gain,total_cover,gain,cover,Feature,sequence_ids,param_id,group,Feature_group
1095.0,384726784.0,234919.609375,351348.65625,214.5384521484375,FirstVisitAge,172,172,all,Clinical
210.0,27223128.0,10282.0634765625,129633.9453125,48.96220779418945,Gender,172,172,all,Clinical
780.0,233347616.0,68051.625,299163.625,87.24567413330078,Hematocrit_Avg,172,172,all,CommonBloodTest
793.0,284106400.0,83539.78125,358267.84375,105.34651184082033,LymphocytesPercentage_Avg,172,172,all,CommonBloodTest
541.0,212711744.0,91359.8515625,393182.53125,168.87217712402344,MeanCorpuscularHemoglobinConcentration_Avg,172,172,all,CommonBloodTest
604.0,167855824.0,62242.4765625,277907.0,103.05046081542967,MonocytesPercentage_Avg,172,172,all,CommonBloodTest
770.0,298301760.0,115030.046875,387404.875,149.38966369628906,MeanPlateletVolume_Avg,172,172,all,CommonBloodTest
452.0,391508064.0,383255.96875,866168.3125,847.9114379882812,TotalThyroxine_Avg,172,172,all,ThyroidFunction
530.0,266980336.0,127739.6796875,503736.46875,241.0182647705078,MeanCorpuscularHemoglobin_Avg,172,172,all,CommonBloodTest
296.0,174714720.0,117612.0859375,590252.4375,397.338134765625,ThyroidStimulatingHormone_Avg,172,172,all,ThyroidFunction
380.0,166261648.0,57806.40234375,437530.65625,152.1221160888672,ImmunoglobulinE_Avg,172,172,all,Immunity
470.0,217239824.0,99977.765625,462212.40625,212.71864318847656,RedCellDistributionWidthCV_Avg,172,172,all,CommonBloodTest
122.0,127595160.0,107075.7421875,1045861.9375,877.6700439453125,EggWhite_Avg,172,172,all,SpecificIgE
92.0,104086048.0,71649.6640625,1131370.125,778.8007202148438,DogDander_Avg,172,172,all,SpecificIgE
218.0,111488360.0,45912.4375,511414.5,210.6075134277344,Hematocrit_Max,172,172,all,CommonBloodTest
424.0,240549328.0,183357.171875,567333.3125,432.4461669921875,LymphocytesPercentage_Max,172,172,all,CommonBloodTest
215.0,122073968.0,84745.78125,567785.875,394.1664123535156,Hematocrit_Min,172,172,all,CommonBloodTest
402.0,218945728.0,144325.453125,544641.125,359.0185546875,MeanCorpuscularVolume_Max,172,172,all,CommonBloodTest
288.0,119556496.0,77962.59375,415126.71875,270.7034606933594,MonocytesPercentage_Max,172,172,all,CommonBloodTest
