Importance,total_gain,total_cover,gain,cover,Feature,sequence_ids,param_id,group,Feature_group
1197.0,42373976.0,124697.7421875,35400.1484375,104.17522430419922,FirstVisitAge,573,110,all,Clinical
400.0,6323410.5,10027.78125,15808.5263671875,25.0694522857666,Gender,573,110,all,Clinical
960.0,28706306.0,62313.10546875,29902.40234375,64.90948486328125,Hematocrit_Avg,573,110,all,CommonBloodTest
1600.0,64337184.0,153025.546875,40210.73828125,95.6409683227539,LymphocytesPercentage_Avg,573,110,all,CommonBloodTest
706.0,31357314.0,78135.515625,44415.45703125,110.6735382080078,MeanCorpuscularHemoglobinConcentration_Avg,573,110,all,CommonBloodTest
596.0,21528670.0,53866.3203125,36121.9296875,90.37973022460938,MonocytesPercentage_Avg,573,110,all,CommonBloodTest
848.0,50479768.0,119599.34375,59528.02734375,141.03695678710938,MeanPlateletVolume_Avg,573,110,all,CommonBloodTest
390.0,40792912.0,185773.03125,104597.2109375,476.3410949707031,TotalThyroxine_Avg,573,110,all,ThyroidFunction
531.0,36969796.0,127785.3671875,69622.96875,240.65040588378903,MeanCorpuscularHemoglobin_Avg,573,110,all,CommonBloodTest
283.0,21201720.0,82540.2578125,74917.7421875,291.66168212890625,ThyroidStimulatingHormone_Avg,573,110,all,ThyroidFunction
467.0,22774572.0,43039.4921875,48767.8203125,92.16165161132812,ImmunoglobulinE_Avg,573,110,all,Immunity
693.0,48708900.0,118713.0078125,70287.015625,171.30303955078125,RedCellDistributionWidthCV_Avg,573,110,all,CommonBloodTest
100.0,20311142.0,81893.578125,203111.421875,818.935791015625,EggWhite_Avg,573,110,all,SpecificIgE
91.0,13932498.0,56494.80859375,153104.375,620.8220825195312,DogDander_Avg,573,110,all,SpecificIgE
363.0,26687092.0,54709.5859375,73518.15625,150.71511840820312,Hematocrit_Max,573,110,all,CommonBloodTest
429.0,46208828.0,152221.34375,107712.8828125,354.82830810546875,LymphocytesPercentage_Max,573,110,all,CommonBloodTest
272.0,27732750.0,69702.0625,101958.640625,256.257568359375,Hematocrit_Min,573,110,all,CommonBloodTest
354.0,29116484.0,86123.265625,82249.953125,243.2860565185547,MeanCorpuscularVolume_Max,573,110,all,CommonBloodTest
281.0,19816548.0,54054.5078125,70521.5234375,192.3647918701172,MonocytesPercentage_Max,573,110,all,CommonBloodTest
315.0,37497356.0,82218.5390625,119039.2265625,261.01123046875,MeanPlateletVolume_Min,573,110,all,CommonBloodTest
213.0,19821694.0,56655.81640625,93059.59375,265.98974609375,MeanCorpuscularHemoglobinConcentration_Min,573,110,all,CommonBloodTest
235.0,18682270.0,60097.8671875,79499.0234375,255.7356109619141,MeanCorpuscularVolume_Avg,573,110,all,CommonBloodTest
264.0,24351040.0,94552.265625,92238.7890625,358.15252685546875,LymphocytesPercentage_Min,573,110,all,CommonBloodTest
306.0,30295894.0,59160.70703125,99006.1875,193.3356475830078,PlateletCount_Avg,573,110,all,CommonBloodTest
286.0,28238466.0,79366.265625,98735.8984375,277.5044250488281,MeanPlateletVolume_Max,573,110,all,CommonBloodTest
116.0,15485390.0,66397.2109375,133494.734375,572.3897705078125,RyeGrass_Avg,573,110,all,SpecificIgE
61.0,6676470.0,38145.25,109450.328125,625.3319702148438,ProthrombinTime_Avg,573,110,all,BloodCoagulation
150.0,15941003.0,39974.08984375,106273.3515625,266.4939270019531,Total25HydroxyVitaminD_Avg,573,110,all,Immunity
177.0,13777109.0,39961.24609375,77836.7734375,225.76974487304688,RedBloodCellCount_Avg,573,110,all,CommonBloodTest
186.0,22751288.0,58743.54296875,122318.75,315.82550048828125,PlateletDistributionWidth_Avg,573,110,all,CommonBloodTest
231.0,36001120.0,91734.5859375,155849.0,397.1194152832031,Hemoglobin_Avg,573,110,all,CommonBloodTest
163.0,16653453.0,60362.58203125,102168.421875,370.3226013183594,AbsoluteLymphocyteCount_Avg,573,110,all,CommonBloodTest
224.0,21033652.0,64269.1796875,93900.234375,286.9159851074219,EosinophilCountAbsolute_Avg,573,110,all,CommonBloodTest
97.0,9483160.0,38484.47265625,97764.5390625,396.74713134765625,PartialThromboplastinTime_Avg,573,110,all,BloodCoagulation
102.0,10672707.0,26792.78125,104634.3828125,262.67431640625,TotalTriiodothyronine_Avg,573,110,all,ThyroidFunction
148.0,18602172.0,81450.9765625,125690.3515625,550.3444213867188,AbsoluteLymphocyteCount_Min,573,110,all,CommonBloodTest
109.0,12372657.0,40141.921875,113510.6171875,368.2745056152344,TotalTriiodothyronine_Min,573,110,all,ThyroidFunction
173.0,20186860.0,75141.453125,116687.0546875,434.3436584472656,NeutrophilsPercentage_Avg,573,110,all,CommonBloodTest
62.0,6799254.0,72046.3515625,109665.390625,1162.0379638671875,CIndU,573,110,all,Clinical
61.0,10326666.0,31358.064453125,169289.609375,514.066650390625,Cockroach_Avg,573,110,all,SpecificIgE
89.0,9087160.0,37475.9921875,102102.921875,421.07855224609375,RedCellDistributionWidth_Avg,573,110,all,CommonBloodTest
283.0,30040498.0,97206.71875,106150.171875,343.48663330078125,PlateletCount_Max,573,110,all,CommonBloodTest
230.0,33829372.0,123377.203125,147084.21875,536.422607421875,MeanCorpuscularHemoglobin_Min,573,110,all,CommonBloodTest
226.0,55514176.0,315573.375,245637.953125,1396.3424072265625,EosinophilsPercentage_Min,573,110,all,CommonBloodTest
186.0,21098840.0,54777.83984375,113434.625,294.5045166015625,RedCellDistributionWidthCV_Max,573,110,all,CommonBloodTest
241.0,35077024.0,103138.140625,145547.8125,427.9590759277344,NeutrophilsPercentage_Min,573,110,all,CommonBloodTest
85.0,9046977.0,32162.318359375,106435.0234375,378.3802185058594,AntiScl70_Avg,573,110,all,Autoantibody
174.0,12997863.0,28426.2109375,74700.359375,163.36903381347656,MonocytesPercentage_Min,573,110,all,CommonBloodTest
1.0,1574.96875,27.990596771240234,1574.96875,27.990596771240234,MixedGrasses_Avg,573,110,all,SpecificIgE
231.0,36503456.0,130388.9375,158023.625,564.4542846679688,MeanCorpuscularHemoglobin_Max,573,110,all,CommonBloodTest
201.0,19905356.0,69522.984375,99031.625,345.885498046875,MeanCorpuscularHemoglobinConcentration_Max,573,110,all,CommonBloodTest
103.0,12240261.0,22087.720703125,118837.484375,214.4438934326172,FreeThyroxine_Avg,573,110,all,ThyroidFunction
87.0,13903428.0,55813.22265625,159809.515625,641.5313110351562,EosinophilCountAbsolute_Max,573,110,all,CommonBloodTest
35.0,3074632.75,6243.2587890625,87846.6484375,178.3788299560547,Milk_Avg,573,110,all,SpecificIgE
134.0,16155770.0,36030.08203125,120565.4453125,268.8811950683594,RedCellDistributionWidthCV_Min,573,110,all,CommonBloodTest
53.0,6120967.5,19189.568359375,115489.953125,362.06732177734375,AntiSM_Avg,573,110,all,Autoantibody
