Importance,total_gain,total_cover,gain,cover,Feature,sequence_ids,param_id,group,Feature_group
35.0,4805826.5,953.4232177734376,137309.328125,27.240663528442383,Gender,374,374,all,Clinical
61.0,15651767.0,20836.806640625,256586.34375,341.5870056152344,FirstVisitAge,374,374,all,Clinical
6.0,353006.875,176.17324829101562,58834.48046875,29.362207412719727,CIndU,374,374,all,Clinical
59.0,7371739.5,2818.10205078125,124944.734375,47.764442443847656,Hematocrit_Avg,374,374,all,CommonBloodTest
37.0,13312972.0,1981.25341796875,359810.0625,53.54738998413086,Hematocrit_Max,374,374,all,CommonBloodTest
15.0,12664067.0,1155.9263916015625,844271.125,77.06175994873047,Hematocrit_Min,374,374,all,CommonBloodTest
15.0,4453305.5,538.8836059570312,296887.03125,35.925575256347656,Hematocrit_Avg_acute,374,374,all,CommonBloodTest
19.0,9203171.0,18706.529296875,484377.40625,984.55419921875,Hematocrit_Avg_chronic,374,374,all,CommonBloodTest
31.0,9784122.0,1443.878173828125,315616.84375,46.57671356201172,LymphocytesPercentage_Avg,374,374,all,CommonBloodTest
28.0,5071306.5,11604.0771484375,181118.09375,414.4313354492188,LymphocytesPercentage_Max,374,374,all,CommonBloodTest
28.0,17572174.0,10991.109375,627577.625,392.5396118164063,LymphocytesPercentage_Min,374,374,all,CommonBloodTest
9.0,9306121.0,9756.27734375,1034013.4375,1084.03076171875,LymphocytesPercentage_Avg_acute,374,374,all,CommonBloodTest
17.0,23104382.0,10159.7998046875,1359081.25,597.63525390625,LymphocytesPercentage_Avg_chronic,374,374,all,CommonBloodTest
19.0,15422477.0,2674.714599609375,811709.3125,140.7744598388672,NeutrophilsPercentage_Avg,374,374,all,CommonBloodTest
14.0,11870430.0,3976.031982421875,847887.875,284.0022888183594,NeutrophilsPercentage_Max,374,374,all,CommonBloodTest
21.0,22476632.0,34676.2109375,1070315.75,1651.2481689453125,NeutrophilsPercentage_Min,374,374,all,CommonBloodTest
6.0,9226021.0,2501.32666015625,1537670.125,416.8877868652344,NeutrophilsPercentage_Avg_acute,374,374,all,CommonBloodTest
24.0,50597472.0,42841.48828125,2108228.0,1785.06201171875,NeutrophilsPercentage_Avg_chronic,374,374,all,CommonBloodTest
28.0,16758904.0,12003.21484375,598532.3125,428.6862487792969,MonocytesPercentage_Avg,374,374,all,CommonBloodTest
18.0,8951547.0,2802.135986328125,497308.15625,155.67422485351562,MonocytesPercentage_Max,374,374,all,CommonBloodTest
29.0,21454228.0,35631.30859375,739800.9375,1228.665771484375,MonocytesPercentage_Min,374,374,all,CommonBloodTest
10.0,3543994.25,1215.7080078125,354399.4375,121.57080078125,MonocytesPercentage_Avg_acute,374,374,all,CommonBloodTest
31.0,20187840.0,107425.546875,651220.625,3465.34033203125,MonocytesPercentage_Avg_chronic,374,374,all,CommonBloodTest
15.0,17710082.0,6250.818359375,1180672.125,416.7212219238281,MeanCorpuscularHemoglobinConcentration_Avg,374,374,all,CommonBloodTest
8.0,4626478.0,1962.8577880859373,578309.75,245.3572235107422,MeanCorpuscularHemoglobinConcentration_Max,374,374,all,CommonBloodTest
18.0,19795946.0,4713.69580078125,1099774.75,261.8719787597656,MeanCorpuscularHemoglobinConcentration_Min,374,374,all,CommonBloodTest
11.0,42257940.0,50959.76171875,3841631.0,4632.70556640625,MeanCorpuscularHemoglobinConcentration_Avg_acute,374,374,all,CommonBloodTest
33.0,147553600.0,121874.4453125,4471321.0,3693.1650390625,MeanCorpuscularHemoglobinConcentration_Avg_chronic,374,374,all,CommonBloodTest
20.0,8174944.0,11201.77734375,408747.1875,560.0888671875,PlateletCount_Avg,374,374,all,CommonBloodTest
17.0,5428536.0,1601.182373046875,319325.65625,94.18719482421876,PlateletCount_Max,374,374,all,CommonBloodTest
5.0,4752156.0,1507.19775390625,950431.1875,301.4395446777344,PlateletCount_Min,374,374,all,CommonBloodTest
7.0,24133396.0,7688.99365234375,3447628.0,1098.4276123046875,PlateletCount_Avg_acute,374,374,all,CommonBloodTest
30.0,38876092.0,81211.90625,1295869.75,2707.0634765625,PlateletCount_Avg_chronic,374,374,all,CommonBloodTest
23.0,18002410.0,6339.23876953125,782713.5,275.6190795898437,WhiteBloodCellCount_Avg,374,374,all,CommonBloodTest
10.0,5540782.5,15707.3212890625,554078.25,1570.732177734375,WhiteBloodCellCount_Max,374,374,all,CommonBloodTest
9.0,7298929.0,8238.494140625,810992.125,915.3882446289062,WhiteBloodCellCount_Min,374,374,all,CommonBloodTest
5.0,3671027.25,912.920166015625,734205.4375,182.5840301513672,WhiteBloodCellCount_Avg_acute,374,374,all,CommonBloodTest
3.0,3174732.75,991.9074096679688,1058244.25,330.63580322265625,WhiteBloodCellCount_Avg_chronic,374,374,all,CommonBloodTest
20.0,21943068.0,5275.80322265625,1097153.375,263.7901611328125,MeanCorpuscularHemoglobin_Avg,374,374,all,CommonBloodTest
14.0,13107517.0,4087.9697265625,936251.1875,291.9978332519531,MeanCorpuscularHemoglobin_Max,374,374,all,CommonBloodTest
10.0,12869691.0,3808.48681640625,1286969.125,380.84869384765625,MeanCorpuscularHemoglobin_Min,374,374,all,CommonBloodTest
3.0,8531922.0,4900.2548828125,2843974.0,1633.4183349609375,MeanCorpuscularHemoglobin_Avg_acute,374,374,all,CommonBloodTest
21.0,206667344.0,69275.640625,9841302.0,3298.840087890625,MeanCorpuscularHemoglobin_Avg_chronic,374,374,all,CommonBloodTest
15.0,12964757.0,3321.1279296875,864317.125,221.4085235595703,MeanCorpuscularVolume_Avg,374,374,all,CommonBloodTest
11.0,16230180.0,8476.296875,1475470.875,770.5724487304688,MeanCorpuscularVolume_Max,374,374,all,CommonBloodTest
20.0,24684100.0,10173.1103515625,1234205.0,508.655517578125,MeanCorpuscularVolume_Min,374,374,all,CommonBloodTest
6.0,11935446.0,13125.26171875,1989241.0,2187.543701171875,MeanCorpuscularVolume_Avg_acute,374,374,all,CommonBloodTest
21.0,107585264.0,62525.41015625,5123108.0,2977.400390625,MeanCorpuscularVolume_Avg_chronic,374,374,all,CommonBloodTest
16.0,10626438.0,28110.021484375,664152.375,1756.8763427734375,RedBloodCellCount_Avg,374,374,all,CommonBloodTest
9.0,3311092.25,21763.3671875,367899.125,2418.15185546875,RedBloodCellCount_Max,374,374,all,CommonBloodTest
4.0,2847574.0,18322.390625,711893.5,4580.59765625,RedBloodCellCount_Min,374,374,all,CommonBloodTest
3.0,2380793.25,7623.53173828125,793597.75,2541.17724609375,RedBloodCellCount_Avg_acute,374,374,all,CommonBloodTest
6.0,5065255.0,14600.8349609375,844209.1875,2433.472412109375,RedBloodCellCount_Avg_chronic,374,374,all,CommonBloodTest
