Importance,total_gain,total_cover,gain,cover,Feature,sequence_ids,param_id,group,Feature_group
5.0,4.556365966796875,1451.2701416015625,0.911273181438446,290.2540283203125,FirstVisitAge,122,122,all,Clinical
2.0,9.646682739257812,40.97430419921875,4.823341369628906,20.48715209960937,Hematocrit_Max_acute,122,122,all,CommonBloodTest
4.0,8.446735382080078,523.6490478515625,2.1116838455200195,130.91226196289062,Hematocrit_Min_acute,122,122,all,CommonBloodTest
2.0,7.720672607421875,1422.5677490234375,3.8603363037109375,711.2838745117188,Hematocrit_Avg_acute,122,122,all,CommonBloodTest
3.0,27.474151611328125,1286.1326904296875,9.158050537109377,428.7109069824219,LymphocytesPercentage_Max_acute,122,122,all,CommonBloodTest
4.0,12.730842590332031,70.46625518798828,3.182710647583008,17.61656379699707,LymphocytesPercentage_Min_acute,122,122,all,CommonBloodTest
2.0,8.741493225097656,17.868751525878906,4.370746612548828,8.934375762939453,LymphocytesPercentage_Avg_acute,122,122,all,CommonBloodTest
13.0,230.19883728027344,4135.052734375,17.707603454589844,318.0809936523437,NeutrophilsPercentage_Max_acute,122,122,all,CommonBloodTest
4.0,56.506103515625,4341.4501953125,14.12652587890625,1085.362548828125,NeutrophilsPercentage_Min_acute,122,122,all,CommonBloodTest
11.0,438.3954162597656,6931.0205078125,39.854129791259766,630.0927734375,NeutrophilsPercentage_Avg_acute,122,122,all,CommonBloodTest
3.0,7.785184860229492,809.16455078125,2.5950615406036377,269.7215270996094,MonocytesPercentage_Max_acute,122,122,all,CommonBloodTest
4.0,45.499267578125,329.4292907714844,11.37481689453125,82.3573226928711,MonocytesPercentage_Min_acute,122,122,all,CommonBloodTest
5.0,50.70760345458984,115.06974792480467,10.141520500183104,23.01395034790039,MonocytesPercentage_Avg_acute,122,122,all,CommonBloodTest
17.0,479.064208984375,3141.6943359375,28.180248260498047,184.8055419921875,MeanCorpuscularHemoglobinConcentration_Max_acute,122,122,all,CommonBloodTest
13.0,578.33154296875,1788.43603515625,44.48704147338867,137.57200622558594,MeanCorpuscularHemoglobinConcentration_Min_acute,122,122,all,CommonBloodTest
13.0,407.1764526367188,1543.83349609375,31.321266174316406,118.75642395019533,MeanCorpuscularHemoglobinConcentration_Avg_acute,122,122,all,CommonBloodTest
4.0,16.352508544921875,319.5705261230469,4.088127136230469,79.89263153076172,PlateletCount_Max_acute,122,122,all,CommonBloodTest
3.0,2.5758018493652344,132.6471710205078,0.8586006164550781,44.21572494506836,PlateletCount_Min_acute,122,122,all,CommonBloodTest
1.0,3.406494140625,155.58766174316406,3.406494140625,155.58766174316406,PlateletCount_Avg_acute,122,122,all,CommonBloodTest
6.0,27.07815933227539,1646.31201171875,4.513026714324951,274.3853454589844,WhiteBloodCellCount_Max_acute,122,122,all,CommonBloodTest
6.0,33.6265754699707,1938.83447265625,5.604429244995117,323.1390686035156,WhiteBloodCellCount_Min_acute,122,122,all,CommonBloodTest
3.0,14.50749969482422,1349.2467041015625,4.8358330726623535,449.7489013671875,WhiteBloodCellCount_Avg_acute,122,122,all,CommonBloodTest
4.0,20.12000846862793,90.03414154052734,5.030002117156982,22.50853538513184,MeanCorpuscularHemoglobin_Min_acute,122,122,all,CommonBloodTest
1.0,15.657358169555664,9.12656593322754,15.657358169555664,9.12656593322754,MeanCorpuscularHemoglobin_Avg_acute,122,122,all,CommonBloodTest
8.0,82.41873931884766,4006.997802734375,10.302342414855955,500.8747253417969,MeanCorpuscularVolume_Max_acute,122,122,all,CommonBloodTest
7.0,51.435768127441406,1058.87109375,7.34796667098999,151.26730346679688,MeanCorpuscularVolume_Min_acute,122,122,all,CommonBloodTest
8.0,160.67367553710938,2794.69921875,20.084209442138672,349.33740234375,MeanCorpuscularVolume_Avg_acute,122,122,all,CommonBloodTest
5.0,8.797723770141602,3766.178955078125,1.7595447301864624,753.2357788085938,RedBloodCellCount_Max_acute,122,122,all,CommonBloodTest
2.0,34.350341796875,1736.111083984375,17.1751708984375,868.0555419921875,RedBloodCellCount_Min_acute,122,122,all,CommonBloodTest
1.0,53.72900390625,135.43263244628906,53.72900390625,135.43263244628906,RedBloodCellCount_Avg_acute,122,122,all,CommonBloodTest
2.0,5.4066267013549805,278.9806213378906,2.7033133506774902,139.4903106689453,Hemoglobin_Max_acute,122,122,all,CommonBloodTest
3.0,9.107200622558594,78.92340850830078,3.035733461380005,26.307802200317383,Hemoglobin_Min_acute,122,122,all,CommonBloodTest
7.0,15.074121475219728,1485.6278076171875,2.1534459590911865,212.2325439453125,Hemoglobin_Avg_acute,122,122,all,CommonBloodTest
10.0,1407.8465576171875,976.0590209960938,140.78465270996094,97.60590362548828,EosinophilsPercentage_Max_acute,122,122,all,CommonBloodTest
4.0,178.83651733398438,4449.96240234375,44.709129333496094,1112.4906005859375,EosinophilsPercentage_Min_acute,122,122,all,CommonBloodTest
11.0,52.05962753295898,965.3707275390624,4.732693195343018,87.76097869873047,EosinophilsPercentage_Avg_acute,122,122,all,CommonBloodTest
4.0,20.134632110595703,302.5759582519531,5.033658027648926,75.64398956298828,BasophilsPercentage_Max_acute,122,122,all,CommonBloodTest
2.0,1.0089941024780271,140.6598663330078,0.5044970512390137,70.3299331665039,BasophilsPercentage_Min_acute,122,122,all,CommonBloodTest
5.0,36.09874725341797,2920.613037109375,7.219749450683594,584.1226196289062,BasophilsPercentage_Avg_acute,122,122,all,CommonBloodTest
8.0,163.86001586914062,4980.88916015625,20.482501983642575,622.6111450195312,AbsoluteNeutrophilCount_Max_acute,122,122,all,CommonBloodTest
5.0,12.74957275390625,6765.78369140625,2.549914598464966,1353.15673828125,AbsoluteNeutrophilCount_Min_acute,122,122,all,CommonBloodTest
7.0,228.42437744140625,3968.8447265625,32.63205337524414,566.9778442382812,AbsoluteNeutrophilCount_Avg_acute,122,122,all,CommonBloodTest
4.0,155.7525634765625,870.7496337890625,38.93814086914063,217.6874084472656,AbsoluteMonocyteCount_Max_acute,122,122,all,CommonBloodTest
2.0,1.3115234375,2845.974609375,0.65576171875,1422.9873046875,AbsoluteMonocyteCount_Min_acute,122,122,all,CommonBloodTest
7.0,251.6090087890625,1849.575439453125,35.94414520263672,264.2250671386719,AbsoluteMonocyteCount_Avg_acute,122,122,all,CommonBloodTest
6.0,75.44168853759766,2844.534912109375,12.573615074157717,474.0891418457031,AbsoluteEosinophilCount_Max_acute,122,122,all,CommonBloodTest
3.0,182.2244873046875,103.31773376464844,60.74149703979492,34.43924331665039,AbsoluteEosinophilCount_Min_acute,122,122,all,CommonBloodTest
18.0,1611.1051025390625,2822.314453125,89.5058364868164,156.7952423095703,AbsoluteEosinophilCount_Avg_acute,122,122,all,CommonBloodTest
1.0,2.08160400390625,379.0870971679688,2.08160400390625,379.0870971679688,AbsoluteBasophilCount_Max_acute,122,122,all,CommonBloodTest
1.0,5.925048828125,895.5032958984375,5.925048828125,895.5032958984375,AbsoluteBasophilCount_Min_acute,122,122,all,CommonBloodTest
3.0,16.2509765625,1676.03125,5.4169921875,558.6770629882812,AbsoluteBasophilCount_Avg_acute,122,122,all,CommonBloodTest
1.0,10.99951171875,260.8348693847656,10.99951171875,260.8348693847656,AbsoluteLymphocyteCount_Max_acute,122,122,all,CommonBloodTest
2.0,15.150230407714844,70.59178161621094,7.575115203857422,35.29589080810547,AbsoluteLymphocyteCount_Min_acute,122,122,all,CommonBloodTest
2.0,8.8447265625,1183.0252685546875,4.42236328125,591.5126342773438,AbsoluteLymphocyteCount_Avg_acute,122,122,all,CommonBloodTest
10.0,62.49176025390625,2434.760498046875,6.249176025390625,243.47604370117188,MeanPlateletVolume_Max_acute,122,122,all,CommonBloodTest
1.0,0.1683192253112793,6.904157161712647,0.1683192253112793,6.904157161712647,MeanPlateletVolume_Min_acute,122,122,all,CommonBloodTest
11.0,152.79061889648438,252.45550537109372,13.890056610107422,22.95050048828125,MeanPlateletVolume_Avg_acute,122,122,all,CommonBloodTest
2.0,7.0576171875,594.0069580078125,3.52880859375,297.00347900390625,PlateletDistributionWidth_Max_acute,122,122,all,CommonBloodTest
1.0,9.58990478515625,36.247108459472656,9.58990478515625,36.247108459472656,PlateletDistributionWidth_Min_acute,122,122,all,CommonBloodTest
2.0,1.472412109375,2130.375244140625,0.7362060546875,1065.1876220703125,PlateletDistributionWidth_Avg_acute,122,122,all,CommonBloodTest
3.0,3.5969390869140625,1315.491455078125,1.198979735374451,438.4971618652344,Plateletcrit_Min_acute,122,122,all,CommonBloodTest
1.0,0.3995647430419922,18.86003875732422,0.3995647430419922,18.86003875732422,RedCellDistributionWidth_Min_acute,122,122,all,CommonBloodTest
7.0,178.7481689453125,1037.2255859375,25.53545188903809,148.17507934570312,RedCellDistributionWidthCV_Max_acute,122,122,all,CommonBloodTest
5.0,14.064918518066406,2952.9111328125,2.812983751296997,590.5822143554688,RedCellDistributionWidthCV_Min_acute,122,122,all,CommonBloodTest
2.0,50.286376953125,2858.4775390625,25.1431884765625,1429.23876953125,RedCellDistributionWidthCV_Avg_acute,122,122,all,CommonBloodTest
5.0,8.456243515014648,2417.20947265625,1.691248655319214,483.44189453125,EosinophilCountAbsolute_Max_acute,122,122,all,CommonBloodTest
1.0,0.1532058715820312,13.928184509277344,0.1532058715820312,13.928184509277344,EosinophilCountAbsolute_Min_acute,122,122,all,CommonBloodTest
4.0,8.540725708007812,2051.801025390625,2.135181427001953,512.9502563476562,EosinophilCountAbsolute_Avg_acute,122,122,all,CommonBloodTest
2.0,55.11376953125,139.16616821289062,27.556884765625,69.58308410644531,CReactiveProtein_Max_acute,122,122,all,Immunity
14.0,190.02154541015625,4895.75439453125,13.572967529296877,349.6967468261719,CReactiveProtein_Min_acute,122,122,all,Immunity
20.0,173.57687377929688,6841.34033203125,8.67884349822998,342.0670166015625,CReactiveProtein_Avg_acute,122,122,all,Immunity
2.0,21.524627685546875,49.320926666259766,10.762313842773438,24.660463333129883,ImmunoglobulinE_Max_acute,122,122,all,Immunity
3.0,17.52614974975586,92.85316467285156,5.842050075531006,30.9510555267334,ImmunoglobulinE_Min_acute,122,122,all,Immunity
6.0,294.797119140625,5641.4638671875,49.13285446166992,940.2439575195312,TotalThyroxine_Max_acute,122,122,all,ThyroidFunction
3.0,139.14126586914062,238.16807556152344,46.38042068481445,79.38935852050781,TotalThyroxine_Min_acute,122,122,all,ThyroidFunction
1.0,78.1624755859375,40.7962646484375,78.1624755859375,40.7962646484375,TotalThyroxine_Avg_acute,122,122,all,ThyroidFunction
1.0,7.30047607421875,7.39100456237793,7.30047607421875,7.39100456237793,FreeThyroxine_Max_acute,122,122,all,ThyroidFunction
1.0,10.14544677734375,115.62808990478516,10.14544677734375,115.62808990478516,AntiSSA_Max_acute,122,122,all,Autoantibody
1.0,60.970703125,20.80287742614746,60.970703125,20.80287742614746,Nucleosome_Max_acute,122,122,all,Autoantibody
2.0,96.91129302978516,38.9384880065918,48.45564651489258,19.4692440032959,Nucleosome_Min_acute,122,122,all,Autoantibody
1.0,16.49853515625,56.69786071777344,16.49853515625,56.69786071777344,Nucleosome_Avg_acute,122,122,all,Autoantibody
6.0,216.41677856445312,3018.915771484375,36.069461822509766,503.1526184082031,AntiM2_Max_acute,122,122,all,Autoantibody
3.0,129.3651123046875,5436.302734375,43.1217041015625,1812.1009521484373,AntiM2_Min_acute,122,122,all,Autoantibody
1.0,15.31689453125,339.97247314453125,15.31689453125,339.97247314453125,CatDander_Max_acute,122,122,all,SpecificIgE
4.0,9.735401153564451,1298.40478515625,2.4338502883911133,324.6011962890625,FirstVisitAge,129,129,all,Clinical
2.0,64.136962890625,14.47039031982422,32.0684814453125,7.235195159912109,Hematocrit_Max_acute,129,129,all,CommonBloodTest
7.0,78.46498107910156,524.0927124023438,11.209282875061035,74.8703842163086,Hematocrit_Min_acute,129,129,all,CommonBloodTest
1.0,0.7233562469482422,9.403328895568848,0.7233562469482422,9.403328895568848,Hematocrit_Avg_acute,129,129,all,CommonBloodTest
2.0,66.8360595703125,292.6514892578125,33.41802978515625,146.32574462890625,LymphocytesPercentage_Max_acute,129,129,all,CommonBloodTest
4.0,33.21623229980469,68.9320068359375,8.304058074951172,17.233001708984375,LymphocytesPercentage_Min_acute,129,129,all,CommonBloodTest
1.0,1.939516305923462,6.60789966583252,1.939516305923462,6.60789966583252,LymphocytesPercentage_Avg_acute,129,129,all,CommonBloodTest
4.0,98.51209259033205,705.130615234375,24.628023147583008,176.28265380859375,NeutrophilsPercentage_Max_acute,129,129,all,CommonBloodTest
4.0,59.55671310424805,4371.3115234375,14.889178276062012,1092.827880859375,NeutrophilsPercentage_Min_acute,129,129,all,CommonBloodTest
11.0,626.2413330078125,7124.2802734375,56.9310302734375,647.661865234375,NeutrophilsPercentage_Avg_acute,129,129,all,CommonBloodTest
3.0,41.97144317626953,760.4556884765625,13.99048137664795,253.4852294921875,MonocytesPercentage_Max_acute,129,129,all,CommonBloodTest
7.0,73.37609100341797,1751.2205810546875,10.482298851013184,250.1743621826172,MonocytesPercentage_Min_acute,129,129,all,CommonBloodTest
2.0,12.201679229736328,30.010713577270508,6.100839614868164,15.005356788635254,MonocytesPercentage_Avg_acute,129,129,all,CommonBloodTest
18.0,524.54833984375,4696.5390625,29.14157485961914,260.9188232421875,MeanCorpuscularHemoglobinConcentration_Max_acute,129,129,all,CommonBloodTest
7.0,522.8297119140625,1342.0970458984375,74.68995666503906,191.7281494140625,MeanCorpuscularHemoglobinConcentration_Min_acute,129,129,all,CommonBloodTest
10.0,258.0684814453125,4874.146484375,25.806848526000977,487.4146423339844,MeanCorpuscularHemoglobinConcentration_Avg_acute,129,129,all,CommonBloodTest
1.0,2.79541015625,1600.6689453125,2.79541015625,1600.6689453125,PlateletCount_Max_acute,129,129,all,CommonBloodTest
9.0,35.006622314453125,1286.1546630859375,3.88962459564209,142.90606689453125,PlateletCount_Min_acute,129,129,all,CommonBloodTest
2.0,4.595561981201172,899.775146484375,2.297780990600586,449.8875732421875,PlateletCount_Avg_acute,129,129,all,CommonBloodTest
4.0,78.184326171875,1752.487060546875,19.54608154296875,438.1217651367188,WhiteBloodCellCount_Max_acute,129,129,all,CommonBloodTest
9.0,23.368555068969727,1186.9154052734375,2.596506118774414,131.87948608398438,WhiteBloodCellCount_Min_acute,129,129,all,CommonBloodTest
2.0,2.1990203857421875,194.5548095703125,1.0995101928710938,97.27740478515624,WhiteBloodCellCount_Avg_acute,129,129,all,CommonBloodTest
1.0,10.939942359924316,6.816946029663086,10.939942359924316,6.816946029663086,MeanCorpuscularHemoglobin_Max_acute,129,129,all,CommonBloodTest
4.0,17.049654006958008,962.45458984375,4.262413501739502,240.6136474609375,MeanCorpuscularHemoglobin_Min_acute,129,129,all,CommonBloodTest
11.0,108.1461410522461,5212.3388671875,9.831467628479004,473.8489990234375,MeanCorpuscularVolume_Max_acute,129,129,all,CommonBloodTest
