Importance,total_gain,total_cover,gain,cover,Feature,sequence_ids,param_id,group,Feature_group
63.0,1794277.25,4081.631591796875,28480.591796875,64.78780364990234,Gender,410,410,all,Clinical
206.0,44173768.0,100870.8984375,214435.765625,489.66455078125,FirstVisitAge,410,410,all,Clinical
13.0,5033438.5,21583.5703125,387187.5625,1660.274658203125,CIndU,410,410,all,Clinical
144.0,39820816.0,40754.33984375,276533.4375,283.0162353515625,Hematocrit_Avg,410,410,all,CommonBloodTest
126.0,21187682.0,22135.865234375,168156.203125,175.6814727783203,Hematocrit_Max,410,410,all,CommonBloodTest
132.0,13495205.0,30277.537109375,102236.3984375,229.37527465820312,Hematocrit_Min,410,410,all,CommonBloodTest
231.0,42116788.0,71895.25,182323.75,311.23486328125,LymphocytesPercentage_Avg,410,410,all,CommonBloodTest
180.0,27472004.0,52170.03515625,152622.25,289.8335266113281,LymphocytesPercentage_Max,410,410,all,CommonBloodTest
245.0,23077810.0,59628.13671875,94195.140625,243.38015747070312,LymphocytesPercentage_Min,410,410,all,CommonBloodTest
159.0,33089976.0,41596.57421875,208113.0625,261.6136779785156,NeutrophilsPercentage_Avg,410,410,all,CommonBloodTest
162.0,29701272.0,77911.8203125,183341.1875,480.9371643066406,NeutrophilsPercentage_Max,410,410,all,CommonBloodTest
125.0,18560728.0,65858.5546875,148485.828125,526.868408203125,NeutrophilsPercentage_Min,410,410,all,CommonBloodTest
133.0,19214568.0,29541.384765625,144470.4375,222.1156768798828,MonocytesPercentage_Avg,410,410,all,CommonBloodTest
132.0,16140034.0,51151.328125,122272.984375,387.5100708007813,MonocytesPercentage_Max,410,410,all,CommonBloodTest
158.0,28163602.0,59192.43359375,178250.640625,374.6356506347656,MonocytesPercentage_Min,410,410,all,CommonBloodTest
126.0,36064924.0,39504.50390625,286229.5625,313.5278015136719,MeanCorpuscularHemoglobinConcentration_Avg,410,410,all,CommonBloodTest
122.0,22093256.0,48270.2734375,181092.265625,395.6579895019531,MeanCorpuscularHemoglobinConcentration_Max,410,410,all,CommonBloodTest
99.0,15556075.0,36578.36328125,157132.078125,369.4784240722656,MeanCorpuscularHemoglobinConcentration_Min,410,410,all,CommonBloodTest
145.0,23327982.0,42738.7265625,160882.640625,294.7498474121094,PlateletCount_Avg,410,410,all,CommonBloodTest
160.0,42105364.0,77959.5625,263158.53125,487.2472534179688,PlateletCount_Max,410,410,all,CommonBloodTest
159.0,20117404.0,74676.1953125,126524.5546875,469.6615905761719,PlateletCount_Min,410,410,all,CommonBloodTest
108.0,28606528.0,41390.65625,264875.25,383.246826171875,WhiteBloodCellCount_Avg,410,410,all,CommonBloodTest
67.0,22298330.0,42842.5546875,332810.90625,639.4411010742188,WhiteBloodCellCount_Max,410,410,all,CommonBloodTest
80.0,9487664.0,25914.931640625,118595.796875,323.9366455078125,WhiteBloodCellCount_Min,410,410,all,CommonBloodTest
139.0,29913366.0,33509.70703125,215204.078125,241.0770263671875,MeanCorpuscularHemoglobin_Avg,410,410,all,CommonBloodTest
103.0,14925089.0,43702.23046875,144903.78125,424.2934875488281,MeanCorpuscularHemoglobin_Max,410,410,all,CommonBloodTest
107.0,30548154.0,62697.0546875,285496.78125,585.9537963867188,MeanCorpuscularHemoglobin_Min,410,410,all,CommonBloodTest
141.0,63086496.0,67324.7890625,447421.96875,477.4807739257813,MeanCorpuscularVolume_Avg,410,410,all,CommonBloodTest
115.0,27265010.0,50347.9140625,237087.046875,437.8079528808594,MeanCorpuscularVolume_Max,410,410,all,CommonBloodTest
83.0,23104866.0,35835.7109375,278371.875,431.7555541992188,MeanCorpuscularVolume_Min,410,410,all,CommonBloodTest
79.0,11074072.0,51967.66015625,140178.125,657.8184814453125,RedBloodCellCount_Avg,410,410,all,CommonBloodTest
49.0,7251041.5,25358.40234375,147980.4375,517.5184326171875,RedBloodCellCount_Max,410,410,all,CommonBloodTest
42.0,5157112.5,43884.890625,122788.390625,1044.8782958984375,RedBloodCellCount_Min,410,410,all,CommonBloodTest
97.0,12994264.0,23528.146484375,133961.484375,242.55821228027344,Hemoglobin_Avg,410,410,all,CommonBloodTest
59.0,8002267.0,17009.8828125,135631.640625,288.3031005859375,Hemoglobin_Max,410,410,all,CommonBloodTest
50.0,13720331.0,12090.7294921875,274406.625,241.8145904541016,Hemoglobin_Min,410,410,all,CommonBloodTest
184.0,38159508.0,163521.171875,207388.625,888.7020263671875,EosinophilsPercentage_Avg,410,410,all,CommonBloodTest
123.0,51673652.0,55627.43359375,420111.0,452.2555541992188,EosinophilsPercentage_Max,410,410,all,CommonBloodTest
90.0,38072832.0,74080.6796875,423031.46875,823.11865234375,EosinophilsPercentage_Min,410,410,all,CommonBloodTest
76.0,22450144.0,28063.0078125,295396.625,369.2500915527344,BasophilsPercentage_Avg,410,410,all,CommonBloodTest
59.0,14148412.0,13454.0703125,239803.59375,228.03509521484372,BasophilsPercentage_Max,410,410,all,CommonBloodTest
37.0,13766772.0,15064.447265625,372074.90625,407.147216796875,BasophilsPercentage_Min,410,410,all,CommonBloodTest
38.0,4672378.5,6167.3818359375,122957.328125,162.2995147705078,AbsoluteNeutrophilCount_Avg,410,410,all,CommonBloodTest
39.0,10914687.0,34815.66796875,279863.78125,892.7094116210938,AbsoluteNeutrophilCount_Max,410,410,all,CommonBloodTest
61.0,7268109.0,20539.48828125,119149.328125,336.7129211425781,AbsoluteNeutrophilCount_Min,410,410,all,CommonBloodTest
44.0,9931680.0,7096.93505859375,225720.0,161.29397583007812,AbsoluteMonocyteCount_Avg,410,410,all,CommonBloodTest
18.0,7267249.5,4388.93017578125,403736.09375,243.82945251464844,AbsoluteMonocyteCount_Max,410,410,all,CommonBloodTest
59.0,13022765.0,16380.587890625,220724.828125,277.6370849609375,AbsoluteMonocyteCount_Min,410,410,all,CommonBloodTest
87.0,31856544.0,46727.16015625,366167.1875,537.0938110351562,AbsoluteEosinophilCount_Avg,410,410,all,CommonBloodTest
68.0,11519066.0,34480.95703125,169398.03125,507.0729064941406,AbsoluteEosinophilCount_Max,410,410,all,CommonBloodTest
43.0,16477165.0,18540.5546875,383189.875,431.1756896972656,AbsoluteEosinophilCount_Min,410,410,all,CommonBloodTest
21.0,1593573.75,8655.05078125,75884.4609375,412.145263671875,AbsoluteBasophilCount_Avg,410,410,all,CommonBloodTest
12.0,1261412.875,9367.8828125,105117.7421875,780.6569213867188,AbsoluteBasophilCount_Max,410,410,all,CommonBloodTest
13.0,822620.25,4282.45703125,63278.48046875,329.4197692871094,AbsoluteBasophilCount_Min,410,410,all,CommonBloodTest
55.0,5720708.5,47448.703125,104012.8828125,862.7036743164062,AbsoluteLymphocyteCount_Avg,410,410,all,CommonBloodTest
47.0,7738306.5,35696.2265625,164644.8125,759.4942016601562,AbsoluteLymphocyteCount_Max,410,410,all,CommonBloodTest
57.0,9508786.0,83827.671875,166820.8125,1470.660888671875,AbsoluteLymphocyteCount_Min,410,410,all,CommonBloodTest
170.0,32132134.0,66234.65625,189012.546875,389.6156311035156,MeanPlateletVolume_Avg,410,410,all,CommonBloodTest
74.0,26932788.0,33291.84765625,363956.59375,449.8898315429688,MeanPlateletVolume_Max,410,410,all,CommonBloodTest
151.0,11833983.0,95680.7109375,78370.75,633.6470947265625,MeanPlateletVolume_Min,410,410,all,CommonBloodTest
71.0,22283946.0,31123.083984375,313858.40625,438.3533020019531,PlateletDistributionWidth_Avg,410,410,all,CommonBloodTest
72.0,10857662.0,33721.62109375,150800.859375,468.3558349609375,PlateletDistributionWidth_Max,410,410,all,CommonBloodTest
56.0,7982691.5,21306.59765625,142548.0625,380.4749450683594,PlateletDistributionWidth_Min,410,410,all,CommonBloodTest
31.0,2338412.5,10394.0302734375,75432.6640625,335.2912902832031,Plateletcrit_Avg,410,410,all,CommonBloodTest
55.0,5479901.0,29402.416015625,99634.5625,534.58935546875,Plateletcrit_Max,410,410,all,CommonBloodTest
43.0,21180706.0,22419.873046875,492574.5625,521.3923950195312,Plateletcrit_Min,410,410,all,CommonBloodTest
39.0,3946536.5,45657.44921875,101193.2421875,1170.703857421875,RedCellDistributionWidth_Avg,410,410,all,CommonBloodTest
35.0,22226124.0,18748.0625,635032.125,535.658935546875,RedCellDistributionWidth_Max,410,410,all,CommonBloodTest
20.0,4672468.0,6260.31494140625,233623.40625,313.0157470703125,RedCellDistributionWidth_Min,410,410,all,CommonBloodTest
130.0,23225236.0,67886.671875,178655.65625,522.2051391601562,RedCellDistributionWidthCV_Avg,410,410,all,CommonBloodTest
123.0,30235730.0,62306.48828125,245818.9375,506.5568237304688,RedCellDistributionWidthCV_Max,410,410,all,CommonBloodTest
99.0,8375361.0,77097.1171875,84599.609375,778.7587890625,RedCellDistributionWidthCV_Min,410,410,all,CommonBloodTest
76.0,12331255.0,56239.4453125,162253.359375,739.99267578125,EosinophilCountAbsolute_Avg,410,410,all,CommonBloodTest
55.0,20424362.0,53100.24609375,371352.03125,965.4590454101562,EosinophilCountAbsolute_Max,410,410,all,CommonBloodTest
45.0,3052748.0,27771.421875,67838.84375,617.1427001953125,EosinophilCountAbsolute_Min,410,410,all,CommonBloodTest
79.0,13485505.0,22384.40625,170702.59375,283.346923828125,CReactiveProtein_Avg,410,410,all,Immunity
106.0,43524536.0,57759.18359375,410608.84375,544.89794921875,CReactiveProtein_Max,410,410,all,Immunity
69.0,28483150.0,56982.5625,412799.28125,825.834228515625,CReactiveProtein_Min,410,410,all,Immunity
67.0,6660520.0,30250.8125,99410.75,451.5046691894531,ImmunoglobulinE_Avg,410,410,all,Immunity
55.0,10968779.0,33230.35546875,199432.34375,604.1882934570312,ImmunoglobulinE_Max,410,410,all,Immunity
49.0,9521622.0,46031.3359375,194318.8125,939.4150390625,ImmunoglobulinE_Min,410,410,all,Immunity
48.0,10975362.0,33479.1875,228653.375,697.4830932617188,Total25HydroxyVitaminD_Avg,410,410,all,Immunity
28.0,6219167.5,5645.98291015625,222113.125,201.64224243164065,Total25HydroxyVitaminD_Max,410,410,all,Immunity
27.0,10470502.0,12361.3271484375,387796.375,457.8269348144531,Total25HydroxyVitaminD_Min,410,410,all,Immunity
10.0,402356.0625,571.6082153320312,40235.60546875,57.16082000732422,ImmunoglobulinG_Avg,410,410,all,Immunity
10.0,1490500.5,1207.05908203125,149050.046875,120.7059097290039,ImmunoglobulinG_Max,410,410,all,Immunity
7.0,2151280.25,1656.40185546875,307325.75,236.6288299560547,ImmunoglobulinG_Min,410,410,all,Immunity
5.0,132149.59375,366.6588439941406,26429.91796875,73.33177185058594,ImmunoglobulinA_Avg,410,410,all,Immunity
4.0,559086.25,416.5683898925781,139771.5625,104.14209747314452,ImmunoglobulinA_Max,410,410,all,Immunity
6.0,422299.21875,2009.89404296875,70383.203125,334.9823303222656,ImmunoglobulinA_Min,410,410,all,Immunity
27.0,3826285.75,19428.568359375,141714.28125,719.5765991210938,ImmunoglobulinM_Avg,410,410,all,Immunity
10.0,1377133.875,3611.171875,137713.390625,361.1171875,ImmunoglobulinM_Max,410,410,all,Immunity
12.0,1099168.25,8679.400390625,91597.3515625,723.2833862304688,ImmunoglobulinM_Min,410,410,all,Immunity
3.0,21060.181640625,125.78297424316406,7020.060546875,41.92765808105469,ThyroglobulinAntibody_Avg,410,410,all,ThyroidFunction
4.0,57196.93359375,1086.1470947265625,14299.2333984375,271.5367736816406,ThyroglobulinAntibody_Max,410,410,all,ThyroidFunction
43.0,21158976.0,18177.173828125,492069.21875,422.7249755859375,ThyroidStimulatingHormone_Avg,410,410,all,ThyroidFunction
12.0,6937265.0,6937.07080078125,578105.4375,578.0892333984375,ThyroidStimulatingHormone_Max,410,410,all,ThyroidFunction
20.0,3348734.25,8556.9541015625,167436.71875,427.84771728515625,ThyroidStimulatingHormone_Min,410,410,all,ThyroidFunction
46.0,6067546.5,11282.4775390625,131903.1875,245.2712554931641,TotalTriiodothyronine_Avg,410,410,all,ThyroidFunction
17.0,8851769.0,7875.79541015625,520692.28125,463.2820739746094,TotalTriiodothyronine_Max,410,410,all,ThyroidFunction
16.0,3166728.25,10946.728515625,197920.515625,684.1705322265625,TotalTriiodothyronine_Min,410,410,all,ThyroidFunction
38.0,10185723.0,31282.4765625,268045.34375,823.2230834960938,TotalThyroxine_Avg,410,410,all,ThyroidFunction
22.0,12547362.0,25238.74609375,570334.625,1147.2156982421875,TotalThyroxine_Max,410,410,all,ThyroidFunction
28.0,8178308.0,35076.0234375,292082.4375,1252.715087890625,TotalThyroxine_Min,410,410,all,ThyroidFunction
21.0,1530611.75,4032.693115234375,72886.2734375,192.0330047607422,FreeTriiodothyronine_Avg,410,410,all,ThyroidFunction
12.0,13070236.0,8781.1953125,1089186.375,731.7662963867188,FreeTriiodothyronine_Max,410,410,all,ThyroidFunction
10.0,3083785.75,886.5903930664062,308378.5625,88.65904235839844,FreeTriiodothyronine_Min,410,410,all,ThyroidFunction
47.0,13592507.0,24243.58203125,289202.28125,515.8209228515625,FreeThyroxine_Avg,410,410,all,ThyroidFunction
21.0,2907872.5,12930.3623046875,138470.125,615.7315673828125,FreeThyroxine_Max,410,410,all,ThyroidFunction
16.0,974288.125,16337.443359375,60893.0078125,1021.0902099609376,FreeThyroxine_Min,410,410,all,ThyroidFunction
20.0,4757959.0,9414.3271484375,237897.953125,470.7163696289063,ReverseTriiodothyronine_Avg,410,410,all,ThyroidFunction
17.0,8090661.5,8554.8408203125,475921.25,503.2259216308594,ReverseTriiodothyronine_Max,410,410,all,ThyroidFunction
13.0,6841541.0,12386.14453125,526272.375,952.7803344726562,ReverseTriiodothyronine_Min,410,410,all,ThyroidFunction
9.0,6458178.0,6731.06201171875,717575.3125,747.895751953125,ANA1to40_Avg,410,410,all,Autoantibody
5.0,3774617.25,3971.925048828125,754923.4375,794.385009765625,ANA1to40_Max,410,410,all,Autoantibody
1.0,87639.71875,50.15904998779297,87639.71875,50.15904998779297,ANA1to80_Avg,410,410,all,Autoantibody
2.0,1640025.125,340.6968994140625,820012.5625,170.34844970703125,ANANuclearPattern_Avg,410,410,all,Autoantibody
1.0,330043.125,169.72848510742188,330043.125,169.72848510742188,ANANuclearPattern_Max,410,410,all,Autoantibody
11.0,1606416.375,4063.257080078125,146037.859375,369.3869934082031,SMRNP_Avg,410,410,all,Autoantibody
8.0,454955.40625,1566.7587890625,56869.42578125,195.8448486328125,SMRNP_Max,410,410,all,Autoantibody
