,Gender,FirstVisitAge,CIndU,Hematocrit_Avg,Hematocrit_Max,Hematocrit_Min,LymphocytesPercentage_Avg,LymphocytesPercentage_Max,LymphocytesPercentage_Min,NeutrophilsPercentage_Avg,NeutrophilsPercentage_Max,NeutrophilsPercentage_Min,MonocytesPercentage_Avg,MonocytesPercentage_Max,MonocytesPercentage_Min,MeanCorpuscularHemoglobinConcentration_Avg,MeanCorpuscularHemoglobinConcentration_Max,MeanCorpuscularHemoglobinConcentration_Min,PlateletCount_Avg,PlateletCount_Max,PlateletCount_Min,WhiteBloodCellCount_Avg,WhiteBloodCellCount_Max,WhiteBloodCellCount_Min,MeanCorpuscularHemoglobin_Avg,MeanCorpuscularHemoglobin_Max,MeanCorpuscularHemoglobin_Min,MeanCorpuscularVolume_Avg,MeanCorpuscularVolume_Max,MeanCorpuscularVolume_Min,RedBloodCellCount_Avg,RedBloodCellCount_Max,RedBloodCellCount_Min,Hemoglobin_Avg,Hemoglobin_Max,Hemoglobin_Min,EosinophilsPercentage_Avg,EosinophilsPercentage_Max,EosinophilsPercentage_Min,BasophilsPercentage_Avg,BasophilsPercentage_Max,BasophilsPercentage_Min,AbsoluteNeutrophilCount_Avg,AbsoluteNeutrophilCount_Max,AbsoluteNeutrophilCount_Min,AbsoluteMonocyteCount_Avg,AbsoluteMonocyteCount_Max,AbsoluteMonocyteCount_Min,AbsoluteEosinophilCount_Avg,AbsoluteEosinophilCount_Max,AbsoluteEosinophilCount_Min,AbsoluteBasophilCount_Avg,AbsoluteBasophilCount_Max,AbsoluteBasophilCount_Min,AbsoluteLymphocyteCount_Avg,AbsoluteLymphocyteCount_Max,AbsoluteLymphocyteCount_Min,MeanPlateletVolume_Avg,MeanPlateletVolume_Max,MeanPlateletVolume_Min,PlateletDistributionWidth_Avg,PlateletDistributionWidth_Max,PlateletDistributionWidth_Min,Plateletcrit_Avg,Plateletcrit_Max,Plateletcrit_Min,RedCellDistributionWidth_Avg,RedCellDistributionWidth_Max,RedCellDistributionWidth_Min,RedCellDistributionWidthCV_Avg,RedCellDistributionWidthCV_Max,RedCellDistributionWidthCV_Min,EosinophilCountAbsolute_Avg,EosinophilCountAbsolute_Max,EosinophilCountAbsolute_Min,CReactiveProtein_Avg,CReactiveProtein_Max,CReactiveProtein_Min,ImmunoglobulinE_Avg,ImmunoglobulinE_Max,ImmunoglobulinE_Min,Total25HydroxyVitaminD_Avg,Total25HydroxyVitaminD_Max,Total25HydroxyVitaminD_Min,ImmunoglobulinG_Avg,ImmunoglobulinG_Max,ImmunoglobulinG_Min,ImmunoglobulinA_Avg,ImmunoglobulinA_Max,ImmunoglobulinA_Min,ImmunoglobulinM_Avg,ImmunoglobulinM_Max,ImmunoglobulinM_Min,ThyroglobulinAntibody_Avg,ThyroglobulinAntibody_Max,ThyroglobulinAntibody_Min,ThyroidStimulatingHormone_Avg,ThyroidStimulatingHormone_Max,ThyroidStimulatingHormone_Min,TotalTriiodothyronine_Avg,TotalTriiodothyronine_Max,TotalTriiodothyronine_Min,TotalThyroxine_Avg,TotalThyroxine_Max,TotalThyroxine_Min,FreeTriiodothyronine_Avg,FreeTriiodothyronine_Max,FreeTriiodothyronine_Min,FreeThyroxine_Avg,FreeThyroxine_Max,FreeThyroxine_Min,ReverseTriiodothyronine_Avg,ReverseTriiodothyronine_Max,ReverseTriiodothyronine_Min,ANA1to40_Avg,ANA1to40_Max,ANA1to40_Min,ANA1to80_Avg,ANA1to80_Max,ANA1to80_Min,ANANuclearPattern_Avg,ANANuclearPattern_Max,ANANuclearPattern_Min,SMRNP_Avg,SMRNP_Max,SMRNP_Min,AntiScl70_Avg,AntiScl70_Max,AntiScl70_Min,AntiSSA_Avg,AntiSSA_Max,AntiSSA_Min,AntiSSB_Avg,AntiSSB_Max,AntiSSB_Min,AntiJo1_Avg,AntiJo1_Max,AntiJo1_Min,AntiDoubleStrandedDNA_Avg,AntiDoubleStrandedDNA_Max,AntiDoubleStrandedDNA_Min,AntiSM_Avg,AntiSM_Max,AntiSM_Min,Nucleosome_Avg,Nucleosome_Max,Nucleosome_Min,AntiM2_Avg,AntiM2_Max,AntiM2_Min,ProliferatingCellNuclearAntigen_Avg,ProliferatingCellNuclearAntigen_Max,ProliferatingCellNuclearAntigen_Min,RibosomalPProtein_Avg,RibosomalPProtein_Max,RibosomalPProtein_Min,PMScl_Avg,PMScl_Max,PMScl_Min,Histone_Avg,Histone_Max,Histone_Min,CentromereProteinB_Avg,CentromereProteinB_Max,CentromereProteinB_Min,Ro52_Avg,Ro52_Max,Ro52_Min,ThrombinTime_Avg,ThrombinTime_Max,ThrombinTime_Min,PartialThromboplastinTime_Avg,PartialThromboplastinTime_Max,PartialThromboplastinTime_Min,ProthrombinTime_Avg,ProthrombinTime_Max,ProthrombinTime_Min,ProthrombinTimeINR_Avg,ProthrombinTimeINR_Max,ProthrombinTimeINR_Min,UrinepH_Avg,UrinepH_Max,UrinepH_Min,UrineGlucose_Avg,UrineGlucose_Max,UrineGlucose_Min,UrineProtein_Avg,UrineProtein_Max,UrineProtein_Min,UrineSpecificGravity_Avg,UrineSpecificGravity_Max,UrineSpecificGravity_Min,Urobilin_Avg,Urobilin_Max,Urobilin_Min,RedBloodCellsMicroscopic_Avg,RedBloodCellsMicroscopic_Max,RedBloodCellsMicroscopic_Min,UrineKetones_Avg,UrineKetones_Max,UrineKetones_Min,WhiteBloodCellsMicroscopic_Avg,WhiteBloodCellsMicroscopic_Max,WhiteBloodCellsMicroscopic_Min,Milk_Avg,Milk_Max,Milk_Min,Cockroach_Avg,Cockroach_Max,Cockroach_Min,EggWhite_Avg,EggWhite_Max,EggWhite_Min,CatDander_Avg,CatDander_Max,CatDander_Min,DogDander_Avg,DogDander_Max,DogDander_Min,Ragweed_Avg,Ragweed_Max,Ragweed_Min,RyeGrass_Avg,RyeGrass_Max,RyeGrass_Min,Shrimp_Avg,Shrimp_Max,Shrimp_Min,Beef_Avg,Beef_Max,Beef_Min,Peanut_Avg,Peanut_Max,Peanut_Min,Cashew_Avg,Cashew_Max,Cashew_Min,DustMites_Avg,DustMites_Max,DustMites_Min,LobsterScallop_Avg,LobsterScallop_Max,LobsterScallop_Min,Shellfish_Avg,Shellfish_Max,Shellfish_Min,MoldCombination_Avg,MoldCombination_Max,MoldCombination_Min,Mulberry_Avg,Mulberry_Max,Mulberry_Min,Crab_Avg,Crab_Max,Crab_Min,MixedGrasses_Avg,MixedGrasses_Max,MixedGrasses_Min,Mugwort_Avg,Mugwort_Max,Mugwort_Min
3,120,1,120,34,2,1,2,1,1,2,1,1,3,1,2,1,1,12,1,1,1,1,1,38,2,1,2,2,1,2,5,15,1,2,1,1,1,1,1,1,3,1,1,1,2,2,2,1,1,9,12,28,120,120,2,1,3,36,3,1,15,18,2,7,18,120,1,20,22,39,1,1,2,38,33,1,2,1,120,120,120,18,2,7,120,120,120,120,120,120,120,120,120,120,120,120,1,2,120,1,1,9,28,36,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,1,1,28,120,120,120,120,120,120,120,120,120,21,28,120,10,28,120,2,120,1,120,120,120,18,120,120,120,120,120,120,120,120,120,120,120,28,1,120,120,120,120,120,120,120,120,120,120,120,28,120,120,120,120,120,120,120,23,28,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,13,120,120,120,120,120,120,120,120,28,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120
11,129,1,129,2,1,1,1,1,1,1,1,1,8,2,1,1,1,34,1,1,1,1,1,1,1,1,2,2,1,2,8,37,21,1,1,1,1,1,1,1,2,1,1,1,1,19,13,1,2,38,8,1,129,129,32,4,8,21,5,1,29,12,1,3,2,129,2,33,45,11,30,1,2,35,21,1,1,1,129,129,129,17,45,129,129,129,129,129,129,129,129,129,129,129,129,129,1,2,45,30,1,24,15,24,45,129,129,129,129,129,50,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,24,39,129,5,27,45,129,129,129,129,129,129,45,2,129,1,35,45,17,39,1,129,129,129,17,27,129,129,129,129,129,129,129,129,129,129,13,1,24,129,129,129,50,129,129,129,129,129,129,129,129,129,129,129,41,129,45,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129
4,123,1,123,11,1,1,1,1,1,2,1,2,2,1,7,1,1,39,1,1,1,1,1,39,1,2,1,6,3,3,16,5,2,1,1,1,1,1,1,1,2,1,1,1,1,19,2,1,2,19,11,2,123,123,24,1,5,29,26,1,26,20,2,2,11,123,11,34,34,37,11,1,2,30,123,1,1,1,123,123,123,11,2,23,123,123,123,123,123,123,123,123,123,123,123,123,1,2,21,123,1,2,2,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,2,28,123,123,123,34,123,123,123,123,123,123,123,34,123,1,22,123,11,123,1,123,123,123,15,34,123,123,123,123,123,123,123,123,123,123,34,1,2,39,123,123,27,123,123,123,123,123,123,123,123,123,123,123,17,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123
2,122,1,122,12,1,1,1,1,1,2,1,2,122,1,2,1,1,26,1,1,1,2,1,18,1,2,2,1,1,2,15,1,21,1,1,1,1,1,1,1,6,1,1,1,1,2,3,1,1,4,3,2,36,122,16,1,11,6,2,1,42,19,2,8,1,31,2,28,42,20,1,1,23,122,122,1,1,1,31,122,33,22,2,14,122,122,122,122,122,122,122,122,122,122,122,122,1,1,122,2,1,6,2,26,28,122,122,122,122,122,122,42,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,17,9,122,10,122,122,122,122,122,122,122,122,122,2,122,2,14,122,2,24,1,122,122,122,28,36,122,122,122,122,36,122,122,122,122,122,39,1,122,122,122,122,31,122,122,122,122,36,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,42,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,36,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122
8,120,1,120,3,1,1,2,1,1,2,1,1,2,1,2,2,2,32,1,1,1,1,1,41,1,1,1,2,2,2,31,1,2,1,1,1,1,1,1,1,9,1,1,1,1,9,3,1,2,17,14,2,120,120,9,1,2,9,2,1,6,2,2,1,2,35,2,39,26,20,5,1,2,25,2,1,2,1,120,120,30,120,14,20,120,120,120,120,120,120,27,120,120,120,120,120,1,2,35,17,1,11,20,30,28,120,120,120,120,120,41,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,1,120,120,4,2,120,120,120,120,120,120,120,14,20,120,24,38,120,2,120,1,120,120,120,35,24,120,120,120,120,120,120,120,120,120,120,14,1,35,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,20,35,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120
9,120,1,120,3,2,2,1,1,1,2,1,5,2,1,9,2,2,2,1,1,1,2,1,29,1,2,15,2,2,2,17,2,120,2,1,1,1,1,1,1,2,1,1,1,2,2,5,1,1,9,14,2,120,120,35,2,5,15,2,1,5,34,2,1,1,32,9,27,120,19,2,1,31,36,120,1,1,1,120,120,120,24,2,120,120,120,120,120,120,120,120,120,120,120,120,120,1,2,20,32,1,2,2,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,1,12,120,22,12,120,120,120,120,120,120,120,120,17,120,12,120,120,23,27,1,120,120,120,21,29,120,120,120,120,120,120,120,120,120,120,2,1,26,120,120,120,36,120,120,120,120,120,120,120,120,120,120,120,25,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120
7,125,1,125,2,1,1,1,1,1,1,1,1,42,1,2,1,1,26,1,1,1,21,1,125,1,1,1,4,1,1,3,2,2,1,1,1,1,1,1,1,1,1,1,1,2,6,2,1,2,11,6,2,125,125,12,1,6,42,28,1,9,21,6,14,14,125,2,10,44,14,14,1,35,45,35,1,1,1,125,125,125,32,32,32,125,125,125,125,125,125,125,125,125,125,125,125,1,2,2,39,1,27,1,28,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,2,17,125,2,21,39,125,125,125,125,125,125,125,125,125,18,32,125,21,39,1,125,125,125,25,24,125,125,125,125,39,125,125,125,125,125,2,1,21,125,125,125,30,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,39,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125
6,120,1,120,2,1,3,1,1,1,2,1,2,15,1,2,1,1,21,1,1,1,2,1,120,1,1,15,5,2,2,15,1,5,2,1,1,1,1,1,1,1,1,1,1,2,15,15,1,1,28,12,2,120,120,2,1,5,9,15,1,26,28,1,1,9,120,2,37,120,9,2,1,9,120,35,1,1,1,120,120,120,19,25,19,120,120,120,120,120,120,120,120,120,120,120,120,1,2,33,120,1,22,2,35,22,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,2,7,120,35,31,120,120,120,120,120,120,120,31,120,120,2,2,120,2,26,1,120,120,120,2,31,120,120,120,120,120,120,120,120,120,120,2,1,24,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120
5,126,1,126,15,1,1,1,1,1,2,1,3,8,1,2,3,1,22,1,1,1,1,1,45,1,2,6,2,1,6,15,1,27,1,1,1,1,1,1,1,1,1,1,1,1,10,28,1,2,22,22,2,126,126,26,2,3,15,1,1,12,8,2,2,2,38,1,30,45,11,6,1,15,43,126,1,1,1,126,126,126,19,38,38,126,126,126,126,126,126,126,126,126,126,126,126,1,1,22,32,1,2,15,2,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,1,126,126,45,19,38,126,126,126,126,126,126,126,25,126,32,38,126,2,38,1,126,126,126,29,38,126,126,126,126,126,126,126,126,126,126,19,1,32,126,126,126,38,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,34,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,2,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126
1,126,1,126,2,1,1,1,1,1,3,1,1,10,1,23,2,1,32,1,1,1,1,1,47,1,1,2,2,1,1,24,2,2,1,1,1,1,1,1,1,2,1,1,1,1,10,5,1,1,13,7,2,34,126,3,30,5,5,21,1,38,17,2,1,1,38,2,28,38,35,31,1,38,126,126,1,1,1,126,126,126,126,2,15,126,126,126,126,126,126,126,126,126,126,126,126,1,2,126,13,1,17,2,2,21,126,126,126,126,126,126,47,27,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,19,25,126,34,27,126,126,126,126,126,126,126,43,126,126,10,43,126,13,38,1,126,126,126,2,30,126,126,126,126,43,126,126,126,126,126,10,1,17,126,126,126,45,126,126,126,126,43,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,22,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126
