,Gender,FirstVisitAge,CIndU,Hematocrit_Avg,Hematocrit_Max,Hematocrit_Min,LymphocytesPercentage_Avg,LymphocytesPercentage_Max,LymphocytesPercentage_Min,NeutrophilsPercentage_Avg,NeutrophilsPercentage_Max,NeutrophilsPercentage_Min,MonocytesPercentage_Avg,MonocytesPercentage_Max,MonocytesPercentage_Min,MeanCorpuscularHemoglobinConcentration_Avg,MeanCorpuscularHemoglobinConcentration_Max,MeanCorpuscularHemoglobinConcentration_Min,PlateletCount_Avg,PlateletCount_Max,PlateletCount_Min,WhiteBloodCellCount_Avg,WhiteBloodCellCount_Max,WhiteBloodCellCount_Min,MeanCorpuscularHemoglobin_Avg,MeanCorpuscularHemoglobin_Max,MeanCorpuscularHemoglobin_Min,MeanCorpuscularVolume_Avg,MeanCorpuscularVolume_Max,MeanCorpuscularVolume_Min,RedBloodCellCount_Avg,RedBloodCellCount_Max,RedBloodCellCount_Min,Hemoglobin_Avg,Hemoglobin_Max,Hemoglobin_Min,EosinophilsPercentage_Avg,EosinophilsPercentage_Max,EosinophilsPercentage_Min,BasophilsPercentage_Avg,BasophilsPercentage_Max,BasophilsPercentage_Min,AbsoluteNeutrophilCount_Avg,AbsoluteNeutrophilCount_Max,AbsoluteNeutrophilCount_Min,AbsoluteMonocyteCount_Avg,AbsoluteMonocyteCount_Max,AbsoluteMonocyteCount_Min,AbsoluteEosinophilCount_Avg,AbsoluteEosinophilCount_Max,AbsoluteEosinophilCount_Min,AbsoluteBasophilCount_Avg,AbsoluteBasophilCount_Max,AbsoluteBasophilCount_Min,AbsoluteLymphocyteCount_Avg,AbsoluteLymphocyteCount_Max,AbsoluteLymphocyteCount_Min,MeanPlateletVolume_Avg,MeanPlateletVolume_Max,MeanPlateletVolume_Min,PlateletDistributionWidth_Avg,PlateletDistributionWidth_Max,PlateletDistributionWidth_Min,Plateletcrit_Avg,Plateletcrit_Max,Plateletcrit_Min,RedCellDistributionWidth_Avg,RedCellDistributionWidth_Max,RedCellDistributionWidth_Min,RedCellDistributionWidthCV_Avg,RedCellDistributionWidthCV_Max,RedCellDistributionWidthCV_Min,EosinophilCountAbsolute_Avg,EosinophilCountAbsolute_Max,EosinophilCountAbsolute_Min,CReactiveProtein_Avg,CReactiveProtein_Max,CReactiveProtein_Min,ImmunoglobulinE_Avg,ImmunoglobulinE_Max,ImmunoglobulinE_Min,Total25HydroxyVitaminD_Avg,Total25HydroxyVitaminD_Max,Total25HydroxyVitaminD_Min,ImmunoglobulinG_Avg,ImmunoglobulinG_Max,ImmunoglobulinG_Min,ImmunoglobulinA_Avg,ImmunoglobulinA_Max,ImmunoglobulinA_Min,ImmunoglobulinM_Avg,ImmunoglobulinM_Max,ImmunoglobulinM_Min,ThyroglobulinAntibody_Avg,ThyroglobulinAntibody_Max,ThyroglobulinAntibody_Min,ThyroidStimulatingHormone_Avg,ThyroidStimulatingHormone_Max,ThyroidStimulatingHormone_Min,TotalTriiodothyronine_Avg,TotalTriiodothyronine_Max,TotalTriiodothyronine_Min,TotalThyroxine_Avg,TotalThyroxine_Max,TotalThyroxine_Min,FreeTriiodothyronine_Avg,FreeTriiodothyronine_Max,FreeTriiodothyronine_Min,FreeThyroxine_Avg,FreeThyroxine_Max,FreeThyroxine_Min,ReverseTriiodothyronine_Avg,ReverseTriiodothyronine_Max,ReverseTriiodothyronine_Min,ANA1to40_Avg,ANA1to40_Max,ANA1to40_Min,ANA1to80_Avg,ANA1to80_Max,ANA1to80_Min,ANANuclearPattern_Avg,ANANuclearPattern_Max,ANANuclearPattern_Min,SMRNP_Avg,SMRNP_Max,SMRNP_Min,AntiScl70_Avg,AntiScl70_Max,AntiScl70_Min,AntiSSA_Avg,AntiSSA_Max,AntiSSA_Min,AntiSSB_Avg,AntiSSB_Max,AntiSSB_Min,AntiJo1_Avg,AntiJo1_Max,AntiJo1_Min,AntiDoubleStrandedDNA_Avg,AntiDoubleStrandedDNA_Max,AntiDoubleStrandedDNA_Min,AntiSM_Avg,AntiSM_Max,AntiSM_Min,Nucleosome_Avg,Nucleosome_Max,Nucleosome_Min,AntiM2_Avg,AntiM2_Max,AntiM2_Min,ProliferatingCellNuclearAntigen_Avg,ProliferatingCellNuclearAntigen_Max,ProliferatingCellNuclearAntigen_Min,RibosomalPProtein_Avg,RibosomalPProtein_Max,RibosomalPProtein_Min,PMScl_Avg,PMScl_Max,PMScl_Min,Histone_Avg,Histone_Max,Histone_Min,CentromereProteinB_Avg,CentromereProteinB_Max,CentromereProteinB_Min,Ro52_Avg,Ro52_Max,Ro52_Min,ThrombinTime_Avg,ThrombinTime_Max,ThrombinTime_Min,PartialThromboplastinTime_Avg,PartialThromboplastinTime_Max,PartialThromboplastinTime_Min,ProthrombinTime_Avg,ProthrombinTime_Max,ProthrombinTime_Min,ProthrombinTimeINR_Avg,ProthrombinTimeINR_Max,ProthrombinTimeINR_Min,UrinepH_Avg,UrinepH_Max,UrinepH_Min,UrineGlucose_Avg,UrineGlucose_Max,UrineGlucose_Min,UrineProtein_Avg,UrineProtein_Max,UrineProtein_Min,UrineSpecificGravity_Avg,UrineSpecificGravity_Max,UrineSpecificGravity_Min,Urobilin_Avg,Urobilin_Max,Urobilin_Min,RedBloodCellsMicroscopic_Avg,RedBloodCellsMicroscopic_Max,RedBloodCellsMicroscopic_Min,UrineKetones_Avg,UrineKetones_Max,UrineKetones_Min,WhiteBloodCellsMicroscopic_Avg,WhiteBloodCellsMicroscopic_Max,WhiteBloodCellsMicroscopic_Min,Milk_Avg,Milk_Max,Milk_Min,Cockroach_Avg,Cockroach_Max,Cockroach_Min,EggWhite_Avg,EggWhite_Max,EggWhite_Min,CatDander_Avg,CatDander_Max,CatDander_Min,DogDander_Avg,DogDander_Max,DogDander_Min,Ragweed_Avg,Ragweed_Max,Ragweed_Min,RyeGrass_Avg,RyeGrass_Max,RyeGrass_Min,Shrimp_Avg,Shrimp_Max,Shrimp_Min,Beef_Avg,Beef_Max,Beef_Min,Peanut_Avg,Peanut_Max,Peanut_Min,Cashew_Avg,Cashew_Max,Cashew_Min,DustMites_Avg,DustMites_Max,DustMites_Min,LobsterScallop_Avg,LobsterScallop_Max,LobsterScallop_Min,Shellfish_Avg,Shellfish_Max,Shellfish_Min,MoldCombination_Avg,MoldCombination_Max,MoldCombination_Min,Mulberry_Avg,Mulberry_Max,Mulberry_Min,Crab_Avg,Crab_Max,Crab_Min,MixedGrasses_Avg,MixedGrasses_Max,MixedGrasses_Min,Mugwort_Avg,Mugwort_Max,Mugwort_Min
1,2,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,12,7,2,2,7,2,2,7,7,16,19,1,1,1,1,1,1,1,1,1,2,1,2,2,1,2,1,2,2,1,1,1,21,25,21,1,2,24,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,2,2,1,1,2,1,2,2,2,2,1,1,1,1,2,2,2,2,2,1,1,2,2,1,1,2,1,1,1,2,2,7,1,1,1,1,1,2,1,1,1,12,14,7,27,28,27,50,50,32,1,1,2,50,50,50,3,17,7,50,50,50,3,14,16,1,2,2,1,1,2,1,1,1,2,2,2,1,1,1,1,1,1,2,2,2,50,50,50,50,50,50,50,50,50,23,22,19,1,2,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,29,31,30,50,50,50
5,6,1,1,1,2,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,3,10,15,3,2,10,2,2,3,2,17,16,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,20,26,28,2,6,22,2,1,2,1,1,1,1,1,1,1,2,2,2,2,2,1,2,2,1,1,1,2,2,2,1,2,2,1,1,1,2,2,1,2,2,1,1,1,2,1,1,2,1,2,1,2,2,2,1,1,1,1,2,1,1,1,1,3,10,3,25,31,50,50,29,50,1,2,2,50,50,50,10,14,10,50,50,50,10,21,22,2,2,2,1,1,1,1,1,1,2,2,2,1,2,1,1,1,1,2,2,2,50,50,50,50,50,50,50,50,50,24,18,19,2,2,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,26,50,30,50,50,50
7,2,2,1,2,1,1,2,1,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,2,7,7,15,2,16,2,3,2,3,16,24,1,1,1,2,1,1,1,1,1,2,2,2,1,1,2,2,1,2,1,1,1,24,26,50,2,11,21,1,1,2,1,2,1,1,2,2,1,2,2,2,7,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,7,1,1,1,1,2,2,1,1,1,2,18,3,30,28,50,31,32,50,2,2,2,50,50,50,7,13,11,50,50,50,7,19,14,1,2,2,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,2,2,50,50,50,50,50,50,50,50,50,20,27,28,1,2,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,2,24,21,50,50,50
11,8,1,1,2,1,1,2,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,1,1,1,1,1,2,1,2,1,1,1,2,3,12,1,2,8,1,2,2,16,14,16,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,2,1,1,1,8,19,46,1,2,26,1,1,2,1,2,1,1,2,2,1,2,2,2,2,1,2,2,2,1,2,1,2,2,2,2,2,1,1,1,1,2,2,1,2,2,1,2,2,2,1,1,2,1,2,1,2,2,2,1,1,1,1,2,2,1,1,1,8,8,4,20,23,46,23,46,23,1,2,2,46,46,46,2,12,2,46,46,46,4,12,16,2,2,2,1,1,2,1,1,1,1,2,2,1,1,2,1,1,1,2,2,2,46,46,46,46,46,46,46,46,46,18,25,21,2,2,2,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,26,46,46,46,46
10,9,1,1,2,2,2,2,1,2,2,1,2,2,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,2,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,13,27,13,6,22,20,2,2,6,30,26,36,1,1,1,1,1,2,1,1,1,2,2,2,2,2,2,1,2,1,1,1,1,33,31,62,2,20,29,2,1,1,1,1,1,1,1,2,1,2,2,2,2,6,2,2,2,2,1,1,2,2,4,2,2,2,2,1,1,2,2,2,2,3,2,1,2,1,1,2,2,2,1,1,9,18,13,1,1,1,2,1,2,1,1,1,9,18,18,36,43,39,62,43,62,2,2,16,62,62,62,2,33,22,40,62,62,2,24,24,1,2,2,1,1,2,1,1,1,2,1,13,1,1,2,1,1,1,1,2,9,62,62,62,62,62,62,62,62,62,38,27,33,2,2,1,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,41,35,42,62,62,62
3,5,1,1,1,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,5,2,2,10,2,2,5,2,15,21,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,1,1,2,1,1,1,18,17,23,2,2,14,1,1,1,1,1,1,2,1,1,2,2,2,1,2,2,2,2,2,1,1,2,2,5,2,1,2,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,2,2,1,1,2,2,2,1,1,1,1,2,2,1,1,2,3,10,2,25,23,26,47,47,47,1,2,2,47,47,47,2,10,10,47,47,27,2,10,10,1,2,2,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,2,2,2,47,47,47,47,47,47,47,47,47,15,19,20,1,2,2,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,21,29,27,47,47,47
2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,7,2,2,10,1,2,2,10,13,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,18,19,21,1,7,24,1,1,2,1,1,1,1,1,1,2,2,1,2,2,2,1,2,1,2,1,1,1,2,3,1,2,1,1,2,1,1,2,1,2,2,1,2,1,1,1,1,2,2,1,2,2,4,3,1,1,1,1,1,1,1,1,1,2,7,2,21,23,44,44,22,44,2,1,2,44,44,44,2,12,2,44,44,44,7,2,12,1,2,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,2,2,44,44,44,44,44,44,44,44,44,15,15,18,1,1,2,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44
6,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,10,2,2,15,1,2,2,6,10,15,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,1,1,1,1,1,2,15,42,17,2,2,19,1,1,1,1,2,1,1,1,1,2,2,2,1,2,1,2,2,2,2,1,2,2,2,2,2,1,1,1,2,1,1,2,1,2,2,1,2,1,1,1,1,2,1,2,1,2,2,2,1,1,1,2,1,2,1,1,1,2,6,2,42,42,19,42,21,42,2,2,2,42,42,42,2,2,2,42,42,42,2,6,6,1,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,2,2,42,42,42,42,42,42,42,42,42,13,12,17,1,1,2,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42
8,5,1,1,2,1,1,2,2,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,11,2,2,5,13,2,2,2,2,19,21,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,2,1,1,2,25,25,31,2,3,27,1,1,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,8,2,2,1,1,1,1,1,2,2,2,2,2,1,2,1,1,1,1,1,2,1,2,8,8,1,1,1,1,2,2,1,1,1,16,16,8,52,28,29,32,33,30,1,2,2,52,52,52,4,16,20,52,52,52,11,16,13,1,2,2,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,2,2,2,52,52,52,52,52,52,52,52,52,25,23,21,2,2,2,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52
9,10,1,1,1,1,1,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,2,2,10,1,2,2,2,21,19,1,1,1,1,2,2,1,1,1,1,2,2,2,1,2,1,2,1,1,1,1,22,35,34,2,2,14,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,6,2,2,1,1,2,2,3,2,2,2,1,2,1,1,2,1,2,2,1,2,2,1,1,1,2,2,2,1,2,10,10,1,1,1,1,1,2,1,1,1,10,6,16,29,28,26,30,36,53,2,2,2,53,53,53,10,19,16,31,53,53,6,16,16,1,1,2,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,2,3,53,53,53,53,53,53,53,53,53,23,26,24,1,1,1,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,26,33,32,53,53,53
