,Gender,FirstVisitAge,CIndU,Hematocrit_Avg,Hematocrit_Max,Hematocrit_Min,LymphocytesPercentage_Avg,LymphocytesPercentage_Max,LymphocytesPercentage_Min,NeutrophilsPercentage_Avg,NeutrophilsPercentage_Max,NeutrophilsPercentage_Min,MonocytesPercentage_Avg,MonocytesPercentage_Max,MonocytesPercentage_Min,MeanCorpuscularHemoglobinConcentration_Avg,MeanCorpuscularHemoglobinConcentration_Max,MeanCorpuscularHemoglobinConcentration_Min,PlateletCount_Avg,PlateletCount_Max,PlateletCount_Min,WhiteBloodCellCount_Avg,WhiteBloodCellCount_Max,WhiteBloodCellCount_Min,MeanCorpuscularHemoglobin_Avg,MeanCorpuscularHemoglobin_Max,MeanCorpuscularHemoglobin_Min,MeanCorpuscularVolume_Avg,MeanCorpuscularVolume_Max,MeanCorpuscularVolume_Min,RedBloodCellCount_Avg,RedBloodCellCount_Max,RedBloodCellCount_Min,Hemoglobin_Avg,Hemoglobin_Max,Hemoglobin_Min,EosinophilsPercentage_Avg,EosinophilsPercentage_Max,EosinophilsPercentage_Min,BasophilsPercentage_Avg,BasophilsPercentage_Max,BasophilsPercentage_Min,AbsoluteNeutrophilCount_Avg,AbsoluteNeutrophilCount_Max,AbsoluteNeutrophilCount_Min,AbsoluteMonocyteCount_Avg,AbsoluteMonocyteCount_Max,AbsoluteMonocyteCount_Min,AbsoluteEosinophilCount_Avg,AbsoluteEosinophilCount_Max,AbsoluteEosinophilCount_Min,AbsoluteBasophilCount_Avg,AbsoluteBasophilCount_Max,AbsoluteBasophilCount_Min,AbsoluteLymphocyteCount_Avg,AbsoluteLymphocyteCount_Max,AbsoluteLymphocyteCount_Min,MeanPlateletVolume_Avg,MeanPlateletVolume_Max,MeanPlateletVolume_Min,PlateletDistributionWidth_Avg,PlateletDistributionWidth_Max,PlateletDistributionWidth_Min,Plateletcrit_Avg,Plateletcrit_Max,Plateletcrit_Min,RedCellDistributionWidth_Avg,RedCellDistributionWidth_Max,RedCellDistributionWidth_Min,RedCellDistributionWidthCV_Avg,RedCellDistributionWidthCV_Max,RedCellDistributionWidthCV_Min,EosinophilCountAbsolute_Avg,EosinophilCountAbsolute_Max,EosinophilCountAbsolute_Min,CReactiveProtein_Avg,CReactiveProtein_Max,CReactiveProtein_Min,ImmunoglobulinE_Avg,ImmunoglobulinE_Max,ImmunoglobulinE_Min,Total25HydroxyVitaminD_Avg,Total25HydroxyVitaminD_Max,Total25HydroxyVitaminD_Min,ImmunoglobulinG_Avg,ImmunoglobulinG_Max,ImmunoglobulinG_Min,ImmunoglobulinA_Avg,ImmunoglobulinA_Max,ImmunoglobulinA_Min,ImmunoglobulinM_Avg,ImmunoglobulinM_Max,ImmunoglobulinM_Min,ThyroglobulinAntibody_Avg,ThyroglobulinAntibody_Max,ThyroglobulinAntibody_Min,ThyroidStimulatingHormone_Avg,ThyroidStimulatingHormone_Max,ThyroidStimulatingHormone_Min,TotalTriiodothyronine_Avg,TotalTriiodothyronine_Max,TotalTriiodothyronine_Min,TotalThyroxine_Avg,TotalThyroxine_Max,TotalThyroxine_Min,FreeTriiodothyronine_Avg,FreeTriiodothyronine_Max,FreeTriiodothyronine_Min,FreeThyroxine_Avg,FreeThyroxine_Max,FreeThyroxine_Min,ReverseTriiodothyronine_Avg,ReverseTriiodothyronine_Max,ReverseTriiodothyronine_Min,ANA1to40_Avg,ANA1to40_Max,ANA1to40_Min,ANA1to80_Avg,ANA1to80_Max,ANA1to80_Min,ANANuclearPattern_Avg,ANANuclearPattern_Max,ANANuclearPattern_Min,SMRNP_Avg,SMRNP_Max,SMRNP_Min,AntiScl70_Avg,AntiScl70_Max,AntiScl70_Min,AntiSSA_Avg,AntiSSA_Max,AntiSSA_Min,AntiSSB_Avg,AntiSSB_Max,AntiSSB_Min,AntiJo1_Avg,AntiJo1_Max,AntiJo1_Min,AntiDoubleStrandedDNA_Avg,AntiDoubleStrandedDNA_Max,AntiDoubleStrandedDNA_Min,AntiSM_Avg,AntiSM_Max,AntiSM_Min,Nucleosome_Avg,Nucleosome_Max,Nucleosome_Min,AntiM2_Avg,AntiM2_Max,AntiM2_Min,ProliferatingCellNuclearAntigen_Avg,ProliferatingCellNuclearAntigen_Max,ProliferatingCellNuclearAntigen_Min,RibosomalPProtein_Avg,RibosomalPProtein_Max,RibosomalPProtein_Min,PMScl_Avg,PMScl_Max,PMScl_Min,Histone_Avg,Histone_Max,Histone_Min,CentromereProteinB_Avg,CentromereProteinB_Max,CentromereProteinB_Min,Ro52_Avg,Ro52_Max,Ro52_Min,ThrombinTime_Avg,ThrombinTime_Max,ThrombinTime_Min,PartialThromboplastinTime_Avg,PartialThromboplastinTime_Max,PartialThromboplastinTime_Min,ProthrombinTime_Avg,ProthrombinTime_Max,ProthrombinTime_Min,ProthrombinTimeINR_Avg,ProthrombinTimeINR_Max,ProthrombinTimeINR_Min,UrinepH_Avg,UrinepH_Max,UrinepH_Min,UrineGlucose_Avg,UrineGlucose_Max,UrineGlucose_Min,UrineProtein_Avg,UrineProtein_Max,UrineProtein_Min,UrineSpecificGravity_Avg,UrineSpecificGravity_Max,UrineSpecificGravity_Min,Urobilin_Avg,Urobilin_Max,Urobilin_Min,RedBloodCellsMicroscopic_Avg,RedBloodCellsMicroscopic_Max,RedBloodCellsMicroscopic_Min,UrineKetones_Avg,UrineKetones_Max,UrineKetones_Min,WhiteBloodCellsMicroscopic_Avg,WhiteBloodCellsMicroscopic_Max,WhiteBloodCellsMicroscopic_Min,Milk_Avg,Milk_Max,Milk_Min,Cockroach_Avg,Cockroach_Max,Cockroach_Min,EggWhite_Avg,EggWhite_Max,EggWhite_Min,CatDander_Avg,CatDander_Max,CatDander_Min,DogDander_Avg,DogDander_Max,DogDander_Min,Ragweed_Avg,Ragweed_Max,Ragweed_Min,RyeGrass_Avg,RyeGrass_Max,RyeGrass_Min,Shrimp_Avg,Shrimp_Max,Shrimp_Min,Beef_Avg,Beef_Max,Beef_Min,Peanut_Avg,Peanut_Max,Peanut_Min,Cashew_Avg,Cashew_Max,Cashew_Min,DustMites_Avg,DustMites_Max,DustMites_Min,LobsterScallop_Avg,LobsterScallop_Max,LobsterScallop_Min,Shellfish_Avg,Shellfish_Max,Shellfish_Min,MoldCombination_Avg,MoldCombination_Max,MoldCombination_Min,Mulberry_Avg,Mulberry_Max,Mulberry_Min,Crab_Avg,Crab_Max,Crab_Min,MixedGrasses_Avg,MixedGrasses_Max,MixedGrasses_Min,Mugwort_Avg,Mugwort_Max,Mugwort_Min
4,30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,95,1,1,1,1,1,1,1,1,1,17,30,22,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,1,95,95,95,1,1,95,2,1,1,1,2,1,1,1,1,1,1,1,1,1,21,1,1,1,1,1,1,1,1,1,1,1,7,95,95,30,95,95,95,95,95,95,95,95,95,2,13,1,1,13,30,1,1,95,95,95,95,2,7,2,2,95,2,1,7,95,95,95,95,95,95,95,2,1,95,95,30,95,1,1,95,1,95,1,95,95,95,3,30,30,95,1,3,30,95,95,2,30,1,95,95,95,1,1,95,95,95,1,2,19,1,17,95,95,1,7,13,1,7,95,2,7,95,7,21,95,2,2,95,95,95,95,95,95,95,95,95,95,95,23,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,1,30,2,13,30,30,95,95,95,1,1,1,1,2,18,95,95,95,95,95,95,95,95,95,95,95,95,2,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
5,102,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,43,1,1,1,1,1,1,1,1,1,19,2,1,1,1,2,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,47,2,47,102,102,37,1,1,1,30,1,1,1,1,1,1,1,1,1,1,1,1,17,1,2,9,1,1,1,1,1,1,1,3,37,47,29,47,102,102,102,102,102,102,102,102,102,1,2,27,37,2,31,1,1,102,37,102,102,12,28,1,102,102,37,1,2,102,102,102,102,102,102,102,1,1,3,47,37,102,1,1,47,2,3,1,102,102,102,12,47,102,2,1,2,2,102,102,1,102,1,102,102,102,14,37,37,102,102,1,12,102,1,1,21,102,1,2,2,16,21,102,3,22,102,3,24,102,1,1,102,37,102,102,102,102,102,102,9,102,9,16,102,102,102,102,102,102,102,102,102,102,2,25,18,37,102,102,102,102,102,1,9,3,2,27,37,102,102,102,1,1,1,1,2,23,102,102,102,102,102,102,102,102,102,102,102,102,1,51,3,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102
2,104,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,8,104,104,46,1,1,2,2,1,15,24,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,2,1,1,2,20,104,2,46,104,104,104,104,104,104,104,104,104,104,1,2,15,8,22,27,1,1,104,104,104,104,35,8,1,104,35,104,1,3,104,104,104,104,104,104,104,1,1,104,46,104,35,2,1,25,1,1,1,104,104,104,15,35,104,15,1,1,104,104,46,2,104,1,104,104,104,8,15,8,46,104,1,46,35,1,27,35,104,1,25,35,1,8,104,104,104,104,1,3,104,2,1,104,35,104,104,104,104,104,35,104,104,104,46,46,104,104,104,104,104,104,104,104,104,15,15,46,35,104,104,35,104,104,1,20,3,41,104,104,104,104,104,1,1,2,1,2,15,104,104,104,104,104,104,104,104,104,104,104,104,2,23,46,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104
3,96,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,96,39,1,1,1,4,1,1,2,8,1,1,2,1,1,1,1,1,21,14,1,2,4,1,1,1,1,1,1,2,39,39,19,39,96,96,96,96,96,96,96,96,96,96,1,1,19,2,2,27,1,27,96,96,96,96,2,27,1,12,27,96,1,8,96,96,96,96,96,96,96,2,1,96,39,96,2,1,1,18,1,1,1,96,96,96,2,39,96,1,1,2,17,39,2,1,2,1,96,96,96,2,3,16,39,96,1,1,2,2,8,39,39,1,1,8,15,39,96,96,39,96,27,96,96,8,1,96,2,96,96,96,96,96,27,96,96,96,2,96,96,96,96,39,96,96,96,96,96,1,13,23,96,96,96,96,96,96,1,27,2,2,8,39,96,96,96,1,1,1,1,2,39,96,96,96,96,96,96,96,96,96,96,96,96,1,2,27,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96
1,103,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,2,1,1,1,1,17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,17,1,39,103,30,2,1,1,2,2,1,17,103,1,1,1,1,1,1,1,1,1,9,1,1,21,1,1,1,1,3,1,1,2,17,22,103,103,30,103,103,103,103,103,103,103,103,1,2,26,12,2,103,2,1,103,103,103,103,4,2,28,47,103,103,1,12,103,103,103,103,103,103,103,1,1,103,2,32,2,2,1,103,1,2,1,103,103,103,1,17,103,2,1,39,28,103,39,1,2,1,103,103,103,39,39,39,103,103,1,9,103,1,6,46,103,1,1,2,39,103,103,23,39,103,103,103,103,25,9,103,2,103,39,103,103,103,103,12,103,103,103,103,103,103,103,103,103,103,103,103,103,17,39,39,103,103,103,103,103,103,1,32,6,39,103,103,103,103,103,1,1,1,1,6,28,103,103,103,103,103,103,103,103,103,103,103,103,17,24,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103
6,92,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,92,92,3,1,1,1,2,1,7,22,1,1,2,1,1,1,7,1,1,7,1,1,1,1,1,1,1,1,1,1,2,16,92,92,92,92,92,92,92,92,92,92,92,92,2,11,1,1,92,92,1,13,92,92,92,92,2,92,2,92,92,92,1,7,92,92,92,92,92,92,92,1,1,2,16,30,1,92,1,30,2,16,13,92,92,92,30,92,92,1,1,1,24,19,7,1,2,1,92,92,24,1,2,92,92,92,1,2,20,1,2,30,92,1,2,1,92,92,1,92,92,92,92,92,92,92,1,92,26,92,30,92,92,92,92,92,92,21,3,92,92,92,92,24,92,30,92,92,92,1,16,2,92,92,92,34,92,92,1,11,2,92,92,92,92,92,92,1,1,1,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,1,7,30,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92
7,99,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,99,99,7,1,30,2,2,1,36,36,1,1,1,1,1,1,1,1,1,23,1,2,2,1,1,1,1,1,1,1,10,13,99,99,99,99,99,99,99,99,99,99,99,99,3,13,1,2,99,99,1,5,99,99,99,99,36,99,23,99,99,99,1,5,99,99,99,99,99,99,99,1,1,99,99,99,33,2,1,99,1,1,1,99,99,99,99,30,99,1,1,99,99,99,99,2,26,1,99,99,99,2,17,33,99,99,1,1,7,1,20,20,99,1,1,13,27,99,99,23,99,99,99,99,99,99,30,99,99,99,99,99,99,99,99,99,36,25,18,36,99,99,99,99,99,99,99,99,99,1,7,13,99,99,99,99,99,99,1,2,10,2,21,99,99,99,99,1,1,1,2,15,99,99,99,99,99,99,99,99,99,99,99,99,99,1,2,17,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
8,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,96,1,1,1,1,1,1,1,2,1,3,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,16,1,2,27,96,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,9,1,4,2,1,1,1,1,2,1,34,96,96,96,96,96,96,96,96,96,96,96,96,96,96,1,1,21,9,96,21,1,13,40,96,96,96,12,34,2,24,96,96,1,4,96,96,96,96,96,96,96,2,1,1,13,96,9,2,1,29,1,1,1,96,96,96,96,96,96,1,1,1,96,96,96,1,19,1,96,96,34,2,19,96,34,96,1,2,24,1,1,2,24,1,2,2,96,96,96,2,96,19,96,96,96,96,1,96,96,96,96,96,96,96,96,34,96,96,34,96,96,96,96,96,96,96,96,96,96,1,9,6,34,96,96,96,96,96,1,9,2,2,27,39,96,34,96,1,1,2,1,2,34,96,96,96,96,96,96,96,96,96,96,96,96,2,16,24,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96
10,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,37,1,1,1,1,1,1,1,1,1,3,1,1,1,1,25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,1,100,100,100,33,1,1,1,2,1,28,3,1,1,1,1,1,1,100,1,1,22,1,21,1,1,1,1,1,1,1,2,33,2,100,100,100,100,100,100,100,100,100,100,100,100,1,1,100,2,21,100,14,1,100,100,100,100,100,33,1,1,100,14,1,14,100,100,100,100,100,100,100,14,1,100,6,100,1,1,1,23,1,1,6,100,100,100,2,28,36,1,1,1,2,100,100,28,100,1,43,100,33,28,14,28,100,100,2,1,14,1,1,6,100,1,1,2,100,100,36,14,100,100,100,100,100,41,1,100,100,100,100,100,100,100,100,14,100,100,1,100,100,100,100,100,100,100,100,100,100,2,100,100,2,100,100,100,100,100,1,6,6,2,43,14,39,41,100,1,1,14,1,2,38,100,100,100,100,100,100,100,100,100,100,100,100,1,2,24,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
9,102,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,20,1,1,1,1,1,1,1,1,1,30,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,20,102,102,2,1,2,1,13,1,2,1,1,1,2,1,1,1,2,1,1,1,1,2,1,1,1,1,2,9,1,1,3,15,102,102,102,102,102,102,102,102,102,102,102,102,1,2,23,9,26,102,1,33,102,102,102,102,30,18,2,27,102,40,1,2,102,102,102,102,102,102,102,40,1,102,47,102,33,1,1,40,1,1,2,102,102,102,13,23,102,3,1,40,40,102,102,6,30,1,47,102,102,102,1,40,102,102,1,9,25,1,1,6,40,1,1,3,40,102,11,2,102,102,40,102,102,1,2,40,102,102,102,102,102,102,102,40,102,102,30,102,102,102,102,102,102,102,102,102,102,1,2,20,40,102,102,102,102,102,1,25,2,17,47,102,102,102,102,1,1,1,1,3,13,102,102,102,102,102,102,102,102,102,102,102,102,1,9,16,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102
