,Gender,FirstVisitAge,CIndU,Hematocrit_Avg,Hematocrit_Max,Hematocrit_Min,LymphocytesPercentage_Avg,LymphocytesPercentage_Max,LymphocytesPercentage_Min,NeutrophilsPercentage_Avg,NeutrophilsPercentage_Max,NeutrophilsPercentage_Min,MonocytesPercentage_Avg,MonocytesPercentage_Max,MonocytesPercentage_Min,MeanCorpuscularHemoglobinConcentration_Avg,MeanCorpuscularHemoglobinConcentration_Max,MeanCorpuscularHemoglobinConcentration_Min,PlateletCount_Avg,PlateletCount_Max,PlateletCount_Min,WhiteBloodCellCount_Avg,WhiteBloodCellCount_Max,WhiteBloodCellCount_Min,MeanCorpuscularHemoglobin_Avg,MeanCorpuscularHemoglobin_Max,MeanCorpuscularHemoglobin_Min,MeanCorpuscularVolume_Avg,MeanCorpuscularVolume_Max,MeanCorpuscularVolume_Min,RedBloodCellCount_Avg,RedBloodCellCount_Max,RedBloodCellCount_Min,Hemoglobin_Avg,Hemoglobin_Max,Hemoglobin_Min,EosinophilsPercentage_Avg,EosinophilsPercentage_Max,EosinophilsPercentage_Min,BasophilsPercentage_Avg,BasophilsPercentage_Max,BasophilsPercentage_Min,AbsoluteNeutrophilCount_Avg,AbsoluteNeutrophilCount_Max,AbsoluteNeutrophilCount_Min,AbsoluteMonocyteCount_Avg,AbsoluteMonocyteCount_Max,AbsoluteMonocyteCount_Min,AbsoluteEosinophilCount_Avg,AbsoluteEosinophilCount_Max,AbsoluteEosinophilCount_Min,AbsoluteBasophilCount_Avg,AbsoluteBasophilCount_Max,AbsoluteBasophilCount_Min,AbsoluteLymphocyteCount_Avg,AbsoluteLymphocyteCount_Max,AbsoluteLymphocyteCount_Min,MeanPlateletVolume_Avg,MeanPlateletVolume_Max,MeanPlateletVolume_Min,PlateletDistributionWidth_Avg,PlateletDistributionWidth_Max,PlateletDistributionWidth_Min,Plateletcrit_Avg,Plateletcrit_Max,Plateletcrit_Min,RedCellDistributionWidth_Avg,RedCellDistributionWidth_Max,RedCellDistributionWidth_Min,RedCellDistributionWidthCV_Avg,RedCellDistributionWidthCV_Max,RedCellDistributionWidthCV_Min,EosinophilCountAbsolute_Avg,EosinophilCountAbsolute_Max,EosinophilCountAbsolute_Min,CReactiveProtein_Avg,CReactiveProtein_Max,CReactiveProtein_Min,ImmunoglobulinE_Avg,ImmunoglobulinE_Max,ImmunoglobulinE_Min,Total25HydroxyVitaminD_Avg,Total25HydroxyVitaminD_Max,Total25HydroxyVitaminD_Min,ImmunoglobulinG_Avg,ImmunoglobulinG_Max,ImmunoglobulinG_Min,ImmunoglobulinA_Avg,ImmunoglobulinA_Max,ImmunoglobulinA_Min,ImmunoglobulinM_Avg,ImmunoglobulinM_Max,ImmunoglobulinM_Min,ThyroglobulinAntibody_Avg,ThyroglobulinAntibody_Max,ThyroglobulinAntibody_Min,ThyroidStimulatingHormone_Avg,ThyroidStimulatingHormone_Max,ThyroidStimulatingHormone_Min,TotalTriiodothyronine_Avg,TotalTriiodothyronine_Max,TotalTriiodothyronine_Min,TotalThyroxine_Avg,TotalThyroxine_Max,TotalThyroxine_Min,FreeTriiodothyronine_Avg,FreeTriiodothyronine_Max,FreeTriiodothyronine_Min,FreeThyroxine_Avg,FreeThyroxine_Max,FreeThyroxine_Min,ReverseTriiodothyronine_Avg,ReverseTriiodothyronine_Max,ReverseTriiodothyronine_Min,ANA1to40_Avg,ANA1to40_Max,ANA1to40_Min,ANA1to80_Avg,ANA1to80_Max,ANA1to80_Min,ANANuclearPattern_Avg,ANANuclearPattern_Max,ANANuclearPattern_Min,SMRNP_Avg,SMRNP_Max,SMRNP_Min,AntiScl70_Avg,AntiScl70_Max,AntiScl70_Min,AntiSSA_Avg,AntiSSA_Max,AntiSSA_Min,AntiSSB_Avg,AntiSSB_Max,AntiSSB_Min,AntiJo1_Avg,AntiJo1_Max,AntiJo1_Min,AntiDoubleStrandedDNA_Avg,AntiDoubleStrandedDNA_Max,AntiDoubleStrandedDNA_Min,AntiSM_Avg,AntiSM_Max,AntiSM_Min,Nucleosome_Avg,Nucleosome_Max,Nucleosome_Min,AntiM2_Avg,AntiM2_Max,AntiM2_Min,ProliferatingCellNuclearAntigen_Avg,ProliferatingCellNuclearAntigen_Max,ProliferatingCellNuclearAntigen_Min,RibosomalPProtein_Avg,RibosomalPProtein_Max,RibosomalPProtein_Min,PMScl_Avg,PMScl_Max,PMScl_Min,Histone_Avg,Histone_Max,Histone_Min,CentromereProteinB_Avg,CentromereProteinB_Max,CentromereProteinB_Min,Ro52_Avg,Ro52_Max,Ro52_Min,ThrombinTime_Avg,ThrombinTime_Max,ThrombinTime_Min,PartialThromboplastinTime_Avg,PartialThromboplastinTime_Max,PartialThromboplastinTime_Min,ProthrombinTime_Avg,ProthrombinTime_Max,ProthrombinTime_Min,ProthrombinTimeINR_Avg,ProthrombinTimeINR_Max,ProthrombinTimeINR_Min,UrinepH_Avg,UrinepH_Max,UrinepH_Min,UrineGlucose_Avg,UrineGlucose_Max,UrineGlucose_Min,UrineProtein_Avg,UrineProtein_Max,UrineProtein_Min,UrineSpecificGravity_Avg,UrineSpecificGravity_Max,UrineSpecificGravity_Min,Urobilin_Avg,Urobilin_Max,Urobilin_Min,RedBloodCellsMicroscopic_Avg,RedBloodCellsMicroscopic_Max,RedBloodCellsMicroscopic_Min,UrineKetones_Avg,UrineKetones_Max,UrineKetones_Min,WhiteBloodCellsMicroscopic_Avg,WhiteBloodCellsMicroscopic_Max,WhiteBloodCellsMicroscopic_Min,Milk_Avg,Milk_Max,Milk_Min,Cockroach_Avg,Cockroach_Max,Cockroach_Min,EggWhite_Avg,EggWhite_Max,EggWhite_Min,CatDander_Avg,CatDander_Max,CatDander_Min,DogDander_Avg,DogDander_Max,DogDander_Min,Ragweed_Avg,Ragweed_Max,Ragweed_Min,RyeGrass_Avg,RyeGrass_Max,RyeGrass_Min,Shrimp_Avg,Shrimp_Max,Shrimp_Min,Beef_Avg,Beef_Max,Beef_Min,Peanut_Avg,Peanut_Max,Peanut_Min,Cashew_Avg,Cashew_Max,Cashew_Min,DustMites_Avg,DustMites_Max,DustMites_Min,LobsterScallop_Avg,LobsterScallop_Max,LobsterScallop_Min,Shellfish_Avg,Shellfish_Max,Shellfish_Min,MoldCombination_Avg,MoldCombination_Max,MoldCombination_Min,Mulberry_Avg,Mulberry_Max,Mulberry_Min,Crab_Avg,Crab_Max,Crab_Min,MixedGrasses_Avg,MixedGrasses_Max,MixedGrasses_Min,Mugwort_Avg,Mugwort_Max,Mugwort_Min
1,92,1,92,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,92,2,92,36,21,92,1,1,1,1,7,15,2,1,1,1,1,1,1,2,1,1,1,1,1,92,1,1,1,1,21,1,26,28,1,2,7,28,33,92,92,1,12,36,92,92,92,1,3,21,1,2,7,1,2,92,92,92,92,30,4,1,92,92,92,1,12,92,92,92,92,92,92,92,1,1,1,18,92,1,92,1,92,17,12,92,92,92,92,7,33,92,1,1,92,21,92,1,1,12,1,92,92,92,92,92,92,7,92,1,1,1,2,1,7,92,1,1,2,2,21,92,1,1,2,1,15,33,1,2,33,33,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,1,2,2,1,2,21,92,92,92,1,2,1,1,1,25,92,92,92,92,92,92,92,92,92,92,92,92,1,2,26,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92
2,93,1,93,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,7,1,1,1,1,1,1,1,16,93,2,12,36,23,36,1,1,1,1,2,7,2,1,1,1,1,1,1,4,1,1,1,1,1,25,1,1,1,1,2,1,36,36,1,2,12,25,16,93,93,1,16,93,93,93,93,1,2,93,1,2,29,1,2,93,93,93,93,93,12,1,93,93,93,2,2,93,93,93,93,93,93,93,1,1,1,21,36,1,93,1,93,2,29,93,93,93,93,16,36,93,1,1,93,29,36,1,1,12,1,93,93,93,93,93,93,4,93,1,1,1,2,1,7,93,1,1,1,2,29,19,1,1,12,1,2,93,1,2,29,36,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,36,93,93,1,7,2,1,3,25,93,93,93,1,2,1,1,2,19,93,93,93,93,93,93,93,93,93,93,93,93,1,2,21,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93
3,88,1,88,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,7,1,1,1,1,1,1,1,2,28,2,33,88,28,23,1,1,1,1,2,2,2,1,1,1,1,1,1,2,1,1,1,1,1,28,1,1,1,1,5,1,33,88,1,1,5,22,28,88,88,1,5,19,88,88,88,1,2,11,1,2,15,1,1,88,88,88,88,88,16,1,19,88,88,1,2,88,88,88,88,88,88,88,1,1,1,28,28,1,88,1,88,2,11,88,88,88,88,7,88,88,1,1,88,16,88,1,1,11,1,88,88,88,88,88,88,88,88,1,1,1,2,1,28,88,1,1,2,1,88,88,1,1,11,1,2,28,1,2,11,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,21,88,28,1,2,2,1,2,18,88,88,88,1,2,1,1,1,11,88,88,88,88,88,88,88,88,88,88,88,88,1,2,3,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88
4,90,1,90,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,90,2,5,90,90,90,1,1,2,1,2,19,1,1,1,1,1,1,1,2,1,1,1,1,2,24,1,1,1,1,16,1,13,90,1,2,16,32,30,90,90,1,7,27,90,90,90,1,1,16,1,2,16,1,2,90,90,90,90,90,21,1,90,90,90,1,11,90,90,90,90,90,90,90,1,1,1,8,34,2,90,1,90,1,28,30,90,90,90,24,8,90,1,1,90,90,21,1,1,4,1,90,90,90,90,90,90,24,90,1,1,1,1,1,11,34,1,1,2,2,24,34,1,2,3,1,21,90,1,2,16,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,34,90,1,2,2,1,2,30,90,90,90,1,2,1,1,2,5,90,90,90,90,90,90,90,90,90,90,90,90,1,2,11,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
5,91,1,91,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,6,1,1,1,1,1,1,1,2,91,1,29,17,12,91,1,1,1,1,12,2,2,1,1,1,1,1,1,2,1,1,1,1,1,91,1,1,1,1,4,1,27,21,1,1,17,24,36,91,91,2,6,91,91,91,91,1,1,23,1,2,10,1,2,91,91,91,91,91,91,1,91,91,91,1,2,91,91,91,91,91,91,91,1,1,1,17,32,1,91,1,91,2,27,91,91,91,91,9,32,91,1,1,32,91,27,1,1,14,1,91,91,91,91,32,91,21,91,1,1,1,2,1,6,32,1,1,2,2,14,32,1,2,17,1,3,91,1,2,91,36,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,24,91,91,1,11,1,2,2,91,91,91,91,1,1,1,1,2,8,91,91,91,91,91,91,91,91,91,91,91,91,1,2,20,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91
6,88,1,88,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,12,1,1,1,1,1,1,1,2,28,1,18,28,28,88,1,1,1,1,2,5,2,1,1,1,1,1,1,2,1,1,1,1,1,18,1,1,1,1,4,1,18,88,1,2,15,88,88,88,88,2,13,28,88,88,88,1,1,88,1,1,9,1,1,88,88,88,88,28,9,1,88,88,28,1,2,88,88,88,88,88,88,88,1,1,1,16,28,1,88,1,88,2,28,28,88,88,88,9,88,88,1,1,88,88,88,1,1,3,1,88,88,88,88,88,88,88,88,1,1,1,1,1,88,2,1,1,2,1,21,88,1,1,9,1,2,88,1,2,21,88,28,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,28,88,88,88,18,88,88,1,1,2,1,5,13,88,88,88,1,2,1,1,1,9,88,88,88,88,88,88,88,88,88,88,88,88,1,2,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88
7,92,1,92,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,3,1,1,1,1,1,1,1,5,30,2,25,92,92,19,1,1,1,1,15,2,2,1,1,1,1,1,1,2,1,1,1,1,1,92,1,1,1,1,12,1,23,92,1,1,16,30,30,92,35,1,15,30,92,92,92,1,2,92,1,2,7,1,2,92,92,92,92,92,9,1,30,92,92,1,3,92,92,92,92,92,92,92,1,1,1,19,25,1,92,1,92,2,22,35,92,92,92,5,27,92,1,1,92,92,19,1,1,2,1,92,92,92,92,92,92,12,92,1,1,1,2,1,7,92,1,1,2,2,19,35,1,2,10,1,2,92,1,1,92,35,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,1,12,2,1,9,25,92,92,92,1,1,1,1,1,19,92,92,92,92,92,92,92,92,92,92,92,92,1,2,35,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92
8,88,1,88,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,5,30,1,13,88,32,7,1,1,1,1,2,13,2,1,1,1,1,1,1,2,1,1,1,1,1,9,1,1,1,1,2,1,25,88,1,1,19,88,88,25,88,2,2,88,88,88,88,1,2,88,1,2,19,1,2,88,88,88,88,88,19,2,32,88,88,1,19,88,88,88,88,88,88,88,1,1,1,9,19,2,88,1,88,3,88,25,88,88,88,11,29,88,1,1,88,25,19,1,1,2,1,88,88,88,88,88,88,5,88,1,1,1,2,1,7,88,1,1,1,2,31,88,1,1,19,1,2,88,1,1,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,25,88,88,1,2,2,2,4,13,88,88,88,1,2,1,1,2,13,88,88,88,88,88,88,88,88,88,88,88,88,1,2,25,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88
9,92,1,92,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,24,1,24,92,24,15,1,1,1,1,5,2,2,1,1,1,1,1,1,5,1,1,1,1,2,35,1,1,1,1,12,1,18,35,1,1,12,92,92,92,92,1,18,31,92,92,92,1,2,24,1,2,24,1,1,92,92,92,92,92,24,1,35,92,92,1,7,92,92,92,92,92,92,92,1,1,1,18,31,1,92,1,92,2,15,92,92,92,92,9,92,31,1,1,92,24,31,1,1,24,1,92,92,92,92,92,92,92,92,1,1,1,1,1,9,92,1,1,2,3,18,92,1,2,2,1,5,92,1,2,35,31,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,1,92,2,1,15,92,92,92,92,1,2,1,1,1,9,92,92,92,92,92,92,92,92,92,92,92,92,1,2,9,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92
10,86,1,86,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,25,2,86,27,17,27,1,1,2,1,2,10,2,1,1,1,1,1,1,2,1,1,1,1,1,17,1,1,1,1,3,1,7,86,1,2,17,86,86,86,86,1,20,86,86,86,86,1,7,17,1,2,10,1,1,86,86,86,86,86,10,1,86,86,86,1,2,86,86,86,86,86,86,86,1,1,1,14,86,1,86,1,86,2,14,27,86,86,86,12,86,23,1,1,86,29,86,1,1,2,1,86,86,86,86,86,86,20,86,1,1,2,1,1,23,86,1,1,1,3,24,86,1,2,2,1,5,86,1,2,20,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,1,2,2,1,2,86,86,86,86,1,1,1,1,2,5,86,86,86,86,86,86,86,86,86,86,86,86,1,2,10,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86
