,Gender,FirstVisitAge,CIndU,Hematocrit_Avg,Hematocrit_Max,Hematocrit_Min,LymphocytesPercentage_Avg,LymphocytesPercentage_Max,LymphocytesPercentage_Min,NeutrophilsPercentage_Avg,NeutrophilsPercentage_Max,NeutrophilsPercentage_Min,MonocytesPercentage_Avg,MonocytesPercentage_Max,MonocytesPercentage_Min,MeanCorpuscularHemoglobinConcentration_Avg,MeanCorpuscularHemoglobinConcentration_Max,MeanCorpuscularHemoglobinConcentration_Min,PlateletCount_Avg,PlateletCount_Max,PlateletCount_Min,WhiteBloodCellCount_Avg,WhiteBloodCellCount_Max,WhiteBloodCellCount_Min,MeanCorpuscularHemoglobin_Avg,MeanCorpuscularHemoglobin_Max,MeanCorpuscularHemoglobin_Min,MeanCorpuscularVolume_Avg,MeanCorpuscularVolume_Max,MeanCorpuscularVolume_Min,RedBloodCellCount_Avg,RedBloodCellCount_Max,RedBloodCellCount_Min,Hemoglobin_Avg,Hemoglobin_Max,Hemoglobin_Min,EosinophilsPercentage_Avg,EosinophilsPercentage_Max,EosinophilsPercentage_Min,BasophilsPercentage_Avg,BasophilsPercentage_Max,BasophilsPercentage_Min,AbsoluteNeutrophilCount_Avg,AbsoluteNeutrophilCount_Max,AbsoluteNeutrophilCount_Min,AbsoluteMonocyteCount_Avg,AbsoluteMonocyteCount_Max,AbsoluteMonocyteCount_Min,AbsoluteEosinophilCount_Avg,AbsoluteEosinophilCount_Max,AbsoluteEosinophilCount_Min,AbsoluteBasophilCount_Avg,AbsoluteBasophilCount_Max,AbsoluteBasophilCount_Min,AbsoluteLymphocyteCount_Avg,AbsoluteLymphocyteCount_Max,AbsoluteLymphocyteCount_Min,MeanPlateletVolume_Avg,MeanPlateletVolume_Max,MeanPlateletVolume_Min,PlateletDistributionWidth_Avg,PlateletDistributionWidth_Max,PlateletDistributionWidth_Min,Plateletcrit_Avg,Plateletcrit_Max,Plateletcrit_Min,RedCellDistributionWidth_Avg,RedCellDistributionWidth_Max,RedCellDistributionWidth_Min,RedCellDistributionWidthCV_Avg,RedCellDistributionWidthCV_Max,RedCellDistributionWidthCV_Min,EosinophilCountAbsolute_Avg,EosinophilCountAbsolute_Max,EosinophilCountAbsolute_Min,CReactiveProtein_Avg,CReactiveProtein_Max,CReactiveProtein_Min,ImmunoglobulinE_Avg,ImmunoglobulinE_Max,ImmunoglobulinE_Min,Total25HydroxyVitaminD_Avg,Total25HydroxyVitaminD_Max,Total25HydroxyVitaminD_Min,ImmunoglobulinG_Avg,ImmunoglobulinG_Max,ImmunoglobulinG_Min,ImmunoglobulinA_Avg,ImmunoglobulinA_Max,ImmunoglobulinA_Min,ImmunoglobulinM_Avg,ImmunoglobulinM_Max,ImmunoglobulinM_Min,ThyroglobulinAntibody_Avg,ThyroglobulinAntibody_Max,ThyroglobulinAntibody_Min,ThyroidStimulatingHormone_Avg,ThyroidStimulatingHormone_Max,ThyroidStimulatingHormone_Min,TotalTriiodothyronine_Avg,TotalTriiodothyronine_Max,TotalTriiodothyronine_Min,TotalThyroxine_Avg,TotalThyroxine_Max,TotalThyroxine_Min,FreeTriiodothyronine_Avg,FreeTriiodothyronine_Max,FreeTriiodothyronine_Min,FreeThyroxine_Avg,FreeThyroxine_Max,FreeThyroxine_Min,ReverseTriiodothyronine_Avg,ReverseTriiodothyronine_Max,ReverseTriiodothyronine_Min,ANA1to40_Avg,ANA1to40_Max,ANA1to40_Min,ANA1to80_Avg,ANA1to80_Max,ANA1to80_Min,ANANuclearPattern_Avg,ANANuclearPattern_Max,ANANuclearPattern_Min,SMRNP_Avg,SMRNP_Max,SMRNP_Min,AntiScl70_Avg,AntiScl70_Max,AntiScl70_Min,AntiSSA_Avg,AntiSSA_Max,AntiSSA_Min,AntiSSB_Avg,AntiSSB_Max,AntiSSB_Min,AntiJo1_Avg,AntiJo1_Max,AntiJo1_Min,AntiDoubleStrandedDNA_Avg,AntiDoubleStrandedDNA_Max,AntiDoubleStrandedDNA_Min,AntiSM_Avg,AntiSM_Max,AntiSM_Min,Nucleosome_Avg,Nucleosome_Max,Nucleosome_Min,AntiM2_Avg,AntiM2_Max,AntiM2_Min,ProliferatingCellNuclearAntigen_Avg,ProliferatingCellNuclearAntigen_Max,ProliferatingCellNuclearAntigen_Min,RibosomalPProtein_Avg,RibosomalPProtein_Max,RibosomalPProtein_Min,PMScl_Avg,PMScl_Max,PMScl_Min,Histone_Avg,Histone_Max,Histone_Min,CentromereProteinB_Avg,CentromereProteinB_Max,CentromereProteinB_Min,Ro52_Avg,Ro52_Max,Ro52_Min,ThrombinTime_Avg,ThrombinTime_Max,ThrombinTime_Min,PartialThromboplastinTime_Avg,PartialThromboplastinTime_Max,PartialThromboplastinTime_Min,ProthrombinTime_Avg,ProthrombinTime_Max,ProthrombinTime_Min,ProthrombinTimeINR_Avg,ProthrombinTimeINR_Max,ProthrombinTimeINR_Min,UrinepH_Avg,UrinepH_Max,UrinepH_Min,UrineGlucose_Avg,UrineGlucose_Max,UrineGlucose_Min,UrineProtein_Avg,UrineProtein_Max,UrineProtein_Min,UrineSpecificGravity_Avg,UrineSpecificGravity_Max,UrineSpecificGravity_Min,Urobilin_Avg,Urobilin_Max,Urobilin_Min,RedBloodCellsMicroscopic_Avg,RedBloodCellsMicroscopic_Max,RedBloodCellsMicroscopic_Min,UrineKetones_Avg,UrineKetones_Max,UrineKetones_Min,WhiteBloodCellsMicroscopic_Avg,WhiteBloodCellsMicroscopic_Max,WhiteBloodCellsMicroscopic_Min,Milk_Avg,Milk_Max,Milk_Min,Cockroach_Avg,Cockroach_Max,Cockroach_Min,EggWhite_Avg,EggWhite_Max,EggWhite_Min,CatDander_Avg,CatDander_Max,CatDander_Min,DogDander_Avg,DogDander_Max,DogDander_Min,Ragweed_Avg,Ragweed_Max,Ragweed_Min,RyeGrass_Avg,RyeGrass_Max,RyeGrass_Min,Shrimp_Avg,Shrimp_Max,Shrimp_Min,Beef_Avg,Beef_Max,Beef_Min,Peanut_Avg,Peanut_Max,Peanut_Min,Cashew_Avg,Cashew_Max,Cashew_Min,DustMites_Avg,DustMites_Max,DustMites_Min,LobsterScallop_Avg,LobsterScallop_Max,LobsterScallop_Min,Shellfish_Avg,Shellfish_Max,Shellfish_Min,MoldCombination_Avg,MoldCombination_Max,MoldCombination_Min,Mulberry_Avg,Mulberry_Max,Mulberry_Min,Crab_Avg,Crab_Max,Crab_Min,MixedGrasses_Avg,MixedGrasses_Max,MixedGrasses_Min,Mugwort_Avg,Mugwort_Max,Mugwort_Min
4,28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,35,1,1,1,1,1,1,1,1,1,22,6,30,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,10,1,40,100,100,1,1,10,2,2,1,2,2,1,1,1,1,1,1,2,1,1,32,1,1,1,1,1,1,1,2,1,1,1,7,40,100,100,100,100,100,100,100,100,100,100,100,2,5,1,1,10,28,1,1,40,100,100,100,1,26,2,1,100,100,1,2,40,100,100,100,100,100,100,2,1,100,100,100,100,1,1,27,2,19,1,100,100,100,19,32,100,100,1,4,16,100,100,10,10,1,100,100,100,2,1,40,100,100,1,25,32,1,16,100,100,1,2,22,1,19,40,2,14,100,2,22,40,2,3,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,32,100,100,100,100,100,40,100,100,1,100,2,22,16,35,100,100,100,1,1,1,1,2,10,100,100,100,100,100,100,100,100,100,100,100,100,2,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
2,102,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,3,32,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,21,1,1,1,1,1,1,1,1,1,2,1,1,1,1,4,2,34,102,102,18,1,1,1,2,1,36,40,1,1,1,1,1,1,1,1,1,7,1,5,1,1,1,1,18,1,1,2,42,43,2,32,102,102,102,102,102,102,102,102,102,102,1,1,27,12,102,2,1,1,38,102,102,102,18,102,2,102,102,102,1,2,102,102,102,102,102,102,102,2,1,102,102,102,102,2,1,102,1,2,1,102,102,102,15,102,102,9,1,1,102,102,102,2,36,1,18,102,23,2,10,14,102,102,1,102,29,2,34,38,102,1,18,24,1,21,102,102,102,102,1,27,102,2,1,13,102,102,102,102,102,102,102,102,102,31,102,102,102,102,102,102,102,102,102,102,102,7,40,102,102,102,102,102,102,102,1,25,10,102,102,102,102,102,102,1,1,2,1,1,25,102,102,102,102,102,102,102,102,102,102,102,102,2,30,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102
1,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,2,1,1,1,1,9,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,6,2,19,100,100,2,1,1,2,2,1,2,17,1,1,1,1,1,1,1,1,1,2,1,1,17,1,1,1,1,2,1,2,2,14,25,100,34,100,44,100,100,100,100,100,100,100,1,2,21,2,2,34,2,1,34,100,100,100,9,2,21,100,100,100,1,3,100,100,100,100,100,100,100,1,1,24,21,100,2,2,1,100,1,1,1,100,100,100,1,12,19,5,1,100,34,44,34,1,2,1,100,100,100,34,34,34,100,100,1,100,100,1,3,100,100,1,1,2,34,100,100,100,44,34,34,100,100,9,14,44,4,34,14,100,100,100,2,100,100,100,100,100,100,100,100,100,100,100,100,100,100,2,100,100,100,100,100,100,100,100,1,100,9,34,100,34,100,100,100,1,1,1,1,9,24,100,100,100,100,100,100,100,100,100,100,100,100,2,26,34,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
5,101,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,101,1,1,1,1,1,1,1,2,1,26,2,1,1,1,2,1,1,1,1,1,1,1,8,1,1,1,1,1,1,1,1,23,2,101,101,101,14,1,1,2,12,1,2,1,1,1,1,1,1,1,1,1,2,19,1,2,6,1,1,1,1,1,1,1,2,10,101,101,101,101,101,101,101,101,101,101,101,101,1,1,101,14,5,101,1,1,101,101,101,101,46,41,2,101,101,101,1,2,101,101,101,101,101,101,101,1,1,19,101,101,41,2,1,14,2,23,1,101,101,101,3,34,41,1,1,2,2,41,101,1,2,1,101,101,101,27,41,101,101,101,1,46,101,1,1,29,101,1,2,2,4,101,23,19,14,101,2,34,101,2,1,41,41,101,101,101,101,101,19,23,101,28,34,41,101,101,101,101,101,101,101,101,101,2,101,36,101,101,101,101,101,101,1,8,2,11,31,36,101,101,101,1,2,1,1,19,30,101,101,101,101,101,101,101,101,101,101,101,101,2,8,31,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101
3,97,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,32,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,2,2,2,97,97,1,1,1,3,2,1,2,18,1,1,1,1,1,1,1,2,24,18,1,8,2,1,1,1,2,1,1,2,11,97,32,30,97,97,97,97,97,97,97,39,97,97,1,1,15,2,3,24,1,22,39,97,97,97,2,39,1,97,97,97,1,2,97,97,97,97,97,97,97,5,1,97,39,97,6,1,1,15,1,1,1,97,97,97,1,97,22,1,1,3,6,97,2,1,2,1,45,97,97,2,15,15,97,97,1,2,2,2,1,28,39,1,1,2,27,45,97,97,39,97,32,39,97,2,1,26,11,97,28,97,97,97,39,97,97,97,97,97,97,97,97,97,97,97,97,97,97,1,97,15,97,97,97,39,97,97,1,39,2,2,39,22,97,97,97,1,1,1,1,2,9,97,97,97,97,97,97,97,97,97,97,97,97,1,2,20,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97
6,94,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,7,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,2,1,94,94,2,1,1,1,2,1,6,24,1,1,2,1,1,1,5,1,1,7,1,1,1,1,1,1,1,2,1,1,1,11,94,94,94,94,94,94,94,94,94,94,94,94,2,21,1,1,94,94,1,16,94,94,94,94,2,94,3,94,94,94,1,11,94,94,94,94,94,94,94,1,1,2,19,31,2,94,1,31,2,11,16,94,94,94,31,94,94,1,1,1,31,20,4,1,2,1,94,94,24,1,2,94,94,94,1,2,16,1,16,31,94,1,1,2,94,94,1,94,94,94,94,94,94,94,1,94,24,94,31,94,94,94,94,94,94,21,11,94,94,94,94,31,94,31,94,94,94,1,16,2,94,94,94,36,94,94,1,24,2,94,94,94,94,94,94,1,2,1,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,1,9,31,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94
7,98,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,98,98,4,1,33,2,8,1,98,98,1,1,1,1,1,1,1,1,2,23,1,3,2,1,1,1,1,2,1,1,9,12,98,98,98,98,98,98,98,98,98,98,98,98,6,23,1,2,18,28,1,2,98,98,98,98,98,36,12,98,98,98,1,2,98,98,98,98,98,98,98,1,1,98,98,98,33,18,1,98,1,1,1,98,98,98,98,98,98,1,1,98,98,98,98,2,18,1,98,98,98,6,12,23,98,98,1,2,18,2,2,26,98,1,1,6,28,98,98,18,98,98,98,98,98,98,28,98,33,98,98,98,98,98,98,98,98,33,18,33,98,98,98,98,98,98,98,98,98,1,2,10,98,98,98,98,98,98,1,2,18,2,28,98,98,98,98,1,1,1,1,98,98,98,98,98,98,98,98,98,98,98,98,98,98,1,2,12,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
9,94,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,12,1,1,1,1,1,1,1,1,1,94,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,3,94,94,1,1,2,2,23,1,2,2,1,1,2,1,1,1,2,1,1,1,1,7,2,1,1,1,2,94,1,1,2,20,94,94,94,94,94,94,94,94,94,94,94,94,1,1,94,16,29,29,1,94,94,94,94,94,20,29,7,94,94,94,1,2,94,94,94,94,94,94,94,94,1,94,94,94,94,2,1,9,1,1,12,94,94,94,16,29,94,2,1,29,94,94,94,9,21,1,94,94,94,2,1,94,94,94,1,2,94,2,1,2,94,1,2,9,94,29,5,2,16,94,29,94,94,1,2,29,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,1,3,2,94,94,94,29,94,94,1,16,2,12,94,94,94,94,94,1,1,1,1,16,29,94,94,94,94,94,94,94,94,94,94,94,94,1,2,23,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94
10,98,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,98,1,1,1,1,1,1,1,1,2,12,1,1,1,1,22,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,35,1,98,98,98,19,1,1,2,2,1,98,12,1,1,1,1,1,1,25,1,2,27,1,98,1,1,1,1,1,2,1,2,98,2,98,98,98,98,98,98,98,98,98,98,98,98,1,2,12,2,98,98,9,1,98,98,98,98,35,35,2,2,98,22,1,2,98,98,98,98,98,98,98,12,1,98,7,98,1,2,1,98,1,1,5,98,98,98,2,7,35,2,1,1,17,98,98,98,98,1,41,98,35,25,12,98,98,98,2,1,28,1,1,17,35,1,1,2,35,98,98,5,98,98,98,98,98,98,1,98,98,98,98,98,98,98,22,35,98,98,1,98,98,98,98,98,98,98,98,98,98,2,19,98,2,35,29,98,98,98,1,12,2,2,3,35,17,35,98,1,1,5,1,2,25,98,98,98,98,98,98,98,98,98,98,98,98,1,2,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
8,31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,98,1,1,1,1,1,1,1,2,1,9,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,17,1,2,21,33,2,1,1,2,1,1,1,1,1,1,2,1,1,1,2,1,2,13,1,2,1,1,1,1,1,2,1,21,98,98,98,98,98,98,98,98,98,98,98,98,98,98,1,2,37,21,6,24,1,13,33,98,98,98,37,29,8,37,98,98,1,4,98,98,98,98,98,98,98,1,1,1,98,98,13,2,1,33,1,1,1,98,98,98,98,98,98,1,1,1,98,98,98,1,24,1,98,98,98,2,21,98,98,98,1,2,37,1,1,2,26,1,2,1,98,98,98,6,98,29,98,98,98,98,1,98,98,98,98,98,98,98,98,98,98,98,37,98,98,98,98,98,98,98,98,98,98,1,13,21,98,98,98,17,98,98,1,4,3,2,27,98,98,98,98,1,1,2,1,10,28,98,98,98,98,98,98,98,98,98,98,98,98,17,13,37,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
