weight,total_gain,total_cover,gain,cover,feature
2.0,50.90394592285156,13351.287109375,25.45197296142578,6675.6435546875,Hematocrit_Avg
2.0,27.374893188476562,6980.27490234375,13.687446594238281,3490.137451171875,LymphocytesPercentage_Min
3.0,149.35906982421875,84956.25,49.78635787963867,28318.75,NeutrophilsPercentage_Avg
1.0,75.07568359375,101543.1171875,75.07568359375,101543.1171875,NeutrophilsPercentage_Max
9.0,489.59161376953125,777698.625,54.39906692504883,86410.9609375,NeutrophilsPercentage_Min
1.0,25.586090087890625,73150.765625,25.586090087890625,73150.765625,MonocytesPercentage_Min
3.0,64.15521240234375,117211.90625,21.38507080078125,39070.63671875,PlateletCount_Avg
3.0,22.76702117919922,77192.3125,7.5890069007873535,25730.771484375,PlateletCount_Max
5.0,96.63047790527344,343489.25,19.326095581054688,68697.8515625,PlateletCount_Min
3.0,104.50505065917969,237361.6875,34.835018157958984,79120.5625,WhiteBloodCellCount_Avg
8.0,205.87452697753906,574665.5,25.734315872192383,71833.1875,WhiteBloodCellCount_Max
1.0,8.745582580566406,31593.943359375,8.745582580566406,31593.943359375,MeanCorpuscularHemoglobin_Avg
1.0,20.89771270751953,52335.24609375,20.89771270751953,52335.24609375,Hemoglobin_Avg
28.0,2394.831787109375,3207564.25,85.52970886230469,114555.8671875,EosinophilsPercentage_Avg
5.0,365.5250244140625,545739.125,73.1050033569336,109147.828125,EosinophilsPercentage_Max
1.0,24.8115234375,66071.625,24.8115234375,66071.625,EosinophilsPercentage_Min
1.0,26.400634765625,79347.03125,26.400634765625,79347.03125,BasophilsPercentage_Avg
7.0,177.3541259765625,651483.5625,25.3363037109375,93069.078125,BasophilsPercentage_Min
3.0,131.3822784423828,81469.4140625,43.79409408569336,27156.470703125,AbsoluteNeutrophilCount_Avg
12.0,520.9354248046875,779893.75,43.411285400390625,64991.14453125,AbsoluteNeutrophilCount_Max
1.0,40.06903076171875,24793.400390625,40.06903076171875,24793.400390625,AbsoluteNeutrophilCount_Min
2.0,64.19268798828125,121680.7578125,32.096343994140625,60840.37890625,AbsoluteMonocyteCount_Avg
4.0,125.25675964355469,302791.78125,31.314189910888672,75697.9453125,CReactiveProtein_Avg
1.0,23.725357055664062,6576.9140625,23.725357055664062,6576.9140625,CReactiveProtein_Max
21.0,905.5510864257812,1473824.625,43.12147903442383,70182.125,CReactiveProtein_Min
5.0,124.67933654785156,34275.9765625,24.935867309570312,6855.1953125,Total25HydroxyVitaminD_Avg
1.0,24.912384033203125,7325.46533203125,24.912384033203125,7325.46533203125,Total25HydroxyVitaminD_Min
4.0,87.73779296875,243738.8125,21.9344482421875,60934.703125,ThyroidStimulatingHormone_Avg
3.0,122.65493774414062,103684.8125,40.884979248046875,34561.60546875,SMRNP_Avg
7.0,290.2852783203125,304198.625,41.46932601928711,43456.9453125,SMRNP_Max
1.0,36.93994140625,50944.54296875,36.93994140625,50944.54296875,SMRNP_Min
1.0,37.372222900390625,43688.10546875,37.372222900390625,43688.10546875,AntiSSA_Avg
1.0,27.797760009765625,75731.8984375,27.797760009765625,75731.8984375,AntiSSA_Max
1.0,33.897216796875,41033.421875,33.897216796875,41033.421875,RibosomalPProtein_Max
1.0,37.08403015136719,22582.57421875,37.08403015136719,22582.57421875,CentromereProteinB_Avg
1.0,31.56365966796875,16618.578125,31.56365966796875,16618.578125,Ro52_Avg
1.0,24.78509521484375,72895.2421875,24.78509521484375,72895.2421875,Ro52_Max
2.0,45.51447296142578,11306.20703125,22.75723648071289,5653.103515625,EggWhite_Avg
2.0,22.806640625,5202.60546875,11.4033203125,2601.302734375,RyeGrass_Avg
