weight,total_gain,total_cover,gain,cover,feature
18.0,40.0,954068032.0,2.222222328186035,53003780.0,Hematocrit_Avg
4.0,3.5,97822280.0,0.875,24455570.0,Hematocrit_Max
30.0,43.5,1220473216.0,1.4500000476837158,40682440.0,LymphocytesPercentage_Avg
22.0,38.75,1089839360.0,1.7613636255264282,49538152.0,LymphocytesPercentage_Max
16.0,27.75,779017600.0,1.734375,48688600.0,LymphocytesPercentage_Min
22.0,23.125,660089856.0,1.0511363744735718,30004084.0,NeutrophilsPercentage_Avg
27.0,41.625,1116266752.0,1.5416666269302368,41343212.0,NeutrophilsPercentage_Max
28.0,53.25,1358489088.0,1.9017857313156128,48517468.0,NeutrophilsPercentage_Min
10.0,15.5,549085824.0,1.5499999523162842,54908584.0,MonocytesPercentage_Avg
3.0,5.0,133799248.0,1.6666666269302368,44599748.0,MonocytesPercentage_Max
9.0,20.75,424339520.0,2.305555582046509,47148836.0,MonocytesPercentage_Min
8.0,20.25,497248192.0,2.53125,62156024.0,MeanCorpuscularHemoglobinConcentration_Avg
5.0,9.5,206906064.0,1.899999976158142,41381212.0,MeanCorpuscularHemoglobinConcentration_Max
2.0,1.25,36770916.0,0.625,18385458.0,MeanCorpuscularHemoglobinConcentration_Min
21.0,32.4375,812908032.0,1.5446428060531616,38709908.0,PlateletCount_Avg
17.0,25.0,648377408.0,1.470588207244873,38139848.0,PlateletCount_Max
15.0,26.75,666175040.0,1.7833333015441895,44411668.0,PlateletCount_Min
2.0,1.25,36154776.0,0.625,18077388.0,WhiteBloodCellCount_Avg
9.0,9.25,297834848.0,1.0277777910232544,33092760.0,WhiteBloodCellCount_Max
7.0,12.5,281217856.0,1.7857142686843872,40173980.0,WhiteBloodCellCount_Min
8.0,10.25,300940512.0,1.28125,37617564.0,MeanCorpuscularHemoglobin_Avg
5.0,9.75,188577376.0,1.9500000476837158,37715476.0,MeanCorpuscularHemoglobin_Max
2.0,0.75,35348928.0,0.375,17674464.0,MeanCorpuscularHemoglobin_Min
24.0,25.75,644333312.0,1.0729166269302368,26847222.0,MeanCorpuscularVolume_Avg
10.0,15.0,336578208.0,1.5,33657820.0,MeanCorpuscularVolume_Max
11.0,9.25,290376032.0,0.8409090638160706,26397822.0,MeanCorpuscularVolume_Min
3.0,7.0,165501632.0,2.3333332538604736,55167212.0,RedBloodCellCount_Avg
1.0,6.0,86839328.0,6.0,86839328.0,RedBloodCellCount_Max
3.0,8.75,155332544.0,2.9166667461395264,51777516.0,Hemoglobin_Avg
4.0,3.0,70039032.0,0.75,17509758.0,EosinophilsPercentage_Avg
6.0,8.5,172152240.0,1.4166666269302368,28692040.0,EosinophilsPercentage_Max
5.0,3.875,104462680.0,0.7749999761581421,20892536.0,EosinophilsPercentage_Min
2.0,4.0,75072408.0,2.0,37536204.0,BasophilsPercentage_Avg
3.0,14.0,270832064.0,4.666666507720947,90277352.0,AbsoluteNeutrophilCount_Avg
5.0,3.625,59498560.0,0.7250000238418579,11899712.0,AbsoluteNeutrophilCount_Max
2.0,1.84375,20237788.0,0.921875,10118894.0,AbsoluteNeutrophilCount_Min
1.0,0.5,14602399.0,0.5,14602399.0,AbsoluteMonocyteCount_Max
8.0,9.25,229014624.0,1.15625,28626828.0,AbsoluteEosinophilCount_Avg
6.0,9.125,180990496.0,1.5208333730697632,30165082.0,AbsoluteEosinophilCount_Max
6.0,7.0,132304288.0,1.1666666269302368,22050714.0,AbsoluteEosinophilCount_Min
2.0,1.0,17414608.0,0.5,8707304.0,AbsoluteLymphocyteCount_Avg
8.0,7.0,178641376.0,0.875,22330172.0,MeanPlateletVolume_Avg
4.0,4.0,96444264.0,1.0,24111066.0,MeanPlateletVolume_Max
4.0,8.5,159177696.0,2.125,39794424.0,MeanPlateletVolume_Min
8.0,6.5,163157056.0,0.8125,20394632.0,PlateletDistributionWidth_Avg
6.0,3.25,93998792.0,0.5416666865348816,15666465.0,PlateletDistributionWidth_Max
2.0,1.0,23438884.0,0.5,11719442.0,PlateletDistributionWidth_Min
1.0,0.25,7092201.0,0.25,7092201.0,Plateletcrit_Avg
3.0,1.5625,16843252.0,0.5208333134651184,5614417.5,Plateletcrit_Max
3.0,16.0,253179216.0,5.333333492279053,84393072.0,EosinophilCountAbsolute_Avg
2.0,1.25,25195086.0,0.625,12597543.0,EosinophilCountAbsolute_Max
1.0,1.25,13847271.0,1.25,13847271.0,EosinophilCountAbsolute_Min
3.0,8.0,132960976.0,2.6666667461395264,44320324.0,ImmunoglobulinE_Max
2.0,2.25,39531588.0,1.125,19765794.0,Total25HydroxyVitaminD_Avg
1.0,2.0,37288396.0,2.0,37288396.0,TotalThyroxine_Avg
1.0,1.0,19657782.0,1.0,19657782.0,SMRNP_Max
1.0,3.0,39245756.0,3.0,39245756.0,AntiScl70_Avg
1.0,4.0,71199320.0,4.0,71199320.0,AntiSSB_Min
1.0,1.0,20796038.0,1.0,20796038.0,AntiM2_Max
1.0,2.0,35287832.0,2.0,35287832.0,Milk_Max
2.0,1.0,16483866.0,0.5,8241933.0,EggWhite_Avg
2.0,0.625,12511990.0,0.3125,6255995.0,EggWhite_Max
2.0,0.75,11689737.0,0.375,5844868.5,EggWhite_Min
1.0,0.5,10004186.0,0.5,10004186.0,CatDander_Avg
