weight,total_gain,total_cover,gain,cover,feature
2341.0,61823048.0,54830.51171875,26408.8203125,23.421833038330078,Gender
4921.0,234197216.0,173111.96875,47591.38671875,35.1782112121582,FirstVisitAge
371.0,60800596.0,67977.3828125,163883.015625,183.22744750976562,CIndU
3363.0,186973296.0,134515.90625,55597.17578125,39.998783111572266,Hematocrit_Avg
2209.0,189232160.0,120339.078125,85664.171875,54.476722717285156,Hematocrit_Max
1435.0,107117248.0,84656.53125,74646.1640625,58.99409866333008,Hematocrit_Min
2502.0,142650656.0,87413.640625,57014.65234375,34.93750762939453,LymphocytesPercentage_Avg
1981.0,205227008.0,162676.625,103597.6796875,82.11843872070312,LymphocytesPercentage_Max
1258.0,118133712.0,68112.9765625,93905.96875,54.14385986328125,LymphocytesPercentage_Min
1103.0,137239968.0,85792.3828125,124424.265625,77.78094482421875,NeutrophilsPercentage_Avg
861.0,131069088.0,70231.9375,152228.90625,81.57019805908203,NeutrophilsPercentage_Max
604.0,98539552.0,72831.90625,163144.953125,120.58262634277344,NeutrophilsPercentage_Min
1284.0,158838432.0,91973.765625,123705.9453125,71.63066101074219,MonocytesPercentage_Avg
1103.0,140370832.0,94078.578125,127262.765625,85.29336547851562,MonocytesPercentage_Max
619.0,87988376.0,49825.1953125,142146.0,80.4930419921875,MonocytesPercentage_Min
1018.0,154809600.0,98143.0703125,152072.296875,96.40773010253906,MeanCorpuscularHemoglobinConcentration_Avg
628.0,90983008.0,57759.1328125,144877.40625,91.97314453125,MeanCorpuscularHemoglobinConcentration_Max
540.0,119061728.0,82833.953125,220484.6875,153.39620971679688,MeanCorpuscularHemoglobinConcentration_Min
705.0,80826288.0,45482.6328125,114647.21875,64.51437377929688,PlateletCount_Avg
671.0,101526536.0,52473.1953125,151306.3125,78.20148468017578,PlateletCount_Max
595.0,77896904.0,46778.9140625,130919.1640625,78.62002563476562,PlateletCount_Min
479.0,59854052.0,46125.75,124956.265625,96.29592895507812,WhiteBloodCellCount_Avg
311.0,49958864.0,38577.1640625,160639.4375,124.04232788085938,WhiteBloodCellCount_Max
288.0,41432448.0,30558.705078125,143862.671875,106.10661315917969,WhiteBloodCellCount_Min
605.0,160059904.0,133302.046875,264561.8125,220.33396911621094,MeanCorpuscularHemoglobin_Avg
472.0,163049712.0,112539.953125,345444.3125,238.43209838867188,MeanCorpuscularHemoglobin_Max
434.0,199222176.0,122045.0703125,459037.28125,281.2098388671875,MeanCorpuscularHemoglobin_Min
544.0,135574560.0,52453.1015625,249217.9375,96.421142578125,MeanCorpuscularVolume_Avg
377.0,90620280.0,53276.58984375,240372.09375,141.3172149658203,MeanCorpuscularVolume_Max
257.0,55203412.0,31197.28515625,214799.265625,121.39021301269531,MeanCorpuscularVolume_Min
304.0,58891720.0,48582.42578125,193722.765625,159.81060791015625,RedBloodCellCount_Avg
222.0,49836524.0,35686.80859375,224488.84375,160.7513885498047,RedBloodCellCount_Max
160.0,34206192.0,29937.728515625,213788.703125,187.11080932617188,RedBloodCellCount_Min
421.0,104765208.0,59901.2109375,248848.46875,142.2831573486328,Hemoglobin_Avg
254.0,55754136.0,36365.92578125,219504.46875,143.17294311523438,Hemoglobin_Max
276.0,58839508.0,64800.58203125,213186.625,234.7847137451172,Hemoglobin_Min
420.0,67069436.0,42732.1796875,159689.140625,101.7432861328125,EosinophilsPercentage_Avg
257.0,46950268.0,22924.576171875,182685.875,89.20068359375,EosinophilsPercentage_Max
264.0,81414352.0,65931.9765625,308387.6875,249.74234008789062,EosinophilsPercentage_Min
342.0,55507140.0,26373.994140625,162301.578125,77.116943359375,BasophilsPercentage_Avg
186.0,26328282.0,13047.9853515625,141549.90625,70.15045928955078,BasophilsPercentage_Max
191.0,38869320.0,17979.453125,203504.296875,94.13326263427734,BasophilsPercentage_Min
180.0,40137524.0,31964.623046875,222986.25,177.58123779296875,AbsoluteNeutrophilCount_Avg
124.0,69656456.0,55226.1953125,561745.625,445.3725280761719,AbsoluteNeutrophilCount_Max
152.0,32695130.0,37675.80078125,215099.546875,247.8671112060547,AbsoluteNeutrophilCount_Min
133.0,38551472.0,19032.40625,289860.6875,143.10079956054688,AbsoluteMonocyteCount_Avg
142.0,23119248.0,18467.935546875,162811.609375,130.05587768554688,AbsoluteMonocyteCount_Max
129.0,38926124.0,29207.4921875,301752.90625,226.4146728515625,AbsoluteMonocyteCount_Min
241.0,69013424.0,31440.064453125,286362.75,130.45669555664062,AbsoluteEosinophilCount_Avg
169.0,44642176.0,28700.037109375,264154.875,169.8227081298828,AbsoluteEosinophilCount_Max
131.0,31219472.0,19677.91015625,238316.578125,150.2130584716797,AbsoluteEosinophilCount_Min
92.0,52755228.0,35271.25,573426.375,383.3831481933594,AbsoluteBasophilCount_Avg
43.0,26126658.0,13931.1123046875,607596.6875,323.9793701171875,AbsoluteBasophilCount_Max
47.0,36060488.0,29170.05859375,767244.4375,620.6395263671875,AbsoluteBasophilCount_Min
202.0,58491380.0,55755.01171875,289561.28125,276.0149230957031,AbsoluteLymphocyteCount_Avg
167.0,50661124.0,56352.51171875,303360.03125,337.440185546875,AbsoluteLymphocyteCount_Max
192.0,83821728.0,115938.9296875,436571.5,603.8485717773438,AbsoluteLymphocyteCount_Min
647.0,128561264.0,100804.765625,198703.65625,155.8033447265625,MeanPlateletVolume_Avg
442.0,94241360.0,71336.8046875,213215.75,161.39549255371094,MeanPlateletVolume_Max
463.0,152112496.0,151057.015625,328536.71875,326.2570495605469,MeanPlateletVolume_Min
425.0,95685704.0,78073.203125,225142.828125,183.70166015625,PlateletDistributionWidth_Avg
377.0,60793712.0,68828.0625,161256.53125,182.56781005859375,PlateletDistributionWidth_Max
190.0,65540780.0,43383.125,344951.46875,228.3322296142578,PlateletDistributionWidth_Min
195.0,40940712.0,28956.322265625,209952.375,148.49395751953125,Plateletcrit_Avg
120.0,32197440.0,14786.603515625,268312.0,123.22169494628906,Plateletcrit_Max
160.0,63435860.0,37445.4140625,396474.125,234.03384399414062,Plateletcrit_Min
150.0,59856468.0,34668.5546875,399043.125,231.1237030029297,RedCellDistributionWidth_Avg
98.0,27300726.0,24141.630859375,278578.84375,246.34317016601562,RedCellDistributionWidth_Max
