weight,total_gain,total_cover,gain,cover,feature
876.0,325208416.0,237272.640625,371242.46875,270.85919189453125,FirstVisitAge
136.0,14679433.0,7907.6533203125,107937.0078125,58.144508361816406,Gender
674.0,228782672.0,96435.3828125,339440.15625,143.07920837402344,Hematocrit_Avg
766.0,314542080.0,102089.265625,410629.34375,133.2758026123047,LymphocytesPercentage_Avg
526.0,190764688.0,112838.828125,362670.5,214.52249145507812,MeanCorpuscularHemoglobinConcentration_Avg
572.0,182243392.0,91692.53125,318607.34375,160.30162048339844,MonocytesPercentage_Avg
713.0,305522592.0,160066.0,428502.9375,224.49649047851562,MeanPlateletVolume_Avg
485.0,424781792.0,524402.125,875838.75,1081.241455078125,TotalThyroxine_Avg
483.0,241778992.0,140988.546875,500577.625,291.9017639160156,MeanCorpuscularHemoglobin_Avg
284.0,156143936.0,182240.078125,549802.5625,641.6904296875,ThyroidStimulatingHormone_Avg
321.0,133844592.0,61293.05859375,416961.34375,190.94410705566406,ImmunoglobulinE_Avg
553.0,244823680.0,140139.984375,442719.125,253.41769409179688,RedCellDistributionWidthCV_Avg
111.0,138210000.0,114174.6484375,1245135.125,1028.6004638671875,EggWhite_Avg
92.0,108067584.0,104701.03125,1174647.625,1138.0546875,DogDander_Avg
225.0,112936960.0,61652.0859375,501942.03125,274.00927734375,Hematocrit_Max
435.0,256476352.0,206787.78125,589600.8125,475.37420654296875,LymphocytesPercentage_Max
210.0,119671984.0,78185.828125,569866.5625,372.3134765625,Hematocrit_Min
424.0,232177600.0,151950.6875,547588.6875,358.374267578125,MeanCorpuscularVolume_Max
282.0,103805152.0,121266.65625,368103.375,430.0235900878906,MonocytesPercentage_Max
347.0,225807440.0,102867.328125,650741.875,296.4476318359375,MeanPlateletVolume_Min
316.0,189462464.0,124949.6640625,599564.75,395.41033935546875,MeanCorpuscularHemoglobinConcentration_Min
271.0,163630784.0,88033.734375,603803.625,324.84771728515625,MeanCorpuscularVolume_Avg
357.0,176828752.0,83945.7734375,495318.625,235.14222717285156,LymphocytesPercentage_Min
532.0,253024624.0,140859.34375,475610.1875,264.773193359375,PlateletCount_Avg
309.0,192658096.0,131006.65625,623489.0,423.9697570800781,MeanPlateletVolume_Max
226.0,160009136.0,205836.953125,708005.0,910.782958984375,RyeGrass_Avg
67.0,63052356.0,50589.45703125,941079.9375,755.0665283203125,ProthrombinTime_Avg
213.0,111142432.0,91278.5,521795.46875,428.5375671386719,Total25HydroxyVitaminD_Avg
194.0,87190568.0,40510.421875,449435.90625,208.8166046142578,RedBloodCellCount_Avg
239.0,136209008.0,80796.890625,569912.1875,338.06231689453125,PlateletDistributionWidth_Avg
323.0,246784464.0,170618.578125,764038.5625,528.2308959960938,Hemoglobin_Avg
162.0,98454688.0,59398.8359375,607745.0,366.65948486328125,AbsoluteLymphocyteCount_Avg
332.0,181174608.0,82824.6015625,545706.625,249.47169494628906,EosinophilCountAbsolute_Avg
142.0,83508136.0,84686.109375,588085.4375,596.3810424804688,PartialThromboplastinTime_Avg
144.0,88460992.0,56986.5234375,614312.4375,395.73974609375,TotalTriiodothyronine_Avg
203.0,165015584.0,111462.8984375,812884.625,549.0783081054688,AbsoluteLymphocyteCount_Min
104.0,65399540.0,96144.0546875,628841.75,924.4620361328125,TotalTriiodothyronine_Min
269.0,203080064.0,141636.609375,754944.5,526.5301513671875,NeutrophilsPercentage_Avg
139.0,81312592.0,299386.9375,584982.6875,2153.86279296875,CIndU
74.0,97722088.0,72659.15625,1320568.75,981.8804931640625,Cockroach_Avg
154.0,136932224.0,107003.296875,889170.3125,694.8265991210938,RedCellDistributionWidth_Avg
356.0,190315120.0,117068.921875,534593.0625,328.84527587890625,PlateletCount_Max
255.0,202476544.0,183021.0625,794025.6875,717.7296752929688,MeanCorpuscularHemoglobin_Min
440.0,456664512.0,479482.78125,1037873.875,1089.733642578125,EosinophilsPercentage_Min
186.0,131813912.0,90197.1640625,708676.9375,484.9309997558594,RedCellDistributionWidthCV_Max
251.0,184215120.0,145923.875,733924.75,581.3699951171875,NeutrophilsPercentage_Min
106.0,74516984.0,71230.2578125,702990.4375,671.9835815429688,AntiScl70_Avg
171.0,62306196.0,37546.046875,364363.71875,219.56752014160156,MonocytesPercentage_Min
218.0,188607648.0,153775.96875,865172.6875,705.3943481445312,MeanCorpuscularHemoglobin_Max
254.0,110513648.0,87613.609375,435093.09375,344.9354553222656,MeanCorpuscularHemoglobinConcentration_Max
214.0,157598928.0,46006.578125,736443.5625,214.9840087890625,FreeThyroxine_Avg
210.0,173195232.0,106543.8828125,824739.1875,507.3518371582031,EosinophilCountAbsolute_Max
39.0,10295700.0,7251.89404296875,263992.3125,185.9459991455078,Milk_Avg
145.0,61929592.0,31768.185546875,427100.625,219.0909423828125,RedCellDistributionWidthCV_Min
79.0,39807988.0,37326.95703125,503898.59375,472.4931335449219,AntiSM_Avg
71.0,70646576.0,49482.546875,995022.1875,696.937255859375,CentromereProteinB_Avg
90.0,111940408.0,93357.5390625,1243782.25,1037.3060302734375,FreeTriiodothyronine_Avg
192.0,104880024.0,94655.2265625,546250.125,492.9959716796875,NeutrophilsPercentage_Max
131.0,72145816.0,39280.5234375,550731.4375,299.851318359375,Histone_Avg
102.0,42281072.0,24752.876953125,414520.3125,242.67526245117188,AntiDoubleStrandedDNA_Avg
200.0,118604696.0,81964.1484375,593023.5,409.82073974609375,MeanCorpuscularVolume_Min
173.0,120272896.0,73633.4453125,695219.0625,425.6268615722656,Hemoglobin_Min
17.0,5435428.0,1973.911376953125,319731.0625,116.11243438720703,UrineSpecificGravity_Avg
170.0,61774884.0,38245.80859375,363381.65625,224.975341796875,AbsoluteEosinophilCount_Min
122.0,44622984.0,16444.474609375,365762.15625,134.790771484375,ReverseTriiodothyronine_Avg
152.0,78932880.0,56171.48828125,519295.25,369.54925537109375,AbsoluteMonocyteCount_Min
103.0,61487520.0,47596.19140625,596966.1875,462.09893798828125,Nucleosome_Avg
89.0,40953600.0,47633.6796875,460152.8125,535.2098999023438,AntiSSA_Avg
310.0,189742864.0,136233.859375,612073.75,439.46405029296875,PlateletCount_Min
202.0,171129888.0,172629.328125,847177.6875,854.6006469726562,AbsoluteLymphocyteCount_Max
262.0,142502048.0,304742.59375,543900.9375,1163.1396484375,BasophilsPercentage_Min
171.0,103942752.0,82349.4296875,607852.375,481.57562255859375,Plateletcrit_Min
62.0,30495794.0,19105.173828125,491867.65625,308.1479797363281,CatDander_Avg
209.0,129291264.0,74263.1015625,618618.5,355.3258361816406,PlateletDistributionWidth_Max
325.0,193605584.0,142216.34375,595709.5,437.5887451171875,CReactiveProtein_Max
116.0,117589904.0,142675.015625,1013706.0625,1229.95703125,TotalThyroxine_Min
83.0,101826072.0,64257.609375,1226820.125,774.1880493164062,Ragweed_Avg
48.0,21645840.0,8885.65625,450955.0,185.1178436279297,RibosomalPProtein_Avg
64.0,41817204.0,22721.875,653393.8125,355.029296875,ProliferatingCellNuclearAntigen_Avg
308.0,207351776.0,120157.0625,673220.0625,390.1203308105469,EosinophilsPercentage_Max
326.0,619296832.0,655785.0625,1899683.5,2011.610595703125,EosinophilsPercentage_Avg
218.0,89080992.0,89981.8828125,408628.40625,412.76092529296875,WhiteBloodCellCount_Min
50.0,37436056.0,10804.1455078125,748721.125,216.08291625976562,ThrombinTime_Avg
188.0,77512096.0,54199.16015625,412298.375,288.29339599609375,AbsoluteEosinophilCount_Avg
79.0,27145660.0,9698.2197265625,343615.9375,122.76227569580078,AntiSSB_Avg
99.0,184123600.0,74407.5078125,1859834.375,751.5910034179688,SMRNP_Max
114.0,81227952.0,47188.109375,712525.875,413.9307861328125,EosinophilCountAbsolute_Min
272.0,225944272.0,340147.96875,830677.5,1250.5439453125,WhiteBloodCellCount_Max
62.0,28387532.0,23457.046875,457863.40625,378.3394775390625,SMRNP_Avg
157.0,81348088.0,109444.9765625,518140.6875,697.1017456054688,Ro52_Max
214.0,158382688.0,162992.90625,740106.0,761.6491088867188,WhiteBloodCellCount_Avg
223.0,162813280.0,93214.2109375,730104.375,418.0009460449219,BasophilsPercentage_Avg
45.0,46150440.0,37259.69921875,1025565.3125,827.9932861328125,DustMites_Avg
173.0,120995872.0,67278.7265625,699398.125,388.8943786621094,PlateletDistributionWidth_Min
105.0,48834820.0,32884.75390625,465093.53125,313.1881408691406,AbsoluteMonocyteCount_Avg
53.0,47747612.0,23817.828125,900898.3125,449.3929748535156,Histone_Min
55.0,46149804.0,109762.6953125,839087.375,1995.6854248046875,EggWhite_Max
