weight,total_gain,total_cover,gain,cover,feature
57.0,616018.8125,7389.05224609375,10807.34765625,129.6324920654297,Gender
204.0,7314120.5,70085.3515625,35853.53125,343.5556335449219,FirstVisitAge
23.0,727319.875,92587.109375,31622.603515625,4025.526611328125,CIndU
151.0,4287388.0,35671.09375,28393.298828125,236.23240661621094,Hematocrit_Avg
91.0,2930625.75,12084.763671875,32204.677734375,132.7996063232422,Hematocrit_Max
65.0,1851392.75,16292.66015625,28482.96484375,250.65631103515625,Hematocrit_Min
166.0,3806254.25,21659.115234375,22929.2421875,130.47659301757812,LymphocytesPercentage_Avg
140.0,6717964.5,59699.19921875,47985.4609375,426.4228515625,LymphocytesPercentage_Max
61.0,1683668.25,16228.234375,27601.119140625,266.03662109375,LymphocytesPercentage_Min
92.0,5419508.0,22544.244140625,58907.6953125,245.04612731933594,NeutrophilsPercentage_Avg
84.0,2725496.5,31014.455078125,32446.38671875,369.2196960449219,NeutrophilsPercentage_Max
75.0,2704014.25,30326.6015625,36053.5234375,404.35467529296875,NeutrophilsPercentage_Min
112.0,4328269.0,30640.435546875,38645.2578125,273.5753173828125,MonocytesPercentage_Avg
84.0,2183533.25,77856.3203125,25994.443359375,926.8609619140625,MonocytesPercentage_Max
66.0,2598555.75,30285.607421875,39372.05859375,458.8728332519531,MonocytesPercentage_Min
99.0,2764503.25,46380.39453125,27924.275390625,468.48883056640625,MeanCorpuscularHemoglobinConcentration_Avg
62.0,2569470.25,12928.166015625,41443.0703125,208.51881408691406,MeanCorpuscularHemoglobinConcentration_Max
63.0,1758432.75,20249.697265625,27911.630859375,321.42376708984375,MeanCorpuscularHemoglobinConcentration_Min
114.0,4367846.0,61940.37109375,38314.4375,543.3366088867188,PlateletCount_Avg
128.0,5300073.0,61786.26171875,41406.8203125,482.7051696777344,PlateletCount_Max
99.0,3732856.0,37414.56640625,37705.6171875,377.9249267578125,PlateletCount_Min
75.0,4564393.0,33038.6015625,60858.57421875,440.5146789550781,WhiteBloodCellCount_Avg
46.0,2738604.0,36946.14453125,59534.87109375,803.1770629882812,WhiteBloodCellCount_Max
49.0,1682544.5,13611.12890625,34337.64453125,277.77813720703125,WhiteBloodCellCount_Min
91.0,3536479.25,27526.876953125,38862.41015625,302.4931640625,MeanCorpuscularHemoglobin_Avg
57.0,3873119.5,27917.8515625,67949.46875,489.786865234375,MeanCorpuscularHemoglobin_Max
75.0,4193191.75,30696.61328125,55909.22265625,409.2881774902344,MeanCorpuscularHemoglobin_Min
74.0,4773480.5,37566.5234375,64506.4921875,507.6557312011719,MeanCorpuscularVolume_Avg
58.0,1628928.125,24959.5625,28084.966796875,430.3372802734375,MeanCorpuscularVolume_Max
34.0,1193831.0,16578.6328125,35112.67578125,487.6068420410156,MeanCorpuscularVolume_Min
65.0,1542929.5,49722.96875,23737.376953125,764.96875,RedBloodCellCount_Avg
28.0,633979.9375,11062.451171875,22642.140625,395.0875549316406,RedBloodCellCount_Max
16.0,236115.34375,12022.73046875,14757.208984375,751.420654296875,RedBloodCellCount_Min
61.0,3832174.5,24623.517578125,62822.53125,403.6642150878906,Hemoglobin_Avg
28.0,903736.75,13842.9521484375,32276.3125,494.3911437988281,Hemoglobin_Max
40.0,1011017.125,14177.6953125,25275.427734375,354.4423828125,Hemoglobin_Min
118.0,12342164.0,116903.2265625,104594.609375,990.705322265625,EosinophilsPercentage_Avg
71.0,4704872.0,31427.046875,66265.8046875,442.63446044921875,EosinophilsPercentage_Max
54.0,7255265.0,55517.51171875,134356.765625,1028.10205078125,EosinophilsPercentage_Min
78.0,2127815.75,17783.041015625,27279.689453125,227.98770141601562,BasophilsPercentage_Avg
49.0,2775726.75,14179.42578125,56647.484375,289.37603759765625,BasophilsPercentage_Max
39.0,3646580.25,17402.671875,93502.0546875,446.22235107421875,BasophilsPercentage_Min
35.0,1953001.25,21265.900390625,55800.03515625,607.59716796875,AbsoluteNeutrophilCount_Avg
28.0,2741578.25,13005.740234375,97913.5078125,464.49072265625,AbsoluteNeutrophilCount_Max
22.0,1175819.875,4798.623046875,53446.359375,218.11923217773438,AbsoluteNeutrophilCount_Min
14.0,604838.125,8274.9931640625,43202.72265625,591.0709228515625,AbsoluteMonocyteCount_Avg
21.0,1144308.375,6157.2041015625,54490.875,293.2001953125,AbsoluteMonocyteCount_Max
30.0,1880307.375,10451.5751953125,62676.9140625,348.3858337402344,AbsoluteMonocyteCount_Min
41.0,1380484.875,12956.5224609375,33670.36328125,316.01275634765625,AbsoluteEosinophilCount_Avg
32.0,1735438.75,5856.99462890625,54232.4609375,183.0310821533203,AbsoluteEosinophilCount_Max
16.0,663795.8125,11180.3486328125,41487.23828125,698.7717895507812,AbsoluteEosinophilCount_Min
18.0,1118838.625,5808.7255859375,62157.703125,322.70697021484375,AbsoluteBasophilCount_Avg
1.0,8861.9375,294.83831787109375,8861.9375,294.83831787109375,AbsoluteBasophilCount_Max
3.0,61987.3515625,204.9997100830078,20662.451171875,68.33323669433594,AbsoluteBasophilCount_Min
28.0,942785.6875,11834.32421875,33670.91796875,422.6544494628906,AbsoluteLymphocyteCount_Avg
35.0,2841600.25,34523.00390625,81188.578125,986.3715209960938,AbsoluteLymphocyteCount_Max
26.0,4465445.5,27258.1328125,171747.90625,1048.3897705078125,AbsoluteLymphocyteCount_Min
105.0,3422617.75,55661.03125,32596.359375,530.1050415039062,MeanPlateletVolume_Avg
65.0,4504073.0,23435.57421875,69293.4296875,360.54730224609375,MeanPlateletVolume_Max
76.0,6314742.5,49782.078125,83088.71875,655.02734375,MeanPlateletVolume_Min
56.0,2612017.5,25854.8203125,46643.16796875,461.6932067871094,PlateletDistributionWidth_Avg
41.0,3570981.5,18039.63671875,87097.109375,439.99114990234375,PlateletDistributionWidth_Max
30.0,989219.4375,16590.556640625,32973.98046875,553.0185546875,PlateletDistributionWidth_Min
30.0,697947.5625,16228.4326171875,23264.91796875,540.94775390625,Plateletcrit_Avg
16.0,659920.1875,4940.9296875,41245.01171875,308.80810546875,Plateletcrit_Max
28.0,2108366.5,26200.427734375,75298.8046875,935.7295532226562,Plateletcrit_Min
28.0,1618385.25,28642.064453125,57799.47265625,1022.9308471679688,RedCellDistributionWidth_Avg
21.0,1648435.125,15622.2412109375,78496.9140625,743.916259765625,RedCellDistributionWidth_Max
10.0,1096461.375,13528.134765625,109646.140625,1352.8134765625,RedCellDistributionWidth_Min
74.0,2623569.0,19494.359375,35453.63671875,263.4372863769531,RedCellDistributionWidthCV_Avg
65.0,4362605.5,41549.671875,67117.0078125,639.2257080078125,RedCellDistributionWidthCV_Max
41.0,1206405.625,29826.265625,29424.52734375,727.4699096679688,RedCellDistributionWidthCV_Min
56.0,2311546.0,27221.541015625,41277.60546875,486.09893798828125,EosinophilCountAbsolute_Avg
29.0,2056933.875,25907.88671875,70928.7578125,893.3754272460938,EosinophilCountAbsolute_Max
22.0,1422304.0,6066.5712890625,64650.18359375,275.75323486328125,EosinophilCountAbsolute_Min
59.0,1990912.25,22870.05859375,33744.27734375,387.62811279296875,CReactiveProtein_Avg
47.0,3544234.0,42246.390625,75409.234375,898.859375,CReactiveProtein_Max
40.0,5017399.5,47010.12890625,125434.984375,1175.253173828125,CReactiveProtein_Min
58.0,1586282.125,16110.3291015625,27349.69140625,277.7642822265625,ImmunoglobulinE_Avg
14.0,194021.34375,2298.386474609375,13858.6669921875,164.1704559326172,ImmunoglobulinE_Max
18.0,823884.8125,4616.037109375,45771.37890625,256.4465026855469,ImmunoglobulinE_Min
32.0,2091433.375,9055.685546875,65357.29296875,282.99017333984375,Total25HydroxyVitaminD_Avg
12.0,231353.515625,4056.20361328125,19279.458984375,338.0169677734375,Total25HydroxyVitaminD_Max
17.0,721988.5625,6461.12646484375,42469.9140625,380.0662536621094,Total25HydroxyVitaminD_Min
6.0,31971.5390625,19293.138671875,5328.58984375,3215.523193359375,ImmunoglobulinG_Avg
4.0,265668.3125,5372.2236328125,66417.078125,1343.055908203125,ImmunoglobulinG_Max
4.0,76454.46875,5335.05029296875,19113.6171875,1333.7625732421875,ImmunoglobulinG_Min
7.0,309271.15625,2271.447509765625,44181.59375,324.49249267578125,ImmunoglobulinA_Avg
1.0,2931.728515625,50.49432373046875,2931.728515625,50.49432373046875,ImmunoglobulinA_Max
25.0,1046376.4375,10130.2685546875,41855.05859375,405.21075439453125,ImmunoglobulinM_Avg
8.0,402324.375,2517.091796875,50290.546875,314.636474609375,ImmunoglobulinM_Max
4.0,117044.1796875,5722.74365234375,29261.044921875,1430.6859130859375,ImmunoglobulinM_Min
3.0,280051.625,369.5671691894531,93350.5390625,123.18905639648438,ThyroglobulinAntibody_Avg
33.0,3041437.25,29312.234375,92164.765625,888.24951171875,ThyroidStimulatingHormone_Avg
7.0,1355873.125,1852.9302978515625,193696.15625,264.7043151855469,ThyroidStimulatingHormone_Max
3.0,71687.5625,5593.560546875,23895.853515625,1864.5201416015625,ThyroidStimulatingHormone_Min
30.0,1388265.0,13237.986328125,46275.5,441.2662048339844,TotalTriiodothyronine_Avg
13.0,667992.1875,2819.869873046875,51384.015625,216.91307067871094,TotalTriiodothyronine_Max
1.0,257434.03125,3240.0419921875,257434.03125,3240.0419921875,TotalTriiodothyronine_Min
63.0,6059179.5,67858.921875,96177.453125,1077.125732421875,TotalThyroxine_Avg
12.0,731623.0625,14461.9052734375,60968.58984375,1205.1588134765625,TotalThyroxine_Max
9.0,2360893.5,26349.875,262321.5,2927.763916015625,TotalThyroxine_Min
17.0,655635.6875,2845.67333984375,38566.8046875,167.39254760742188,FreeTriiodothyronine_Avg
15.0,3672896.5,9033.1962890625,244859.765625,602.2130737304688,FreeTriiodothyronine_Max
5.0,596721.875,3741.02783203125,119344.375,748.20556640625,FreeTriiodothyronine_Min
20.0,933848.625,5474.51318359375,46692.4296875,273.72564697265625,FreeThyroxine_Avg
15.0,481049.40625,2369.25048828125,32069.9609375,157.9500274658203,FreeThyroxine_Max
9.0,1093169.125,9867.70703125,121463.234375,1096.411865234375,FreeThyroxine_Min
14.0,235226.328125,10752.9228515625,16801.880859375,768.06591796875,ReverseTriiodothyronine_Avg
9.0,227535.1875,6335.84521484375,25281.6875,703.9827880859375,ReverseTriiodothyronine_Max
3.0,654132.1875,2253.093505859375,218044.0625,751.0311889648438,ReverseTriiodothyronine_Min
3.0,915353.0625,3303.419921875,305117.6875,1101.1400146484375,ANA1to40_Avg
1.0,76983.421875,2899.62451171875,76983.421875,2899.62451171875,ANA1to40_Max
1.0,5033.171875,159.7815704345703,5033.171875,159.7815704345703,ANA1to80_Avg
2.0,409121.46875,636.176025390625,204560.734375,318.0880126953125,ANANuclearPattern_Avg
14.0,277276.28125,4476.224609375,19805.44921875,319.7303161621094,SMRNP_Avg
15.0,785162.875,4025.2724609375,52344.19140625,268.35150146484375,SMRNP_Max
10.0,729602.3125,4264.50732421875,72960.234375,426.45074462890625,SMRNP_Min
20.0,1516569.0,12414.12890625,75828.453125,620.7064208984375,AntiScl70_Avg
7.0,1207904.25,6725.89697265625,172557.75,960.8424072265625,AntiScl70_Max
7.0,332824.65625,14771.9921875,47546.37890625,2110.28466796875,AntiScl70_Min
12.0,605541.25,11008.5439453125,50461.76953125,917.378662109375,AntiSSA_Avg
9.0,1340052.625,12436.908203125,148894.734375,1381.878662109375,AntiSSA_Max
14.0,913370.25,1516.654296875,65240.73046875,108.33245086669922,AntiSSB_Avg
7.0,342891.28125,1008.3612060546875,48984.46875,144.05160522460938,AntiSSB_Max
4.0,658255.1875,2162.65283203125,164563.796875,540.6632080078125,AntiSSB_Min
6.0,417021.875,490.99017333984375,69503.6484375,81.83169555664062,AntiJo1_Avg
5.0,59816.7890625,334.42022705078125,11963.357421875,66.88404846191406,AntiJo1_Max
12.0,311013.0,6684.2890625,25917.75,557.0241088867188,AntiDoubleStrandedDNA_Avg
6.0,115675.5078125,6690.45068359375,19279.251953125,1115.0750732421875,AntiDoubleStrandedDNA_Max
2.0,513.1572875976562,118.3697509765625,256.5786437988281,59.18487548828125,AntiDoubleStrandedDNA_Min
13.0,80690.828125,2177.895751953125,6206.98681640625,167.5304412841797,AntiSM_Avg
8.0,102606.4375,4500.6708984375,12825.8046875,562.5838623046875,AntiSM_Max
3.0,132492.21875,3121.4423828125,44164.07421875,1040.4808349609375,AntiSM_Min
17.0,1513435.125,3502.411865234375,89025.59375,206.02423095703125,Nucleosome_Avg
6.0,300360.53125,7689.033203125,50060.08984375,1281.5054931640625,Nucleosome_Max
4.0,122523.5390625,519.1798095703125,30630.884765625,129.79495239257812,Nucleosome_Min
22.0,1496882.0,3414.838134765625,68040.09375,155.21990966796875,AntiM2_Avg
6.0,110271.4140625,582.1478271484375,18378.568359375,97.0246353149414,AntiM2_Max
10.0,403027.9375,1918.9100341796875,40302.79296875,191.89100646972656,AntiM2_Min
14.0,1761290.5,9584.6767578125,125806.4609375,684.6197509765625,ProliferatingCellNuclearAntigen_Avg
4.0,116318.2265625,2372.93115234375,29079.556640625,593.2327880859375,ProliferatingCellNuclearAntigen_Max
11.0,528301.875,5322.43212890625,48027.44140625,483.8574523925781,RibosomalPProtein_Avg
4.0,245784.921875,5814.9541015625,61446.23046875,1453.738525390625,RibosomalPProtein_Max
3.0,167656.484375,131.1768798828125,55885.49609375,43.72562789916992,RibosomalPProtein_Min
