weight,total_gain,total_cover,gain,cover,feature
3.0,0.7972795963287354,230.3999481201172,0.2657598555088043,76.79998016357422,Gender
20.0,20.513349533081055,47578.55078125,1.025667428970337,2378.927490234375,FirstVisitAge
13.0,24.345149993896484,3919.36181640625,1.8727037906646729,301.4893798828125,Hematocrit_Avg
11.0,11.378425598144531,17321.607421875,1.0344023704528809,1574.6915283203125,Hematocrit_Max
8.0,16.170377731323242,2150.40478515625,2.0212972164154053,268.80059814453125,Hematocrit_Min
16.0,37.1467399597168,98987.9453125,2.3216712474823,6186.74658203125,Hematocrit_Avg_acute
4.0,13.829157829284668,3627.495849609375,3.457289457321167,906.8739624023438,Hematocrit_Avg_chronic
13.0,15.002547264099121,15205.2236328125,1.15404212474823,1169.632568359375,LymphocytesPercentage_Avg
17.0,32.03217697143555,6181.7275390625,1.884245753288269,363.63104248046875,LymphocytesPercentage_Max
17.0,15.37277603149414,36345.88671875,0.904280960559845,2137.993408203125,LymphocytesPercentage_Min
10.0,42.37428665161133,59340.265625,4.237428665161133,5934.0263671875,LymphocytesPercentage_Avg_acute
9.0,35.23865509033203,21533.005859375,3.9154062271118164,2392.55615234375,LymphocytesPercentage_Avg_chronic
13.0,19.670955657958984,42352.9375,1.5131504535675049,3257.918212890625,NeutrophilsPercentage_Avg
12.0,12.39271354675293,34336.328125,1.0327261686325073,2861.360595703125,NeutrophilsPercentage_Max
17.0,70.8245620727539,89531.953125,4.1661505699157715,5266.58544921875,NeutrophilsPercentage_Min
12.0,83.52766418457031,92274.484375,6.960638523101807,7689.54052734375,NeutrophilsPercentage_Avg_acute
7.0,28.216796875,41238.140625,4.030971050262451,5891.1630859375,NeutrophilsPercentage_Avg_chronic
14.0,22.92376136779785,36383.8671875,1.6374114751815796,2598.84765625,MonocytesPercentage_Avg
9.0,8.502874374389648,14305.51953125,0.9447638392448425,1589.502197265625,MonocytesPercentage_Max
7.0,7.587240219116211,18988.54296875,1.08389151096344,2712.64892578125,MonocytesPercentage_Min
20.0,42.38459396362305,199333.3125,2.119229793548584,9966.666015625,MonocytesPercentage_Avg_acute
13.0,8.87718391418457,75467.21875,0.6828603148460388,5805.1708984375,MonocytesPercentage_Avg_chronic
12.0,16.041194915771484,50327.80078125,1.336766242980957,4193.9833984375,MeanCorpuscularHemoglobinConcentration_Avg
12.0,9.775092124938965,14967.0400390625,0.8145909905433655,1247.2532958984375,MeanCorpuscularHemoglobinConcentration_Max
11.0,13.89350414276123,6005.41357421875,1.2630457878112793,545.9467163085938,MeanCorpuscularHemoglobinConcentration_Min
26.0,250.790283203125,202868.3125,9.645780563354492,7802.62744140625,MeanCorpuscularHemoglobinConcentration_Avg_acute
12.0,32.93716812133789,81682.5625,2.7447640895843506,6806.88037109375,MeanCorpuscularHemoglobinConcentration_Avg_chronic
14.0,25.2412052154541,30723.353515625,1.802943229675293,2194.525146484375,PlateletCount_Avg
12.0,15.713001251220703,3763.307861328125,1.3094167709350586,313.6089782714844,PlateletCount_Max
14.0,12.900162696838379,73569.1875,0.9214401841163635,5254.94189453125,PlateletCount_Min
25.0,256.5294189453125,182849.46875,10.261177062988281,7313.978515625,PlateletCount_Avg_acute
11.0,33.01106262207031,50618.21484375,3.0010056495666504,4601.65576171875,PlateletCount_Avg_chronic
6.0,19.543434143066406,2677.99169921875,3.2572391033172607,446.3319396972656,WhiteBloodCellCount_Avg
9.0,13.067585945129395,4198.6337890625,1.4519540071487427,466.5148620605469,WhiteBloodCellCount_Max
13.0,28.451345443725586,3252.875732421875,2.1885650157928467,250.22120666503906,WhiteBloodCellCount_Min
13.0,93.18724822998047,63690.48046875,7.16825008392334,4899.267578125,WhiteBloodCellCount_Avg_acute
4.0,4.403016567230225,957.5950927734375,1.1007541418075562,239.39877319335938,WhiteBloodCellCount_Avg_chronic
13.0,20.023468017578125,41911.86328125,1.540266752243042,3223.989501953125,MeanCorpuscularHemoglobin_Avg
16.0,26.74144744873047,44958.0390625,1.6713404655456543,2809.87744140625,MeanCorpuscularHemoglobin_Max
6.0,3.702162981033325,28238.494140625,0.6170271635055542,4706.41552734375,MeanCorpuscularHemoglobin_Min
26.0,54.1260871887207,186963.546875,2.081772565841675,7190.90576171875,MeanCorpuscularHemoglobin_Avg_acute
10.0,37.86396789550781,105398.4921875,3.7863967418670654,10539.849609375,MeanCorpuscularHemoglobin_Avg_chronic
17.0,30.277240753173828,34292.8046875,1.7810142040252686,2017.2237548828125,MeanCorpuscularVolume_Avg
13.0,49.33583068847656,74930.5625,3.7950639724731445,5763.8896484375,MeanCorpuscularVolume_Max
4.0,15.075140953063965,3687.90771484375,3.768785238265991,921.9769287109375,MeanCorpuscularVolume_Min
10.0,15.607442855834961,92728.2109375,1.560744285583496,9272.8212890625,MeanCorpuscularVolume_Avg_acute
6.0,13.953174591064453,24709.36328125,2.325529098510742,4118.22705078125,MeanCorpuscularVolume_Avg_chronic
10.0,11.774871826171875,73243.296875,1.1774871349334717,7324.32958984375,RedBloodCellCount_Avg
3.0,5.397236347198486,13518.185546875,1.7990788221359253,4506.06201171875,RedBloodCellCount_Min
17.0,30.37322998046875,178909.625,1.7866605520248413,10524.095703125,RedBloodCellCount_Avg_acute
2.0,2.93650221824646,14248.5927734375,1.46825110912323,7124.29638671875,RedBloodCellCount_Avg_chronic
7.0,15.133865356445312,1714.6453857421875,2.1619808673858643,244.9493408203125,Hemoglobin_Avg
5.0,7.875990867614746,2471.749755859375,1.5751981735229492,494.3499450683594,Hemoglobin_Max
7.0,7.090487957000732,12251.5400390625,1.0129268169403076,1750.219970703125,Hemoglobin_Min
15.0,47.989654541015625,117316.765625,3.199310302734375,7821.11767578125,Hemoglobin_Avg_acute
12.0,16.40007209777832,108548.8828125,1.3666726350784302,9045.740234375,Hemoglobin_Avg_chronic
12.0,19.039417266845703,22890.470703125,1.5866180658340454,1907.5391845703125,EosinophilsPercentage_Avg
16.0,56.823974609375,115601.8984375,3.5514984130859375,7225.11865234375,EosinophilsPercentage_Max
5.0,11.798845291137695,3128.509765625,2.359769105911255,625.7019653320312,EosinophilsPercentage_Min
16.0,360.9775085449219,76881.9765625,22.561094284057617,4805.12353515625,EosinophilsPercentage_Avg_acute
8.0,21.412799835205078,64644.1328125,2.6765999794006348,8080.5166015625,EosinophilsPercentage_Avg_chronic
9.0,7.311088562011719,40849.8046875,0.812343180179596,4538.8671875,BasophilsPercentage_Avg
