weight,total_gain,total_cover,gain,cover,feature
5.0,66.0,1388314624.0,13.199999809265137,277662912.0,FirstVisitAge
4.0,60.0,1130682752.0,15.0,282670688.0,Hematocrit_Avg
1.0,24.0,364802752.0,24.0,364802752.0,Hematocrit_Max
2.0,40.0,1019767552.0,20.0,509883776.0,Hematocrit_Min
2.0,500.1239013671875,346987648.0,250.06195068359375,173493824.0,Hematocrit_Avg_acute
1.0,2.0,34646800.0,2.0,34646800.0,Hematocrit_Avg_chronic
1.0,1.0,33447072.0,1.0,33447072.0,LymphocytesPercentage_Avg
1.0,1.5,23881876.0,1.5,23881876.0,LymphocytesPercentage_Max
1.0,1.0,22057422.0,1.0,22057422.0,LymphocytesPercentage_Min
1.0,1.0,18744216.0,1.0,18744216.0,LymphocytesPercentage_Avg_acute
1.0,6.0,114641792.0,6.0,114641792.0,LymphocytesPercentage_Avg_chronic
1.0,24.0,444913376.0,24.0,444913376.0,NeutrophilsPercentage_Avg
1.0,16.0,330333952.0,16.0,330333952.0,NeutrophilsPercentage_Max
3.0,509.2850036621094,131752344.0,169.7616729736328,43917448.0,NeutrophilsPercentage_Min
5.0,2736.339599609375,337466688.0,547.2679443359375,67493336.0,NeutrophilsPercentage_Avg_acute
7.0,2508.210205078125,475686048.0,358.31573486328125,67955152.0,NeutrophilsPercentage_Avg_chronic
1.0,470.95770263671875,12321.5458984375,470.95770263671875,12321.5458984375,MonocytesPercentage_Avg
2.0,18.21875,10727622.0,9.109375,5363811.0,MeanCorpuscularHemoglobinConcentration_Min
12.0,9981.9599609375,383173152.0,831.8300170898438,31931096.0,MeanCorpuscularHemoglobinConcentration_Avg_acute
11.0,5262.603515625,531244096.0,478.4184875488281,48294916.0,MeanCorpuscularHemoglobinConcentration_Avg_chronic
1.0,32.66192626953125,6913.9345703125,32.66192626953125,6913.9345703125,PlateletCount_Avg
1.0,29.14202880859375,6343.7900390625,29.14202880859375,6343.7900390625,PlateletCount_Min
5.0,2476.9111328125,32552892.0,495.3822326660156,6510578.5,PlateletCount_Avg_acute
4.0,917.306884765625,264877.53125,229.32672119140625,66219.3828125,PlateletCount_Avg_chronic
1.0,2.0,20056260.0,2.0,20056260.0,MeanCorpuscularHemoglobin_Avg
1.0,24.0,281149696.0,24.0,281149696.0,MeanCorpuscularHemoglobin_Avg_acute
26.0,11475.234375,514370592.0,441.35516357421875,19783484.0,MeanCorpuscularHemoglobin_Avg_chronic
4.0,1135.4959716796875,76898776.0,283.8739929199219,19224694.0,MeanCorpuscularVolume_Avg_chronic
1.0,26.465087890625,4056.82373046875,26.465087890625,4056.82373046875,Hemoglobin_Avg
1.0,32.313232421875,5731.98291015625,32.313232421875,5731.98291015625,EosinophilsPercentage_Max
7.0,3821.9921875,41116880.0,545.9989013671875,5873840.0,EosinophilsPercentage_Avg_acute
2.0,1086.719482421875,246562.765625,543.3597412109375,123281.3828125,EosinophilsPercentage_Avg_chronic
2.0,465.474609375,14061551.0,232.7373046875,7030775.5,BasophilsPercentage_Max
1.0,12.0,144381488.0,12.0,144381488.0,BasophilsPercentage_Min
8.0,5052.361328125,21652052.0,631.545166015625,2706506.5,BasophilsPercentage_Avg_acute
1.0,16.0,188661936.0,16.0,188661936.0,BasophilsPercentage_Avg_chronic
4.0,217.6064453125,9930594.0,54.401611328125,2482648.5,AbsoluteNeutrophilCount_Avg
16.0,2503.88037109375,37592012.0,156.49252319335938,2349500.75,AbsoluteNeutrophilCount_Max
11.0,337.498046875,58765552.0,30.681640625,5342323.0,AbsoluteNeutrophilCount_Min
2.0,342.5800476074219,3509270.25,171.29002380371094,1754635.125,AbsoluteNeutrophilCount_Avg_acute
4.0,2345.385009765625,997924.875,586.3462524414062,249481.21875,AbsoluteMonocyteCount_Avg_acute
16.0,9490.275390625,293934720.0,593.1422119140625,18370920.0,AbsoluteEosinophilCount_Avg_acute
3.0,819.9515380859375,214100.65625,273.3171691894531,71366.8828125,AbsoluteEosinophilCount_Avg_chronic
3.0,877.533203125,16809284.0,292.5110778808594,5603094.5,AbsoluteLymphocyteCount_Avg
2.0,301.70855712890625,73004.0,150.85427856445312,36502.0,AbsoluteLymphocyteCount_Max
2.0,674.844482421875,144190.40625,337.4222412109375,72095.203125,AbsoluteLymphocyteCount_Min
2.0,331.23480224609375,49963.1328125,165.61740112304688,24981.56640625,AbsoluteLymphocyteCount_Avg_acute
1.0,465.1596984863281,207816.140625,465.1596984863281,207816.140625,MeanPlateletVolume_Avg
12.0,6806.24560546875,259786032.0,567.1871337890625,21648836.0,MeanPlateletVolume_Avg_acute
1.0,177.13232421875,41956.15234375,177.13232421875,41956.15234375,MeanPlateletVolume_Avg_chronic
2.0,467.8380126953125,11404309.0,233.91900634765625,5702154.5,PlateletDistributionWidth_Avg
3.0,1414.294921875,74748.28125,471.431640625,24916.09375,PlateletDistributionWidth_Max
1.0,218.1981201171875,27464.22265625,218.1981201171875,27464.22265625,Plateletcrit_Max
1.0,16.0,277066592.0,16.0,277066592.0,Plateletcrit_Avg_chronic
1.0,6.8125,1428094.125,6.8125,1428094.125,RedCellDistributionWidth_Avg
2.0,1114.290771484375,497803.34375,557.1453857421875,248901.671875,RedCellDistributionWidthCV_Avg_acute
1.0,24.0,299124032.0,24.0,299124032.0,EosinophilCountAbsolute_Avg_chronic
1.0,12.0,182136576.0,12.0,182136576.0,CReactiveProtein_Avg
3.0,3666.915771484375,803156.375,1222.3052978515625,267718.78125,CReactiveProtein_Min
75.0,47103.67578125,1488807296.0,628.0490112304688,19850764.0,CReactiveProtein_Avg_acute
1.0,465.9520568847656,245901.15625,465.9520568847656,245901.15625,CReactiveProtein_Avg_chronic
