[2024-09-02 16:20:17] PRINT [0]	train-poisson-nloglik:1.27382	train-roc_auc:0.82214	validation-poisson-nloglik:1.26785	validation-roc_auc:0.76914
[2024-09-02 16:20:17] PRINT [1]	train-poisson-nloglik:1.25464	train-roc_auc:0.87324	validation-poisson-nloglik:1.25162	validation-roc_auc:0.82813
[2024-09-02 16:20:17] PRINT [2]	train-poisson-nloglik:1.24050	train-roc_auc:0.87032	validation-poisson-nloglik:1.24057	validation-roc_auc:0.83337
[2024-09-02 16:20:17] PRINT [3]	train-poisson-nloglik:1.22742	train-roc_auc:0.89277	validation-poisson-nloglik:1.23040	validation-roc_auc:0.84900
[2024-09-02 16:20:18] PRINT [4]	train-poisson-nloglik:1.21609	train-roc_auc:0.89846	validation-poisson-nloglik:1.22310	validation-roc_auc:0.85466
[2024-09-02 16:20:18] PRINT [5]	train-poisson-nloglik:1.20726	train-roc_auc:0.90408	validation-poisson-nloglik:1.21638	validation-roc_auc:0.85779
[2024-09-02 16:20:18] PRINT [6]	train-poisson-nloglik:1.19848	train-roc_auc:0.90756	validation-poisson-nloglik:1.21131	validation-roc_auc:0.85921
[2024-09-02 16:20:18] PRINT [7]	train-poisson-nloglik:1.19153	train-roc_auc:0.91073	validation-poisson-nloglik:1.20665	validation-roc_auc:0.86340
[2024-09-02 16:20:18] PRINT [8]	train-poisson-nloglik:1.18400	train-roc_auc:0.91429	validation-poisson-nloglik:1.20201	validation-roc_auc:0.86833
[2024-09-02 16:20:18] PRINT [9]	train-poisson-nloglik:1.17760	train-roc_auc:0.91886	validation-poisson-nloglik:1.19838	validation-roc_auc:0.86902
[2024-09-02 16:20:18] PRINT [10]	train-poisson-nloglik:1.17196	train-roc_auc:0.92080	validation-poisson-nloglik:1.19578	validation-roc_auc:0.86988
[2024-09-02 16:20:18] PRINT [11]	train-poisson-nloglik:1.16686	train-roc_auc:0.92290	validation-poisson-nloglik:1.19194	validation-roc_auc:0.87104
[2024-09-02 16:20:18] PRINT [12]	train-poisson-nloglik:1.16234	train-roc_auc:0.92462	validation-poisson-nloglik:1.19090	validation-roc_auc:0.86894
[2024-09-02 16:20:18] PRINT [13]	train-poisson-nloglik:1.15885	train-roc_auc:0.92559	validation-poisson-nloglik:1.18982	validation-roc_auc:0.86551
[2024-09-02 16:20:18] PRINT [14]	train-poisson-nloglik:1.15572	train-roc_auc:0.92626	validation-poisson-nloglik:1.18843	validation-roc_auc:0.86572
[2024-09-02 16:20:18] PRINT [15]	train-poisson-nloglik:1.15253	train-roc_auc:0.92718	validation-poisson-nloglik:1.18780	validation-roc_auc:0.86551
[2024-09-02 16:20:18] PRINT [16]	train-poisson-nloglik:1.14941	train-roc_auc:0.92805	validation-poisson-nloglik:1.18682	validation-roc_auc:0.86551
[2024-09-02 16:20:18] PRINT [17]	train-poisson-nloglik:1.14677	train-roc_auc:0.93123	validation-poisson-nloglik:1.18561	validation-roc_auc:0.86716
[2024-09-02 16:20:18] PRINT [18]	train-poisson-nloglik:1.14450	train-roc_auc:0.93221	validation-poisson-nloglik:1.18531	validation-roc_auc:0.86843
[2024-09-02 16:20:18] PRINT [19]	train-poisson-nloglik:1.14214	train-roc_auc:0.93371	validation-poisson-nloglik:1.18433	validation-roc_auc:0.86833
[2024-09-02 16:20:18] PRINT [20]	train-poisson-nloglik:1.14088	train-roc_auc:0.93435	validation-poisson-nloglik:1.18397	validation-roc_auc:0.86962
[2024-09-02 16:20:18] PRINT [21]	train-poisson-nloglik:1.13891	train-roc_auc:0.93526	validation-poisson-nloglik:1.18356	validation-roc_auc:0.86971
[2024-09-02 16:20:18] PRINT [22]	train-poisson-nloglik:1.13702	train-roc_auc:0.93541	validation-poisson-nloglik:1.18296	validation-roc_auc:0.86921
[2024-09-02 16:20:18] PRINT [23]	train-poisson-nloglik:1.13568	train-roc_auc:0.93582	validation-poisson-nloglik:1.18207	validation-roc_auc:0.87011
[2024-09-02 16:20:18] PRINT [24]	train-poisson-nloglik:1.13390	train-roc_auc:0.93656	validation-poisson-nloglik:1.18301	validation-roc_auc:0.86823
[2024-09-02 16:20:18] PRINT [25]	train-poisson-nloglik:1.13241	train-roc_auc:0.93720	validation-poisson-nloglik:1.18309	validation-roc_auc:0.86814
[2024-09-02 16:20:18] PRINT [26]	train-poisson-nloglik:1.13081	train-roc_auc:0.93878	validation-poisson-nloglik:1.18256	validation-roc_auc:0.86837
[2024-09-02 16:20:18] PRINT [27]	train-poisson-nloglik:1.12982	train-roc_auc:0.93900	validation-poisson-nloglik:1.18218	validation-roc_auc:0.86979
[2024-09-02 16:20:18] PRINT [28]	train-poisson-nloglik:1.12868	train-roc_auc:0.93992	validation-poisson-nloglik:1.18207	validation-roc_auc:0.86975
[2024-09-02 16:20:18] PRINT [29]	train-poisson-nloglik:1.12781	train-roc_auc:0.94012	validation-poisson-nloglik:1.18182	validation-roc_auc:0.87025
[2024-09-02 16:20:18] PRINT [30]	train-poisson-nloglik:1.12672	train-roc_auc:0.94040	validation-poisson-nloglik:1.18124	validation-roc_auc:0.87050
[2024-09-02 16:20:18] PRINT [31]	train-poisson-nloglik:1.12604	train-roc_auc:0.94066	validation-poisson-nloglik:1.18187	validation-roc_auc:0.87029
[2024-09-02 16:20:18] PRINT [32]	train-poisson-nloglik:1.12519	train-roc_auc:0.94151	validation-poisson-nloglik:1.18224	validation-roc_auc:0.87075
[2024-09-02 16:20:18] PRINT [33]	train-poisson-nloglik:1.12401	train-roc_auc:0.94229	validation-poisson-nloglik:1.18179	validation-roc_auc:0.87238
[2024-09-02 16:20:18] PRINT [34]	train-poisson-nloglik:1.12333	train-roc_auc:0.94290	validation-poisson-nloglik:1.18192	validation-roc_auc:0.87238
[2024-09-02 16:20:18] PRINT [35]	train-poisson-nloglik:1.12228	train-roc_auc:0.94374	validation-poisson-nloglik:1.18196	validation-roc_auc:0.87234
[2024-09-02 16:20:18] PRINT [36]	train-poisson-nloglik:1.12152	train-roc_auc:0.94414	validation-poisson-nloglik:1.18176	validation-roc_auc:0.87409
[2024-09-02 16:20:18] PRINT [37]	train-poisson-nloglik:1.12083	train-roc_auc:0.94454	validation-poisson-nloglik:1.18164	validation-roc_auc:0.87451
[2024-09-02 16:20:18] PRINT [38]	train-poisson-nloglik:1.11952	train-roc_auc:0.94556	validation-poisson-nloglik:1.18279	validation-roc_auc:0.87388
[2024-09-02 16:20:18] PRINT [39]	train-poisson-nloglik:1.11853	train-roc_auc:0.94624	validation-poisson-nloglik:1.18288	validation-roc_auc:0.87284
[2024-09-02 16:20:18] PRINT [40]	train-poisson-nloglik:1.11787	train-roc_auc:0.94688	validation-poisson-nloglik:1.18322	validation-roc_auc:0.87305
[2024-09-02 16:20:18] PRINT [41]	train-poisson-nloglik:1.11710	train-roc_auc:0.94732	validation-poisson-nloglik:1.18334	validation-roc_auc:0.87309
[2024-09-02 16:20:18] PRINT [42]	train-poisson-nloglik:1.11649	train-roc_auc:0.94744	validation-poisson-nloglik:1.18341	validation-roc_auc:0.87292
[2024-09-02 16:20:18] PRINT [43]	train-poisson-nloglik:1.11615	train-roc_auc:0.94778	validation-poisson-nloglik:1.18368	validation-roc_auc:0.87226
[2024-09-02 16:20:18] PRINT [44]	train-poisson-nloglik:1.11498	train-roc_auc:0.94915	validation-poisson-nloglik:1.18397	validation-roc_auc:0.87125
[2024-09-02 16:20:18] PRINT [45]	train-poisson-nloglik:1.11418	train-roc_auc:0.95013	validation-poisson-nloglik:1.18431	validation-roc_auc:0.87059
[2024-09-02 16:20:18] PRINT [46]	train-poisson-nloglik:1.11388	train-roc_auc:0.95030	validation-poisson-nloglik:1.18426	validation-roc_auc:0.87059
[2024-09-02 16:20:18] PRINT [47]	train-poisson-nloglik:1.11282	train-roc_auc:0.95085	validation-poisson-nloglik:1.18463	validation-roc_auc:0.87084
[2024-09-02 16:20:18] PRINT [48]	train-poisson-nloglik:1.11255	train-roc_auc:0.95109	validation-poisson-nloglik:1.18500	validation-roc_auc:0.86983
[2024-09-02 16:20:18] PRINT [49]	train-poisson-nloglik:1.11164	train-roc_auc:0.95209	validation-poisson-nloglik:1.18492	validation-roc_auc:0.86933
[2024-09-02 16:20:18] PRINT [50]	train-poisson-nloglik:1.11107	train-roc_auc:0.95245	validation-poisson-nloglik:1.18416	validation-roc_auc:0.87017
[2024-09-02 16:20:18] PRINT [51]	train-poisson-nloglik:1.11052	train-roc_auc:0.95284	validation-poisson-nloglik:1.18407	validation-roc_auc:0.87008
[2024-09-02 16:20:18] PRINT [52]	train-poisson-nloglik:1.11025	train-roc_auc:0.95301	validation-poisson-nloglik:1.18447	validation-roc_auc:0.86942
[2024-09-02 16:20:18] PRINT [53]	train-poisson-nloglik:1.10984	train-roc_auc:0.95308	validation-poisson-nloglik:1.18450	validation-roc_auc:0.86921
[2024-09-02 16:20:18] PRINT [54]	train-poisson-nloglik:1.10940	train-roc_auc:0.95345	validation-poisson-nloglik:1.18420	validation-roc_auc:0.86950
[2024-09-02 16:20:18] PRINT [55]	train-poisson-nloglik:1.10892	train-roc_auc:0.95393	validation-poisson-nloglik:1.18432	validation-roc_auc:0.86962
[2024-09-02 16:20:18] PRINT [56]	train-poisson-nloglik:1.10840	train-roc_auc:0.95423	validation-poisson-nloglik:1.18424	validation-roc_auc:0.86975
[2024-09-02 16:20:18] PRINT [57]	train-poisson-nloglik:1.10771	train-roc_auc:0.95486	validation-poisson-nloglik:1.18486	validation-roc_auc:0.87017
[2024-09-02 16:20:18] PRINT [58]	train-poisson-nloglik:1.10745	train-roc_auc:0.95507	validation-poisson-nloglik:1.18493	validation-roc_auc:0.87000
