[2024-09-02 16:21:51] PRINT [0]	train-poisson-nloglik:47384.80378	train-roc_auc:0.47761	validation-poisson-nloglik:47390.45109	validation-roc_auc:0.49175
[2024-09-02 16:21:51] PRINT [1]	train-poisson-nloglik:42891.72551	train-roc_auc:0.59411	validation-poisson-nloglik:42897.29814	validation-roc_auc:0.60759
[2024-09-02 16:21:51] PRINT [2]	train-poisson-nloglik:38823.65933	train-roc_auc:0.72504	validation-poisson-nloglik:38829.21509	validation-roc_auc:0.73363
[2024-09-02 16:21:51] PRINT [3]	train-poisson-nloglik:35140.42635	train-roc_auc:0.72742	validation-poisson-nloglik:35145.90081	validation-roc_auc:0.72997
[2024-09-02 16:21:51] PRINT [4]	train-poisson-nloglik:31805.62960	train-roc_auc:0.72866	validation-poisson-nloglik:31811.01309	validation-roc_auc:0.73045
[2024-09-02 16:21:51] PRINT [5]	train-poisson-nloglik:28786.33894	train-roc_auc:0.73579	validation-poisson-nloglik:28791.68280	validation-roc_auc:0.73234
[2024-09-02 16:21:51] PRINT [6]	train-poisson-nloglik:26052.71247	train-roc_auc:0.75047	validation-poisson-nloglik:26057.96425	validation-roc_auc:0.75450
[2024-09-02 16:21:52] PRINT [7]	train-poisson-nloglik:23577.75666	train-roc_auc:0.76246	validation-poisson-nloglik:23582.93743	validation-roc_auc:0.77525
[2024-09-02 16:21:52] PRINT [8]	train-poisson-nloglik:21337.00911	train-roc_auc:0.81700	validation-poisson-nloglik:21342.13985	validation-roc_auc:0.82483
[2024-09-02 16:21:52] PRINT [9]	train-poisson-nloglik:19308.31917	train-roc_auc:0.84345	validation-poisson-nloglik:19313.38069	validation-roc_auc:0.83469
[2024-09-02 16:21:52] PRINT [10]	train-poisson-nloglik:17471.65153	train-roc_auc:0.84882	validation-poisson-nloglik:17476.68609	validation-roc_auc:0.84223
[2024-09-02 16:21:52] PRINT [11]	train-poisson-nloglik:15808.83653	train-roc_auc:0.85766	validation-poisson-nloglik:15813.79420	validation-roc_auc:0.83475
