[2024-09-02 16:21:18] PRINT [0]	train-poisson-nloglik:2.45300	train-prerec_auc:0.88440	validation-poisson-nloglik:2.42097	validation-prerec_auc:0.66872
[2024-09-02 16:21:19] PRINT [1]	train-poisson-nloglik:2.39503	train-prerec_auc:0.91658	validation-poisson-nloglik:2.36934	validation-prerec_auc:0.89894
[2024-09-02 16:21:19] PRINT [2]	train-poisson-nloglik:2.35048	train-prerec_auc:0.92022	validation-poisson-nloglik:2.33204	validation-prerec_auc:0.90736
[2024-09-02 16:21:19] PRINT [3]	train-poisson-nloglik:2.30758	train-prerec_auc:0.92844	validation-poisson-nloglik:2.29564	validation-prerec_auc:0.90284
[2024-09-02 16:21:19] PRINT [4]	train-poisson-nloglik:2.27059	train-prerec_auc:0.92871	validation-poisson-nloglik:2.26527	validation-prerec_auc:0.89932
[2024-09-02 16:21:19] PRINT [5]	train-poisson-nloglik:2.24087	train-prerec_auc:0.93156	validation-poisson-nloglik:2.23791	validation-prerec_auc:0.90343
[2024-09-02 16:21:19] PRINT [6]	train-poisson-nloglik:2.21086	train-prerec_auc:0.93110	validation-poisson-nloglik:2.21685	validation-prerec_auc:0.90085
[2024-09-02 16:21:19] PRINT [7]	train-poisson-nloglik:2.18496	train-prerec_auc:0.92951	validation-poisson-nloglik:2.20029	validation-prerec_auc:0.89670
[2024-09-02 16:21:19] PRINT [8]	train-poisson-nloglik:2.15956	train-prerec_auc:0.93166	validation-poisson-nloglik:2.18122	validation-prerec_auc:0.89780
[2024-09-02 16:21:19] PRINT [9]	train-poisson-nloglik:2.13612	train-prerec_auc:0.93139	validation-poisson-nloglik:2.16382	validation-prerec_auc:0.89596
[2024-09-02 16:21:19] PRINT [10]	train-poisson-nloglik:2.11500	train-prerec_auc:0.93225	validation-poisson-nloglik:2.15196	validation-prerec_auc:0.89657
[2024-09-02 16:21:19] PRINT [11]	train-poisson-nloglik:2.09667	train-prerec_auc:0.93346	validation-poisson-nloglik:2.13888	validation-prerec_auc:0.89715
[2024-09-02 16:21:19] PRINT [12]	train-poisson-nloglik:2.08057	train-prerec_auc:0.93463	validation-poisson-nloglik:2.13166	validation-prerec_auc:0.89704
[2024-09-02 16:21:19] PRINT [13]	train-poisson-nloglik:2.06616	train-prerec_auc:0.93444	validation-poisson-nloglik:2.12366	validation-prerec_auc:0.89695
[2024-09-02 16:21:19] PRINT [14]	train-poisson-nloglik:2.05408	train-prerec_auc:0.93274	validation-poisson-nloglik:2.11660	validation-prerec_auc:0.90421
[2024-09-02 16:21:19] PRINT [15]	train-poisson-nloglik:2.04162	train-prerec_auc:0.93210	validation-poisson-nloglik:2.11114	validation-prerec_auc:0.90382
[2024-09-02 16:21:19] PRINT [16]	train-poisson-nloglik:2.02980	train-prerec_auc:0.93261	validation-poisson-nloglik:2.10291	validation-prerec_auc:0.90455
[2024-09-02 16:21:19] PRINT [17]	train-poisson-nloglik:2.02013	train-prerec_auc:0.94000	validation-poisson-nloglik:2.09838	validation-prerec_auc:0.89587
[2024-09-02 16:21:19] PRINT [18]	train-poisson-nloglik:2.01118	train-prerec_auc:0.94041	validation-poisson-nloglik:2.09783	validation-prerec_auc:0.89546
