[2024-09-02 16:20:48] PRINT [0]	train-rmse:0.69799	train-prerec_auc:0.99388	validation-rmse:0.71795	validation-prerec_auc:0.83347
[2024-09-02 16:20:48] PRINT [1]	train-rmse:0.63351	train-prerec_auc:0.99795	validation-rmse:0.69312	validation-prerec_auc:0.84453
[2024-09-02 16:20:49] PRINT [2]	train-rmse:0.57571	train-prerec_auc:0.99830	validation-rmse:0.67109	validation-prerec_auc:0.84177
[2024-09-02 16:20:49] PRINT [3]	train-rmse:0.52364	train-prerec_auc:0.99874	validation-rmse:0.65455	validation-prerec_auc:0.84906
[2024-09-02 16:20:49] PRINT [4]	train-rmse:0.47618	train-prerec_auc:0.99902	validation-rmse:0.64058	validation-prerec_auc:0.85913
[2024-09-02 16:20:49] PRINT [5]	train-rmse:0.43327	train-prerec_auc:0.99935	validation-rmse:0.62891	validation-prerec_auc:0.86358
[2024-09-02 16:20:49] PRINT [6]	train-rmse:0.39490	train-prerec_auc:0.99934	validation-rmse:0.62033	validation-prerec_auc:0.86251
[2024-09-02 16:20:49] PRINT [7]	train-rmse:0.35989	train-prerec_auc:0.99939	validation-rmse:0.60950	validation-prerec_auc:0.87156
[2024-09-02 16:20:49] PRINT [8]	train-rmse:0.32824	train-prerec_auc:0.99946	validation-rmse:0.60445	validation-prerec_auc:0.87238
[2024-09-02 16:20:49] PRINT [9]	train-rmse:0.30008	train-prerec_auc:0.99951	validation-rmse:0.60056	validation-prerec_auc:0.88242
[2024-09-02 16:20:49] PRINT [10]	train-rmse:0.27443	train-prerec_auc:0.99952	validation-rmse:0.59597	validation-prerec_auc:0.89159
[2024-09-02 16:20:49] PRINT [11]	train-rmse:0.25129	train-prerec_auc:0.99955	validation-rmse:0.59263	validation-prerec_auc:0.89383
[2024-09-02 16:20:50] PRINT [12]	train-rmse:0.23057	train-prerec_auc:0.99961	validation-rmse:0.58967	validation-prerec_auc:0.89578
[2024-09-02 16:20:50] PRINT [13]	train-rmse:0.21205	train-prerec_auc:0.99962	validation-rmse:0.59007	validation-prerec_auc:0.89985
[2024-09-02 16:20:50] PRINT [14]	train-rmse:0.19539	train-prerec_auc:0.99965	validation-rmse:0.58817	validation-prerec_auc:0.90195
[2024-09-02 16:20:50] PRINT [15]	train-rmse:0.18057	train-prerec_auc:0.99966	validation-rmse:0.58732	validation-prerec_auc:0.90422
[2024-09-02 16:20:50] PRINT [16]	train-rmse:0.16711	train-prerec_auc:0.99967	validation-rmse:0.58780	validation-prerec_auc:0.90306
[2024-09-02 16:20:50] PRINT [17]	train-rmse:0.15503	train-prerec_auc:0.99969	validation-rmse:0.58770	validation-prerec_auc:0.90391
[2024-09-02 16:20:50] PRINT [18]	train-rmse:0.14409	train-prerec_auc:0.99970	validation-rmse:0.58811	validation-prerec_auc:0.90197
[2024-09-02 16:20:50] PRINT [19]	train-rmse:0.13488	train-prerec_auc:0.99970	validation-rmse:0.58894	validation-prerec_auc:0.90330
[2024-09-02 16:20:50] PRINT [20]	train-rmse:0.12686	train-prerec_auc:0.99969	validation-rmse:0.58909	validation-prerec_auc:0.90245
[2024-09-02 16:20:50] PRINT [21]	train-rmse:0.12001	train-prerec_auc:0.99968	validation-rmse:0.58932	validation-prerec_auc:0.90255
[2024-09-02 16:20:50] PRINT [22]	train-rmse:0.11398	train-prerec_auc:0.99968	validation-rmse:0.58947	validation-prerec_auc:0.90297
[2024-09-02 16:20:50] PRINT [23]	train-rmse:0.10883	train-prerec_auc:0.99969	validation-rmse:0.58895	validation-prerec_auc:0.90315
[2024-09-02 16:20:50] PRINT [24]	train-rmse:0.10451	train-prerec_auc:0.99971	validation-rmse:0.58914	validation-prerec_auc:0.90344
[2024-09-02 16:20:50] PRINT [25]	train-rmse:0.10133	train-prerec_auc:0.99968	validation-rmse:0.58910	validation-prerec_auc:0.90396
[2024-09-02 16:20:50] PRINT [26]	train-rmse:0.09863	train-prerec_auc:0.99967	validation-rmse:0.58897	validation-prerec_auc:0.90410
[2024-09-02 16:20:50] PRINT [27]	train-rmse:0.09694	train-prerec_auc:0.99966	validation-rmse:0.58846	validation-prerec_auc:0.90443
[2024-09-02 16:20:50] PRINT [28]	train-rmse:0.09397	train-prerec_auc:0.99966	validation-rmse:0.58815	validation-prerec_auc:0.90488
[2024-09-02 16:20:50] PRINT [29]	train-rmse:0.09295	train-prerec_auc:0.99965	validation-rmse:0.58808	validation-prerec_auc:0.90478
[2024-09-02 16:20:50] PRINT [30]	train-rmse:0.09006	train-prerec_auc:0.99966	validation-rmse:0.58782	validation-prerec_auc:0.90481
[2024-09-02 16:20:50] PRINT [31]	train-rmse:0.08897	train-prerec_auc:0.99966	validation-rmse:0.58739	validation-prerec_auc:0.90520
[2024-09-02 16:20:50] PRINT [32]	train-rmse:0.08738	train-prerec_auc:0.99965	validation-rmse:0.58717	validation-prerec_auc:0.90551
