weight,total_gain,total_cover,gain,cover,feature
5.0,299641.59375,103.52154541015625,59928.3203125,20.704309463500977,Gender
39.0,11114045.0,44203.3203125,284975.5,1133.41845703125,FirstVisitAge
5.0,165643.875,144.34381103515625,33128.7734375,28.868762969970703,Hematocrit_Avg_acute
7.0,581145.0,5284.26953125,83020.7109375,754.8956298828125,Hematocrit_Max_acute
6.0,3962869.75,394.0304260253906,660478.3125,65.67173767089844,Hematocrit_Min_acute
12.0,4130793.25,899.6494140625,344232.78125,74.97078704833984,Hematocrit_Avg_chronic
13.0,5155233.0,1026.868896484375,396556.375,78.98991394042969,Hematocrit_Max_chronic
3.0,185804.4375,255.79815673828125,61934.8125,85.26605224609375,Hematocrit_Min_chronic
14.0,3488047.25,680.246337890625,249146.234375,48.58902359008789,LymphocytesPercentage_Avg_acute
8.0,949903.875,8999.130859375,118737.984375,1124.891357421875,LymphocytesPercentage_Max_acute
11.0,1046248.375,5022.92529296875,95113.4921875,456.62957763671875,LymphocytesPercentage_Min_acute
16.0,2387166.5,9278.3564453125,149197.90625,579.8972778320312,LymphocytesPercentage_Avg_chronic
19.0,4159598.25,11839.21484375,218926.21875,623.1165771484375,LymphocytesPercentage_Max_chronic
7.0,4624593.5,10956.3115234375,660656.1875,1565.1873779296875,LymphocytesPercentage_Min_chronic
5.0,385038.5,420.12872314453125,77007.703125,84.02574157714844,NeutrophilsPercentage_Avg_acute
2.0,783882.3125,190.83627319335938,391941.15625,95.41813659667969,NeutrophilsPercentage_Max_acute
4.0,9223822.0,4265.7392578125,2305955.5,1066.434814453125,NeutrophilsPercentage_Min_acute
13.0,3865843.5,13864.216796875,297372.5625,1066.478271484375,NeutrophilsPercentage_Avg_chronic
8.0,9019408.0,6156.921875,1127426.0,769.615234375,NeutrophilsPercentage_Max_chronic
13.0,9406097.0,10693.71484375,723545.9375,822.5934448242188,NeutrophilsPercentage_Min_chronic
6.0,1668514.0,15507.06640625,278085.65625,2584.510986328125,MonocytesPercentage_Avg_acute
2.0,205840.5625,4452.47265625,102920.28125,2226.236328125,MonocytesPercentage_Max_acute
5.0,1887628.875,1272.184326171875,377525.78125,254.43685913085938,MonocytesPercentage_Min_acute
9.0,4640402.5,11828.685546875,515600.28125,1314.29833984375,MonocytesPercentage_Avg_chronic
5.0,703508.9375,5030.76416015625,140701.78125,1006.15283203125,MonocytesPercentage_Max_chronic
11.0,12170363.0,18241.109375,1106396.625,1658.28271484375,MonocytesPercentage_Min_chronic
2.0,2353576.0,374.1298522949219,1176788.0,187.06492614746094,MeanCorpuscularHemoglobinConcentration_Avg_acute
4.0,2529254.0,605.8829956054688,632313.5,151.4707489013672,MeanCorpuscularHemoglobinConcentration_Max_acute
2.0,21525596.0,3704.778076171875,10762798.0,1852.3890380859375,MeanCorpuscularHemoglobinConcentration_Min_acute
16.0,3458124.75,15302.521484375,216132.796875,956.4075927734375,MeanCorpuscularHemoglobinConcentration_Avg_chronic
11.0,10988486.0,12681.1396484375,998953.25,1152.8309326171875,MeanCorpuscularHemoglobinConcentration_Max_chronic
12.0,31362000.0,20671.7421875,2613500.0,1722.6451416015625,MeanCorpuscularHemoglobinConcentration_Min_chronic
10.0,2432944.0,11383.09375,243294.40625,1138.309326171875,PlateletCount_Avg_acute
4.0,622529.0,4896.37109375,155632.25,1224.0927734375,PlateletCount_Max_acute
7.0,20180678.0,5860.74267578125,2882954.0,837.2489624023438,PlateletCount_Min_acute
7.0,6036466.0,1940.7259521484375,862352.3125,277.2465515136719,PlateletCount_Avg_chronic
11.0,10228808.0,8327.619140625,929891.625,757.0562744140625,PlateletCount_Max_chronic
13.0,5722544.5,19046.109375,440195.71875,1465.0853271484375,PlateletCount_Min_chronic
3.0,254921.171875,4947.5400390625,84973.7265625,1649.1800537109375,WhiteBloodCellCount_Avg_acute
5.0,2305736.75,20519.736328125,461147.34375,4103.947265625,WhiteBloodCellCount_Max_acute
1.0,1667196.375,82.46992492675781,1667196.375,82.46992492675781,WhiteBloodCellCount_Min_acute
4.0,2379311.5,1124.9996337890625,594827.875,281.2499084472656,WhiteBloodCellCount_Avg_chronic
2.0,21997.423828125,26.806190490722656,10998.7119140625,13.403095245361328,WhiteBloodCellCount_Max_chronic
