weight,total_gain,total_cover,gain,cover,feature
5.0,20806500.0,4101.40673828125,4161300.0,820.2813720703125,MeanCorpuscularHemoglobinConcentration_Min
9.0,138083072.0,45224.6875,15342564.0,5024.96533203125,MeanCorpuscularHemoglobinConcentration_Avg_acute
35.0,680604352.0,159834.765625,19445838.0,4566.70751953125,MeanCorpuscularHemoglobinConcentration_Avg_chronic
2.0,2429383.0,1898.4334716796875,1214691.5,949.2167358398438,PlateletCount_Avg_chronic
7.0,33580952.0,8516.5595703125,4797279.0,1216.6513671875,WhiteBloodCellCount_Min
29.0,770662400.0,138886.859375,26574566.0,4789.2021484375,MeanCorpuscularHemoglobin_Avg_chronic
13.0,273631680.0,66680.4453125,21048590.0,5129.26513671875,MeanCorpuscularVolume_Avg_chronic
8.0,191207696.0,40066.94140625,23900962.0,5008.36767578125,EosinophilsPercentage_Avg_acute
2.0,27982256.0,8171.15869140625,13991128.0,4085.579345703125,EosinophilsPercentage_Avg_chronic
1.0,3078649.0,820.2813110351562,3078649.0,820.2813110351562,BasophilsPercentage_Avg
3.0,35409472.0,13269.0546875,11803157.0,4423.01806640625,BasophilsPercentage_Avg_acute
25.0,499821344.0,108897.3515625,19992854.0,4355.89404296875,BasophilsPercentage_Avg_chronic
3.0,5192696.0,2847.650146484375,1730898.625,949.2167358398438,AbsoluteNeutrophilCount_Avg
13.0,23843238.0,12339.8173828125,1834095.25,949.2167358398438,AbsoluteNeutrophilCount_Max
11.0,21482878.0,10441.3837890625,1952988.875,949.2167358398438,AbsoluteNeutrophilCount_Min
2.0,11498488.0,2087.370361328125,5749244.0,1043.6851806640625,AbsoluteNeutrophilCount_Avg_chronic
11.0,221441344.0,53018.0078125,20131032.0,4819.81884765625,AbsoluteEosinophilCount_Avg_acute
4.0,16237380.0,2824.9853515625,4059345.0,706.246337890625,AbsoluteLymphocyteCount_Avg
1.0,3815984.0,706.246337890625,3815984.0,706.246337890625,AbsoluteLymphocyteCount_Max
10.0,165401728.0,42982.4765625,16540173.0,4298.24755859375,MeanPlateletVolume_Avg_acute
3.0,43700084.0,12703.544921875,14566695.0,4234.51513671875,MeanPlateletVolume_Avg_chronic
2.0,7439305.0,1412.49267578125,3719652.5,706.246337890625,PlateletDistributionWidth_Avg
1.0,3434179.0,706.246337890625,3434179.0,706.246337890625,PlateletDistributionWidth_Max
1.0,1047166.0,949.2167358398438,1047166.0,949.2167358398438,RedCellDistributionWidth_Avg
9.0,104047440.0,17461.83203125,11560827.0,1940.20361328125,CReactiveProtein_Min
63.0,2032307840.0,291797.1875,32258854.0,4631.701171875,CReactiveProtein_Avg_acute
3.0,12038668.0,2465.454833984375,4012889.25,821.8182983398438,ImmunoglobulinE_Avg
2.0,9327058.0,1643.6365966796875,4663529.0,821.8182983398438,ImmunoglobulinE_Avg_chronic
1.0,4062966.0,821.8182983398438,4062966.0,821.8182983398438,Total25HydroxyVitaminD_Avg
10.0,48719856.0,8218.1826171875,4871985.5,821.8182373046875,Total25HydroxyVitaminD_Max
1.0,3035464.0,938.6995239257812,3035464.0,938.6995239257812,ThyroglobulinAntibody_Avg
9.0,63031912.0,9171.298828125,7003546.0,1019.033203125,TotalTriiodothyronine_Avg_chronic
1.0,4086230.0,1216.6513671875,4086230.0,1216.6513671875,FreeTriiodothyronine_Avg
2.0,8694558.0,2433.302734375,4347279.0,1216.6513671875,FreeTriiodothyronine_Max
1.0,4292833.0,1216.6513671875,4292833.0,1216.6513671875,FreeTriiodothyronine_Min
3.0,15817475.0,3131.0556640625,5272491.5,1043.6851806640625,AntiScl70_Max
1.0,5300812.0,1043.6851806640625,5300812.0,1043.6851806640625,AntiScl70_Avg_chronic
6.0,23503228.0,5721.9990234375,3917204.75,953.66650390625,AntiSSA_Avg_chronic
1.0,3149500.0,938.6995239257812,3149500.0,938.6995239257812,Nucleosome_Max
2.0,6904986.0,1877.3990478515625,3452493.0,938.6995239257812,ProliferatingCellNuclearAntigen_Avg_chronic
3.0,9379499.0,2901.537109375,3126499.75,967.1790161132812,CentromereProteinB_Max
1.0,3853856.0,967.1790161132812,3853856.0,967.1790161132812,Ro52_Avg
1.0,12133475.0,4308.98291015625,12133475.0,4308.98291015625,Ragweed_Avg_chronic
