weight,total_gain,total_cover,gain,cover,feature
11.0,2247.281005859375,321.5099182128906,204.29827880859375,29.228174209594727,Gender
65.0,358810.75,21711.701171875,5520.16552734375,334.02618408203125,FirstVisitAge
2.0,5842.337890625,181.8084259033203,2921.1689453125,90.90421295166016,CIndU
61.0,250378.78125,6059.35400390625,4104.5703125,99.33367156982422,Hematocrit_Avg
43.0,323839.65625,5838.232421875,7531.15478515625,135.77284240722656,Hematocrit_Max
40.0,191145.03125,3639.50927734375,4778.6259765625,90.98773193359375,Hematocrit_Min
25.0,124171.5,2775.268310546875,4966.85986328125,111.01073455810547,Hematocrit_Avg_acute
19.0,252818.921875,11326.6845703125,13306.2587890625,596.1412963867188,Hematocrit_Avg_chronic
70.0,307214.125,7950.13232421875,4388.7734375,113.57331848144531,LymphocytesPercentage_Avg
48.0,224192.65625,7197.02001953125,4670.68017578125,149.9379119873047,LymphocytesPercentage_Max
50.0,338966.625,13217.71875,6779.33251953125,264.3543701171875,LymphocytesPercentage_Min
24.0,232205.578125,14567.8017578125,9675.232421875,606.9917602539062,LymphocytesPercentage_Avg_acute
49.0,686357.375,43756.21484375,14007.29296875,892.9839477539062,LymphocytesPercentage_Avg_chronic
43.0,319646.21875,9775.7626953125,7433.6328125,227.34332275390625,NeutrophilsPercentage_Avg
32.0,261975.90625,10086.3486328125,8186.7470703125,315.1983947753906,NeutrophilsPercentage_Max
39.0,345601.375,9812.1513671875,8861.5732421875,251.5936279296875,NeutrophilsPercentage_Min
15.0,335684.625,14800.8662109375,22378.974609375,986.7244262695312,NeutrophilsPercentage_Avg_acute
69.0,1871489.5,116777.796875,27123.037109375,1692.431884765625,NeutrophilsPercentage_Avg_chronic
56.0,406074.5,16203.4619140625,7251.33056640625,289.3475341796875,MonocytesPercentage_Avg
25.0,201112.0625,9170.6357421875,8044.482421875,366.825439453125,MonocytesPercentage_Max
63.0,551770.8125,16757.361328125,8758.2666015625,265.9898681640625,MonocytesPercentage_Min
11.0,55177.6796875,3578.830322265625,5016.15283203125,325.34820556640625,MonocytesPercentage_Avg_acute
23.0,154865.25,17452.3984375,6733.27197265625,758.7999267578125,MonocytesPercentage_Avg_chronic
54.0,431005.15625,22003.56640625,7981.5771484375,407.47344970703125,MeanCorpuscularHemoglobinConcentration_Avg
36.0,208953.109375,10128.228515625,5804.2529296875,281.3396911621094,MeanCorpuscularHemoglobinConcentration_Max
41.0,565916.0,35376.62890625,13802.8291015625,862.8446044921875,MeanCorpuscularHemoglobinConcentration_Min
55.0,1493489.75,202960.125,27154.359375,3690.18408203125,MeanCorpuscularHemoglobinConcentration_Avg_acute
100.0,4099707.75,319932.59375,40997.078125,3199.325927734375,MeanCorpuscularHemoglobinConcentration_Avg_chronic
46.0,150943.90625,6396.4169921875,3281.38916015625,139.0525360107422,PlateletCount_Avg
23.0,157409.4375,10083.8583984375,6843.888671875,438.4286193847656,PlateletCount_Max
26.0,104536.8203125,5860.96337890625,4020.64697265625,225.42166137695312,PlateletCount_Min
38.0,1154773.25,76726.890625,30388.76953125,2019.128662109375,PlateletCount_Avg_acute
58.0,755543.6875,75238.2578125,13026.615234375,1297.2113037109375,PlateletCount_Avg_chronic
42.0,340439.0625,14234.134765625,8105.69189453125,338.907958984375,WhiteBloodCellCount_Avg
28.0,271632.96875,27491.08203125,9701.177734375,981.8243408203125,WhiteBloodCellCount_Max
31.0,233125.34375,14494.3583984375,7520.17236328125,467.5599365234375,WhiteBloodCellCount_Min
2.0,28290.728515625,3107.7275390625,14145.3642578125,1553.86376953125,WhiteBloodCellCount_Avg_acute
7.0,25773.15625,843.8235473632812,3681.87939453125,120.54621887207031,WhiteBloodCellCount_Avg_chronic
41.0,482269.875,18033.484375,11762.6796875,439.8410949707031,MeanCorpuscularHemoglobin_Avg
41.0,376440.4375,14433.82421875,9181.4736328125,352.04449462890625,MeanCorpuscularHemoglobin_Max
32.0,319288.90625,15392.8759765625,9977.7783203125,481.0273742675781,MeanCorpuscularHemoglobin_Min
16.0,333463.5,23415.3203125,20841.46875,1463.45751953125,MeanCorpuscularHemoglobin_Avg_acute
91.0,6631895.0,365160.71875,72877.96875,4012.755126953125,MeanCorpuscularHemoglobin_Avg_chronic
66.0,736793.75,30753.3515625,11163.5419921875,465.9598693847656,MeanCorpuscularVolume_Avg
45.0,447424.96875,16776.20703125,9942.77734375,372.8045959472656,MeanCorpuscularVolume_Max
37.0,334630.25,21805.267578125,9044.060546875,589.33154296875,MeanCorpuscularVolume_Min
28.0,333104.4375,27636.048828125,11896.5869140625,987.0017700195312,MeanCorpuscularVolume_Avg_acute
76.0,3027191.25,190966.34375,39831.46484375,2512.715087890625,MeanCorpuscularVolume_Avg_chronic
10.0,88156.1875,11731.921875,8815.619140625,1173.192138671875,RedBloodCellCount_Avg
8.0,57995.2578125,5827.98388671875,7249.4072265625,728.4979858398438,RedBloodCellCount_Max
9.0,82323.578125,12872.283203125,9147.064453125,1430.253662109375,RedBloodCellCount_Min
9.0,75606.671875,8055.34375,8400.7412109375,895.0382080078125,RedBloodCellCount_Avg_acute
4.0,22816.83984375,791.3894653320312,5704.2099609375,197.8473663330078,RedBloodCellCount_Avg_chronic
18.0,112959.125,4003.354736328125,6275.5068359375,222.40859985351562,Hemoglobin_Avg
18.0,172584.625,3101.4140625,9588.03515625,172.30078125,Hemoglobin_Max
14.0,134692.015625,6787.67333984375,9620.8583984375,484.83380126953125,Hemoglobin_Min
1.0,9232.705078125,74.37039947509766,9232.705078125,74.37039947509766,Hemoglobin_Avg_acute
