weight,total_gain,total_cover,gain,cover,feature
6.0,6.09367036819458,38.94060134887695,1.0156117677688599,6.490100383758545,Gender
98.0,341.2691345214844,2709.21044921875,3.4823381900787354,27.645004272460938,FirstVisitAge
35.0,76.81238555908203,1261.0960693359375,2.1946396827697754,36.031314849853516,Hematocrit_Max_acute
38.0,105.2864761352539,338.42828369140625,2.7706966400146484,8.906007766723633,Hematocrit_Min_acute
78.0,196.5769805908203,4603.64453125,2.5202176570892334,59.02108383178711,Hematocrit_Avg_acute
73.0,273.352783203125,698.0198974609375,3.744558572769165,9.56191635131836,LymphocytesPercentage_Max_acute
100.0,306.5437316894531,3344.755615234375,3.0654373168945312,33.44755554199219,LymphocytesPercentage_Min_acute
66.0,181.1341552734375,865.9353637695312,2.7444570064544678,13.120232582092285,LymphocytesPercentage_Avg_acute
87.0,308.3485107421875,1898.5977783203125,3.5442357063293457,21.82296371459961,NeutrophilsPercentage_Max_acute
79.0,237.98046875,1445.1737060546875,3.012410879135132,18.293338775634766,NeutrophilsPercentage_Min_acute
70.0,1304.4830322265625,15687.361328125,18.63547134399414,224.10516357421875,NeutrophilsPercentage_Avg_acute
38.0,157.27915954589844,532.5325317382812,4.138925075531006,14.01401424407959,MonocytesPercentage_Max_acute
31.0,91.12981414794922,1612.8541259765625,2.939671516418457,52.02755355834961,MonocytesPercentage_Min_acute
37.0,121.67203521728516,344.92205810546875,3.288433313369751,9.32221794128418,MonocytesPercentage_Avg_acute
76.0,312.9903259277344,2920.709716796875,4.118293762207031,38.430389404296875,MeanCorpuscularHemoglobinConcentration_Max_acute
61.0,518.7977905273438,5990.09619140625,8.504881858825684,98.19829559326172,MeanCorpuscularHemoglobinConcentration_Min_acute
53.0,199.88217163085938,1544.142578125,3.771361827850342,29.134765625,MeanCorpuscularHemoglobinConcentration_Avg_acute
78.0,268.609375,840.5401000976562,3.4437098503112793,10.776155471801758,PlateletCount_Max_acute
60.0,151.93077087402344,2393.83740234375,2.532179594039917,39.89728927612305,PlateletCount_Min_acute
73.0,271.45208740234375,845.5384521484375,3.7185218334198,11.582718849182129,PlateletCount_Avg_acute
81.0,606.362548828125,7928.66845703125,7.485957622528076,97.88479614257812,WhiteBloodCellCount_Max_acute
64.0,274.5610046386719,2729.976318359375,4.290015697479248,42.655879974365234,WhiteBloodCellCount_Min_acute
27.0,55.19444274902344,471.67437744140625,2.044238567352295,17.46942138671875,WhiteBloodCellCount_Avg_acute
40.0,82.67162322998047,359.0364685058594,2.0667905807495117,8.975912094116211,MeanCorpuscularHemoglobin_Max_acute
40.0,119.24837493896484,559.3898315429688,2.9812092781066895,13.984745979309082,MeanCorpuscularHemoglobin_Min_acute
47.0,112.03084564208984,891.1041870117188,2.3836350440979004,18.95966339111328,MeanCorpuscularHemoglobin_Avg_acute
74.0,318.9259033203125,5343.5791015625,4.309809684753418,72.21052551269531,MeanCorpuscularVolume_Max_acute
89.0,382.5251770019531,2589.6884765625,4.298035621643066,29.097623825073242,MeanCorpuscularVolume_Min_acute
53.0,173.69326782226562,1960.9339599609375,3.277231454849243,36.99875259399414,MeanCorpuscularVolume_Avg_acute
19.0,61.31215286254883,4265.73046875,3.2269554138183594,224.5121307373047,RedBloodCellCount_Max_acute
29.0,197.8451385498047,2517.753662109375,6.822246074676514,86.819091796875,RedBloodCellCount_Min_acute
27.0,815.2570190429688,3058.026611328125,30.194704055786133,113.26024627685547,RedBloodCellCount_Avg_acute
58.0,139.22845458984375,1119.4854736328125,2.4004905223846436,19.30147361755371,Hemoglobin_Max_acute
36.0,56.84795379638672,685.8746948242188,1.579109787940979,19.052074432373047,Hemoglobin_Min_acute
39.0,198.12123107910156,2150.252197265625,5.080031394958496,55.13467025756836,Hemoglobin_Avg_acute
95.0,1048.3529052734375,2035.162841796875,11.035293579101562,21.422767639160156,EosinophilsPercentage_Max_acute
51.0,2390.606201171875,5751.88818359375,46.874629974365234,112.78211975097656,EosinophilsPercentage_Min_acute
58.0,501.3045959472656,1508.3406982421875,8.643182754516602,26.005874633789062,EosinophilsPercentage_Avg_acute
25.0,97.17279815673828,2520.4794921875,3.8869118690490723,100.81918334960938,BasophilsPercentage_Max_acute
17.0,33.51576614379883,192.21896362304688,1.9715156555175781,11.306998252868652,BasophilsPercentage_Min_acute
37.0,62.843685150146484,1771.5654296875,1.6984779834747314,47.88014602661133,BasophilsPercentage_Avg_acute
90.0,449.31536865234375,3734.544921875,4.9923930168151855,41.49494171142578,AbsoluteNeutrophilCount_Max_acute
59.0,230.57034301757812,1599.26171875,3.9079718589782715,27.106130599975586,AbsoluteNeutrophilCount_Min_acute
55.0,1778.7222900390625,9032.9345703125,32.34040451049805,164.23516845703125,AbsoluteNeutrophilCount_Avg_acute
61.0,1070.7174072265625,5955.6357421875,17.552743911743164,97.63336944580078,AbsoluteMonocyteCount_Max_acute
43.0,124.44593048095703,6198.8876953125,2.8940913677215576,144.16017150878906,AbsoluteMonocyteCount_Min_acute
65.0,913.5990600585938,7970.81298828125,14.055370330810547,122.62789154052734,AbsoluteMonocyteCount_Avg_acute
37.0,91.29313659667969,1443.6175537109375,2.4673819541931152,39.01668930053711,AbsoluteEosinophilCount_Max_acute
35.0,98.8896255493164,778.9754028320312,2.8254177570343018,22.256439208984375,AbsoluteEosinophilCount_Min_acute
43.0,198.07643127441406,604.30517578125,4.606428623199463,14.053608894348145,AbsoluteEosinophilCount_Avg_acute
6.0,29.68958854675293,354.82586669921875,4.9482645988464355,59.13764572143555,AbsoluteBasophilCount_Max_acute
3.0,14.576523780822754,355.8480224609375,4.858841419219971,118.61600494384766,AbsoluteBasophilCount_Min_acute
12.0,84.79977416992188,3041.428955078125,7.066648006439209,253.45240783691406,AbsoluteBasophilCount_Avg_acute
