weight,total_gain,total_cover,gain,cover,feature
60.0,35845.171875,2985.085693359375,597.4195556640625,49.751426696777344,Gender
296.0,240401.140625,137105.6875,812.166015625,463.19488525390625,FirstVisitAge
15.0,20041.322265625,16826.916015625,1336.088134765625,1121.79443359375,CIndU
195.0,253504.859375,38638.16015625,1300.02490234375,198.1444091796875,Hematocrit_Avg
99.0,126432.625,25374.38671875,1277.09716796875,256.30694580078125,Hematocrit_Max
95.0,116458.2421875,43411.30859375,1225.876220703125,456.9611511230469,Hematocrit_Min
227.0,199519.40625,52621.8984375,878.9401245117188,231.8145294189453,LymphocytesPercentage_Avg
176.0,197778.40625,69473.2265625,1123.740966796875,394.7342529296875,LymphocytesPercentage_Max
163.0,127241.3125,70165.328125,780.6215209960938,430.4621276855469,LymphocytesPercentage_Min
141.0,134303.71875,75504.8828125,952.5086669921875,535.49560546875,NeutrophilsPercentage_Avg
93.0,148040.015625,56822.80078125,1591.828125,610.9978637695312,NeutrophilsPercentage_Max
95.0,184283.5,75046.015625,1939.8262939453125,789.9580688476562,NeutrophilsPercentage_Min
142.0,170532.65625,44481.234375,1200.9342041015625,313.2481384277344,MonocytesPercentage_Avg
113.0,98305.6875,81210.4296875,869.9618530273438,718.6763916015625,MonocytesPercentage_Max
106.0,103848.3203125,45557.671875,979.7011108398438,429.78936767578125,MonocytesPercentage_Min
182.0,214475.875,43623.171875,1178.4388427734375,239.68775939941406,MeanCorpuscularHemoglobinConcentration_Avg
94.0,68469.953125,44337.1171875,728.4037475585938,471.67144775390625,MeanCorpuscularHemoglobinConcentration_Max
86.0,160320.65625,41278.33203125,1864.1937255859375,479.9805908203125,MeanCorpuscularHemoglobinConcentration_Min
172.0,147484.21875,51372.97265625,857.4663696289062,298.6800842285156,PlateletCount_Avg
140.0,293089.46875,87962.3359375,2093.49609375,628.3024291992188,PlateletCount_Max
131.0,128219.4453125,70332.3828125,978.7744140625,536.888427734375,PlateletCount_Min
105.0,168684.0,35756.69921875,1606.5142822265625,340.53997802734375,WhiteBloodCellCount_Avg
77.0,154265.859375,58243.92578125,2003.4527587890625,756.4146118164062,WhiteBloodCellCount_Max
46.0,88297.1875,22110.34375,1919.5040283203125,480.6596374511719,WhiteBloodCellCount_Min
146.0,450071.46875,63755.0703125,3082.681396484375,436.6785583496094,MeanCorpuscularHemoglobin_Avg
106.0,184233.421875,40416.421875,1738.0511474609375,381.2869873046875,MeanCorpuscularHemoglobin_Max
83.0,131137.28125,48370.39453125,1579.96728515625,582.7758178710938,MeanCorpuscularHemoglobin_Min
134.0,158076.140625,47893.1796875,1179.6727294921875,357.4117736816406,MeanCorpuscularVolume_Avg
101.0,111963.515625,92090.2265625,1108.5496826171875,911.784423828125,MeanCorpuscularVolume_Max
79.0,106435.265625,61265.14453125,1347.2818603515625,775.5081787109375,MeanCorpuscularVolume_Min
57.0,69160.703125,51590.60546875,1213.345703125,905.0983276367188,RedBloodCellCount_Avg
55.0,43337.69140625,84782.53125,787.9580078125,1541.5006103515625,RedBloodCellCount_Max
44.0,23449.16015625,28088.171875,532.9354858398438,638.3675537109375,RedBloodCellCount_Min
85.0,146419.546875,50630.0546875,1722.5828857421875,595.647705078125,Hemoglobin_Avg
41.0,92370.8984375,25926.5,2252.94873046875,632.3536376953125,Hemoglobin_Max
39.0,43619.09375,10653.4169921875,1118.4383544921875,273.16455078125,Hemoglobin_Min
192.0,798204.375,165536.828125,4157.314453125,862.1709594726562,EosinophilsPercentage_Avg
89.0,80343.6171875,53470.421875,902.7372436523438,600.791259765625,EosinophilsPercentage_Max
86.0,201658.6875,41284.3046875,2344.868408203125,480.050048828125,EosinophilsPercentage_Min
115.0,168987.1875,59290.96875,1469.453857421875,515.5736694335938,BasophilsPercentage_Avg
52.0,108247.1171875,9227.212890625,2081.67529296875,177.44639587402344,BasophilsPercentage_Max
57.0,64542.0390625,50990.171875,1132.3165283203125,894.5643920898438,BasophilsPercentage_Min
59.0,111915.2578125,18954.31640625,1896.8687744140625,321.2596130371094,AbsoluteNeutrophilCount_Avg
46.0,89606.1875,52868.984375,1947.9605712890625,1149.3258056640625,AbsoluteNeutrophilCount_Max
33.0,43956.734375,13412.2822265625,1332.022216796875,406.43280029296875,AbsoluteNeutrophilCount_Min
55.0,126325.984375,26792.16015625,2296.836181640625,487.13018798828125,AbsoluteMonocyteCount_Avg
24.0,21924.15625,9691.017578125,913.5065307617188,403.7923889160156,AbsoluteMonocyteCount_Max
29.0,32789.65234375,13167.322265625,1130.6776123046875,454.04559326171875,AbsoluteMonocyteCount_Min
76.0,77956.21875,43917.51953125,1025.73974609375,577.8621215820312,AbsoluteEosinophilCount_Avg
41.0,27128.7421875,23083.380859375,661.6766357421875,563.00927734375,AbsoluteEosinophilCount_Max
49.0,46997.46875,37960.80859375,959.1320190429688,774.7103881835938,AbsoluteEosinophilCount_Min
15.0,21794.564453125,3279.485107421875,1452.970947265625,218.63233947753906,AbsoluteBasophilCount_Avg
7.0,10036.5,2552.141357421875,1433.7857666015625,364.59161376953125,AbsoluteBasophilCount_Max
4.0,15728.123046875,1573.056884765625,3932.03076171875,393.26422119140625,AbsoluteBasophilCount_Min
36.0,95875.28125,26537.357421875,2663.2021484375,737.1488037109375,AbsoluteLymphocyteCount_Avg
32.0,27856.984375,27130.845703125,870.53076171875,847.8389282226562,AbsoluteLymphocyteCount_Max
47.0,51256.58203125,83310.734375,1090.5655517578125,1772.56884765625,AbsoluteLymphocyteCount_Min
177.0,275336.21875,64219.61328125,1555.5718994140625,362.8226623535156,MeanPlateletVolume_Avg
88.0,263507.78125,39663.078125,2994.406494140625,450.716796875,MeanPlateletVolume_Max
