weight,total_gain,total_cover,gain,cover,feature
6.0,3.728515625,2638.430419921875,0.6214192509651184,439.7384033203125,Hematocrit_Max_acute
1.0,0.332427978515625,142.32188415527344,0.332427978515625,142.32188415527344,Hematocrit_Min_acute
4.0,7.7774658203125,6391.8837890625,1.944366455078125,1597.970947265625,LymphocytesPercentage_Max_acute
11.0,225.43359375,36934.39453125,20.49396324157715,3357.672119140625,LymphocytesPercentage_Min_acute
25.0,660.9921875,76677.828125,26.439687728881836,3067.113037109375,NeutrophilsPercentage_Max_acute
9.0,71.63446044921875,18866.45703125,7.959384441375732,2096.27294921875,NeutrophilsPercentage_Min_acute
8.0,104.037109375,22401.51171875,13.004638671875,2800.18896484375,NeutrophilsPercentage_Avg_acute
4.0,4.836181640625,1964.2313232421875,1.20904541015625,491.0578308105469,MonocytesPercentage_Max_acute
10.0,10.70751953125,3908.848388671875,1.0707519054412842,390.88482666015625,MonocytesPercentage_Min_acute
6.0,6.4979248046875,2990.04931640625,1.0829874277114868,498.341552734375,MonocytesPercentage_Avg_acute
31.0,37.4881591796875,25812.62109375,1.2092955112457275,832.6652221679688,MeanCorpuscularHemoglobinConcentration_Max_acute
6.0,30.510498046875,12317.4443359375,5.0850830078125,2052.907470703125,MeanCorpuscularHemoglobinConcentration_Min_acute
35.0,54.480712890625,28587.544921875,1.5565917491912842,816.7869873046875,MeanCorpuscularHemoglobinConcentration_Avg_acute
21.0,40.167877197265625,48519.36328125,1.912756085395813,2310.44580078125,PlateletCount_Max_acute
4.0,8.314453125,9161.7412109375,2.07861328125,2290.435302734375,PlateletCount_Min_acute
4.0,12.6484375,10577.6904296875,3.162109375,2644.422607421875,PlateletCount_Avg_acute
4.0,6.896484375,10981.53515625,1.72412109375,2745.3837890625,MeanCorpuscularVolume_Max_acute
6.0,4.33648681640625,6727.69921875,0.722747802734375,1121.283203125,RedBloodCellCount_Max_acute
6.0,8.980712890625,11045.7822265625,1.4967855215072632,1840.9637451171875,RedBloodCellCount_Min_acute
3.0,3.44140625,2490.742431640625,1.1471353769302368,830.2474975585938,RedBloodCellCount_Avg_acute
8.0,202.4052734375,19070.353515625,25.3006591796875,2383.794189453125,EosinophilsPercentage_Max_acute
13.0,75.63677978515625,19055.724609375,5.818213939666748,1465.824951171875,EosinophilsPercentage_Min_acute
42.0,1376.9130859375,117937.9765625,32.78364562988281,2808.047119140625,EosinophilsPercentage_Avg_acute
5.0,4.408203125,13655.8173828125,0.881640613079071,2731.16357421875,BasophilsPercentage_Max_acute
3.0,1.19140625,7279.2333984375,0.3971354067325592,2426.4111328125,BasophilsPercentage_Avg_acute
1.0,1.5029296875,1420.9248046875,1.5029296875,1420.9248046875,AbsoluteNeutrophilCount_Max_acute
4.0,1.947265625,13152.328125,0.48681640625,3288.08203125,AbsoluteNeutrophilCount_Min_acute
3.0,1.880615234375,974.0242919921875,0.6268717646598816,324.6747741699219,AbsoluteMonocyteCount_Max_acute
2.0,0.980712890625,662.23583984375,0.4903564453125,331.117919921875,AbsoluteMonocyteCount_Min_acute
19.0,21.3944091796875,7195.912109375,1.1260215044021606,378.7322082519531,AbsoluteMonocyteCount_Avg_acute
4.0,8.43017578125,3695.411376953125,2.1075439453125,923.8528442382812,AbsoluteEosinophilCount_Max_acute
1.0,0.593994140625,277.6003723144531,0.593994140625,277.6003723144531,AbsoluteEosinophilCount_Min_acute
18.0,97.7015380859375,25023.888671875,5.427863121032715,1390.216064453125,AbsoluteEosinophilCount_Avg_acute
2.0,1.1741943359375,217.89398193359375,0.58709716796875,108.94699096679688,Plateletcrit_Max_acute
1.0,1.625,2394.1015625,1.625,2394.1015625,Plateletcrit_Avg_acute
1.0,0.1771240234375,260.421875,0.1771240234375,260.421875,RedCellDistributionWidth_Max_acute
50.0,304.1837158203125,98931.3046875,6.083674430847168,1978.6260986328125,CReactiveProtein_Max_acute
48.0,380.1932373046875,119601.1015625,7.920692443847656,2491.689697265625,CReactiveProtein_Min_acute
74.0,760.6375732421875,170476.234375,10.278885841369629,2303.73291015625,CReactiveProtein_Avg_acute
