weight,total_gain,total_cover,gain,cover,feature
455.0,19929540.0,22175.017578125,43801.1875,48.73630142211914,Gender
1346.0,150546624.0,202944.734375,111847.4140625,150.77618408203125,FirstVisitAge
27.0,3192107.25,1924.192138671875,118226.1953125,71.26637268066406,CIndU
705.0,38555096.0,66116.734375,54688.078125,93.78260040283203,Hematocrit_Max_acute
534.0,49344236.0,46477.1875,92404.9375,87.03593444824219,Hematocrit_Min_acute
378.0,25303594.0,44023.625,66940.7265625,116.46461486816406,Hematocrit_Avg_acute
391.0,29081186.0,79981.25,74376.4375,204.55563354492188,Hematocrit_Max_preclinical
295.0,17235766.0,66373.0,58426.32421875,224.99322509765625,Hematocrit_Min_preclinical
177.0,14759724.0,29436.359375,83388.2734375,166.30711364746094,Hematocrit_Avg_preclinical
1101.0,57434668.0,142936.25,52165.91015625,129.8240203857422,LymphocytesPercentage_Max_acute
825.0,43871852.0,139847.1875,53178.00390625,169.51174926757812,LymphocytesPercentage_Min_acute
470.0,10695526.0,72916.625,22756.4375,155.14175415039062,LymphocytesPercentage_Avg_acute
625.0,155901488.0,127025.0,249442.375,203.24000549316406,LymphocytesPercentage_Max_preclinical
618.0,182323344.0,144823.96875,295021.59375,234.34298706054688,LymphocytesPercentage_Min_preclinical
309.0,96566544.0,78995.9921875,312513.09375,255.6504669189453,LymphocytesPercentage_Avg_preclinical
612.0,20379796.0,117121.015625,33300.3203125,191.37420654296875,NeutrophilsPercentage_Max_acute
487.0,31259906.0,85734.3984375,64188.71875,176.04598999023438,NeutrophilsPercentage_Min_acute
349.0,21227540.0,61640.25390625,60823.8984375,176.61964416503906,NeutrophilsPercentage_Avg_acute
319.0,65759604.0,100305.3984375,206142.953125,314.4369812011719,NeutrophilsPercentage_Max_preclinical
333.0,38309556.0,121903.2265625,115043.7109375,366.07574462890625,NeutrophilsPercentage_Min_preclinical
286.0,84773168.0,114468.3828125,296409.6875,400.2391052246094,NeutrophilsPercentage_Avg_preclinical
751.0,32893626.0,119572.8828125,43799.76953125,159.2182159423828,MonocytesPercentage_Max_acute
500.0,24878360.0,92540.734375,49756.71875,185.0814666748047,MonocytesPercentage_Min_acute
368.0,35441432.0,74283.3203125,96308.2421875,201.85684204101562,MonocytesPercentage_Avg_acute
339.0,20823088.0,74750.0703125,61425.0390625,220.50167846679688,MonocytesPercentage_Max_preclinical
292.0,30540282.0,60848.64453125,104590.0078125,208.38577270507812,MonocytesPercentage_Min_preclinical
214.0,38069156.0,33736.609375,177893.25,157.647705078125,MonocytesPercentage_Avg_preclinical
556.0,47757020.0,110412.765625,85893.921875,198.5841064453125,MeanCorpuscularHemoglobinConcentration_Max_acute
524.0,53197568.0,141800.375,101522.078125,270.61138916015625,MeanCorpuscularHemoglobinConcentration_Min_acute
318.0,19362370.0,87099.859375,60887.95703125,273.89892578125,MeanCorpuscularHemoglobinConcentration_Avg_acute
259.0,108186712.0,67280.703125,417709.3125,259.77105712890625,MeanCorpuscularHemoglobinConcentration_Max_preclinical
235.0,87934440.0,77396.46875,374189.09375,329.3466796875,MeanCorpuscularHemoglobinConcentration_Min_preclinical
108.0,12050747.0,33937.1328125,111580.9921875,314.2326965332031,MeanCorpuscularHemoglobinConcentration_Avg_preclinical
853.0,95898384.0,138950.546875,112424.8359375,162.89630126953125,PlateletCount_Max_acute
710.0,75245808.0,173498.953125,105980.0078125,244.36471557617188,PlateletCount_Min_acute
585.0,91404840.0,114659.875,156247.59375,195.99978637695312,PlateletCount_Avg_acute
611.0,144498704.0,161381.015625,236495.421875,264.12603759765625,PlateletCount_Max_preclinical
351.0,57289516.0,117968.84375,163218.0,336.09356689453125,PlateletCount_Min_preclinical
